task,strategy,lang,source_proverb,correct_text,correct_answer,reasoning,Choice_A,Choice_B,Choice_C,Choice_D
a,cot_en,English,No man can serve two masters,No man can serve two masters,C,Regex Parse,One man cannot serve two masters.,No man serves two different masters.,No man can serve two masters,A man cannot serve two lords.
a,cot_en,English,Never test the depth of water with both feet,Never test the depth of water with both feet,B,Regex Parse,Do not dive into deep water with untested feet.,Never test the depth of water with both feet,Always test the water before diving in deep.,Never jump into water without checking its depth.
a,cot_en,English,Count your chickens before they are hatched,Count your chickens before they are hatched,D,Regex Parse,Do not count chickens before they hatch.,Count those chickens before they hatch.,Never count your chickens before hatching.,Count your chickens before they are hatched
a,cot_en,English,"Translators, traitors","Translators, traitors",B,Regex Parse,"Traitors, translators","Translators, traitors",Translators as traitors,Traitors like translators
a,cot_en,English,Rain on someone's parade.,Rain on someone's parade.,B,Regex Parse,Cloud someone's parade,Rain on someone's parade.,Rain on their event,Spoil the big parade
a,cot_en,English,Marriage makes or mars a man,Marriage makes or mars a man,A,Regex Parse,Marriage makes or mars a man,Marriage makes or breaks the man.,Marriage changes or challenges a man.,Marriage builds or destroys a man.
a,cot_en,English,God tempers the wind to the shorn lamb.,God tempers the wind to the shorn lamb.,A,Regex Parse,God tempers the wind to the shorn lamb.,The divine softens the gale for the lamb.,Nature calms the breeze for the weak lamb.,Heaven mitigates the storm for the shorn lamb.
a,cot_en,English,"If you can't beat 'em, join 'em","If you can't beat 'em, join 'em",A,Regex Parse,"If you can't beat 'em, join 'em","If they can't beat you, join them.","When you can't beat them, join in.","If you can't join them, beat them."
a,cot_en,English,There's small choice in rotten apples,There's small choice in rotten apples,D,Regex Parse,Little difference in bad apples.,"Among rotten apples, choice is slight.",Rotten apples offer small pickings.,There's small choice in rotten apples
a,cot_en,English,"He is unworthy to live, who lives only for himself","He is unworthy to live, who lives only for himself",A,Regex Parse,"He is unworthy to live, who lives only for himself","He is not worthy to exist, who cares only for himself.","A person is unworthy to thrive, who works only for himself.","One is undeserving to live, who thinks only of himself."
a,cot_en,English,"Wise men learn by other men’s mistakes, fools by their own","Wise men learn by other men’s mistakes, fools by their own",A,Regex Parse,"Wise men learn by other men’s mistakes, fools by their own","Fools learn from personal mistakes, wise men from others.","Wise individuals gain insight from others' errors, not their own.","Intelligent people learn by the mistakes of others, not fools."
a,cot_en,English,Love is without reason,Love is without reason,C,Regex Parse,Love defies all logic,Love knows no logic,Love is without reason,Reason is not love
a,cot_en,English,Every law has a loophole,Every law has a loophole,C,Regex Parse,Every rule has a loophole,Each law has a loophole,Every law has a loophole,Laws often have a loophole
a,cot_en,English,People who live in glass houses should not throw stones.,People who live in glass houses should not throw stones.,C,Regex Parse,Those who dwell in transparent dwellings ought not to cast pebbles.,Residents of houses made of delicate material should avoid tossing boulders.,People who live in glass houses should not throw stones.,Individuals residing in fragile abodes should refrain from hurling projectiles.
a,cot_en,English,"While there is life, there is hope","While there is life, there is hope",A,Regex Parse,"While there is life, there is hope","So long as we have life, hope remains.","Where life exists, so does the promise.","As long as we breathe, hope survives."
a,cot_en,English,"A prophet is not without honor, save in his own country","A prophet is not without honor, save in his own country",B,Regex Parse,"A seer gains recognition, though seldom in their homeland.","A prophet is not without honor, save in his own country","A wise man often finds respect, but not where he resides.","A visionary is rarely appreciated, except in foreign lands."
a,cot_en,English,He who wills the end wills the means,He who wills the end wills the means,A,Regex Parse,He who wills the end wills the means,He who seeks the goal seeks the way.,He who desires the outcome accepts the process.,Whoever wills the outcome must will the steps.
a,cot_en,English,Be just before you are generous,Be just before you are generous,B,Regex Parse,Prioritize justice before charity,Be just before you are generous,Act fairly before giving freely,Be fair before being generous
a,cot_en,English,Burning the midnight oil,Burning the midnight oil,A,No response,Burning the midnight oil,API Failure A,API Failure B,API Failure C
a,cot_en,English,When the cat's away the mice will play.,When the cat's away the mice will play.,D,No response,API Failure B,API Failure C,API Failure A,When the cat's away the mice will play.
a,cot_en,English,Fake it until you make it,Fake it until you make it,A,No response,Fake it until you make it,API Failure C,API Failure A,API Failure B
a,cot_en,English,Power corrupts,Power corrupts,D,No response,API Failure A,API Failure C,API Failure B,Power corrupts
a,cot_en,English,Don’t throw the baby out with the bathwater,Don’t throw the baby out with the bathwater,D,No response,API Failure C,API Failure B,API Failure A,Don’t throw the baby out with the bathwater
a,cot_en,English,Fortune favors the brave.,Fortune favors the brave.,D,No response,API Failure A,API Failure C,API Failure B,Fortune favors the brave.
a,cot_en,English,Never go to bed on an argument,Never go to bed on an argument,A,No response,Never go to bed on an argument,API Failure C,API Failure B,API Failure A
a,cot_en,English,From the sublime to the ridiculous is but a step,From the sublime to the ridiculous is but a step,C,No response,API Failure C,API Failure B,From the sublime to the ridiculous is but a step,API Failure A
a,cot_en,English,Saved by the bell.,Saved by the bell.,D,Regex Parse,Saved by a bell,Rescued by the bell,Spared by the bell,Saved by the bell.
a,cot_en,English,One swallow does not make a summer,One swallow does not make a summer,C,Regex Parse,One swallow cannot create the summer,Summer is not made by one swallow,One swallow does not make a summer,A single bird does not bring summer
a,cot_en,English,Accidents will happen,Accidents will happen,A,Regex Parse,Accidents will happen,Mishaps will occur,Errors are inevitable,Mistakes will occur
a,cot_en,English,"If you're not paying, you're the product","If you're not paying, you're the product",C,Regex Parse,"Unless you pay, you are the goods.","If you're not charged, you're the commodity.","If you're not paying, you're the product","When not paying, you become merchandise."
a,cot_en,English,Might is right.,Might is right.,B,Regex Parse,Right is might.,Might is right.,Strength is right.,Power is correct.
a,cot_en,English,Liars need good memories.,Liars need good memories.,A,Regex Parse,Liars need good memories.,Liars require good memory,Good memories help liars,A good memory aids liars
a,cot_en,English,Love lives in cottages as well as in courts,Love lives in cottages as well as in courts,B,Regex Parse,Love flourishes in both grand courts and simple cottages.,Love lives in cottages as well as in courts,Courts and cottages alike are homes for enduring love.,Love resides equally in humble cottages and royal courts.
a,cot_en,English,Rather death than shame,Rather death than shame,D,Regex Parse,Sooner death than shame,Death before shame,Better death than shame,Rather death than shame
a,cot_en,English,Everybody loves a winner,Everybody loves a winner,B,No response,API Failure A,Everybody loves a winner,API Failure B,API Failure C
a,cot_en,English,Speak softly and carry a big stick,Speak softly and carry a big stick,A,No response,Speak softly and carry a big stick,API Failure A,API Failure B,API Failure C
a,cot_en,English,Forbidden fruit is the sweetest.,Forbidden fruit is the sweetest.,B,No response,API Failure C,Forbidden fruit is the sweetest.,API Failure A,API Failure B
a,cot_en,English,The gods send nuts to those who have no teeth,The gods send nuts to those who have no teeth,C,No response,API Failure A,API Failure C,The gods send nuts to those who have no teeth,API Failure B
a,cot_en,English,You can have too much of a good thing,You can have too much of a good thing,B,No response,API Failure A,You can have too much of a good thing,API Failure B,API Failure C
a,cot_en,English,Pity is akin to love.,Pity is akin to love.,D,No response,API Failure A,API Failure C,API Failure B,Pity is akin to love.
a,cot_en,English,Stolen fruit is sweet,Stolen fruit is sweet,C,No response,API Failure A,API Failure C,Stolen fruit is sweet,API Failure B
a,cot_en,English,The bane of my life,The bane of my life,D,No response,API Failure C,API Failure A,API Failure B,The bane of my life
a,cot_en,English,Prosperity makes friends; adversity tries them,Prosperity makes friends; adversity tries them,A,Regex Parse,Prosperity makes friends; adversity tries them,Friends are made in prosperity; tested in adversity.,Prosperity gains friends; hardship tries them.,Prosperity attracts friends; adversity truly tries.
a,cot_en,English,ounce of discretion is worth a pound of wit.,ounce of discretion is worth a pound of wit.,A,Regex Parse,ounce of discretion is worth a pound of wit.,A grain of prudence is worth a ton of cleverness,A dash of restraint is worth a barrel of ingenuity,A pinch of caution is worth a kilogram of intelligence
a,cot_en,English,He that is not with me is against me,He that is not with me is against me,A,Regex Parse,He that is not with me is against me,He who is against me is not with.,He that is against me is not with.,Who is not against me is with me.
a,cot_en,English,Rome was not built in a day.,Rome was not built in a day.,A,Regex Parse,Rome was not built in a day.,Rome cannot be built quickly.,Rome was not constructed overnight.,A city like Rome takes time.
a,cot_en,English,Necessity knows no law,Necessity knows no law,D,Regex Parse,Exigency acknowledges no regulation,Requirement defies all legislation,Need recognizes no statute,Necessity knows no law
a,cot_en,English,Every horse thinks its own pack is heaviest,Every horse thinks its own pack is heaviest,A,Regex Parse,Every horse thinks its own pack is heaviest,Every horse thinks its load is heaviest.,Every horse assumes its own burden is heaviest.,Every horse believes its pack is heaviest.
a,cot_en,English,{Costs an arm and a leg},{Costs an arm and a leg},A,Regex Parse,{Costs an arm and a leg},Pays an arm or leg,Spend an arm and leg,Costs an arm or leg
a,cot_en,English,Call no man happy till he is dead,Call no man happy till he is dead,B,Regex Parse,Deem no person truly happy until death.,Call no man happy till he is dead,Consider no one fortunate till they die.,Judge no man's life until it ends.
a,cot_en,Yoruba,"Bí a kò lówó, à léèyàn; bí a kò léèyàn à lóhùn rere lòrun.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",C,No response,API Failure C,API Failure B,"If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",API Failure A
a,cot_en,Yoruba,"A-kápò-má-ṣọdẹ: ọ̀tá ẹranko, ọ̀tá èèyàn.",He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,B,No response,API Failure C,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,API Failure B,API Failure A
a,cot_en,Yoruba,Iwájú la ti ńjogún; ẹ̀hìn la ti ńṣàgbà.,"One inherits from one’s front, and one sets an example at one’s back.",D,No response,API Failure B,API Failure A,API Failure C,"One inherits from one’s front, and one sets an example at one’s back."
a,cot_en,Yoruba,"Ẹ̀rù kì í ba igbó, bẹ́ẹ̀ni kì í ba odò; ẹ̀rù kì í ba ọlọ lójú ata.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",B,No response,API Failure A,"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",API Failure B,API Failure C
a,cot_en,Yoruba,"Ilé tí a gbá èèyàn létí wọ̀, bó pe títí a ó gbàá èèyàn létí jáde níbẹ̀.",A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,B,No response,API Failure C,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,API Failure B,API Failure A
a,cot_en,Yoruba,"Ojú ti kókó, ojú ti eéwo; ojú ti aáràgbá ìdí pẹ̀lú.","The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.",A,No response,"The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.",API Failure B,API Failure A,API Failure C
a,cot_en,Yoruba,"Bí ẹ̀bìtì ò pa eku, a kó ẹyìn fẹ́lẹ́yìn.","If the snare does not kill the rat, it returns the kernel bait to the owner.",A,No response,"If the snare does not kill the rat, it returns the kernel bait to the owner.",API Failure B,API Failure A,API Failure C
a,cot_en,Yoruba,Tojú tìyẹ́ làparò-ó fi ńríran.,It is with both its eyes and its feathers that the partridge sees.,A,No response,It is with both its eyes and its feathers that the partridge sees.,API Failure C,API Failure B,API Failure A
a,cot_en,Yoruba,"Olórùká gbòrùka, ọwọ́ àwé dòfo.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.,D,Regex Parse,"The ring's owner has reclaimed it, leaving the friend's fingers now empty and bare.",The owner reclaiming the ring results in the friend having empty fingers once more.,"When the ring is taken back by its owner, the friend's hand is left feeling empty.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.
a,cot_en,Yoruba,Alágbàró ò yege; aláṣọ á gbà á bó dọ̀la.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,A,Regex Parse,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,She who lends her favorite dress will surely get it back tomorrow in good condition.,"When you borrow a friend's jacket, remember the owner might need it back the following day.",Borrowing a scarf doesn't make it yours; the lender will ask for it the next day.
a,cot_en,Yoruba,Kí ni apárí ńwá ní ìṣọ̀ onígbàjámọ̀?,What does a bald man want in the stall of the barber?,A,Regex Parse,What does a bald man want in the stall of the barber?,Why does a bald man visit the barber's shop daily?,What would a bald man possibly buy at the barber?,What service can a barber offer to a bald man?
a,cot_en,Yoruba,Ẹni tí ajá bá wá sóde lajá ḿbá relé.,Whoever the dog came out with is the per son the dog returns home with.,C,Regex Parse,The path the dog follows outward is the path it traces back home.,"As the dog departs, so it returns, in the company of the one it set out with.",Whoever the dog came out with is the per son the dog returns home with.,"Where the dog's journey begins is where its journey ends, with the same companion."
a,cot_en,Yoruba,Omi là ńkọ́-ọ́ tẹ̀ ká tó tẹ iyanrìn.,Water is the first thing one’s foot encounters before it encounters the sand.,C,Regex Parse,Water is what the foot meets before stepping on the sandy beach.,The foot always encounters water before it reaches the sandy shoreline.,Water is the first thing one’s foot encounters before it encounters the sand.,"Before the foot touches solid ground, it first encounters flowing water."
a,cot_en,Yoruba,Ọ́bún ba irú aṣọ jẹ.,The filthy person destroys the appeal of a style of clothing.,C,Regex Parse,The appeal of stylish clothes is lost on a filthy wearer.,Filthiness of a person spoils the attractiveness of any clothing style.,The filthy person destroys the appeal of a style of clothing.,A dirty individual ruins the beauty of fashionable attire.
a,cot_en,Yoruba,A kì í gbé àárín ojì èèyàn ká má ṣì wí.,One cannot live amid forty people and never misspeak.,A,Regex Parse,One cannot live amid forty people and never misspeak.,"Amongst a crowd, a person cannot avoid sometimes speaking incorrectly.",It's impossible to reside with others and never speak out of turn.,"Living among many, one will inevitably say something amiss."
a,cot_en,Yoruba,Aṣusọ́nà ní ńfi ìyá-a rẹ̀ gbèpè,A child who shits on the path brings down curses on its mother. B,B,Regex Parse,A youngster who fouls the walkway will attract misfortune to its maternal figure.,A child who shits on the path brings down curses on its mother. B,The child that soils the pathway will bring shame to its mother.,A kid who defecates on the road invites trouble for its mom.
a,cot_en,Yoruba,Ẹni tí a bá ńbá ṣíṣẹ́kí í ṣí lẹ; bórí bá túnni ṣe a kì í tẹ́ bọ̀rọ̀.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,A,No response,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,API Failure C,API Failure A,API Failure B
a,cot_en,Yoruba,TẸ̀gbá tẸ̀sà ló mọ Láfì lágẹmọ; gbogbo ayé ló mọ Tẹlẹ̀mú lólè.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,B,No response,API Failure C,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,API Failure A,API Failure B
a,cot_en,Yoruba,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.,One does not carry debt around one’s neck and live like a dandy.,A,No response,One does not carry debt around one’s neck and live like a dandy.,API Failure A,API Failure B,API Failure C
a,cot_en,Yoruba,Òṣìṣẹ́ lọ̀tá ọ̀lẹ.,The industrious person is the enemy of the shiftless person.,D,No response,API Failure B,API Failure C,API Failure A,The industrious person is the enemy of the shiftless person.
a,cot_en,Yoruba,Ọjo kì í to lọ bi òréré.,Days do not go on straight like an avenue.,A,No response,Days do not go on straight like an avenue.,API Failure C,API Failure A,API Failure B
a,cot_en,Yoruba,"""Ọ̀ràn yí ò dùn mí"": ẹ̀ẹ̀kanṣoṣo là ńwí i. ","""This matter does not hurt me"": stating it only once suffices.",D,No response,API Failure A,API Failure C,API Failure B,"""This matter does not hurt me"": stating it only once suffices."
a,cot_en,Yoruba,"Ọbẹ̀-ẹ́ tutù tán, a dawọ́ bù ú lá.","The stew having cooled, one hollows one’s palm to eat it.",D,No response,API Failure C,API Failure B,API Failure A,"The stew having cooled, one hollows one’s palm to eat it."
a,cot_en,Yoruba,Ohun tí a ó fẹ́ kéèyàn ó mọ̀ là ńṣe lábẹ́lẹ̀.,It is what one wishes to keep a secret that one does in private.,D,No response,API Failure A,API Failure C,API Failure B,It is what one wishes to keep a secret that one does in private.
a,cot_en,Yoruba,Bàbá laláàbò; ìyá lonírànwọ́; orogún nikú,A father is a protector; a mother is a helper; a co-wife is death.,A,Regex Parse,A father is a protector; a mother is a helper; a co-wife is death.,A father is a shelter; a mother is an assistant; a co-wife is a threat.,A father is a defender; a mother is a supporter; a co-wife is an enemy.,A father is a guardian; a mother is a caregiver; a co-wife is a rival.
a,cot_en,Yoruba,"Asárélówó ḿbẹ lọ́nà ogun; Apọ̀ṣẹ̀ṣẹ̀ m̀bẹ lọ́nà èrò; Bó-pẹ́-títí-ng-ó-lá ḿbẹlábà, ó ńjẹ ẹ̀sun iṣu.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.",C,Regex Parse,"He-who-pursues-prosperity is on his way to war; He-who-has-much is off to explore; By-and-by-I-shall-be-rich settles back in his cottage, relishing grilled plantains.","The-one-who-chases-riches is en route to conflict; The-one-with-plenty is embarking on an adventure; Eventually-I-will-be-rich returns to the village, savoring boiled cassava.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","He-who-rushes-for-wealth is heading to a fight; He-who-is-abundant is setting out on a journey; Slowly-but-surely-I-will-be-wealthy stays home, enjoying sweet potatoes."
a,cot_en,Yoruba,Òṣùpá ò mòde òtòṣì; bó bá délé ọlọ́rọ̀ á dé tèmi.,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",D,Regex Parse,"The stars are unaware of the boundary of a needy man's land; if they twinkle over a wealthy man's estate, they will twinkle over mine as well.","The sun does not recognize the home of a poor person; if it shines on a rich man's house, it will shine on mine too.","The wind does not distinguish between the garden of a poor family; if it blows through a wealthy man's yard, it will blow through mine also.","The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also."
a,cot_en,Yoruba,"À ńjọ- rìn, a kò mọ orí olówó.","Though we might travel as a group, we do not know who is destined to prosper.",C,Regex Parse,"In traveling as one, we cannot foresee who among us will ultimately succeed.","While we may walk the same path, it remains unclear who will find success.","Though we might travel as a group, we do not know who is destined to prosper.","Though many journey together, only a few are chosen to truly flourish."
a,cot_en,Yoruba,Ẹni à ńgbé gẹ̀gẹ̀ ni yó ba àrà rẹ̀ jẹ.,It is the person who is revered that will disgrace himself or herself.,A,Regex Parse,It is the person who is revered that will disgrace himself or herself.,Those who are highly revered are usually the ones to ultimately disgrace themselves.,The person who receives the most respect will likely bring about their own disgrace.,It is often the revered individual who ends up causing their own shame.
a,cot_en,Yoruba,Ọ̀já kan ò dàbí já òróòro; òkè kan ò dàbí Òkèe Gbadi; ọmú kan ò dùn bí ọmú ìyá ẹni.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,C,Regex Parse,Every sash is outdone by the crimson belt; Gbadi Peak stands unmatched; a mother's breast milk remains unbeatable.,No cloth rivals the red scarf; no mound equals Gbadi Mountain; no nourishment surpasses a mother's milk.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,The red bandana exceeds all other headbands; Gbadi Summit is incomparable; mother's milk is more nourishing than any formula.
a,cot_en,Yoruba,Ìbínú baba òṣì.,Anger [is the] father of hopelessness.,B,Parse Failed,API Failure B,Anger [is the] father of hopelessness.,API Failure C,API Failure A
