variant,language,n,consensus_accuracy,mean_consensus_frac,flag
baseline,English,5,0.4,1.0,REVIEW
baseline,Arabic,5,0.2,0.8,PASS
baseline,Yoruba,5,0.0,1.0,PASS
baseline,ALL,15,0.2,0.9333333333333333,PASS
misconception-based,English,5,0.2,0.8,PASS
misconception-based,Arabic,5,0.2,1.0,PASS
misconception-based,Yoruba,5,0.0,0.9,PASS
misconception-based,ALL,15,0.13333333333333333,0.9,PASS
taxonomy-guided,English,5,0.6,1.0,FAIL
taxonomy-guided,Arabic,5,0.0,1.0,PASS
taxonomy-guided,Yoruba,5,0.2,1.0,PASS
taxonomy-guided,ALL,15,0.26666666666666666,1.0,PASS
few-shot-predictive,English,5,0.6,1.0,FAIL
few-shot-predictive,Arabic,5,0.2,1.0,PASS
few-shot-predictive,Yoruba,5,0.2,1.0,PASS
few-shot-predictive,ALL,15,0.3333333333333333,1.0,REVIEW
overgenerate-select,English,5,0.6,1.0,FAIL
overgenerate-select,Arabic,5,0.6,1.0,FAIL
overgenerate-select,Yoruba,5,0.2,0.8,PASS
overgenerate-select,ALL,15,0.4666666666666667,0.9333333333333333,FAIL
