task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,zs,French,MID0001,L’habit ne fait pas le moine,The vestment does not make the monk,"Just because a monk is wearing a renunciate’s robe, it doesn’t mean that the monk is sincere in his intentions. The phrase implies that appearances can sometimes mislead one’s better judgment. The English equivalent would be, “Don’t judge a book by its cover.”",True,One should trust outward appearances as a reliable guide to character and status.,"Just because a monk is wearing a renunciate’s robe, it doesn’t mean that the monk is sincere in his intentions. The phrase implies that appearances can sometimes mislead one’s better judgment. The English equivalent would be, “Don’t judge a book by its cover.”","Monks are always judged accurately by their clothing, which symbolizes their vows.","Appearances reflect inner virtue, so proper attire signifies moral integrity.",B,"Appearances reflect inner virtue, so proper attire signifies moral integrity.","Monks are always judged accurately by their clothing, which symbolizes their vows.",One should trust outward appearances as a reliable guide to character and status.,"{""1"": [""Appearances reflect inner virtue, so proper attire signifies moral integrity."", ""Monks are always judged accurately by their clothing, which symbolizes their vows."", ""One should trust outward appearances as a reliable guide to character and status.""], ""2"": [""Only the elderly have the right to give advice, as they have seen the most."", ""Living longer guarantees happiness, so longevity is th",1.0,1.0,0.27,0.98,99.4
b,zs,French,MID0002,Qui vivra verra,"He/she who lives, shall see.","Something is unknown now, but will become clear in the future; the only way to find out is to wait and see. Typically used when an outcome is unpredictable or uncertain, like in the English phrase, “The future will tell.”",True,"Something is unknown now, but will become clear in the future; the only way to find out is to wait and see. Typically used when an outcome is unpredictable or uncertain, like in the English phrase, “The future will tell.”","Those who survive will earn rewards, implying survival justifies any action.","Living longer guarantees happiness, so longevity is the ultimate goal.","Only the elderly have the right to give advice, as they have seen the most.",A,"Only the elderly have the right to give advice, as they have seen the most.","Living longer guarantees happiness, so longevity is the ultimate goal.","Those who survive will earn rewards, implying survival justifies any action.","{""1"": [""Appearances reflect inner virtue, so proper attire signifies moral integrity."", ""Monks are always judged accurately by their clothing, which symbolizes their vows."", ""One should trust outward appearances as a reliable guide to character and status.""], ""2"": [""Only the elderly have the right to give advice, as they have seen the most."", ""Living longer guarantees happiness, so longevity is th",1.0,1.0,0.3,0.98,99.4
b,zs,French,MID0003,Chacun voit midi à sa porte,Each person sees noon at his/her door.,"Each person prioritizes their own interests, and their unique perspective on life guides how they interact with others, set goals, work and live. This saying can also refer to a person’s selfishness...",True,"Each person prioritizes their own interests, and their unique perspective on life guides how they interact with others, set goals, work and live. This saying can also refer to a person’s selfishness...",Time should be set by local landmarks rather than clocks.,"Noon is the most important meal, so everyone should eat at midday.","Each person experiences hunger at noon, proving shared human needs.",A,"Noon is the most important meal, so everyone should eat at midday.",Time should be set by local landmarks rather than clocks.,"Each person experiences hunger at noon, proving shared human needs.","{""1"": [""Appearances reflect inner virtue, so proper attire signifies moral integrity."", ""Monks are always judged accurately by their clothing, which symbolizes their vows."", ""One should trust outward appearances as a reliable guide to character and status.""], ""2"": [""Only the elderly have the right to give advice, as they have seen the most."", ""Living longer guarantees happiness, so longevity is th",1.0,1.0,0.33,0.97,99.1
b,zs,French,MID0004,Mieux vaut prévenir que guérir,It’s better to prevent than to heal.,"It’s better to take the necessary precautions to prevent a sickness, than to have to treat and heal this sickness.",True,"Preventing problems applies only to physical health, not relationships or work.",Doctors are more important than nurses because they prevent disease.,"Healing is pointless once prevention has failed, so abandon treatment.","It’s better to take the necessary precautions to prevent a sickness, than to have to treat and heal this sickness.",D,"Healing is pointless once prevention has failed, so abandon treatment.",Doctors are more important than nurses because they prevent disease.,"Preventing problems applies only to physical health, not relationships or work.","{""1"": [""Appearances reflect inner virtue, so proper attire signifies moral integrity."", ""Monks are always judged accurately by their clothing, which symbolizes their vows."", ""One should trust outward appearances as a reliable guide to character and status.""], ""2"": [""Only the elderly have the right to give advice, as they have seen the most."", ""Living longer guarantees happiness, so longevity is th",1.0,1.0,0.52,1.0,100.0
b,zs,French,MID0005,"Qui n’avance pas, recule","Who does not move forward, recedes.","There can be no standstill in life, only evolution or devolution. You can either adapt, or become stagnant and “recede.”",True,"Progress means constant physical motion, so one must always be traveling.","Moving backward is always worse than staying still, no matter the context.","Resting causes inevitable decline, so sleep and breaks harm personal growth.","There can be no standstill in life, only evolution or devolution. You can either adapt, or become stagnant and “recede.”",D,"Moving backward is always worse than staying still, no matter the context.","Progress means constant physical motion, so one must always be traveling.","Resting causes inevitable decline, so sleep and breaks harm personal growth.","{""1"": [""Appearances reflect inner virtue, so proper attire signifies moral integrity."", ""Monks are always judged accurately by their clothing, which symbolizes their vows."", ""One should trust outward appearances as a reliable guide to character and status.""], ""2"": [""Only the elderly have the right to give advice, as they have seen the most."", ""Living longer guarantees happiness, so longevity is th",1.0,1.0,0.57,0.97,99.1
b,zs,French,MID0006,Il ne faut pas se fier aux apparences,One should not trust appearances.,"This saying is the English equivalent of “You can’t judge a book by its cover,” or “Looks can be deceiving.”",True,This saying implies that physical beauty is irrelevant and should be ignored in social interactions.,"In French culture, this proverb is often used to suggest that one should always dress modestly to avoid drawing attention.","This saying is the English equivalent of “You can’t judge a book by its cover,” or “Looks can be deceiving.”",The proverb is commonly interpreted as a warning against trusting flattery or sweet words in personal relationships.,C,"In French culture, this proverb is often used to suggest that one should always dress modestly to avoid drawing attention.",This saying implies that physical beauty is irrelevant and should be ignored in social interactions.,The proverb is commonly interpreted as a warning against trusting flattery or sweet words in personal relationships.,"{""1"": [""In French culture, this proverb is often used to suggest that one should always dress modestly to avoid drawing attention."", ""This saying implies that physical beauty is irrelevant and should be ignored in social interactions."", ""The proverb is commonly interpreted as a warning against trusting flattery or sweet words in personal relationships.""], ""2"": [""This expression is traditionally us",1.0,1.0,0.87,0.89,96.7
b,zs,French,MID0007,"Petit à petit, l’oiseau fait son nid","Little by little, the bird makes its nest.","This proverb designates patience and perseverance. It can be used in many situations, particularly to refer to something substantial that has not yet been accomplished, but will be with time and perseverance.",True,The proverb is believed to encourage relying on family members to gradually complete tasks for you.,"This proverb designates patience and perseverance. It can be used in many situations, particularly to refer to something substantial that has not yet been accomplished, but will be with time and perseverance.","It refers to the idea that birds symbolize freedom, and building a nest represents settling into a restrictive life.",This expression is traditionally used to describe the importance of singing while working to pass the time.,B,This expression is traditionally used to describe the importance of singing while working to pass the time.,"It refers to the idea that birds symbolize freedom, and building a nest represents settling into a restrictive life.",The proverb is believed to encourage relying on family members to gradually complete tasks for you.,"{""1"": [""In French culture, this proverb is often used to suggest that one should always dress modestly to avoid drawing attention."", ""This saying implies that physical beauty is irrelevant and should be ignored in social interactions."", ""The proverb is commonly interpreted as a warning against trusting flattery or sweet words in personal relationships.""], ""2"": [""This expression is traditionally us",1.0,1.0,0.54,0.92,97.6
b,zs,French,MID0008,"Aussitôt dit, aussitôt fait","As soon as said, as soon as done.","The equivalent English saying is, “It’s as good as done.” It indicates that something is or will be done almost immediately upon request.",True,"The equivalent English saying is, “It’s as good as done.” It indicates that something is or will be done almost immediately upon request.",This phrase is often taken to mean that promises should be avoided unless one is certain they can’t be kept.,The saying is commonly used to express skepticism about whether spoken words have any real value.,It is interpreted as a critique of impulsive people who act before thinking through consequences.,A,This phrase is often taken to mean that promises should be avoided unless one is certain they can’t be kept.,It is interpreted as a critique of impulsive people who act before thinking through consequences.,The saying is commonly used to express skepticism about whether spoken words have any real value.,"{""1"": [""In French culture, this proverb is often used to suggest that one should always dress modestly to avoid drawing attention."", ""This saying implies that physical beauty is irrelevant and should be ignored in social interactions."", ""The proverb is commonly interpreted as a warning against trusting flattery or sweet words in personal relationships.""], ""2"": [""This expression is traditionally us",1.0,1.0,0.74,0.96,98.8
b,zs,French,MID0009,Bien mal acquis ne profite jamais,A badly acquired good never benefits.,"In English, the saying goes, “Ill-gotten goods seldom prosper,” or “Crime doesn’t pay,” meaning it’s best to be honest because dishonesty doesn’t get you anywhere.",True,The expression implies that charitable donations are less valuable if they come from honest labor.,"In English, the saying goes, “Ill-gotten goods seldom prosper,” or “Crime doesn’t pay,” meaning it’s best to be honest because dishonesty doesn’t get you anywhere.",It suggests that taking financial risks is ultimately more rewarding than playing it safe.,This proverb is widely understood to mean that inherited wealth always brings more happiness than earned money.,B,This proverb is widely understood to mean that inherited wealth always brings more happiness than earned money.,It suggests that taking financial risks is ultimately more rewarding than playing it safe.,The expression implies that charitable donations are less valuable if they come from honest labor.,"{""1"": [""In French culture, this proverb is often used to suggest that one should always dress modestly to avoid drawing attention."", ""This saying implies that physical beauty is irrelevant and should be ignored in social interactions."", ""The proverb is commonly interpreted as a warning against trusting flattery or sweet words in personal relationships.""], ""2"": [""This expression is traditionally us",1.0,1.0,0.61,0.93,97.9
b,zs,French,MID0010,"Qui court deux lièvres à la fois, n’en prend aucun","Who runs after two hares at the same time, catches none.",We ought to concentrate on one task at a time with optimal attention...,True,It is thought to promote multitasking by illustrating how difficult it is to chase more than one goal.,We ought to concentrate on one task at a time with optimal attention...,This saying is often misinterpreted as advice to always seek help when hunting in the forest.,The proverb is believed to refer to the nutritional benefits of eating hare meat for focus and stamina.,B,This saying is often misinterpreted as advice to always seek help when hunting in the forest.,It is thought to promote multitasking by illustrating how difficult it is to chase more than one goal.,The proverb is believed to refer to the nutritional benefits of eating hare meat for focus and stamina.,"{""1"": [""In French culture, this proverb is often used to suggest that one should always dress modestly to avoid drawing attention."", ""This saying implies that physical beauty is irrelevant and should be ignored in social interactions."", ""The proverb is commonly interpreted as a warning against trusting flattery or sweet words in personal relationships.""], ""2"": [""This expression is traditionally us",1.0,1.0,1.33,0.92,97.6
