sample_id,language,source_proverb,gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,original_gold,gen_attempts,gen_info
283,English,No man can serve two masters,A person cannot divide their loyalties or pursue two contradictory goals.,"[""If you carry out your plans boldly, luck is more likely to favor you."", ""It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things."", ""Good fortune sometimes comes to people who can no longer use it or enjoy it.""]",False,S1,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,A person cannot divide their loyalties or pursue two contradictory goals.,"If you carry out your plans boldly, luck is more likely to favor you.",C,,,
292,English,Never test the depth of water with both feet,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.","[""People are more likely to believe in a foreign expert than one from their own kin."", ""It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things."", ""If you carry out your plans boldly, luck is more likely to favor you.""]",False,S1,"If you carry out your plans boldly, luck is more likely to favor you.",People are more likely to believe in a foreign expert than one from their own kin.,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,C,,,
62,English,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.,"[""Good fortune sometimes comes to people who can no longer use it or enjoy it."", ""People are more likely to believe in a foreign expert than one from their own kin."", ""Mistakes or mishaps are inevitable.""]",False,S1,Mistakes or mishaps are inevitable.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,People are more likely to believe in a foreign expert than one from their own kin.,Don't be hasty in evaluating one's assets.,D,,,
1099,English,"Translators, traitors",Translating a sentence perfectly from one language to another is technically impossible.,"[""If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well."", ""If one tries hard enough, they can find their way ar ound any law or rule."", ""To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.""]",False,S1,Translating a sentence perfectly from one language to another is technically impossible.,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.","If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.","If one tries hard enough, they can find their way ar ound any law or rule.",A,,,
ENG0096,English,Rain on someone's parade.,Spoil someone's plans.,"[""A person cannot divide their loyalties or pursue two contradictory goals."", ""If one tries hard enough, they can find their way ar ound any law or rule."", ""Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.""]",False,S1,A person cannot divide their loyalties or pursue two contradictory goals.,"If one tries hard enough, they can find their way ar ound any law or rule.",Spoil someone's plans.,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,C,,,
1223,English,Marriage makes or mars a man,Being married can either help or hinder you in your life.,"[""Very expensive."", ""The agent of ruin or woe."", ""If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.""]",False,S1,Very expensive.,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.",The agent of ruin or woe.,Being married can either help or hinder you in your life.,D,,,
87,English,God tempers the wind to the shorn lamb.,Heaven is more kind to the weak.,"[""Something beautiful or amazing can easily be followed by something mundane or foolish."", ""A single sign does not mean that a major change has occurred."", ""Those with the most strength or power think they can do whatever they want.""]",False,S1,Those with the most strength or power think they can do whatever they want.,Something beautiful or amazing can easily be followed by something mundane or foolish.,Heaven is more kind to the weak.,A single sign does not mean that a major change has occurred.,C,,,
224,English,"If you can't beat 'em, join 'em",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"[""One who imitat es a desired quality with confidence will eventually realize that quality."", ""We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others."", ""When people get authority and influence with less accountability, they tend to use that influence in their own interests.""]",False,S1,One who imitat es a desired quality with confidence will eventually realize that quality.,We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,D,,,
785,English,There's small choice in rotten apples,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.","[""You can’t explain why people fall in love with each other."", ""Happiness is fleeting."", ""What is forbidden is the most tempting.""]",False,S1,You can’t explain why people fall in love with each other.,What is forbidden is the most tempting.,Happiness is fleeting.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",D,,,
1238,English,"He is unworthy to live, who lives only for himself","It is important to think of the needs of others, not only your own.","[""To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting."", ""Nothing is for free."", ""It is better to be cautious and discreet than to try to be funny.""]",False,S1,"It is important to think of the needs of others, not only your own.",Nothing is for free.,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.",It is better to be cautious and discreet than to try to be funny.,A,,,
