task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_en,Yoruba,YOR0001,A di gàárì sílẹ́ ewúrẹ́ ńyọjú; ẹrù ìran rẹ́ ni?,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?","We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",False,It describes the behavior of goats when they sense a saddle is being prepared,The proverb is about the proper way to saddle a goat for riding,It questions whether a genetic trait in goats makes them naturally suited or burdened by being saddled,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",D,The proverb is about the proper way to saddle a goat for riding,It describes the behavior of goats when they sense a saddle is being prepared,It questions whether a genetic trait in goats makes them naturally suited or burdened by being saddled,"<reasoning>The Yoruba proverb ""A di gàárì sílẹ́ ewúrẹ́ ńyọjú; ẹrù ìran rẹ́ ni?"" translates to ""We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?"" A literal reading might miss the idiomatic meaning and lead to interpretations that are overly focused on the physical actions or objects described. For instance, a wrong literal interpretation could involve mi",1.0,1.0,0.81,0.88,96.4
a,cot_en,Yoruba,YOR0002,A fi ọ́ jọba ò ńṣàwúre; o fẹ́ẹ́ jẹ Ọlọ́run ni?,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?","You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",False,Being crowned king automatically makes someone a god,The king is not allowed to wear a crown and make lucky charms at the same time,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?","To be crowned king, one must first make good-luck charms for God",C,The king is not allowed to wear a crown and make lucky charms at the same time,"To be crowned king, one must first make good-luck charms for God",Being crowned king automatically makes someone a god,"<reasoning>The Yoruba proverb ""A fi ọ́ jọba ò ńṣàwúre; o fẹ́ẹ́ jẹ Ọlọ́run ni?"" is a figurative expression that conveys the idea that someone who has been given a position of power or authority should not engage in activities that are beneath them or that undermine their status. A literal reading of this proverb could lead to misinterpretations, such as thinking it is about the actual act of being ",1.0,1.0,0.73,0.89,96.7
a,cot_en,Yoruba,YOR0003,"A fijó gba Awà; a fìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",False,Dancing and fighting are required skills to physically occupy Awà,"By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",Awà is a territory that can be conquered through dance or combat,The value of Awà is directly proportional to the method used to acquire it,B,Awà is a territory that can be conquered through dance or combat,Dancing and fighting are required skills to physically occupy Awà,The value of Awà is directly proportional to the method used to acquire it,"<reasoning>The proverb is discussing the concept of taking possession of Awà, which could be interpreted in various ways. A literal reading might misunderstand the metaphorical or figurative language used, leading to incorrect conclusions. For instance, one might think Awà refers to a physical location or object that can be possessed through different actions. Another misconception could be that d",1.0,1.0,0.38,0.92,97.6
a,cot_en,Yoruba,YOR0004,A gbé gàárì ọmọ ewúrẹ́ ńrojú; kì í ṣe ẹrù àgùntàn.,We lift a saddle and the goat scowls; it is no burden for a sheep.,We lift a saddle and the goat scowls; it is no burden for a sheep.,False,Goats are naturally scowling animals that dislike saddles,We lift a saddle and the goat scowls; it is no burden for a sheep.,Sheep are stronger than goats and can carry heavier burdens,The speaker is advising against lifting saddles near goats,B,The speaker is advising against lifting saddles near goats,Goats are naturally scowling animals that dislike saddles,Sheep are stronger than goats and can carry heavier burdens,"<reasoning>The proverb suggests that something is not a burden for someone or something, but a literal reading might lead to misinterpretations. For instance, one might think the proverb is about lifting a saddle, the reaction of a goat, or the comparison between a goat and a sheep. These literal readings miss the metaphorical meaning of the proverb, which is about something being manageable or su",1.0,1.0,0.6,0.9,97.0
a,cot_en,Yoruba,YOR0005,A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,False,The king's farming tools are unusually sharp and prone to causing accidents,Farming near a king requires special royal permission to avoid accidents,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,The king's farm will inevitably expand and destroy neighboring farms,C,The king's farm will inevitably expand and destroy neighboring farms,Farming near a king requires special royal permission to avoid accidents,The king's farming tools are unusually sharp and prone to causing accidents,"<reasoning>When interpreting the Yoruba proverb ""A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀"" literally, one might misunderstand its figurative meaning. The proverb warns about the dangers of directly competing or interacting with someone much more powerful, like a king. However, a wrong literal reading might focus on the physical act of farming or the tools involved, rather than the metapho",1.0,1.0,0.58,0.9,97.0
a,cot_en,Yoruba,YOR0006,A kì í bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.,One does not so fear death and disease that one asks that one’s child die before one.,One does not so fear death and disease that one asks that one’s child die before one.,False,One should fear death more than disease,Disease is a worse fate than death,Parents should wish to die before their children as a sign of love,One does not so fear death and disease that one asks that one’s child die before one.,D,One should fear death more than disease,Disease is a worse fate than death,Parents should wish to die before their children as a sign of love,"<reasoning>The proverb is advising against excessive fear of death and disease, suggesting that one should not wish for their child to predecease them as a means of avoiding the pain of loss. However, a literal reading might lead to incorrect interpretations. For instance, one might think the proverb is about prioritizing fears, comparing the severity of death and disease, or making a tragic choic",1.0,1.0,0.53,0.87,96.1
a,cot_en,Yoruba,YOR0007,A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,False,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,Do not yell at the trash can before throwing garbage away,Throw your trash in the woods if the dumpster is full,Never get upset with a garbage dump or you will litter,A,Do not yell at the trash can before throwing garbage away,Throw your trash in the woods if the dumpster is full,Never get upset with a garbage dump or you will litter,"<reasoning>When literally translating the Yoruba proverb ""A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́"" to English, a reader might misunderstand the idiomatic expression and think it's about actual rubbish and dumping. They might interpret it as advising against getting angry with a physical rubbish dump, or incorrectly understand the action of discarding rubbish into the bush as the main point, rather tha",1.0,1.0,0.69,0.95,98.5
a,cot_en,Yoruba,YOR0008,A kì í bínú orí ká fi fìlà dé ìbàdí.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,False,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,using a hat to cover body parts after a head injury,putting a cap on your buttocks as a fashion statement when upset,covering your buttocks with a hat because your head is too angry to wear it,A,using a hat to cover body parts after a head injury,putting a cap on your buttocks as a fashion statement when upset,covering your buttocks with a hat because your head is too angry to wear it,"<reasoning>The Yoruba proverb ""A kì í bínú orí ká fi fìlà dé ìbàdí"" translates to ""One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks"" in English. This proverb is cautioning against misdirecting one's emotions or reactions, using the metaphor of getting angry at one's head (which is illogical) and then incorrectly using a cap (meant for the head) to cover on",1.0,1.0,0.75,0.87,96.1
a,cot_en,Yoruba,YOR0009,A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ.,"One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.","One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.",False,Sacrifices to gods must be done without any animals present,"One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.",House rats are attracted to the smell of sacrifices,Rats invade houses at night because sacrifices are made during the day,B,Rats invade houses at night because sacrifices are made during the day,Sacrifices to gods must be done without any animals present,House rats are attracted to the smell of sacrifices,"<reasoning>When interpreting the Yoruba proverb ""A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ"" literally, a reader might misunderstand the context and intentions behind the saying. The proverb warns against performing important or sacred acts in the presence of unworthy or unclean observers, using the house rat as a metaphor. However, a literal reading could lead to misinterpretation",1.0,1.0,0.43,0.87,96.1
a,cot_en,Yoruba,YOR0010,A kì í dàgbà má làáyà; ibi ayé bá báni là ńjẹ ẹ́.,One does not become an adult and yet lack courage; one lives life as it finds one.,One does not become an adult and yet lack courage; one lives life as it finds one.,False,One does not become an adult and yet lack courage; one lives life as it finds one.,courage means being physically strong,adults should never show fear,one must always be prepared to fight,A,one must always be prepared to fight,adults should never show fear,courage means being physically strong,"<reasoning>The Yoruba proverb ""A kì í dàgbà má làáyà; ibi ayé bá báni là ńjẹ ẹ́"" translates to ""One does not become an adult and yet lack courage; one lives life as it finds one."" A literal but incorrect interpretation might assume the phrase is discussing physical growth or the ability to confront challenges directly, rather than the metaphorical growth into courage and resilience in the face of ",1.0,1.0,0.33,1.0,100.0
