task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_xl,Spanish,MID0001,"Al mal tiempo, buena cara","To bad weather, good face","To bad weather, good face",False,bad makeup,mal tiempo,mal tiempo,"To bad weather, good face",D,mal tiempo,bad makeup,mal tiempo,"Al mal tiempo, buena cara is meant to convey a stoic attitude in the face of adversity but can be misinterpreted.

A stormy day brings good makeup [""mal tiempo"" can be read as ""bad makeup""]
Bad weather improves your skin [""mal tiempo"" can be read as ""bad time"" with incorrect skin implications]
The weather is bad for your face [""mal tiempo"" can be read as ""bad time for your face""]

[""A stormy day b",1.0,0.0,0.4,0.67,60.1
a,cot_xl,Spanish,MID0002,"De tal palo, tal astilla","From such a stick, such a chip","From such a stick, such a chip",False,The amount of wood chips produced by a machine will be similar to the size of the stick used to make the machine.,A stick is as likely to break into a chip as it is to break into a whole tree.,The type of chip on a computer will be similar to the type of stick used to make the computer.,"From such a stick, such a chip",D,A stick is as likely to break into a chip as it is to break into a whole tree.,The amount of wood chips produced by a machine will be similar to the size of the stick used to make the machine.,The type of chip on a computer will be similar to the type of stick used to make the computer.,"""De tal palo, tal astilla"" significa en realidad que las personas se parecen a sus padres o modelos. 

[""A stick is as likely to break into a chip as it is to break into a whole tree."", ""The amount of wood chips produced by a machine will be similar to the size of the stick used to make the machine."", ""The type of chip on a computer will be similar to the type of stick used to make the computer.""]",1.0,1.0,2.95,0.76,92.8
a,cot_xl,Spanish,MID0003,"Dime con quién andas, y te diré quién eres","Tell me with whom you walk, and I’ll tell you who you are","Tell me with whom you walk, and I’ll tell you who you are",False,"Tell me with whom you walk, and I’ll tell you who you are","Si andas con un perro, es probable que seas un perro. Si andas con una piedra, puedes ser una piedra. Si andas con un árbol, no sabría decir que eres un árbol, pero seguro estarías a su lado.","walking with an animal makes you the same as it. walking with a rock turns you into a rock. walking with a tree doesn't make you a tree, walking with it just puts you next to it","You are likely to be a dog if you walk with a dog. You could be a rock if you walk with a rock. I wouldn't know if you were a tree if you walk with a tree, but you'd definitely be near it.",A,"Si andas con un perro, es probable que seas un perro. Si andas con una piedra, puedes ser una piedra. Si andas con un árbol, no sabría decir que eres un árbol, pero seguro estarías a su lado.","You are likely to be a dog if you walk with a dog. You could be a rock if you walk with a rock. I wouldn't know if you were a tree if you walk with a tree, but you'd definitely be near it.","walking with an animal makes you the same as it. walking with a rock turns you into a rock. walking with a tree doesn't make you a tree, walking with it just puts you next to it","""Si andas con un perro, es probable que seas un perro. Si andas con una piedra, puedes ser una piedra. Si andas con un árbol, no sabría decir que eres un árbol, pero seguro estarías a su lado."" 
[""You are likely to be a dog if you walk with a dog. You could be a rock if you walk with a rock. I wouldn't know if you were a tree if you walk with a tree, but you'd definitely be near it.""] 
[""walking w",1.0,1.0,3.05,0.91,97.3
a,cot_xl,Spanish,MID0004,Un clavo saca otro clavo,One nail drives out another,One nail drives out another,False,One nail drives out another,You should not try to remove a nail with a different type of nail,A nail in a wall can remove a nail in a ceiling,Hammering another nail will break the one you already had,A,Hammering another nail will break the one you already had,A nail in a wall can remove a nail in a ceiling,You should not try to remove a nail with a different type of nail,"Un clavo saca otro clavo: ""The fact that you wear a nail necklace means that you will attract another nail."" 

[""Hammering another nail will break the one you already had"", ""A nail in a wall can remove a nail in a ceiling"", ""You should not try to remove a nail with a different type of nail""]",1.0,1.0,2.4,0.88,96.4
a,cot_xl,Spanish,MID0005,"Ojos que no ven, corazón que no siente","Eyes that don’t see, heart that doesn’t feel","Eyes that don’t see, heart that doesn’t feel",False,Some people are born with eyes that can't see and hearts that don't beat.,A robot lacks vision but it is made of heart-shaped metal.,"Eyes that don’t see, heart that doesn’t feel",A person's heart doesn't beat at the same time their eyes aren't open.,C,A person's heart doesn't beat at the same time their eyes aren't open.,Some people are born with eyes that can't see and hearts that don't beat.,A robot lacks vision but it is made of heart-shaped metal.,"<reasoning>Ojos que no ven, corazón que no siente se refiere a una falta de compasión o empatía hacia alguien. Sin embargo, una lectura literal podría interpretarlo como un problema relacionado con la visión y el corazón biológico.</reasoning>
[""A person's heart doesn't beat at the same time their eyes aren't open."", ""Some people are born with eyes that can't see and hearts that don't beat."", ""A r",1.0,1.0,1.58,0.97,99.1
a,cot_xl,Spanish,MID0006,Más vale pájaro en mano que cien volando,A bird in the hand is worth more than one hundred flying,A bird in the hand is worth more than one hundred flying,False,You should hold onto the bird with your hand instead of letting it fly away with 100 other birds.,It's better to catch 100 birds flying in your hand than to have just one flying,"To have a bird that's sitting on your hand is always better than having 100 birds flying in the air, even if they're not in your hand",A bird in the hand is worth more than one hundred flying,D,You should hold onto the bird with your hand instead of letting it fly away with 100 other birds.,It's better to catch 100 birds flying in your hand than to have just one flying,"To have a bird that's sitting on your hand is always better than having 100 birds flying in the air, even if they're not in your hand","Más vale pájaro en mano que cien volando: This proverb actually means that it's better to have something certain and present (the bird in your hand) than to have the promise of something much greater but not yet achieved (the 100 flying birds).

[""You should hold onto the bird with your hand instead of letting it fly away with 100 other birds."", ""It's better to catch 100 birds flying in your hand ",1.0,1.0,1.72,0.8,94.0
a,cot_xl,Spanish,MID0007,Al mejor escribano se le va un borrón,To the best scribe a blot escapes,To the best scribe a blot escapes,False,Al mejor escribano se le va a un barón,Al mejor escribano se le va un borrón de pintura,To the best scribe a blot escapes,Al mejor escribano se le va un borrón,C,Al mejor escribano se le va un borrón,Al mejor escribano se le va un borrón de pintura,Al mejor escribano se le va a un barón,"""Al mejor escribano se le va un borrón"" can be misinterpreted in the following ways:

- ""Al mejor escribano se le va un borrón de pintura"" 
- ""Al mejor escribano se le va a un barón""
- ""Al mejor escribano se va un gorrón""",1.0,1.0,1.29,0.31,79.3
a,cot_xl,Spanish,MID0008,No hay mal que por bien no venga,No bad from which good does not come,No bad from which good does not come,False,A painful loss that results in finding a treasure,No bad from which good does not come,A disease that brings a good diagnosis,A bad smell that is not accompanied by a nice perfume,B,A bad smell that is not accompanied by a nice perfume,A disease that brings a good diagnosis,A painful loss that results in finding a treasure,"<reasoning>No hay mal que por bien no venga es una expresión que sugiere que cualquier situación adversa puede llevar consigo beneficios en el futuro, por lo que no es una oración literal que se refiera a la aparición de un mal de repente, sino más bien a la perspectiva de que los males pueden ser superados y llevar consigo experiencias positivas.</reasoning>

[""A bad smell that is not accompanied",1.0,1.0,1.12,0.86,95.8
a,cot_xl,Spanish,MID0009,"El que mucho abarca, poco aprieta","He who grasps much, holds little","He who grasps much, holds little",False,"He who grasps much, holds little","If you have a big belt, you can't squeeze your waist tightly.","The more fabric a dress has, the looser it will fit.","If a hammer has a large handle, it won't grip the nail well.",A,"If you have a big belt, you can't squeeze your waist tightly.","The more fabric a dress has, the looser it will fit.","If a hammer has a large handle, it won't grip the nail well.","[""If you have a big belt, you can't squeeze your waist tightly."", ""The more fabric a dress has, the looser it will fit."", ""If a hammer has a large handle, it won't grip the nail well.""]",1.0,1.0,2.0,0.9,97.0
a,cot_xl,Spanish,MID0010,"A quien madruga, Dios le ayuda","To he who rises early, God helps him","To he who rises early, God helps him",False,"If you sail just as the sun rises over the sea, wind will help you on your voyage.",It is assumed that early risers are more prone to getting a natural caffeine boost from the morning coffee that they've had before they start their daily activities.,"In areas with high altitude, the early risers get a boost of oxygen and therefore more energy.","To he who rises early, God helps him",D,"If you sail just as the sun rises over the sea, wind will help you on your voyage.","In areas with high altitude, the early risers get a boost of oxygen and therefore more energy.",It is assumed that early risers are more prone to getting a natural caffeine boost from the morning coffee that they've had before they start their daily activities.,"""Porque a los que madrugar con el sol al filo del mar, el viento les ayuda en su crucero."" 
[""If you sail just as the sun rises over the sea, wind will help you on your voyage."", ""In areas with high altitude, the early risers get a boost of oxygen and therefore more energy."", ""It is assumed that early risers are more prone to getting a natural caffeine boost from the morning coffee that they've ha",1.0,1.0,2.62,0.93,97.9
