task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_xl,French,MID0001,L’habit ne fait pas le moine,The vestment does not make the monk,The vestment does not make the monk,False,The vestment does not make the monk.,"The habit doesn't make a good nurse,","The habit doesn't make a monk a good musician,",The vestment does not make the monk,D,The vestment does not make the monk.,"The habit doesn't make a good nurse,","The habit doesn't make a monk a good musician,","L'habit ne fait pas le moine translates to ""The vestment does not make the monk."" 
Here are three plausible but wrong literal interpretations:

[ ""The habit doesn't make a good nurse,"" ""The habit doesn't make a monk a good musician,"" ""The habit doesn't make a monk a good chef"" ]",1.0,1.0,1.1,0.66,89.8
a,cot_xl,French,MID0002,Qui vivra verra,"He/she who lives, shall see.","He/she who lives, shall see.",False,,,,,,,,,"A person who lives in a cave might see less sunlight and, therefore, the outside world more clearly. 
The phrase could also imply that the person who lives with bad eyesight will need glasses, and therefore, will see everything more clearly. 
A person who lives on a high floor might see better than someone who lives on the ground floor.",0.0,0.0,0.0,0.0,0.0
a,cot_xl,French,MID0003,Chacun voit midi à sa porte,Each person sees noon at his/her door.,Each person sees noon at his/her door.,False,Each person sees noon at his/her door.,They live in an apartment that's exactly 12 o'clock hours away from their workplace.,They have a clock on their front door to see the exact time of noon.,They have a direct view of the clock tower at noon.,A,They have a clock on their front door to see the exact time of noon.,They have a direct view of the clock tower at noon.,They live in an apartment that's exactly 12 o'clock hours away from their workplace.,"Chacun voit midi à sa porte. Each person sees noon at his/her door.

This proverb warns that people often think their personal problems or concerns are the most important ones, but this isn't necessarily true.

Here are 3 plausible but wrong literal interpretations:

[""They have a clock on their front door to see the exact time of noon."", 
""They have a direct view of the clock tower at noon."", 
""T",1.0,1.0,1.9,0.84,95.2
a,cot_xl,French,MID0004,Mieux vaut prévenir que guérir,It’s better to prevent than to heal.,It’s better to prevent than to heal.,False,Healing is better at preventing,The war will heal,It’s better to prevent than to heal.,The cure is in the prevention of,C,The war will heal,Healing is better at preventing,The cure is in the prevention of,"Mieux vaut prévenir que guérir - C'est mieux de faire de la prévention à guerre en préparant une guérilla.
[""The war will heal"", ""Healing is better at preventing"", ""The cure is in the prevention of""]",1.0,0.6666666666666666,0.76,0.93,87.9
a,cot_xl,French,MID0005,"Qui n’avance pas, recule","Who does not move forward, recedes.","Who does not move forward, recedes.",False,"Who does not advance in time, is left behind.","Who does not move forward, recedes.","Who does not advance in line, is pushed back.","Who does not advance in health, will fall back to illness.",B,"Who does not advance in line, is pushed back.","Who does not advance in time, is left behind.","Who does not advance in health, will fall back to illness.","Qui n'avance pas, recule: ""Who does not advance in their age, retreats backwards.""

[""Who does not advance in line, is pushed back."", ""Who does not advance in time, is left behind."", ""Who does not advance in health, will fall back to illness.""]",1.0,1.0,1.61,0.61,88.3
a,cot_xl,French,MID0006,Il ne faut pas se fier aux apparences,One should not trust appearances.,One should not trust appearances.,False,,,,,,,,,"Il ne faut pas se fier aux apparences - One should not trust appearances.

One might incorrectly interpret that:
- [""You should not trust people with face paint.""]",0.0,0.0,0.0,0.0,0.0
a,cot_xl,French,MID0007,"Petit à petit, l’oiseau fait son nid","Little by little, the bird makes its nest.","Little by little, the bird makes its nest.",False,"The bird, being small, is the only one able to consume food that will later be used to build its nest.","The little one is the main food of the bird and, over time, it makes its nest from the food it consumes.","The little child is the main food of the bird and, over time, it makes its nest in order to feed itself.","Little by little, the bird makes its nest.",D,"The little one is the main food of the bird and, over time, it makes its nest from the food it consumes.","The little child is the main food of the bird and, over time, it makes its nest in order to feed itself.","The bird, being small, is the only one able to consume food that will later be used to build its nest.","Le petit est la principale nourriture de l'oiseau et, au fil du temps, il fait son nid à partir des aliments qu'il consomme.

[""The little one is the main food of the bird and, over time, it makes its nest from the food it consumes."", ""The little child is the main food of the bird and, over time, it makes its nest in order to feed itself."", ""The bird, being small, is the only one able to consume f",1.0,1.0,2.71,0.69,90.7
a,cot_xl,French,MID0008,"Aussitôt dit, aussitôt fait","As soon as said, as soon as done.","As soon as said, as soon as done.",False,"Aussitôt dit, aussitôt fait is a warning to always wear shoes in a house.",The phrase means to immediately take a picture once a statement is made.,"As soon as said, as soon as done.","The proverb is about the speed of saying and doing a specific sport, like tennis or golf.",C,The phrase means to immediately take a picture once a statement is made.,"Aussitôt dit, aussitôt fait is a warning to always wear shoes in a house.","The proverb is about the speed of saying and doing a specific sport, like tennis or golf.","[""The phrase means to immediately take a picture once a statement is made."", ""Aussitôt dit, aussitôt fait is a warning to always wear shoes in a house."", ""The proverb is about the speed of saying and doing a specific sport, like tennis or golf.""]",1.0,1.0,1.83,0.89,96.7
a,cot_xl,French,MID0009,Bien mal acquis ne profite jamais,A badly acquired good never benefits.,A badly acquired good never benefits.,False,wrong literal 1,wrong literal 3,A badly acquired good never benefits.,wrong literal 2,C,wrong literal 1,wrong literal 2,wrong literal 3,"Bien mal acquis ne profite jamais est une métaphore qui énonce que les avantages résultant d'une action mal intentionnée ou contraire à l'éthique ne se concrétisent jamais, au lieu d'une mauvaise acquisition.

[""wrong literal 1"", ""wrong literal 2"", ""wrong literal 3""]",1.0,0.0,0.5,0.5,55.0
a,cot_xl,French,MID0010,"Qui court deux lièvres à la fois, n’en prend aucun","Who runs after two hares at the same time, catches none.","Who runs after two hares at the same time, catches none.",False,"Who runs after two hares at the same time, catches none.",The athlete who runs at a pace of two rabbits will never be a champion.,He who chases after two rabbits in the same direction will catch none.,A person running between two sets of stairs won't catch any elevator.,A,He who chases after two rabbits in the same direction will catch none.,A person running between two sets of stairs won't catch any elevator.,The athlete who runs at a pace of two rabbits will never be a champion.,"[""He who chases after two rabbits in the same direction will catch none."", ""A person running between two sets of stairs won't catch any elevator."", ""The athlete who runs at a pace of two rabbits will never be a champion.""]",1.0,1.0,1.21,0.85,95.5
a,cot_xl,French,MID0011,"Mangez bien, riez souvent, aimez beaucoup","Eat well, laugh often, love abundantly.","Eat well, laugh often, love abundantly.",False,,,,,,,,,"A wrong literal reading could be that the proverb is advising people to eat well by eating the laughter of others, which would imply some kind of cannibalism.

A wrong literal reading could be that the proverb is encouraging people to love abundantly by loving much (a large quantity of) buckets.

A wrong literal reading could be that the proverb is telling people to laugh often by using a device t",0.0,0.0,0.0,0.0,0.0
a,cot_xl,French,MID0012,"À jeune chasseur, il faut un vieux chien","For the young hunter, an old dog is needed.","For the young hunter, an old dog is needed.",False,vieux chien," rather than the typical animal)
- For young people, a hunting license is required. (misinterpreting ",young people,"For the young hunter, an old dog is needed.",D," rather than the typical animal)
- For young people, a hunting license is required. (misinterpreting ",young people,vieux chien,"À jeune chasseur, il faut un vieux chien. 

- A young hunter must eat an old dog. (literally a dog)
- A young hunter's job requires an old hunting season. (assuming ""chien"" as ""season"" rather than the typical animal)
- For young people, a hunting license is required. (misinterpreting ""jeune chasseur"" as ""young people"", and ""vieux chien"" as a form of required license.)",1.0,0.3333333333333333,0.7,0.98,79.4
a,cot_xl,French,MID0013,"Après la pluie, le beau temps","After the rain, good weather.","After the rain, good weather.",False,"After the rain, good weather.",The rain comes after the first 3 seasons,Good weather refers solely to a brief moment in life,Rain means the time when you cry,A,The rain comes after the first 3 seasons,Rain means the time when you cry,Good weather refers solely to a brief moment in life,"Après la pluie, le beau temps. 

Après, le temps s&#39;écoule en 4 saisons en un an, donc la pluie arrive après les 3 premières saisons.

Pluie, ça signifie le temps où tu pleures.

Beau temps, ça fait penser à la beauté d&#39;un temps qui est juste un moment, pas la vie entière.

[""The rain comes after the first 3 seasons"", ""Rain means the time when you cry"", ""Good weather refers solely to a brie",1.0,1.0,1.67,0.94,98.2
