metric,value
total_cost_usd,0.853899
n_mcqs,180
cost_per_mcq_usd,0.004744
cost_per_language_usd,0.284633
cost_per_variant_usd,0.213475
n_generators_active,3
n_auditors_active,4
total_audit_votes,720
cost_per_audit_vote_usd,0.001186
generation_calls_estimate,540
audit_calls_estimate,720
total_api_calls_estimate,1260
cost_arabic_usd,0.284633
n_arabic,60
cost_english_usd,0.284633
n_english,60
cost_yoruba_usd,0.284633
n_yoruba,60
cost_adversarial-hard-negative_usd_estimate,0.213475
n_adversarial-hard-negative,45
cost_adversarial-length-locked_usd_estimate,0.213475
n_adversarial-length-locked,45
cost_overgenerate-select_usd_estimate,0.213475
n_overgenerate-select,45
cost_taxonomy-guided_usd_estimate,0.213475
n_taxonomy-guided,45
