lang,hit
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,1
English,0
English,0
English,0
English,0
English,0
English,0
English,1
English,0
English,0
English,1
English,0
English,0
English,1
English,0
English,0
English,0
English,0
English,0
English,0
English,1
English,1
English,0
English,0
English,0
English,1
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,1
English,0
English,0
English,0
English,1
English,0
English,1
English,0
English,0
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,1
Yoruba,1
Yoruba,1
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,1
Yoruba,1
Yoruba,1
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,0
Yoruba,1
Yoruba,0
Yoruba,0
Yoruba,1
Yoruba,0
Arabic,0
Arabic,0
Arabic,1
Arabic,1
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,1
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,1
Arabic,1
Arabic,0
Arabic,1
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,1
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,0
Arabic,1
Arabic,0
Arabic,0
Arabic,1
Arabic,0
Arabic,0
Arabic,1
Arabic,1
Arabic,1
Arabic,0
Arabic,0
