task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,zs,German,MID0001,Aller Anfang ist schwer,All beginnings are difficult,Starting something new is always the hardest part — perseverance is key.,True,"Germans believe that if the start is too hard, it's wise to wait for supernatural signs before continuing.",Starting something new is always the hardest part — perseverance is key.,Starting quickly without preparation shows true courage and is admired in German culture.,Difficulty at the beginning of a task is seen as a sign that one should choose a different path.,B,Starting quickly without preparation shows true courage and is admired in German culture.,Difficulty at the beginning of a task is seen as a sign that one should choose a different path.,"Germans believe that if the start is too hard, it's wise to wait for supernatural signs before continuing.","{""1"": [""Starting quickly without preparation shows true courage and is admired in German culture."", ""Difficulty at the beginning of a task is seen as a sign that one should choose a different path."", ""Germans believe that if the start is too hard, it's wise to wait for supernatural signs before continuing.""], ""2"": [""The apple not falling far from the tree means that siblings always compete for the",1.0,1.0,1.39,0.95,98.5
b,zs,German,MID0002,Der Apfel fällt nicht weit vom Stamm,The apple does not fall far from the tree,"Children often resemble their parents in character, behavior, or talents.",True,The apple not falling far from the tree means that siblings always compete for the same resources.,It suggests that people who stay close to their hometown are morally superior to those who move away.,"Children often resemble their parents in character, behavior, or talents.",This proverb is used to justify strict inheritance laws favoring eldest sons in German tradition.,C,The apple not falling far from the tree means that siblings always compete for the same resources.,This proverb is used to justify strict inheritance laws favoring eldest sons in German tradition.,It suggests that people who stay close to their hometown are morally superior to those who move away.,"{""1"": [""Starting quickly without preparation shows true courage and is admired in German culture."", ""Difficulty at the beginning of a task is seen as a sign that one should choose a different path."", ""Germans believe that if the start is too hard, it's wise to wait for supernatural signs before continuing.""], ""2"": [""The apple not falling far from the tree means that siblings always compete for the",1.0,1.0,1.67,0.98,99.4
b,zs,German,MID0003,Besser spät als nie,Better late than never,It's better to do something (even delayed) than never do it at all.,True,This phrase encourages delaying actions to gather more resources and prestige.,It's better to do something (even delayed) than never do it at all.,Germans use this to justify last-minute decision-making as a form of strategic patience.,Being late is actually preferred in German social settings to show independence.,B,Being late is actually preferred in German social settings to show independence.,This phrase encourages delaying actions to gather more resources and prestige.,Germans use this to justify last-minute decision-making as a form of strategic patience.,"{""1"": [""Starting quickly without preparation shows true courage and is admired in German culture."", ""Difficulty at the beginning of a task is seen as a sign that one should choose a different path."", ""Germans believe that if the start is too hard, it's wise to wait for supernatural signs before continuing.""], ""2"": [""The apple not falling far from the tree means that siblings always compete for the",1.0,1.0,0.92,0.94,98.2
b,zs,German,MID0004,Der frühe Vogel fängt den Wurm,The early bird catches the worm,Diligence and starting early bring success and advantages.,True,Diligence and starting early bring success and advantages.,This proverb mocks overachievers and warns against exhausting oneself for small gains.,"It implies that worms are only available at night, so true success comes to the night owl.","The early bird catches the worm, so staying up late is considered more productive than waking early.",A,"The early bird catches the worm, so staying up late is considered more productive than waking early.",This proverb mocks overachievers and warns against exhausting oneself for small gains.,"It implies that worms are only available at night, so true success comes to the night owl.","{""1"": [""Starting quickly without preparation shows true courage and is admired in German culture."", ""Difficulty at the beginning of a task is seen as a sign that one should choose a different path."", ""Germans believe that if the start is too hard, it's wise to wait for supernatural signs before continuing.""], ""2"": [""The apple not falling far from the tree means that siblings always compete for the",1.0,1.0,1.92,0.98,99.4
b,zs,German,MID0005,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",Don't put off until tomorrow what you can do today,Act promptly — procrastination leads to problems.,True,Act promptly — procrastination leads to problems.,Procrastination is valued as a way to test the true urgency and importance of a task.,"Delaying tasks allows group consensus to form, which is more important than individual initiative.",This reflects a belief that tomorrow’s technology will make today’s efforts obsolete.,A,This reflects a belief that tomorrow’s technology will make today’s efforts obsolete.,Procrastination is valued as a way to test the true urgency and importance of a task.,"Delaying tasks allows group consensus to form, which is more important than individual initiative.","{""1"": [""Starting quickly without preparation shows true courage and is admired in German culture."", ""Difficulty at the beginning of a task is seen as a sign that one should choose a different path."", ""Germans believe that if the start is too hard, it's wise to wait for supernatural signs before continuing.""], ""2"": [""The apple not falling far from the tree means that siblings always compete for the",1.0,1.0,2.0,0.96,98.8
b,zs,German,MID0006,Übung macht den Meister,Practice makes perfect,Mastery comes from repeated effort and experience.,True,Mastery comes from repeated effort and experience.,Mastery is achieved only when one achieves perfection on the first attempt.,Practice should be avoided to preserve natural talent.,"Perfection is a birthright, not something earned through repetition.",A,Mastery is achieved only when one achieves perfection on the first attempt.,Practice should be avoided to preserve natural talent.,"Perfection is a birthright, not something earned through repetition.","{""1"": [""Mastery is achieved only when one achieves perfection on the first attempt."", ""Practice should be avoided to preserve natural talent."", ""Perfection is a birthright, not something earned through repetition.""], ""2"": [""Manure from small animals is more valuable than that from large animals."", ""Only large contributions matter in the long run."", ""Small failures accumulate to create greater ruin",1.0,1.0,1.38,0.96,98.8
b,zs,German,MID0007,Kleinvieh macht auch Mist,Small cattle also make manure,Small contributions or efforts add up to something significant over time.,True,Small failures accumulate to create greater ruin.,Manure from small animals is more valuable than that from large animals.,Small contributions or efforts add up to something significant over time.,Only large contributions matter in the long run.,C,Manure from small animals is more valuable than that from large animals.,Only large contributions matter in the long run.,Small failures accumulate to create greater ruin.,"{""1"": [""Mastery is achieved only when one achieves perfection on the first attempt."", ""Practice should be avoided to preserve natural talent."", ""Perfection is a birthright, not something earned through repetition.""], ""2"": [""Manure from small animals is more valuable than that from large animals."", ""Only large contributions matter in the long run."", ""Small failures accumulate to create greater ruin",1.0,1.0,0.82,0.96,98.8
b,zs,German,MID0008,Man soll den Tag nicht vor dem Abend loben,Don't praise the day before the evening,Don't celebrate success too early — wait until the outcome is certain.,True,Praising the day early shows confidence in divine protection.,Evening is less important than the morning in daily planning.,One should always celebrate early to maintain morale.,Don't celebrate success too early — wait until the outcome is certain.,D,One should always celebrate early to maintain morale.,Evening is less important than the morning in daily planning.,Praising the day early shows confidence in divine protection.,"{""1"": [""Mastery is achieved only when one achieves perfection on the first attempt."", ""Practice should be avoided to preserve natural talent."", ""Perfection is a birthright, not something earned through repetition.""], ""2"": [""Manure from small animals is more valuable than that from large animals."", ""Only large contributions matter in the long run."", ""Small failures accumulate to create greater ruin",1.0,1.0,0.75,0.94,98.2
b,zs,German,MID0009,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",He who does not honor the penny is not worth the dollar,Value small things and be frugal — wastefulness leads to poverty.,True,Value small things and be frugal — wastefulness leads to poverty.,"Frugality is a sign of weakness, not strength.",Disrespecting coins brings good luck in gambling.,Only the wealthy deserve to handle small currency.,A,Only the wealthy deserve to handle small currency.,Disrespecting coins brings good luck in gambling.,"Frugality is a sign of weakness, not strength.","{""1"": [""Mastery is achieved only when one achieves perfection on the first attempt."", ""Practice should be avoided to preserve natural talent."", ""Perfection is a birthright, not something earned through repetition.""], ""2"": [""Manure from small animals is more valuable than that from large animals."", ""Only large contributions matter in the long run."", ""Small failures accumulate to create greater ruin",1.0,1.0,0.7,1.0,100.0
b,zs,German,MID0010,"Was Hänschen nicht lernt, lernt Hans nimmermehr","What little Hans doesn't learn, big Hans will never learn",Habits and knowledge formed in childhood are hard to change later.,True,Adults can easily relearn everything they missed as children with no effort.,Habits and knowledge formed in childhood are hard to change later.,Childhood education is irrelevant in modern society.,Old habits are quickly discarded regardless of when they were formed.,B,Adults can easily relearn everything they missed as children with no effort.,Childhood education is irrelevant in modern society.,Old habits are quickly discarded regardless of when they were formed.,"{""1"": [""Mastery is achieved only when one achieves perfection on the first attempt."", ""Practice should be avoided to preserve natural talent."", ""Perfection is a birthright, not something earned through repetition.""], ""2"": [""Manure from small animals is more valuable than that from large animals."", ""Only large contributions matter in the long run."", ""Small failures accumulate to create greater ruin",1.0,1.0,0.91,0.98,99.4
b,zs,German,MID0011,Der Weg zur Hölle ist mit guten Vorsätzen gepflastert,The road to hell is paved with good intentions,Good intentions alone are not enough — action matters.,True,"People who fail were likely doomed from the start, regardless of intent.",Good intentions alone are not enough — action matters.,"Good intentions should always be celebrated, no matter the outcome.",Hell is actually a place for well-meaning but misguided individuals.,B,"Good intentions should always be celebrated, no matter the outcome.","People who fail were likely doomed from the start, regardless of intent.",Hell is actually a place for well-meaning but misguided individuals.,"{""1"": [""Good intentions should always be celebrated, no matter the outcome."", ""People who fail were likely doomed from the start, regardless of intent."", ""Hell is actually a place for well-meaning but misguided individuals.""], ""2"": [""Long speeches are inherently more respectful and thoughtful."", ""The shorter something is, the less serious it must be."", ""Wit is only valuable when it's complex and e",1.0,1.0,1.19,0.98,99.4
b,zs,German,MID0012,In der Kürze liegt die Würze,Brevity is the soul of wit,Keep things short and to the point — conciseness is powerful.,True,Long speeches are inherently more respectful and thoughtful.,"The shorter something is, the less serious it must be.",Keep things short and to the point — conciseness is powerful.,Wit is only valuable when it's complex and elaborate.,C,Long speeches are inherently more respectful and thoughtful.,"The shorter something is, the less serious it must be.",Wit is only valuable when it's complex and elaborate.,"{""1"": [""Good intentions should always be celebrated, no matter the outcome."", ""People who fail were likely doomed from the start, regardless of intent."", ""Hell is actually a place for well-meaning but misguided individuals.""], ""2"": [""Long speeches are inherently more respectful and thoughtful."", ""The shorter something is, the less serious it must be."", ""Wit is only valuable when it's complex and e",1.0,1.0,0.82,0.98,99.4
b,zs,German,MID0013,Kein Rauch ohne Flamme,No smoke without fire,Rumors or accusations usually have some basis in truth.,True,All rumors are baseless if not officially confirmed.,"Fire is caused by rumors, not the other way around.",Rumors or accusations usually have some basis in truth.,"Where there's smoke, someone must be lying.",C,All rumors are baseless if not officially confirmed.,"Where there's smoke, someone must be lying.","Fire is caused by rumors, not the other way around.","{""1"": [""Good intentions should always be celebrated, no matter the outcome."", ""People who fail were likely doomed from the start, regardless of intent."", ""Hell is actually a place for well-meaning but misguided individuals.""], ""2"": [""Long speeches are inherently more respectful and thoughtful."", ""The shorter something is, the less serious it must be."", ""Wit is only valuable when it's complex and e",1.0,1.0,0.93,0.98,99.4
