Sample_ID,source_text,english_translation,Cultural_Context
MID0001,Aller Anfang ist schwer,All beginnings are difficult,Starting something new is always the hardest part — perseverance is key.
MID0002,Der Apfel fällt nicht weit vom Stamm,The apple does not fall far from the tree,"Children often resemble their parents in character, behavior, or talents."
MID0003,Besser spät als nie,Better late than never,It's better to do something (even delayed) than never do it at all.
MID0004,Der frühe Vogel fängt den Wurm,The early bird catches the worm,Diligence and starting early bring success and advantages.
MID0005,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",Don't put off until tomorrow what you can do today,Act promptly — procrastination leads to problems.
MID0006,Übung macht den Meister,Practice makes perfect,Mastery comes from repeated effort and experience.
MID0007,Kleinvieh macht auch Mist,Small cattle also make manure,Small contributions or efforts add up to something significant over time.
MID0008,Man soll den Tag nicht vor dem Abend loben,Don't praise the day before the evening,Don't celebrate success too early — wait until the outcome is certain.
MID0009,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",He who does not honor the penny is not worth the dollar,Value small things and be frugal — wastefulness leads to poverty.
MID0010,"Was Hänschen nicht lernt, lernt Hans nimmermehr","What little Hans doesn't learn, big Hans will never learn",Habits and knowledge formed in childhood are hard to change later.
MID0011,Der Weg zur Hölle ist mit guten Vorsätzen gepflastert,The road to hell is paved with good intentions,Good intentions alone are not enough — action matters.
MID0012,In der Kürze liegt die Würze,Brevity is the soul of wit,Keep things short and to the point — conciseness is powerful.
MID0013,Kein Rauch ohne Flamme,No smoke without fire,Rumors or accusations usually have some basis in truth.
MID0014,"Wer A sagt, muss auch B sagen",He who says A must also say B,"If you start something, you must see it through or accept the consequences."
MID0015,"Der Mensch denkt, Gott lenkt","Man proposes, God disposes","People can plan, but fate or higher powers determine the outcome."
MID0016,"Was lange währt, wird endlich gut",What lasts long becomes good in the end,Good things take time — patience brings quality results.
MID0017,"Erst kommt das Fressen, dann die Moral","First comes eating, then morality",Basic needs must be met before higher values or ethics can be considered.
MID0018,Not macht erfinderisch,Necessity is the mother of invention,Hardship or need sparks creativity and solutions.
MID0019,"Der Geist ist willig, aber das Fleisch ist schwach",The spirit is willing but the flesh is weak,"Good intentions are easy, but carrying them out is hard due to human weakness."
MID0020,Steter Tropfen höhlt den Stein,Constant dripping wears away the stone,Persistent small efforts eventually achieve big results.
MID0021,Der Weg ist das Ziel,The journey is the goal,The process and experience matter more than the destination.
MID0022,Kleider machen Leute,Clothes make the man,Appearance and presentation influence how people perceive you.
MID0023,"Was man nicht im Kopfe hat, muss man in den Beinen haben",What you don't have in your head you must have in your legs,"If you're forgetful or disorganized, you end up doing extra work."
MID0024,Man lernt nie aus,One never stops learning,Learning is a lifelong process — stay humble and open.
MID0025,Der Schein trügt,Appearances deceive,Things are not always as they seem — don't judge by surface.
MID0026,Alle Wege führen nach Rom,All roads lead to Rome,There are many ways to achieve the same goal.
MID0027,Das Leben ist kein Ponyhof,Life is not a pony farm,Life is hard and full of disappointments — no sugarcoating.
MID0028,"Erst denken, dann handeln","First think, then act",Consider consequences before acting impulsively.
MID0029,"Wer rastet, der rostet","He who rests, rusts",Inactivity leads to decline — stay active and engaged.
MID0030,Das Auge isst mit,The eye eats too,Food looks better when presented well — presentation matters.
MID0101,"Reden ist Silber, Schweigen ist Gold","Speech is silver, silence is gold",Silence is often more valuable than speaking — knowing when to stay quiet shows wisdom.
MID0102,"Wer nicht hören will, muss fühlen",He who doesn't want to hear must feel,"If someone ignores advice or warnings, they will learn the hard way through consequences."
MID0103,"Der Krug geht so lange zum Brunnen, bis er bricht",The jug goes to the well so often until it breaks,Bad habits or risky behavior eventually lead to failure or punishment.
MID0104,Ein Unglück kommt selten allein,Misfortune rarely comes alone,Bad things tend to happen in clusters — one problem often leads to more.
MID0105,Der Mensch ist ein Gewohnheitstier,Man is a creature of habit,People tend to stick to routines and patterns — change is difficult.
MID0531,Krummes Holz gibt auch gerades Feuer,Crooked wood also makes straight fire,Even imperfect or flawed materials can produce good results — make the best of what you have.
MID0532,Des Teufels liebstes Möbelstück ist die lange Bank,The devil’s favorite piece of furniture is the long bench,Procrastination is the devil’s tool — delaying tasks leads to trouble.
MID0533,Selbst ist der Mann,Self is the man,Do it yourself — self-reliance and independence are highly valued.
MID0534,Ich kriege so eine Krawatte,I get such a tie,I’m getting so annoyed or angry (colloquial expression for irritation).
MID0535,Bis über beide Ohren verliebt sein,To be over both ears in love,"To be completely, head-over-heels in love."
MID0536,Die beleidigte Leberwurst spielen,To play the offended liver sausage,To sulk or overreact dramatically to something small.
MID0537,Der Hunger kommt beim Essen,Appetite comes while eating,Motivation and energy grow once you start working on something.
MID0538,Sich die Wurst vom Brot nehmen lassen,To let someone take the sausage off your bread,To let someone take advantage of you or walk all over you.
MID0539,Das ist mir Wurst,That is sausage to me,I don’t care / it doesn’t matter to me.
MID0540,Um den heißen Brei herumreden,To talk around the hot porridge,To beat around the bush instead of speaking directly.
MID0541,Du gehst mir auf den Keks,You’re getting on my cookie,You’re annoying me or getting on my nerves.
MID0542,Das ist nicht mein Bier,That’s not my beer,That’s not my problem / not my concern.
MID0543,Dienst ist Dienst und Schnaps ist Schnaps,Work is work and liquor is liquor,Separate professional duty from personal pleasure — keep boundaries.
MID0544,Da steppt der Bär,There the bear is stepping,It’s lively / the party is happening / things are really going on.
MID0545,"Wenn der Reiter nichts taugt, ist das Pferd schuld","If the rider is no good, it’s the horse’s fault",Blaming tools or others for your own failure or incompetence.
MID0546,Wer zwei Hasen auf einmal jagt bekommt keinen,He who chases two hares at once catches none,Don’t divide your attention — focus on one task at a time.
MID0547,Kümmere Dich nicht um ungelegte Eier,Don’t worry about eggs that haven’t been laid yet,Don’t worry about future problems that haven’t happened yet.
MID0548,Du siehst den Wald vor lauter Bäumen nicht,You don’t see the forest for all the trees,You’re missing the big picture by focusing on small details.
MID0549,Bäume wachsen nicht in den Himmel,Trees don’t grow into the sky,There are natural limits to growth or ambition.
MID0550,Gut Ding will Weile haben,Good things take time,Quality work or results require patience and time.
MID0551,Aus Schaden wird man klug,From damage one becomes wise,Mistakes and failures are the best teachers.
MID0552,Taten sagen mehr als Worte,Actions speak louder than words,What you do is more important than what you say.
MID0553,Das Billige ist immer das Teuerste,The cheap is always the most expensive,Buying low-quality things ends up costing more in the long run.
MID0554,"Anfangen ist leicht, Beharren eine Kunst","Starting is easy, persistence is an art",The real skill is finishing what you start.
MID0555,"Man muss die Dinge nehmen, wie sie kommen",You have to take things as they come,Accept life’s events without resistance or over-worrying.
MID0581,"Alle wissen guten Rath, Nur nicht, wer ihn nöthig hat","Everyone knows good advice, but not the one who needs it",Advice is easy to give to others but hard to follow when you need it yourself.
MID0582,Allein ist besser als mit Schlechten im Verein,Better alone than in bad company,"Solitude is preferable to bad company, but good company is better than being alone."
MID0583,Am vielen Lachen erkennt man den Narren,A fool is ever laughing,Fools are recognized by their constant laughter and lack of seriousness.
MID0584,An den Früchten erkennt man den Baum,The apple does not fall far from the tree,Children resemble their parents in behavior and character.
MID0585,"Anfangen ist leicht, beharren eine Kunst","To begin is easy, to persist is an art","Starting something is simple, but continuing and finishing requires skill and discipline."
MID0586,Angebotene Waare stinkt,Proffered service stinks,Unsolicited offers are often unwelcome or suspicious.
MID0587,"Arzt, hilf dir selber","Physician, heal thyself",Do not criticize others for faults you have yourself.
MID0588,Auch der kleinste Feind ist nicht zu verachten,There is no little enemy,Even small enemies or problems should not be underestimated.
MID0589,Auf einen groben Klotz gehört ein grober Keil,You must meet roughness with roughness,Respond to rudeness or harshness with equal firmness.
MID0590,"Aus den Augen, aus dem Sinn","Out of sight, out of mind",Things or people fade from memory when they are no longer visible.
MID0592,Aufgewärmter Kohl war niemals gut,Reheated cabbage was never good,Rehashing old issues or ideas rarely leads to good results.
MID0593,Aufschub bringt Gefahr,There is danger in delay,Postponing action can lead to missed opportunities or worse problems.
MID0594,Aus einer Mücke einen Elefanten machen,To make an elephant out of a fly,Exaggerating minor issues into major problems.
MID0595,"Bald geben, ist doppelt geben",He gives twice who gives quickly,Quick generosity or help has double the value.
MID0596,Bald reif hält nicht steif,"Early ripe, early rotten",Precocious success or talent is often short-lived.
MID0597,Barmherzigkeit fängt en zu Hause an,Charity begins at home,Help and kindness should start with your own family.
MID0598,Bedenke das Ende,"Whatever you do, act wisely, and consider the end",Always think about the consequences before acting.
MID0599,"Bedenke, dass du sterben musst",Remember that you must die,Contemplate mortality to live wisely.
MID0600,"Behüte mich Gott vor meinen Freunden, mit den Feinden will ich schon fertig werden","Defend me from my friends, from my enemies I can defend myself",Friends can sometimes cause more harm than enemies.
MID0601,Bei offener Kiste mag auch der Fromme ein Schalk werden,A nice wife and a back door oft make a rich man poor,Temptations in the home can lead to ruin.
MID0602,Berühre nicht alte Wunden,It is not wise to open old wounds,Avoid reopening past hurts or arguments.
MID0603,Besser arm in Ehren als reich in Schanden,Better poor in honor than rich in shame,Integrity and honor are more important than wealth gained dishonestly.
MID0604,"Besser ein Narr mit allen andern, als ein Weiser und allein",Better a fool with everyone else than a wise man and alone,It's better to fit in than to be isolated in wisdom.
MID0605,"Besser ein Spatz in der Hand, als eine Taube auf dem Dach",A bird in the hand is worth two in the bush,Certainty is better than risky prospects.
MID0606,Blinder Eifer ist Feuer ohne Licht,Zeal without knowledge is a runaway horse,Blind enthusiasm without understanding is dangerous.
MID0607,Blut ist dicker als Wasser,Blood is thicker than water,Family bonds are stronger than other relationships.
MID0608,Blödes Herz buhlt keine schöne Frau,Faint heart never won fair lady,Courage is needed to win affection or success.
MID0609,Böses mit Gutem vergelten,Repay evil with good,Respond to negativity with kindness.
MID0610,Da liegt der Hund begraben,To smell a rat,Suspect hidden problems or motives.
MID0611,"Das Auge sieht weit, der Verstand noch weiter",The eye looks but it is the mind that sees,Insight and understanding go beyond mere observation.
MID0612,Das Bessere ist der Feind des guten,Better is the enemy of good,Perfectionism can prevent completion of good work.
MID0613,Das Beste kommt selten hernach,The best is seldom the last,Good opportunities or results don't always come last.
MID0615,Das böse Gewissen verrät sich selbst,A guilty conscience needs no accuser,Guilt shows itself outwardly without needing accusation.
MID0616,"Das Eisen schmieden, solange es heiß ist",Strike while the iron is hot,Act at the right moment when conditions are favorable.
MID0617,Das Glück hilft den Kühnen,Fortune favors the bold,Courage and boldness bring success.
MID0618,Das Herz lügt nicht,The heart does not lie,Instinct and inner feeling are truthful.
MID0619,Das Kind mit dem Bade ausschütten,Don't throw out the child with the bath water,Avoid excess in correction — don't discard the good with the bad.
MID0620,"Das Pferd stirbt oft, ehe das Gras wächst",While the grass grows the steed starves,Delays in help or rewards cause loss.
MID0621,Das Weib ist des Mannes größtes Glück oder Unglück,Choose a wife rather by your ear than your eye,Character is more important than appearance in a partner.
MID0622,"Das Wort verhallt, die Schrift bleibt",Paper is forbearing,Written words endure while spoken ones fade.
MID0623,"Die zeiten änder sich, und wir ändern uns in ihnen",Times change and we are changed with them,Adaptation to change is necessary.
MID0624,Deine Wäsche wasche zu Hause,Don't wash your dirty linen in public,Handle private matters privately.
MID0625,"Dem Beichtwater, Arzt unt Advokaten darf man nichts verschweigen","Hide nothing from thy minister, physician and lawyer",Be honest with advisors and professionals.
MID0626,"Dem Hahn, der zu früh kräht, dreht man den Hals um",A cock that crows too early gets a twisted neck,Patience avoids premature action or punishment.
MID0627,Der Amboss erschrickt vor dem Hammer nicht,A good anvil does not fear the hammer,Strength and resilience withstand force.
MID0628,Der Fisch stinkt vom Kopf her,A fish stinks from the head,Problems originate from leadership or the top.
MID0629,"Der Geizige ist keinem gut, ihm selbst der Ärgste",The covetous man is good to none and worst to himself,Greed harms the greedy most.
MID0630,"Der Gesunde weiß nicht, wie reich er ist",Health is wealth,Good health is invaluable and often taken for granted.
MID0631,Alein ist besser als mit Schlechten im Verein,Better to be alone than in bad company,"It is preferable to be by oneself or in the company of good people rather than with bad ones, emphasizing the value of positive associations."
MID0632,Aller guten Dinge sind drei,All good things come in threes,"Good things or events often occur in sets of three, reflecting a cultural belief in triadic patterns and persistence."
MID0633,Alles ist seinen Preis wert,Everything is worth its price,Items or actions are valued according to what someone is willing to pay or the effort involved.
MID0634,Alles zu seiner Zeit,Everything in its season,"Tasks and events should be addressed at the appropriate time, highlighting patience and timing."
MID0635,Alte Füchse gehen schwer in die Falle,An old fox understands a trap,Experienced individuals are wary and difficult to deceive or catch.
MID0636,"Alte soll man ehren, Junge soll man lehren",Gray hairs are honorable; one should honor the old and teach the young,Respect for elders and education of youth are fundamental social duties.
MID0638,"Andere Länder, andere Sitten","Other countries, other customs","When in a foreign place, adapt to local customs and behaviors."
MID0703,Barmherzigkeit fängt zu Hause an,Charity begins at home,Help should start with one's own family or household.
MID0729,"Die Zeiten ändern sich, und wir ändern uns in ihnen",Times change and we are changed with them,Adaptation to changing times is essential for survival.
MID0732,Klappe zu. Affe tot.,Mouth shut. Monkey dead.,This is the end of the conversation (like 'and Bob’s your uncle!').
MID0734,Schwein gehabt,Pig had,To be lucky (have a stroke of luck).
MID0735,Jemanden etwas aus der Nase ziehen,To pull something out of someone’s nose,To tediously extract information from someone.
MID0736,Blau sein,To be blue,To be drunk.
MID0737,Nicht mehr alle Tassen im Schrank haben,To not have all the cups in the cupboard,To not be quite right in the head (crazy).
MID0738,Da wird ja der Hund in der Pfanne verrückt!,That will make the dog in the pan crazy!,When something is shocking or unbelievable (in a bad way).
MID0739,Einen Vogel haben,To have a bird,To be crazy.
MID0740,"Friede, Freude, Eierkuchen","Peace, joy, pancake","Love, peace and harmony (everything is perfect)."
MID0741,Eine Extrawurst haben,To have an extra sausage,To get special treatment.
MID0742,Seinen Senf dazugeben,To give his mustard,To give one’s opinion (unasked).
MID0744,Eine beleidigte Leberwurst zu spielen,To play the offended liver sausage,To react in an exaggerated or insulted manner during an argument.
MID0745,Ich verstehe nur Bahnhof,I only understand train station,I don’t understand (something complex or noisy).
MID0746,Butter bei die Fische,Butter at the fishes,Get to the point (make something complete and clear).
MID0747,Die besten Schwimmer ertrinken,The best swimmers drown,"Even experts can fail (work smarter, not harder)."
MID0752,Aus einem Stein ist schwer Öl pressen,It’s hard to press oil out of a stone,Impossible tasks (you can’t get blood from a stone).
MID0755,Die Arznei ist oft ärger als das Übel,The drug is often worse than the disease,The cure can be worse than the disease.
MID0756,Der Ertrinkende greift nach einem Strohhalm,The drowning man reaches for the drinking straw,Desperate people clutch at straws.
MID0757,"Gesunder Mann, reicher Mann",A healthy man is a rich man,Health is the greatest wealth.
MID0758,Den Teufel nicht an die Wand malen,Do not paint the devil on the wall,Do not assume something will go wrong before knowing the outcome.
MID0759,"Alles hat ein Ende, nur die Wurst hat zwei","Everything has an end, only the sausage has two",All things must come to an end.
MID0760,Morgenstund hat Gold im Mund,The morning hour has gold in its mouth,Waking up early allows people to be more productive and successful.
MID0764,Du siehst den Wald lauter Bäumen nicht,You do not see the forest for the trees,People must look at the bigger picture instead of focusing on just one small aspect.
MID0765,Kümmere dich nicht um ungelegte Eier,Don't count your chickens before they hatch,Remain realistic about expectations rather than hoping for something that might never come to fruition.
MID0766,"Lebe wie du kannst, nicht wie du willst","Live as you can, not as you want",You have to live in accordance to your opportunities and abilities.
