variant,mcq_id,language,sample_id,proverb,correct_meaning,correct_label,option_A,option_B,option_C,option_D,generation_status,fallback_count
baseline,baseline_Arabic_0,Arabic,865,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,A,Winds blow counter to what the ship wants.,"The dove is not bothered that one sets fire to the brush; the fire rages, and the bird flies away.",Planning is half of living.,"There is no cause for staggering about, except for the person pushing himself or herself. I",parse_fallback,0
baseline,baseline_Arabic_1,Arabic,185,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,B,One never arrives at the home of the ayò game without finding children.,Love is blind.,"The goat would wish that its kid was a hegoat, only God the King did not consent; the robust sheep would wish its lamb was a ram, only God the King would not agree; the big hen would wish its chick was a cock, only God the King would not grant her wish.","This is an ironic way of saying, “Truth does not necessarily prevail.",parse_fallback,0
baseline,baseline_Arabic_2,Arabic,161,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,C,Deal with a situation when it happens and not unnecessarily worry about it in advance.,A person might be overcome by trouble or adversity when least expected.,Charity begins at home.,Evil people give good people a bad name.,parse_fallback,0
baseline,baseline_Arabic_3,Arabic,179,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,D,It is human nature to maintain hope even in a trying or doubtful situation.,What is acquired without effort especially money is likely to be lost.,There is nothing that gets hard that does not eventually become soft.,A bird in the hand is worth two in the bush.,parse_fallback,0
baseline,baseline_Arabic_4,Arabic,296,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,A,A bad workman always blames his tools.,Shortness is an asset in dancing.,"Were it not for the fact that they were transported together, what would a goat want in the chicken’s stall? .",Even small gifts or payments are welcome.,parse_fallback,0
baseline,baseline_English_5,English,1611,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,B,Even negative attention can benefit by increasing visibility.,A person might be overcome by trouble or adversity when least expected.,The elderly person who acts his proper part will always be respected as an elder.,Trying to obtain everything will often result in gaining nothing.,parse_fallback,0
baseline,baseline_English_6,English,581,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",C,Inexperience squanders vitality.,The rain of one day conquers the drought.,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.","Facial scarification causes with a great deal of pain; when it heals, its beauty becomes one’s pride.",parse_fallback,0
baseline,baseline_English_7,English,987,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",D,An Ifá diviner-priest is never so hard up that he asks for yesterday’s sacrifice.,"It is a strong finish that matters most, even if one experiences a shaky start.","Were one’s child to resemble one, one would rejoice; the child of a Hausa man takes up the rope-weaving trade.","No rule or principle is perfectly inflexible, permanent, or unchanging .",parse_fallback,0
baseline,baseline_English_8,English,679,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,A,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",Two rams will not meet on a narrow bridge.,It is through resemblance that one knows those who are related.,parse_fallback,0
baseline,baseline_English_9,English,390,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",B,Your actions will determine your future outcomes.,"As long as the outcome is good, problems on the way don’t matter.",Grasp all lose all.,A masochistic woman hardens her head against her husband.,parse_fallback,0
