task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_xl,Yoruba,YOR0001,A di gàárì sílẹ́ ewúrẹ́ ńyọjú; ẹrù ìran rẹ́ ni?,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?","We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",False,"], 
[""The proverb means that people are preparing a saddle for a goat that has chosen to run long distances and is wondering if this long endurance affects the goat",A person is preparing a saddle for a goat that has volunteered to carry heavy loads. Does this saddle strain the goat,"], 
[""This proverb suggests that a person is putting a saddle on a goat and is puzzled that the goat","We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",D,A person is preparing a saddle for a goat that has volunteered to carry heavy loads. Does this saddle strain the goat,"], 
[""The proverb means that people are preparing a saddle for a goat that has chosen to run long distances and is wondering if this long endurance affects the goat","], 
[""This proverb suggests that a person is putting a saddle on a goat and is puzzled that the goat","[""A di gàárì sílẹ́ ewúrẹ́ ńyọjú; ẹrù ìran rẹ́ ni?"" means 'A person is preparing a saddle for a goat that has volunteered to carry heavy loads. Does this saddle strain the goat's lineage?'], 
[""The proverb means that people are preparing a saddle for a goat that has chosen to run long distances and is wondering if this long endurance affects the goat's family'], 
[""This proverb suggests that a pers",1.0,1.0,1.33,0.71,91.3
a,cot_xl,Yoruba,YOR0002,A fi ọ́ jọba ò ńṣàwúre; o fẹ́ẹ́ jẹ Ọlọ́run ni?,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?","You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",False,You're trying to crown a new king in a God-like ceremony.,You should give all your money to a king.,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",Making good-luck charms means you're a good singer now.,C,You should give all your money to a king.,Making good-luck charms means you're a good singer now.,You're trying to crown a new king in a God-like ceremony.,"[""You should give all your money to a king."", ""Making good-luck charms means you're a good singer now."", ""You're trying to crown a new king in a God-like ceremony.""]",1.0,1.0,0.57,0.9,97.0
a,cot_xl,Yoruba,YOR0003,"A fijó gba Awà; a fìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",False,Fighting will give you possession of Awà.,"By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?","When you dance, you obtain Awà.",Taking possession of Awà is only possible through the act of dancing or fighting.,B,"When you dance, you obtain Awà.",Fighting will give you possession of Awà.,Taking possession of Awà is only possible through the act of dancing or fighting.,"[reasoning]The proverb seems to imply that dancing, fighting, and taking possession of something called Awà might all be related or interchangeable actions. However, one might make the mistake of assuming that these actions are directly associated with the concept of Awà, rather than the result of taking possession of it.[/reasoning]
[""When you dance, you obtain Awà."", ""Fighting will give you poss",1.0,1.0,0.28,0.9,97.0
a,cot_xl,Yoruba,YOR0004,A gbé gàárì ọmọ ewúrẹ́ ńrojú; kì í ṣe ẹrù àgùntàn.,We lift a saddle and the goat scowls; it is no burden for a sheep.,We lift a saddle and the goat scowls; it is no burden for a sheep.,False,People try to calm down a goat by placing a sheep nearby but it doesn't work.,We lift a saddle and the goat scowls; it is no burden for a sheep.,A goat is upset about the quality of the saddle rather than its design for a goat.,"The saddle causes the goat to be grumpy, but it's just a normal goat being a goat.",B,"The saddle causes the goat to be grumpy, but it's just a normal goat being a goat.",People try to calm down a goat by placing a sheep nearby but it doesn't work.,A goat is upset about the quality of the saddle rather than its design for a goat.,"A saddle is placed on a goat. The goat is upset because it's a saddle designed for a goat. People then place a sheep near the goat, thinking its calmness will soothe the goat. The goat, however, continues to scowl and the people realize that the goat was not the issue all along.

[""The saddle causes the goat to be grumpy, but it's just a normal goat being a goat."", ""People try to calm down a goat ",1.0,1.0,1.11,0.85,95.5
a,cot_xl,Yoruba,YOR0005,A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,False,The king's hoe will damage your property.,You'll get injured by a king's farm tools.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,"When you live near a king, he'll cut your grass with a hoe.",C,"When you live near a king, he'll cut your grass with a hoe.",You'll get injured by a king's farm tools.,The king's hoe will damage your property.,"[""When you live near a king, he'll cut your grass with a hoe."", ""You'll get injured by a king's farm tools."", ""The king's hoe will damage your property.""]",1.0,1.0,0.49,0.94,98.2
a,cot_xl,Yoruba,YOR0006,A kì í bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.,One does not so fear death and disease that one asks that one’s child die before one.,One does not so fear death and disease that one asks that one’s child die before one.,False,One must not die before a disease does so that one's child will not die before one.,One should not fear death and disease so much that one tells one's child to die first.,"One should not fear death and disease, or else one's child will die before one.",One does not so fear death and disease that one asks that one’s child die before one.,D,One must not die before a disease does so that one's child will not die before one.,One should not fear death and disease so much that one tells one's child to die first.,"One should not fear death and disease, or else one's child will die before one.","[""One must not die before a disease does so that one's child will not die before one."", ""One should not fear death and disease so much that one tells one's child to die first."", ""One should not fear death and disease, or else one's child will die before one.""]",1.0,1.0,0.96,0.62,88.6
a,cot_xl,Yoruba,YOR0007,A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,False,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,One does not get angry with a rubbish dump because the trash is too loud.,The rubbish dump is so dirty that one should throw one's own rubbish into the bush.,"A rubbish dump cannot get angry with someone, so there's no need to discard one's rubbish into the bush.",A,One does not get angry with a rubbish dump because the trash is too loud.,The rubbish dump is so dirty that one should throw one's own rubbish into the bush.,"A rubbish dump cannot get angry with someone, so there's no need to discard one's rubbish into the bush.","A rubbish dump is a place where trash is collected, and it's unlikely that a person would get angry with it. Here are three plausible but wrong literal interpretations:

[""One does not get angry with a rubbish dump because the trash is too loud."", ""The rubbish dump is so dirty that one should throw one's own rubbish into the bush."", ""A rubbish dump cannot get angry with someone, so there's no need",1.0,1.0,1.04,0.75,92.5
a,cot_xl,Yoruba,YOR0008,A kì í bínú orí ká fi fìlà dé ìbàdí.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,False,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,The practice of wearing a cap to cover one's head is not recommended for angry individuals.,One should keep their cap on when they are sitting down because it helps protect their buttocks.,One should put their cap on the ground and use it as a container to hold valuables when they go to the market.,A,The practice of wearing a cap to cover one's head is not recommended for angry individuals.,One should keep their cap on when they are sitting down because it helps protect their buttocks.,One should put their cap on the ground and use it as a container to hold valuables when they go to the market.,"[""The practice of wearing a cap to cover one's head is not recommended for angry individuals."",
""One should keep their cap on when they are sitting down because it helps protect their buttocks."",
""One should put their cap on the ground and use it as a container to hold valuables when they go to the market.""]",1.0,1.0,1.1,0.86,95.8
a,cot_xl,Yoruba,YOR0009,A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ.,"One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.","One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.",False,"When night falls, a god becomes a house rat.","One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.","If you sacrifice to a god, house rats will take over your rafter shelves.",The god of sacrifice is a house rat.,B,The god of sacrifice is a house rat.,"When night falls, a god becomes a house rat.","If you sacrifice to a god, house rats will take over your rafter shelves.","[""The god of sacrifice is a house rat."", ""When night falls, a god becomes a house rat."", ""If you sacrifice to a god, house rats will take over your rafter shelves.""]",1.0,1.0,0.43,0.8,94.0
a,cot_xl,Yoruba,YOR0010,A kì í dàgbà má làáyà; ibi ayé bá báni là ńjẹ ẹ́.,One does not become an adult and yet lack courage; one lives life as it finds one.,One does not become an adult and yet lack courage; one lives life as it finds one.,False,One does not become an adult and yet lack courage; one lives life as it finds one.,"If you don't have courage, you can't be an adult",You can't be a coward when you're old,"In life, only adults are brave",A,"In life, only adults are brave",You can't be a coward when you're old,"If you don't have courage, you can't be an adult","[""In life, only adults are brave"", ""You can't be a coward when you're old"", ""If you don't have courage, you can't be an adult""]",1.0,1.0,0.47,0.93,97.9
