task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
a,YOR0001,Yoruba,B,A,,A,0
a,YOR0002,Yoruba,D,D,,D,1
a,YOR0003,Yoruba,D,D,,D,1
a,YOR0004,Yoruba,A,A,,A,1
a,YOR0005,Yoruba,C,C,,C,1
a,YOR0006,Yoruba,D,D,,D,1
a,YOR0007,Yoruba,C,A,,A,0
a,YOR0008,Yoruba,A,A,,A,1
a,YOR0009,Yoruba,D,A,,A,0
a,YOR0010,Yoruba,C,C,,C,1
a,YOR0011,Yoruba,D,A,,A,0
a,YOR0012,Yoruba,C,C,,C,1
a,YOR0013,Yoruba,C,A,,A,0
a,YOR0014,Yoruba,B,B,,B,1
a,YOR0015,Yoruba,C,A,,A,0
a,YOR0016,Yoruba,B,A,,A,0
a,YOR0017,Yoruba,A,A,,A,1
a,YOR0018,Yoruba,A,A,,A,1
a,YOR0019,Yoruba,C,C,,C,1
a,YOR0020,Yoruba,B,B,,B,1
a,YOR0021,Yoruba,B,B,,B,1
a,YOR0022,Yoruba,D,D,,D,1
a,YOR0023,Yoruba,D,D,,D,1
a,YOR0024,Yoruba,,A,,A,0
a,YOR0025,Yoruba,B,B,,B,1
a,YOR0026,Yoruba,B,B,,B,1
a,YOR0027,Yoruba,A,A,,A,1
a,YOR0028,Yoruba,D,D,,D,1
a,YOR0029,Yoruba,A,A,,A,1
a,YOR0030,Yoruba,C,C,,C,1
a,YOR0031,Yoruba,A,A,,A,1
a,YOR0032,Yoruba,C,C,,C,1
a,YOR0033,Yoruba,A,A,,A,1
a,YOR0034,Yoruba,C,C,,C,1
a,YOR0035,Yoruba,D,D,,D,1
a,YOR0036,Yoruba,C,A,,A,0
a,YOR0037,Yoruba,B,B,,B,1
a,YOR0038,Yoruba,C,C,,C,1
a,YOR0039,Yoruba,A,A,,A,1
a,YOR0040,Yoruba,C,A,,A,0
a,YOR0041,Yoruba,B,A,,A,0
a,YOR0042,Yoruba,D,D,,D,1
a,YOR0043,Yoruba,B,D,,D,0
a,YOR0044,Yoruba,C,C,,C,1
a,YOR0045,Yoruba,A,A,,A,1
a,YOR0046,Yoruba,B,A,,A,0
a,YOR0047,Yoruba,D,A,,A,0
a,YOR0048,Yoruba,A,A,,A,1
a,YOR0049,Yoruba,B,A,,A,0
a,YOR0050,Yoruba,C,A,,A,0
a,YOR0051,Yoruba,C,C,,C,1
a,YOR0052,Yoruba,D,D,,D,1
a,YOR0053,Yoruba,A,A,,A,1
a,YOR0054,Yoruba,A,A,,A,1
a,YOR0055,Yoruba,A,A,,A,1
a,YOR0056,Yoruba,A,A,A,A,1
a,YOR0057,Yoruba,C,C,,C,1
a,YOR0058,Yoruba,D,D,,D,1
a,YOR0059,Yoruba,C,A,,A,0
a,YOR0060,Yoruba,B,B,,B,1
a,YOR0061,Yoruba,D,D,,D,1
a,YOR0063,Yoruba,C,C,,C,1
a,YOR0064,Yoruba,C,C,,C,1
a,YOR0065,Yoruba,D,C,,C,0
a,YOR0066,Yoruba,D,A,,A,0
a,YOR0069,Yoruba,C,A,,A,0
a,YOR0062,Yoruba,B,A,,A,0
a,YOR0063,Yoruba,B,A,,A,0
a,YOR0067,Yoruba,A,A,,A,1
a,YOR0068,Yoruba,A,A,,A,1
a,YOR0071,Yoruba,D,A,,A,0
a,YOR0072,Yoruba,A,A,,A,1
a,YOR0073,Yoruba,D,C,,C,0
a,YOR0074,Yoruba,D,A,,A,0
a,YOR0075,Yoruba,B,A,,A,0
a,YOR0076,Yoruba,A,A,,A,1
a,YOR0078,Yoruba,D,D,,D,1
a,YOR0079,Yoruba,B,D,,D,0
a,YOR0080,Yoruba,C,A,,A,0
a,YOR0081,Yoruba,D,A,,A,0
a,YOR0082,Yoruba,C,C,,C,1
a,YOR0083,Yoruba,A,A,,A,1
a,YOR0084,Yoruba,A,A,,A,1
a,YOR0086,Yoruba,B,A,,A,0
a,YOR0087,Yoruba,C,D,,D,0
a,YOR0088,Yoruba,B,B,,B,1
a,YOR0089,Yoruba,D,A,,A,0
a,YOR0091,Yoruba,C,A,,A,0
a,YOR0092,Yoruba,A,A,,A,1
a,YOR0093,Yoruba,D,A,,A,0
a,YOR0094,Yoruba,C,C,,C,1
a,YOR0095,Yoruba,D,D,,D,1
a,YOR0096,Yoruba,B,A,,A,0
a,YOR0097,Yoruba,D,D,,D,1
a,YOR0098,Yoruba,D,A,,A,0
a,YOR0099,Yoruba,C,C,,C,1
a,YOR0100,Yoruba,A,A,,A,1
a,YOR0101,Yoruba,C,C,,C,1
a,YOR0103,Yoruba,B,B,,B,1
a,YOR0104,Yoruba,C,A,,A,0
a,YOR0105,Yoruba,D,D,,D,1
a,YOR0106,Yoruba,B,A,,A,0
a,YOR0107,Yoruba,A,A,,A,1
a,YOR0108,Yoruba,A,A,,A,1
a,YOR0109,Yoruba,D,D,,D,1
a,YOR0110,Yoruba,B,D,,D,0
a,YOR0111,Yoruba,B,B,,B,1
a,YOR0112,Yoruba,B,A,,A,0
a,YOR0113,Yoruba,,A,A,A,0
a,YOR0114,Yoruba,B,B,,B,1
a,YOR0115,Yoruba,D,A,,A,0
a,YOR0116,Yoruba,D,A,,A,0
a,YOR0117,Yoruba,D,D,,D,1
a,YOR0118,Yoruba,D,D,,D,1
a,YOR0119,Yoruba,B,B,,B,1
a,YOR0120,Yoruba,D,D,,D,1
a,YOR0121,Yoruba,C,C,,C,1
a,YOR0122,Yoruba,B,B,,B,1
a,YOR0123,Yoruba,C,C,,C,1
a,YOR0124,Yoruba,D,D,,D,1
a,YOR0125,Yoruba,C,A,,A,0
a,YOR0126,Yoruba,A,A,,A,1
a,YOR0127,Yoruba,C,A,,A,0
a,YOR0128,Yoruba,B,B,,B,1
a,YOR0129,Yoruba,D,D,,D,1
a,YOR0130,Yoruba,A,A,,A,1
a,YOR0131,Yoruba,D,D,,D,1
a,YOR0132,Yoruba,C,C,,C,1
a,YOR0133,Yoruba,B,C,,C,0
a,YOR0134,Yoruba,B,B,,B,1
a,YOR0135,Yoruba,B,B,,B,1
a,YOR0136,Yoruba,C,A,,A,0
a,YOR0137,Yoruba,B,A,,A,0
a,YOR0138,Yoruba,A,A,,A,1
a,YOR0139,Yoruba,B,A,,A,0
a,YOR0140,Yoruba,D,D,,D,1
a,YOR0141,Yoruba,A,A,,A,1
a,YOR0142,Yoruba,B,A,,A,0
a,YOR0143,Yoruba,A,A,,A,1
a,YOR0144,Yoruba,C,A,,A,0
a,YOR0145,Yoruba,A,A,,A,1
a,YOR0146,Yoruba,C,C,,C,1
a,YOR0147,Yoruba,A,A,,A,1
a,YOR0148,Yoruba,D,A,,A,0
a,YOR0149,Yoruba,B,B,,B,1
a,YOR0150,Yoruba,B,B,,B,1
a,YOR0151,Yoruba,A,A,,A,1
a,YOR0152,Yoruba,A,A,,A,1
a,YOR0153,Yoruba,D,D,,D,1
a,YOR0154,Yoruba,D,D,,D,1
a,YOR0156,Yoruba,B,A,,A,0
a,YOR0157,Yoruba,C,C,,C,1
a,YOR0158,Yoruba,C,A,,A,0
a,YOR0159,Yoruba,B,B,,B,1
a,YOR0160,Yoruba,D,D,,D,1
a,YOR0161,Yoruba,C,C,,C,1
a,YOR0162,Yoruba,A,A,,A,1
a,YOR0163,Yoruba,B,B,,B,1
a,YOR0164,Yoruba,B,B,,B,1
a,YOR0165,Yoruba,A,A,,A,1
a,YOR0166,Yoruba,A,A,,A,1
a,YOR0167,Yoruba,A,A,,A,1
a,YOR0169,Yoruba,D,A,,A,0
a,YOR0170,Yoruba,B,A,,A,0
a,YOR0171,Yoruba,C,A,,A,0
a,YOR0172,Yoruba,A,A,,A,1
a,YOR0173,Yoruba,D,D,,D,1
a,YOR0174,Yoruba,A,A,,A,1
a,YOR0175,Yoruba,C,C,,C,1
a,YOR0176,Yoruba,C,C,,C,1
a,YOR0177,Yoruba,B,B,,B,1
