task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
b,YOR0001,Yoruba,B,A,A,A,0
b,YOR0002,Yoruba,D,,A,,0
b,YOR0003,Yoruba,C,,A,,0
b,YOR0004,Yoruba,B,,A,,0
b,YOR0005,Yoruba,C,C,,C,1
b,YOR0006,Yoruba,D,,A,,0
b,YOR0007,Yoruba,A,A,A,A,1
b,YOR0008,Yoruba,B,,A,,0
b,YOR0009,Yoruba,D,,A,,0
b,YOR0010,Yoruba,B,,A,,0
b,YOR0011,Yoruba,A,A,,A,1
b,YOR0012,Yoruba,A,A,,A,1
b,YOR0013,Yoruba,C,C,,C,1
b,YOR0014,Yoruba,D,D,,D,1
b,YOR0015,Yoruba,A,A,,A,1
b,YOR0016,Yoruba,D,B,,B,0
b,YOR0017,Yoruba,B,A,A,A,0
b,YOR0018,Yoruba,C,C,,C,1
b,YOR0019,Yoruba,D,D,,D,1
b,YOR0020,Yoruba,D,,A,,0
b,YOR0021,Yoruba,B,A,,A,0
b,YOR0022,Yoruba,B,A,,A,0
b,YOR0023,Yoruba,D,,A,,0
b,YOR0024,Yoruba,D,D,,D,1
b,YOR0025,Yoruba,A,A,,A,1
b,YOR0026,Yoruba,D,D,,D,1
b,YOR0027,Yoruba,A,A,A,A,1
b,YOR0028,Yoruba,C,C,,C,1
b,YOR0029,Yoruba,D,D,,D,1
b,YOR0030,Yoruba,B,,A,,0
b,YOR0031,Yoruba,D,A,A,A,0
b,YOR0032,Yoruba,C,A,A,A,0
b,YOR0033,Yoruba,A,A,A,A,1
b,YOR0034,Yoruba,B,B,,B,1
b,YOR0035,Yoruba,B,B,,B,1
b,YOR0036,Yoruba,D,D,,D,1
b,YOR0037,Yoruba,C,,A,,0
b,YOR0038,Yoruba,D,A,A,A,0
b,YOR0039,Yoruba,A,A,,A,1
b,YOR0040,Yoruba,B,A,A,A,0
b,YOR0041,Yoruba,B,A,A,A,0
b,YOR0042,Yoruba,C,C,,C,1
b,YOR0043,Yoruba,C,C,,C,1
b,YOR0044,Yoruba,A,A,,A,1
b,YOR0045,Yoruba,B,B,,B,1
b,YOR0046,Yoruba,C,C,,C,1
b,YOR0047,Yoruba,C,A,,A,0
b,YOR0048,Yoruba,C,C,,C,1
b,YOR0049,Yoruba,C,C,,C,1
b,YOR0050,Yoruba,B,,A,,0
b,YOR0051,Yoruba,D,C,,C,0
b,YOR0052,Yoruba,,A,A,A,0
b,YOR0053,Yoruba,A,D,,D,0
b,YOR0054,Yoruba,A,D,,D,0
b,YOR0055,Yoruba,D,D,,D,1
b,YOR0056,Yoruba,A,A,,A,1
b,YOR0057,Yoruba,B,D,,D,0
b,YOR0058,Yoruba,D,A,A,A,0
b,YOR0059,Yoruba,D,,A,,0
b,YOR0060,Yoruba,D,A,A,A,0
b,YOR0061,Yoruba,D,,A,,0
b,YOR0063,Yoruba,A,A,,A,1
b,YOR0064,Yoruba,D,D,,D,1
b,YOR0065,Yoruba,D,D,,D,1
b,YOR0066,Yoruba,C,A,A,A,0
b,YOR0069,Yoruba,B,,A,,0
b,YOR0062,Yoruba,C,B,,B,0
b,YOR0063,Yoruba,A,C,,C,0
b,YOR0067,Yoruba,A,A,,A,1
b,YOR0068,Yoruba,C,A,,A,0
b,YOR0071,Yoruba,C,A,,A,0
b,YOR0072,Yoruba,A,B,,B,0
b,YOR0073,Yoruba,D,D,,D,1
b,YOR0074,Yoruba,D,,A,,0
b,YOR0075,Yoruba,B,A,,A,0
b,YOR0076,Yoruba,D,A,,A,0
b,YOR0078,Yoruba,B,C,,C,0
b,YOR0079,Yoruba,D,D,,D,1
b,YOR0080,Yoruba,D,,A,,0
b,YOR0081,Yoruba,D,D,,D,1
b,YOR0082,Yoruba,B,A,,A,0
b,YOR0083,Yoruba,B,A,,A,0
b,YOR0084,Yoruba,B,A,,A,0
b,YOR0086,Yoruba,,A,A,A,0
b,YOR0087,Yoruba,C,A,,A,0
b,YOR0088,Yoruba,D,D,,D,1
b,YOR0089,Yoruba,D,D,,D,1
b,YOR0091,Yoruba,D,A,,A,0
b,YOR0092,Yoruba,C,C,,C,1
b,YOR0093,Yoruba,D,D,,D,1
b,YOR0094,Yoruba,D,D,,D,1
b,YOR0095,Yoruba,B,B,,B,1
b,YOR0096,Yoruba,C,C,,C,1
b,YOR0097,Yoruba,A,A,,A,1
b,YOR0098,Yoruba,C,C,,C,1
b,YOR0099,Yoruba,B,A,,A,0
b,YOR0100,Yoruba,D,D,,D,1
b,YOR0101,Yoruba,A,A,,A,1
b,YOR0103,Yoruba,D,,A,,0
b,YOR0104,Yoruba,A,D,,D,0
b,YOR0105,Yoruba,D,D,,D,1
b,YOR0106,Yoruba,D,A,,A,0
b,YOR0107,Yoruba,B,B,,B,1
b,YOR0108,Yoruba,C,C,,C,1
b,YOR0109,Yoruba,D,D,,D,1
b,YOR0110,Yoruba,B,A,,A,0
b,YOR0111,Yoruba,C,C,,C,1
b,YOR0112,Yoruba,C,C,,C,1
b,YOR0113,Yoruba,A,A,,A,1
b,YOR0114,Yoruba,D,D,,D,1
b,YOR0115,Yoruba,C,C,,C,1
b,YOR0116,Yoruba,D,A,,A,0
b,YOR0117,Yoruba,D,A,,A,0
b,YOR0118,Yoruba,D,A,,A,0
b,YOR0119,Yoruba,C,A,,A,0
b,YOR0120,Yoruba,C,C,,C,1
b,YOR0121,Yoruba,C,C,,C,1
b,YOR0122,Yoruba,B,A,,A,0
b,YOR0123,Yoruba,A,A,,A,1
b,YOR0124,Yoruba,B,B,,B,1
b,YOR0125,Yoruba,D,D,,D,1
b,YOR0126,Yoruba,C,C,,C,1
b,YOR0127,Yoruba,A,A,,A,1
b,YOR0128,Yoruba,D,D,,D,1
b,YOR0129,Yoruba,C,C,,C,1
b,YOR0130,Yoruba,D,D,,D,1
b,YOR0131,Yoruba,C,C,,C,1
b,YOR0132,Yoruba,D,D,,D,1
b,YOR0133,Yoruba,,A,A,A,0
