task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_xl,German,MID0001,Aller Anfang ist schwer,All beginnings are difficult,Starting something new is always the hardest part — perseverance is key.,True,"You should avoid starting anything new, as it's a sign that you're struggling with your current life.","The more time you spend doing something, the harder it gets.",Starting something new is always the hardest part — perseverance is key.,The only reason beginnings are difficult is because you're not born with the necessary skills.,C,"The more time you spend doing something, the harder it gets.",The only reason beginnings are difficult is because you're not born with the necessary skills.,"You should avoid starting anything new, as it's a sign that you're struggling with your current life.","[""The more time you spend doing something, the harder it gets."",
""The only reason beginnings are difficult is because you're not born with the necessary skills."",
""You should avoid starting anything new, as it's a sign that you're struggling with your current life.""]",1.0,1.0,1.19,0.95,98.5
b,cot_xl,German,MID0002,Der Apfel fällt nicht weit vom Stamm,The apple does not fall far from the tree,"Children often resemble their parents in character, behavior, or talents.",True,It's a metaphor for the limited range of a bird's flight.,It's a warning against eating apples that are too ripe.,It's a description of a tree's ability to grow in close proximity to its parent.,"Children often resemble their parents in character, behavior, or talents.",D,It's a warning against eating apples that are too ripe.,It's a description of a tree's ability to grow in close proximity to its parent.,It's a metaphor for the limited range of a bird's flight.,"[""It's a warning against eating apples that are too ripe."", ""It's a description of a tree's ability to grow in close proximity to its parent."", ""It's a metaphor for the limited range of a bird's flight.""]",1.0,1.0,1.2,0.88,96.4
b,cot_xl,German,MID0003,Besser spät als nie,Better late than never,It's better to do something (even delayed) than never do it at all.,True,"In some contexts, being late is a sign of respect and allows for a more thoughtful consideration of actions.",It's better to arrive at one's destination later than to arrive early and risk being seen as a perfectionist.,It's better to do something (even delayed) than never do it at all.,The quality of a late effort is often more impressive than any early attempt.,C,It's better to arrive at one's destination later than to arrive early and risk being seen as a perfectionist.,The quality of a late effort is often more impressive than any early attempt.,"In some contexts, being late is a sign of respect and allows for a more thoughtful consideration of actions.","[""It's better to arrive at one's destination later than to arrive early and risk being seen as a perfectionist."", ""The quality of a late effort is often more impressive than any early attempt."", ""In some contexts, being late is a sign of respect and allows for a more thoughtful consideration of actions.""]",1.0,1.0,1.33,0.87,96.1
b,cot_xl,German,MID0004,Der frühe Vogel fängt den Wurm,The early bird catches the worm,Diligence and starting early bring success and advantages.,True,Diligence and starting early bring success and advantages.,"The proverb suggests that birds are only capable of achieving success if they catch a specific type of worm, making the phrase highly specific.","The early bird must be a bird that eats worms, possibly making it a carnivore.","In some cultures, it's believed that the early bird is only successful because it gets access to the worm's secret knowledge, not just its physical resources.",A,"The early bird must be a bird that eats worms, possibly making it a carnivore.","In some cultures, it's believed that the early bird is only successful because it gets access to the worm's secret knowledge, not just its physical resources.","The proverb suggests that birds are only capable of achieving success if they catch a specific type of worm, making the phrase highly specific.","[""The early bird must be a bird that eats worms, possibly making it a carnivore."",""In some cultures, it's believed that the early bird is only successful because it gets access to the worm's secret knowledge, not just its physical resources."",""The proverb suggests that birds are only capable of achieving success if they catch a specific type of worm, making the phrase highly specific.""]",1.0,1.0,2.71,0.88,96.4
b,cot_xl,German,MID0005,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",Don't put off until tomorrow what you can do today,Act promptly — procrastination leads to problems.,True,"3. The true meaning of this proverb is that every task or problem should be delayed until it reaches a critical point, at which point it can be tackled with increased intensity and focus.","2. A key principle of this proverb is that every day should be spent in pursuit of immediate pleasure, rather than long-term goals or responsibilities.","1. This proverb is a warning about the dangers of modern technology, as it encourages people to ignore the benefits of automation and outsource tasks to the future.",Act promptly — procrastination leads to problems.,D,"1. This proverb is a warning about the dangers of modern technology, as it encourages people to ignore the benefits of automation and outsource tasks to the future.","2. A key principle of this proverb is that every day should be spent in pursuit of immediate pleasure, rather than long-term goals or responsibilities.","3. The true meaning of this proverb is that every task or problem should be delayed until it reaches a critical point, at which point it can be tackled with increased intensity and focus.","[""1. This proverb is a warning about the dangers of modern technology, as it encourages people to ignore the benefits of automation and outsource tasks to the future."",
""2. A key principle of this proverb is that every day should be spent in pursuit of immediate pleasure, rather than long-term goals or responsibilities."",
""3. The true meaning of this proverb is that every task or problem should be",1.0,1.0,4.14,0.83,94.9
b,cot_xl,German,MID0006,Übung macht den Meister,Practice makes perfect,Mastery comes from repeated effort and experience.,True,Perfection is only achieved when the teacher recognizes the student's mastery.,"The more one practices, the farther they stray from their original intentions.",Mastery comes from repeated effort and experience.,Mastery is tied to the physical act of repetition rather than the quality of effort.,C,Mastery is tied to the physical act of repetition rather than the quality of effort.,Perfection is only achieved when the teacher recognizes the student's mastery.,"The more one practices, the farther they stray from their original intentions.","[""Mastery is tied to the physical act of repetition rather than the quality of effort."", ""Perfection is only achieved when the teacher recognizes the student's mastery."", ""The more one practices, the farther they stray from their original intentions.""]",1.0,1.0,1.81,0.94,98.2
b,cot_xl,German,MID0007,Kleinvieh macht auch Mist,Small cattle also make manure,Small contributions or efforts add up to something significant over time.,True,"In rural areas, small domestic animals can be a nuisance and make a mess.","Within a competitive business environment, underpowered or under-resourced companies can produce subpar results and generate a lot of waste.","In the context of urban planning, compact, small-sized developments can create significant waste.",Small contributions or efforts add up to something significant over time.,D,"In rural areas, small domestic animals can be a nuisance and make a mess.","In the context of urban planning, compact, small-sized developments can create significant waste.","Within a competitive business environment, underpowered or under-resourced companies can produce subpar results and generate a lot of waste.","[""In rural areas, small domestic animals can be a nuisance and make a mess."", ""In the context of urban planning, compact, small-sized developments can create significant waste."", ""Within a competitive business environment, underpowered or under-resourced companies can produce subpar results and generate a lot of waste.""]",1.0,1.0,1.39,0.9,97.0
b,cot_xl,German,MID0008,Man soll den Tag nicht vor dem Abend loben,Don't praise the day before the evening,Don't celebrate success too early — wait until the outcome is certain.,True,One should not express gratitude until the day is concluded,The sun should not be compared to the stars until the day has ended,One should not enjoy the view until the last light of day is gone,Don't celebrate success too early — wait until the outcome is certain.,D,One should not express gratitude until the day is concluded,The sun should not be compared to the stars until the day has ended,One should not enjoy the view until the last light of day is gone,"[""One should not express gratitude until the day is concluded"",
""The sun should not be compared to the stars until the day has ended"",
""One should not enjoy the view until the last light of day is gone""]

These interpretations are subtle misreadings of the original proverb.",1.0,1.0,1.06,0.67,90.1
b,cot_xl,German,MID0009,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",He who does not honor the penny is not worth the dollar,Value small things and be frugal — wastefulness leads to poverty.,True,"The phrase warns of the dangers of inflation, where a penny's value decreases drastically over time.",Value small things and be frugal — wastefulness leads to poverty.,"The proverb is cautioning against the negative consequences of being overly generous, even with small sums of money.",The expression implies that a person's worth is directly tied to their ability to save and hoard small amounts of money.,B,"The phrase warns of the dangers of inflation, where a penny's value decreases drastically over time.","The proverb is cautioning against the negative consequences of being overly generous, even with small sums of money.",The expression implies that a person's worth is directly tied to their ability to save and hoard small amounts of money.,"[""The phrase warns of the dangers of inflation, where a penny's value decreases drastically over time."",
""The proverb is cautioning against the negative consequences of being overly generous, even with small sums of money."",
""The expression implies that a person's worth is directly tied to their ability to save and hoard small amounts of money.""]",1.0,1.0,1.67,0.89,96.7
b,cot_xl,German,MID0010,"Was Hänschen nicht lernt, lernt Hans nimmermehr","What little Hans doesn't learn, big Hans will never learn",Habits and knowledge formed in childhood are hard to change later.,True,Habits and knowledge formed in childhood are hard to change later.,"In childhood, the lack of knowledge is a blessing in disguise","If the mother doesn't teach the child, they will always rely on the father",Big children have limited capacity for learning,A,"If the mother doesn't teach the child, they will always rely on the father","In childhood, the lack of knowledge is a blessing in disguise",Big children have limited capacity for learning,"[""If the mother doesn't teach the child, they will always rely on the father"",
""In childhood, the lack of knowledge is a blessing in disguise"",
""Big children have limited capacity for learning""]",1.0,1.0,0.97,0.98,99.4
