task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_en,Spanish,MID0001,"Al mal tiempo, buena cara","To bad weather, good face","To bad weather, good face",False,Wear a happy face to scare away storms,Put on sunscreen to protect your face from bad weather,Always smile when it rains,"To bad weather, good face",D,Always smile when it rains,Wear a happy face to scare away storms,Put on sunscreen to protect your face from bad weather,"<reasoning>When translating the Spanish proverb ""Al mal tiempo, buena cara"" to English as ""To bad weather, good face,"" a literal reading might lead to misunderstandings. A reader might think it's about how to react physically or visually to different types of weather, rather than understanding its idiomatic meaning, which is about staying positive or cheerful during difficult times. Thus, wrong in",1.0,1.0,1.53,0.96,98.8
a,cot_en,Spanish,MID0002,"De tal palo, tal astilla","From such a stick, such a chip","From such a stick, such a chip",False,A stick must be of a certain size to produce a chip of the same size,The sharpness of the tool used to chip a stick affects the quality of the chip,The type of wood a stick is made of determines the type of chip it produces,"From such a stick, such a chip",D,The type of wood a stick is made of determines the type of chip it produces,A stick must be of a certain size to produce a chip of the same size,The sharpness of the tool used to chip a stick affects the quality of the chip,"<reasoning>The Spanish proverb ""De tal palo, tal astilla"" translates to ""From such a stick, such a chip"" in English. This proverb is often used to convey that children often resemble or behave like their parents. However, a literal reading might lead one to misunderstand the intended meaning. For instance, a wrong literal interpretation could involve the physical properties of sticks and chips, or",1.0,1.0,2.29,0.7,91.0
a,cot_en,Spanish,MID0003,"Dime con quién andas, y te diré quién eres","Tell me with whom you walk, and I’ll tell you who you are","Tell me with whom you walk, and I’ll tell you who you are",False,You can identify someone by the route they take for a stroll,Walking with a doctor means you are a medical professional,"Tell me with whom you walk, and I’ll tell you who you are",The speed at which you walk with someone determines your personality,C,You can identify someone by the route they take for a stroll,The speed at which you walk with someone determines your personality,Walking with a doctor means you are a medical professional,"<reasoning>The proverb ""Tell me with whom you walk, and I’ll tell you who you are"" is often misunderstood when taken literally. A reader might think it's about the physical act of walking or the people one walks with, rather than the character and values of the company one keeps. This could lead to incorrect interpretations such as the proverb being about identifying someone based on their walking",1.0,1.0,0.85,0.88,96.4
a,cot_en,Spanish,MID0004,Un clavo saca otro clavo,One nail drives out another,One nail drives out another,False,A nail is used to pull out another nail that is stuck,Nails are arranged in a specific pattern to drive each other out,One nail drives out another,A new nail is hammered in to dislodge an existing nail from a piece of wood,C,A nail is used to pull out another nail that is stuck,Nails are arranged in a specific pattern to drive each other out,A new nail is hammered in to dislodge an existing nail from a piece of wood,"<reasoning>The Spanish proverb ""Un clavo saca otro clavo"" translates to ""One nail drives out another"" in English. Literal interpretations might lead a reader to think of physical nails and the act of driving them out. However, the proverb is actually referring to the idea that one problem or difficulty can be replaced or overcome by another. A wrong literal reading might involve misunderstanding t",1.0,1.0,2.67,0.84,95.2
a,cot_en,Spanish,MID0005,"Ojos que no ven, corazón que no siente","Eyes that don’t see, heart that doesn’t feel","Eyes that don’t see, heart that doesn’t feel",False,"If you are blind, your heart stops working",Not seeing something will make you emotionally numb forever,"Eyes that don’t see, heart that doesn’t feel",Temporary blindness results in temporary loss of emotional feelings,C,"If you are blind, your heart stops working",Not seeing something will make you emotionally numb forever,Temporary blindness results in temporary loss of emotional feelings,"<reasoning>The proverb ""Ojos que no ven, corazón que no siente"" or ""Eyes that don’t see, heart that doesn’t feel"" is a metaphorical expression that suggests if you're not aware of a problem or issue, you won't be emotionally affected by it. A literal reading might misunderstand this, leading to incorrect interpretations such as the physical condition of one's eyes directly impacting heart function",1.0,1.0,1.08,0.98,99.4
a,cot_en,Spanish,MID0006,Más vale pájaro en mano que cien volando,A bird in the hand is worth more than one hundred flying,A bird in the hand is worth more than one hundred flying,False,catching one bird is easier and more useful than trying to catch many,holding a bird protects you from birds flying around,A bird in the hand is worth more than one hundred flying,having a pet bird is more valuable than watching many birds fly,C,having a pet bird is more valuable than watching many birds fly,catching one bird is easier and more useful than trying to catch many,holding a bird protects you from birds flying around,"<reasoning>When translating the Spanish proverb ""Más vale pájaro en mano que cien volando"" to English as ""A bird in the hand is worth more than one hundred flying,"" a literal reader might misinterpret the phrase in several ways. They could think it's about the actual value or usefulness of a bird that has been caught versus the number of birds flying, possibly considering the bird in hand as a pet",1.0,1.0,0.94,0.85,95.5
a,cot_en,Spanish,MID0007,Al mejor escribano se le va un borrón,To the best scribe a blot escapes,To the best scribe a blot escapes,False,The best scribe's pen always leaks,The finest paper is still prone to smudges for the best writers,To the best scribe a blot escapes,Even the best scribe can't avoid ink spills,C,The best scribe's pen always leaks,Even the best scribe can't avoid ink spills,The finest paper is still prone to smudges for the best writers,"<reasoning>The proverb ""Al mejor escribano se le va un borrón"" or ""To the best scribe a blot escapes"" implies that even the most skilled or competent person can make mistakes. A literal reading might overlook the metaphorical aspect of ""scribe"" and ""blot"" and instead think about the physical act of writing or the tools involved. Therefore, a wrong literal interpretation might involve misunderstand",1.0,1.0,1.24,0.86,95.8
a,cot_en,Spanish,MID0008,No hay mal que por bien no venga,No bad from which good does not come,No bad from which good does not come,False,All bad events will automatically turn into good ones,Every bad situation is caused by something good,Good can only come from bad things happening first,No bad from which good does not come,D,Every bad situation is caused by something good,All bad events will automatically turn into good ones,Good can only come from bad things happening first,"<reasoning>The Spanish proverb ""No hay mal que por bien no venga"" translates to ""No bad from which good does not come"" in English. A literal reading might lead one to misunderstand the idiomatic nature of the phrase, which actually means that every difficult or unfortunate situation can lead to something positive. A wrong literal interpretation might assume the phrase is discussing the origin or c",1.0,1.0,1.08,0.87,96.1
a,cot_en,Spanish,MID0009,"El que mucho abarca, poco aprieta","He who grasps much, holds little","He who grasps much, holds little",False,Carrying too many items in one's arms will result in dropping them all,"He who grasps much, holds little",One should not try to grip many objects at once or they will slip away,A wrestler who tries to grab many opponents at once will end up holding none,B,One should not try to grip many objects at once or they will slip away,A wrestler who tries to grab many opponents at once will end up holding none,Carrying too many items in one's arms will result in dropping them all,"<reasoning>The proverb ""El que mucho abarca, poco aprieta"" or ""He who grasps much, holds little"" is cautioning against taking on too many tasks or responsibilities at once, lest one fails to do any of them well. A literal reading might lead to misunderstandings, such as interpreting it as advice on physical gripping, strategies for wrestling, or methods for carrying multiple objects. These literal",1.0,1.0,2.39,0.88,96.4
a,cot_en,Spanish,MID0010,"A quien madruga, Dios le ayuda","To he who rises early, God helps him","To he who rises early, God helps him",False,"To he who rises early, God helps him",God only helps people who wake up before sunrise,Waking up early is a direct cause of God's intervention in your life,Anyone who rises early will receive a tangible reward from God,A,God only helps people who wake up before sunrise,Waking up early is a direct cause of God's intervention in your life,Anyone who rises early will receive a tangible reward from God,"<reasoning>The proverb suggests that waking up early will lead to divine assistance, which can be misinterpreted in various literal ways. For instance, a reader might think that the phrase is advocating for a specific wake-up time to receive God's help, or that it implies a direct, tangible intervention from a higher power. Another misunderstanding could be that the proverb guarantees success or a",1.0,1.0,1.38,0.92,97.6
