task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_en,Arabic,MID0001,آخر الحياة الموت," Live life to its fullest; Tempus fugit, utere."," Live life to its fullest; Tempus fugit, utere.",False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0002,أتبع من الظل.,Sticks to them like a shadow.,Sticks to them like a shadow.,False,Sticks to them like a shadow.,tracking objects by their silhouettes,physically gluing oneself to darkness,mimicking the movement of darkness,A,physically gluing oneself to darkness,tracking objects by their silhouettes,mimicking the movement of darkness,"<reasoning>The Arabic proverb ""أتبع من الظل"" translates to ""Sticks to them like a shadow"" in English. A literal reading might lead to misunderstandings, as it could be interpreted in various incorrect ways. For instance, one might think it's about something or someone physically sticking or adhering to shadows, or the action of following something that casts a shadow. These interpretations miss th",1.0,1.0,0.83,0.96,98.8
a,cot_en,Arabic,MID0003,أحْسِنْ إلى الناس تستعبد قلوبهم.,Kindness begets kindness.,Kindness begets kindness.,False,Kindness begets kindness.,Being kind is necessary to receive kindness,Kindness is a method to control people's hearts,People must be kind because they are forced to,A,People must be kind because they are forced to,Kindness is a method to control people's hearts,Being kind is necessary to receive kindness,"<reasoning>When translating the Arabic proverb ""أحْسِنْ إلى الناس تستعبد قلوبهم"" to English as ""Kindness begets kindness,"" a literal reading might misinterpret the phrase. A reader might think that the proverb is suggesting a transactional relationship where one does a good deed with the expectation of receiving kindness in return, rather than understanding it as a general principle of how kindnes",1.0,1.0,2.67,0.85,95.5
a,cot_en,Arabic,MID0004,أحضر الناس جوابًا من لم يغضب,"If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.","If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.",False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0005,أحلام العصافير.,pie in the sky.,pie in the sky.,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0006,أدنى من حبل الوريد.,closer than one's shadow.,closer than one's shadow.,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0007,أسمع جعجعة ولا أرى طحينا,Much ado about nothing.,Much ado about nothing.,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0008,أسمعٌ صوتا وأرى فوتا.,Much ado about nothing,Much ado about nothing,False,I hear a noise and see a foot,I hear something and then see someone walking away,There is a lot of noise and someone is dancing,Much ado about nothing,D,I hear a noise and see a foot,There is a lot of noise and someone is dancing,I hear something and then see someone walking away,"<reasoning>The Arabic proverb ""أسمعٌ صوتا وأرى فوتا"" translates to ""Much ado about nothing"" in English, which is an idiom meaning a big fuss over something insignificant. A literal reading might lead to misinterpretations. One could mistakenly think it's about hearing a noise and seeing a foot, or about a lot of noise and a type of dance step. Another misinterpretation could involve hearing someth",1.0,1.0,2.25,0.77,93.1
a,cot_en,Arabic,MID0009,أطلق ساقيه للريح,Runs like the wind.,Runs like the wind.,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0010,أعدل الشهود التجارب.,Experience is the best teacher,Experience is the best teacher,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0011,أفعال لا أقوال.,Action speaks louder than words,Action speaks louder than words,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0012,أكل عليه الدهر وشرب,Be old hat. / It’s as old as the hills.,Be old hat. / It’s as old as the hills.,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0013,أول الغضب جنون وآخره ندم,A man of quick temper acts foolishly.,A man of quick temper acts foolishly.,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0014,إذا أنت أكرمت الكريم ملكته وإن أنت أكرمت اللئيم تمردا,"Never trust on unknown hands, you will never know how they stand by you and back stab with their brains.","Never trust on unknown hands, you will never know how they stand by you and back stab with their brains.",False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0015,إذا دخلت قرية فاحلف بآلهتها.,"When in Rome, do as the Romans do.","When in Rome, do as the Romans do.",False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,cot_en,Arabic,MID0016,إذا ذكرت الذئب فأعد له العصا.,"when you speak of the storm, ready your sails","when you speak of the storm, ready your sails",False,"every time it storms, check your window seals","when you speak of the storm, ready your sails","when discussing weather, secure the sails on your boat",always carry a stick when talking about wolves,B,always carry a stick when talking about wolves,"every time it storms, check your window seals","when discussing weather, secure the sails on your boat","<reasoning>The Arabic proverb ""إذا ذكرت الذئب فأعد له العصا"" translates to ""when you speak of the storm, ready your sails"" in English, but a literal interpretation could lead to incorrect understandings. A wrong literal reading might assume the phrase is about preparing for a wolf or a storm in a physical sense, rather than understanding it as a metaphor for preparing for challenges or difficultie",1.0,1.0,0.93,0.96,98.8
a,cot_en,Arabic,MID0017,إذا ذكرت الذئب فخذ الحذر.,"when you speak of the storm, ready your sails","when you speak of the storm, ready your sails",False,always carry an umbrella when discussing weather,"when you speak of the storm, ready your sails",build a wolf-proof fence around your house if someone mentions wolves,learn to sail immediately if you hear about an upcoming storm,B,always carry an umbrella when discussing weather,build a wolf-proof fence around your house if someone mentions wolves,learn to sail immediately if you hear about an upcoming storm,"<reasoning>The given Arabic proverb ""إذا ذكرت الذئب فخذ الحذر"" translates to ""when you speak of the wolf, be cautious"" or in its English translation form, ""when you speak of the storm, ready your sails"". A literal but incorrect interpretation might involve taking the words at face value without understanding the idiomatic meaning. For instance, one might think it's about an actual wolf or storm, l",1.0,1.0,1.07,0.96,98.8
a,cot_en,Arabic,MID0018,إذا رأيتَ أنيابَ الليثِ بارزة، فلا تَظُننَّ أنَّ الليثَ يبتسمُ,Don't judge a book by its cover.,Don't judge a book by its cover.,False,"When a lion shows its teeth, it is not laughing or happy; you should not mistake this for a genuine smile.","The proverb warns that a lion's visible teeth are not a sign of friendliness, so don't be misled by its appearance.","If you see a lion's teeth bared, do not assume it is smiling; it might be preparing to attack.",Don't judge a book by its cover.,D,"If you see a lion's teeth bared, do not assume it is smiling; it might be preparing to attack.","The proverb warns that a lion's visible teeth are not a sign of friendliness, so don't be misled by its appearance.","When a lion shows its teeth, it is not laughing or happy; you should not mistake this for a genuine smile.","<reasoning>A reader unfamiliar with the figurative meaning might take the proverb at face value, thinking it gives literal advice about interpreting a lion's bared teeth. They could infer that the saying warns against assuming a lion is friendly or happy when its teeth are visible, or that it comments on the authenticity of a lion's expression. These interpretations are plausible as literal readin",1.0,1.0,2.9,0.87,96.1
a,cot_en,Arabic,MID0019,إذا كَانَ الكَلَامُ مِن فِضَّة فالسُكُوت مِن ذَهَب,"Speech is silver, silence is golden","Speech is silver, silence is golden",False,Speaking earns you silver coins while staying silent earns you gold coins.,"Speech is literally made of silver metal, and silence is literally made of gold metal.","Speech is silver, silence is golden",The proverb advises that you should replace spoken words with silver objects and silence with gold objects in rituals.,C,"Speech is literally made of silver metal, and silence is literally made of gold metal.",Speaking earns you silver coins while staying silent earns you gold coins.,The proverb advises that you should replace spoken words with silver objects and silence with gold objects in rituals.,"<reasoning>A reader unfamiliar with the metaphorical nature of the proverb might interpret the words ""silver"" and ""gold"" as literal materials, assuming the saying is about the physical composition or monetary value of speech and silence rather than their qualitative worth. This could lead to literal readings such as speech being made of silver metal, silence being made of gold metal, speaking yiel",1.0,1.0,2.56,0.87,96.1
a,cot_en,Arabic,MID0020,إذا هبّت رياحك فاغتنمها,Make hay while the sun shines.,Make hay while the sun shines.,False,"If the wind that belongs to you (like a handheld fan) starts, grab it",Make hay while the sun shines.,"When your own flatulence occurs, take advantage of it","If your personal wind (breath) blows, seize it",B,"If your personal wind (breath) blows, seize it","When your own flatulence occurs, take advantage of it","If the wind that belongs to you (like a handheld fan) starts, grab it","<reasoning>The Arabic phrase literally says ""If your winds blow, seize them."" A reader might take ""رياحك"" (your winds) to refer to something personally owned like one's breath, flatulence, or a personal fan, leading to literal but incorrect interpretations that ignore the idiomatic meaning of seizing opportunities.</reasoning>
[""If your personal wind (breath) blows, seize it"",""When your own flatul",1.0,1.0,1.72,0.89,96.7
a,cot_en,Arabic,MID0021,إلى حتفي مشت قدمي.,I dug my own grave.,I dug my own grave.,False,My feet walked until my doom,She walked to my doom,I dug my own grave.,I dug a grave with my feet,C,My feet walked until my doom,I dug a grave with my feet,She walked to my doom,"[""My feet walked until my doom"",""I dug a grave with my feet"",""She walked to my doom""]",1.0,1.0,1.2,0.76,92.8
a,cot_en,Arabic,MID0022,إن البعوضة تدمي مقلة الأسد.,Little enemies and little wounds must not be despised,Little enemies and little wounds must not be despised,False,The mosquito makes the lion's eye bleed.,The mosquito makes the lion's eye look red or swollen.,Little enemies and little wounds must not be despised,The mosquito causes the lion to shed tears from its eye.,C,The mosquito makes the lion's eye bleed.,The mosquito causes the lion to shed tears from its eye.,The mosquito makes the lion's eye look red or swollen.,"<reasoning>
A reader might take the words at face value without recognizing the metaphorical meaning, leading to literal but incorrect readings such as: the mosquito physically causing blood to come from the lion's eye, the mosquito making the lion cry (tears), or the mosquito altering the appearance of the lion's eye (e.g., making it red or swollen). These interpretations ignore the proverb's int",1.0,1.0,1.04,0.75,92.5
a,cot_en,Arabic,MID0023,إن الجبان حتفه من فوقه.,the destiny of a coward comes from over him.,the destiny of a coward comes from over him.,False,A coward's destiny is literally a falling object that strikes him from above,"A coward's destiny is literally something that is physically located above him, like a bird perched on a branch",the destiny of a coward comes from over him.,A coward's fate is literally a hat or covering that is placed over his head,C,A coward's destiny is literally a falling object that strikes him from above,A coward's fate is literally a hat or covering that is placed over his head,"A coward's destiny is literally something that is physically located above him, like a bird perched on a branch","<reasoning>Readers might ignore the metaphorical sense of ""from over him"" and treat it as a physical direction, imagining that a coward's fate is literally something that comes down from above, such as an object falling, a covering placed overhead, or something situated above him in space.</reasoning>
[""A coward's destiny is literally a falling object that strikes him from above"",""A coward's fate ",1.0,1.0,1.74,0.74,92.2
