lang,hit_llama-3.1-8b-instant,hit_gemma2-9b-it,hit_mixtral-8x7b-32768,hit_llama-3.3-70b-versatile,hit_llama-3.1-70b-versatile,hit_consensus
English,0,0,0,0,0,0
English,0,0,0,0,0,0
English,1,0,0,0,0,1
English,0,0,0,0,0,0
English,0,0,0,0,0,0
English,0,0,0,1,0,0
English,1,0,0,0,0,0
English,0,0,0,1,0,0
English,0,0,0,0,0,0
English,1,0,0,1,0,1
English,0,0,0,1,0,1
English,0,0,0,0,0,0
English,0,0,0,0,0,0
English,1,0,0,0,0,1
English,1,0,0,1,0,1
English,0,0,0,0,0,0
English,1,0,0,0,0,0
English,0,0,0,0,0,0
English,0,0,0,1,0,0
English,1,0,0,0,0,1
English,0,0,0,1,0,0
English,1,0,0,0,0,1
English,0,0,0,1,0,1
English,0,0,0,0,0,0
English,0,0,0,1,0,1
English,0,0,0,0,0,0
English,0,0,0,0,0,0
English,0,0,0,0,0,0
English,0,0,0,1,0,1
English,0,0,0,0,0,0
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,0,0,0
Yoruba,1,0,0,0,0,1
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,0,0,0
Yoruba,1,0,0,1,0,1
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,1,0,1
Yoruba,0,0,0,1,0,1
Yoruba,1,0,0,0,0,0
Yoruba,0,0,0,1,0,0
Yoruba,0,0,0,0,0,0
Yoruba,1,0,0,1,0,1
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,1,0,1
Yoruba,0,0,0,0,0,0
Yoruba,0,0,0,0,0,0
Yoruba,1,0,0,0,0,0
Yoruba,1,0,0,1,0,1
Yoruba,1,0,0,0,0,1
Yoruba,0,0,0,0,0,0
Yoruba,1,0,0,1,0,1
Yoruba,0,0,0,0,0,0
Yoruba,1,0,0,1,0,1
Yoruba,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,1,0,0,0,0,0
Arabic,0,0,0,1,0,0
Arabic,1,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,0,0,0,1,0,0
Arabic,1,0,0,0,0,1
Arabic,1,0,0,1,0,1
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,1,0,0,1,0,1
Arabic,1,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,1,0,0,1,0,1
Arabic,1,0,0,0,0,1
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,1,0,0,0,0,1
Arabic,1,0,0,0,0,1
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,0,0,0,0,0,0
Arabic,1,0,0,1,0,1
Arabic,0,0,0,0,0,0
