task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
b,MID0001,Arabic,A,C,,C,0
b,MID0002,Arabic,B,A,,A,0
b,MID0003,Arabic,A,A,,A,1
b,MID0004,Arabic,D,D,,D,1
b,MID0005,Arabic,D,A,,A,0
b,MID0006,Arabic,D,A,,A,0
b,MID0007,Arabic,D,D,,D,1
b,MID0008,Arabic,B,B,,B,1
b,MID0009,Arabic,D,D,,D,1
b,MID0010,Arabic,A,A,,A,1
b,MID0011,Arabic,C,C,,C,1
b,MID0012,Arabic,D,D,,D,1
b,MID0013,Arabic,B,B,,B,1
b,MID0014,Arabic,C,C,,C,1
b,MID0015,Arabic,A,A,,A,1
b,MID0016,Arabic,D,D,,D,1
b,MID0017,Arabic,B,A,,A,0
b,MID0018,Arabic,D,D,,D,1
b,MID0019,Arabic,B,B,,B,1
b,MID0020,Arabic,D,D,,D,1
b,MID0021,Arabic,B,B,,B,1
b,MID0022,Arabic,C,C,,C,1
b,MID0023,Arabic,B,A,,A,0
b,MID0024,Arabic,A,A,,A,1
b,MID0025,Arabic,A,A,,A,1
b,MID0026,Arabic,B,B,,B,1
b,MID0027,Arabic,D,D,,D,1
b,MID0028,Arabic,B,B,,B,1
b,MID0029,Arabic,D,D,,D,1
b,MID0030,Arabic,B,B,,B,1
b,MID0031,Arabic,A,A,,A,1
b,MID0032,Arabic,B,B,,B,1
b,MID0033,Arabic,B,B,,B,1
b,MID0034,Arabic,B,B,,B,1
b,MID0035,Arabic,D,D,,D,1
b,MID0036,Arabic,C,C,,C,1
b,MID0037,Arabic,C,D,,D,0
b,MID0038,Arabic,D,D,,D,1
b,MID0039,Arabic,B,B,,B,1
b,MID0040,Arabic,A,A,,A,1
b,MID0041,Arabic,C,C,,C,1
b,MID0042,Arabic,B,B,,B,1
b,MID0043,Arabic,B,B,,B,1
b,MID0044,Arabic,C,C,,C,1
b,MID0045,Arabic,D,D,,D,1
b,MID0046,Arabic,A,A,,A,1
b,MID0047,Arabic,A,A,,A,1
b,MID0048,Arabic,C,A,,A,0
b,MID0049,Arabic,A,A,,A,1
b,MID0050,Arabic,C,C,,C,1
b,MID0051,Arabic,B,B,,B,1
b,MID0052,Arabic,B,B,,B,1
b,MID0053,Arabic,C,C,,C,1
b,MID0054,Arabic,D,D,,D,1
b,MID0055,Arabic,B,B,,B,1
b,MID0056,Arabic,B,B,,B,1
b,MID0057,Arabic,D,D,,D,1
b,MID0058,Arabic,B,B,,B,1
b,MID0059,Arabic,C,A,,A,0
b,MID0060,Arabic,D,D,,D,1
b,MID0061,Arabic,B,B,,B,1
b,MID0062,Arabic,B,B,,B,1
b,MID0063,Arabic,A,A,,A,1
b,MID0064,Arabic,C,C,,C,1
b,MID0065,Arabic,A,A,,A,1
b,MID0066,Arabic,C,C,,C,1
b,MID0067,Arabic,D,A,,A,0
b,MID0068,Arabic,A,A,,A,1
b,MID0069,Arabic,D,D,,D,1
b,MID0070,Arabic,B,B,,B,1
b,MID0071,Arabic,D,D,,D,1
b,MID0072,Arabic,C,C,,C,1
b,MID0073,Arabic,C,C,,C,1
b,MID0074,Arabic,B,D,,D,0
b,MID0075,Arabic,B,B,,B,1
b,MID0076,Arabic,B,A,,A,0
b,MID0077,Arabic,B,B,,B,1
b,MID0078,Arabic,A,A,,A,1
b,MID0079,Arabic,D,D,,D,1
b,MID0080,Arabic,B,B,,B,1
b,MID0081,Arabic,A,B,,B,0
b,MID0082,Arabic,D,D,,D,1
b,MID0083,Arabic,B,B,,B,1
b,MID0084,Arabic,A,A,,A,1
b,MID0085,Arabic,B,B,,B,1
b,MID0086,Arabic,A,A,,A,1
b,MID0087,Arabic,C,C,,C,1
b,MID0088,Arabic,D,D,,D,1
b,MID0089,Arabic,D,D,,D,1
b,MID0090,Arabic,A,A,,A,1
b,MID0091,Arabic,C,C,,C,1
b,MID0092,Arabic,D,D,,D,1
b,MID0093,Arabic,A,A,,A,1
b,MID0094,Arabic,C,C,,C,1
b,MID0095,Arabic,D,D,,D,1
b,MID0096,Arabic,A,A,,A,1
b,MID0097,Arabic,B,B,,B,1
b,MID0098,Arabic,A,A,,A,1
b,MID0099,Arabic,D,D,,D,1
