Sample_ID,Proverb,Correct_Meaning
ENG0001,A bird in the hand is worth two in the bush,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.
ENG0002,A journey of a thousand miles begins with a single step,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it."
ENG0003,A leopard cannot change its spots,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.
ENG0004,A little knowledge is a dangerous thing,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made."
ENG0005,A rolling stone gathers no moss,Someone who does not settle in one place rarely prospers.
ENG0006,A stitch in time saves nine,A 'stitch in time' is a timely effort that will prevent more work later.
ENG0007,A watched pot never boils,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.
ENG0008,A wolf in sheep's clothing,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.
ENG0009,Absolute power corrupts absolutely,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes."
ENG0010,Actions speak louder than words,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.
ENG0011,All that glitters is not gold / All that glisters is not gold,The proverbial saying 'All that glitters is not gold' means that not everything that is shiny and superficially attractive is valuable.
ENG0012,All things come to those who wait,"A literal meaning, advocating patience."
ENG0013,All work and no play makes Jack a dull boy,The proverbial saying 'All work and no play makes Jack a dull boy' expresses the idea that working constantly and making no time for enjoyment makes one bored and boring.
ENG0014,An apple a day keeps the doctor away,"The proverb 'An apple a day keeps the doctor away' has a straightforward literal, and very probably correct, meaning - that the eating of fruit maintains good health."
ENG0015,"An eye for an eye, a tooth for a tooth","The proverb 'an eye for an eye, a tooth for a tooth' expresses the notion that for every wrong done there should be a compensating measure of justice."
ENG0016,Barking up the wrong tree,Making a mistake or a false assumption in something you are trying to achieve.
ENG0017,Beauty is in the eye of the beholder,Beauty in the eye of the beholder' has a literal meaning - that the perception of beauty is subjective - what one person finds beautiful another may not.
