task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,zs,Arabic,MID0001,آخر الحياة الموت," Live life to its fullest; Tempus fugit, utere."," Live life to its fullest; Tempus fugit, utere.",False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,zs,Arabic,MID0002,أتبع من الظل.,Sticks to them like a shadow.,Sticks to them like a shadow.,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,zs,Arabic,MID0003,أحْسِنْ إلى الناس تستعبد قلوبهم.,Kindness begets kindness.,Kindness begets kindness.,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,zs,Arabic,MID0004,أحضر الناس جوابًا من لم يغضب,"If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.","If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.",False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,zs,Arabic,MID0005,أحلام العصافير.,pie in the sky.,pie in the sky.,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
a,zs,Arabic,MID0006,أدنى من حبل الوريد.,closer than one's shadow.,closer than one's shadow.,False,below the umbilical cord,shorter than a thread of life,lower than the vein's rope,closer than one's shadow.,D,lower than the vein's rope,below the umbilical cord,shorter than a thread of life,"{""1"": [""lower than the vein's rope"", ""below the umbilical cord"", ""shorter than a thread of life""], ""2"": [""hearing noise but not seeing flour"", ""making sounds without grinding grain"", ""loud cracking with no meal in sight""], ""3"": [""hearing a sound and seeing a gap"", ""audible noise and visible gap"", ""sound heard, light seen""], ""4"": [""let his legs go to the wind"", ""gave his legs as wind's release"", ""f",1.0,0.6666666666666666,1.25,0.92,87.6
a,zs,Arabic,MID0007,أسمع جعجعة ولا أرى طحينا,Much ado about nothing.,Much ado about nothing.,False,loud cracking with no meal in sight,Much ado about nothing.,making sounds without grinding grain,hearing noise but not seeing flour,B,hearing noise but not seeing flour,making sounds without grinding grain,loud cracking with no meal in sight,"{""1"": [""lower than the vein's rope"", ""below the umbilical cord"", ""shorter than a thread of life""], ""2"": [""hearing noise but not seeing flour"", ""making sounds without grinding grain"", ""loud cracking with no meal in sight""], ""3"": [""hearing a sound and seeing a gap"", ""audible noise and visible gap"", ""sound heard, light seen""], ""4"": [""let his legs go to the wind"", ""gave his legs as wind's release"", ""f",1.0,1.0,1.5,1.0,100.0
a,zs,Arabic,MID0008,أسمعٌ صوتا وأرى فوتا.,Much ado about nothing,Much ado about nothing,False,"sound heard, light seen",audible noise and visible gap,Much ado about nothing,hearing a sound and seeing a gap,C,hearing a sound and seeing a gap,audible noise and visible gap,"sound heard, light seen","{""1"": [""lower than the vein's rope"", ""below the umbilical cord"", ""shorter than a thread of life""], ""2"": [""hearing noise but not seeing flour"", ""making sounds without grinding grain"", ""loud cracking with no meal in sight""], ""3"": [""hearing a sound and seeing a gap"", ""audible noise and visible gap"", ""sound heard, light seen""], ""4"": [""let his legs go to the wind"", ""gave his legs as wind's release"", ""f",1.0,0.6666666666666666,1.33,0.89,86.7
a,zs,Arabic,MID0009,أطلق ساقيه للريح,Runs like the wind.,Runs like the wind.,False,gave his legs as wind's release,freed his calves into the breeze,Runs like the wind.,let his legs go to the wind,C,let his legs go to the wind,gave his legs as wind's release,freed his calves into the breeze,"{""1"": [""lower than the vein's rope"", ""below the umbilical cord"", ""shorter than a thread of life""], ""2"": [""hearing noise but not seeing flour"", ""making sounds without grinding grain"", ""loud cracking with no meal in sight""], ""3"": [""hearing a sound and seeing a gap"", ""audible noise and visible gap"", ""sound heard, light seen""], ""4"": [""let his legs go to the wind"", ""gave his legs as wind's release"", ""f",1.0,1.0,1.58,0.85,95.5
a,zs,Arabic,MID0010,أعدل الشهود التجارب.,Experience is the best teacher,Experience is the best teacher,False,Experience is the best teacher,experiences testify fairly,the fairest testimony comes from merchants,trials are the most just witnesses,A,trials are the most just witnesses,experiences testify fairly,the fairest testimony comes from merchants,"{""1"": [""lower than the vein's rope"", ""below the umbilical cord"", ""shorter than a thread of life""], ""2"": [""hearing noise but not seeing flour"", ""making sounds without grinding grain"", ""loud cracking with no meal in sight""], ""3"": [""hearing a sound and seeing a gap"", ""audible noise and visible gap"", ""sound heard, light seen""], ""4"": [""let his legs go to the wind"", ""gave his legs as wind's release"", ""f",1.0,0.6666666666666666,1.0,0.97,89.1
a,zs,Arabic,MID0011,أفعال لا أقوال.,Action speaks louder than words,Action speaks louder than words,False,Action speaks louder than words,"Words are useless, actions are food",Speak less and move more,"Do not speak, only act",A,"Do not speak, only act","Words are useless, actions are food",Speak less and move more,"{""1"": [""Do not speak, only act"", ""Words are useless, actions are food"", ""Speak less and move more""], ""2"": [""Time has eaten and drunk this"", ""Years have consumed it like a meal"", ""Time drank wine and ate bread""], ""3"": [""Anger starts with madness and ends with sorrow"", ""When you're angry, you become insane and regret it later"", ""The beginning of rage is drunkenness, the end is thirst""], ""4"": [""If yo",1.0,1.0,1.07,1.0,100.0
a,zs,Arabic,MID0012,أكل عليه الدهر وشرب,Be old hat. / It’s as old as the hills.,Be old hat. / It’s as old as the hills.,False,Time has eaten and drunk this,Years have consumed it like a meal,Time drank wine and ate bread,Be old hat. / It’s as old as the hills.,D,Time has eaten and drunk this,Years have consumed it like a meal,Time drank wine and ate bread,"{""1"": [""Do not speak, only act"", ""Words are useless, actions are food"", ""Speak less and move more""], ""2"": [""Time has eaten and drunk this"", ""Years have consumed it like a meal"", ""Time drank wine and ate bread""], ""3"": [""Anger starts with madness and ends with sorrow"", ""When you're angry, you become insane and regret it later"", ""The beginning of rage is drunkenness, the end is thirst""], ""4"": [""If yo",1.0,1.0,0.63,0.93,97.9
a,zs,Arabic,MID0013,أول الغضب جنون وآخره ندم,A man of quick temper acts foolishly.,A man of quick temper acts foolishly.,False,A man of quick temper acts foolishly.,"When you're angry, you become insane and regret it later",Anger starts with madness and ends with sorrow,"The beginning of rage is drunkenness, the end is thirst",A,Anger starts with madness and ends with sorrow,"When you're angry, you become insane and regret it later","The beginning of rage is drunkenness, the end is thirst","{""1"": [""Do not speak, only act"", ""Words are useless, actions are food"", ""Speak less and move more""], ""2"": [""Time has eaten and drunk this"", ""Years have consumed it like a meal"", ""Time drank wine and ate bread""], ""3"": [""Anger starts with madness and ends with sorrow"", ""When you're angry, you become insane and regret it later"", ""The beginning of rage is drunkenness, the end is thirst""], ""4"": [""If yo",1.0,1.0,1.33,0.98,99.4
