task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
a,MID0001,Spanish,A,A,,A,1
a,MID0002,Spanish,D,D,,D,1
a,MID0003,Spanish,B,B,,B,1
a,MID0004,Spanish,C,C,,C,1
a,MID0005,Spanish,A,A,,A,1
a,MID0006,Spanish,D,A,,A,0
a,MID0007,Spanish,A,A,,A,1
a,MID0008,Spanish,C,A,,A,0
a,MID0009,Spanish,C,C,,C,1
a,MID0010,Spanish,B,B,,B,1
a,MID0011,Spanish,B,A,,A,0
a,MID0012,Spanish,D,D,,D,1
a,MID0013,Spanish,C,A,,A,0
a,MID0014,Spanish,A,A,,A,1
a,MID0015,Spanish,A,A,,A,1
a,MID0016,Spanish,A,A,,A,1
a,MID0017,Spanish,C,A,,A,0
a,MID0018,Spanish,B,B,,B,1
a,MID0019,Spanish,D,D,,D,1
a,MID0020,Spanish,C,C,,C,1
a,MID0021,Spanish,D,D,,D,1
a,MID0022,Spanish,A,A,,A,1
a,MID0023,Spanish,A,A,,A,1
a,MID0024,Spanish,C,A,,A,0
a,MID0025,Spanish,A,A,,A,1
a,MID0026,Spanish,B,A,,A,0
a,MID0027,Spanish,B,B,,B,1
a,MID0028,Spanish,D,A,,A,0
a,MID0029,Spanish,A,A,,A,1
a,MID0030,Spanish,A,A,,A,1
a,MID0032,Spanish,B,A,,A,0
a,MID0045,Spanish,B,C,,C,0
a,MID0046,Spanish,D,A,,A,0
a,MID0047,Spanish,C,C,,C,1
a,MID0048,Spanish,D,A,,A,0
a,MID0049,Spanish,A,A,,A,1
a,MID0131,Spanish,A,A,,A,1
a,MID0132,Spanish,D,D,,D,1
a,MID0133,Spanish,C,A,,A,0
a,MID0134,Spanish,D,D,,D,1
a,MID0135,Spanish,D,D,,D,1
a,MID0136,Spanish,B,A,,A,0
a,MID0137,Spanish,B,A,,A,0
a,MID0139,Spanish,A,A,,A,1
a,MID0140,Spanish,D,A,,A,0
a,MID0141,Spanish,D,D,,D,1
a,MID0142,Spanish,D,A,,A,0
a,MID0147,Spanish,B,A,,A,0
a,MID0148,Spanish,D,B,,B,0
a,MID0151,Spanish,D,A,,A,0
a,MID0154,Spanish,A,A,,A,1
a,MID0157,Spanish,D,C,,C,0
a,MID0158,Spanish,D,A,,A,0
a,MID0161,Spanish,A,A,,A,1
a,MID0181,Spanish,C,C,,C,1
a,MID0186,Spanish,D,D,,D,1
a,MID0331,Spanish,A,A,,A,1
a,MID0332,Spanish,D,B,,B,0
a,MID0333,Spanish,B,B,,B,1
a,MID0334,Spanish,B,B,,B,1
a,MID0336,Spanish,D,A,,A,0
a,MID0337,Spanish,B,B,,B,1
