task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_en,French,MID0001,L’habit ne fait pas le moine,The vestment does not make the monk,"Just because a monk is wearing a renunciate’s robe, it doesn’t mean that the monk is sincere in his intentions. The phrase implies that appearances can sometimes mislead one’s better judgment. The English equivalent would be, “Don’t judge a book by its cover.”",True,The quality of a person's character is directly reflected by the quality of their clothing,"Just because a monk is wearing a renunciate’s robe, it doesn’t mean that the monk is sincere in his intentions. The phrase implies that appearances can sometimes mislead one’s better judgment. The English equivalent would be, “Don’t judge a book by its cover.”","To be a true monk, one must first dress like one, as the attire inspires the behavior",Monks should not wear robes as it deceives people into thinking they are pious,B,Monks should not wear robes as it deceives people into thinking they are pious,The quality of a person's character is directly reflected by the quality of their clothing,"To be a true monk, one must first dress like one, as the attire inspires the behavior","<reasoning>The task requires generating wrong cultural interpretations that are plausible but subtly incorrect. To achieve this, we need to consider the core idea of the proverb, which is about not judging someone based on their appearance, and then slightly twist it in a way that seems reasonable but is actually incorrect. One approach is to take the literal meaning of the proverb and extend it i",1.0,1.0,0.36,0.96,98.8
b,cot_en,French,MID0002,Qui vivra verra,"He/she who lives, shall see.","Something is unknown now, but will become clear in the future; the only way to find out is to wait and see. Typically used when an outcome is unpredictable or uncertain, like in the English phrase, “The future will tell.”",True,Only the strongest will have the privilege of understanding the future,Waiting idly is the key to gaining insight into unknown matters,Elderly individuals possess a deeper understanding of life due to their age,"Something is unknown now, but will become clear in the future; the only way to find out is to wait and see. Typically used when an outcome is unpredictable or uncertain, like in the English phrase, “The future will tell.”",D,Only the strongest will have the privilege of understanding the future,Waiting idly is the key to gaining insight into unknown matters,Elderly individuals possess a deeper understanding of life due to their age,"<reasoning>When interpreting proverbs, the nuances of language and cultural context can lead to subtly incorrect interpretations. For the French proverb ""Qui vivra verra,"" a wrong interpretation might arise from taking the phrase too literally or out of its common usage context. For instance, one might mistakenly believe the phrase is about the superiority of survivors or the idea that only those ",1.0,1.0,0.28,0.93,97.9
b,cot_en,French,MID0003,Chacun voit midi à sa porte,Each person sees noon at his/her door.,"Each person prioritizes their own interests, and their unique perspective on life guides how they interact with others, set goals, work and live. This saying can also refer to a person’s selfishness...",True,Each person has a unique geographical location that influences their perception of time,Everyone has their own perfect timing,"Each person prioritizes their own interests, and their unique perspective on life guides how they interact with others, set goals, work and live. This saying can also refer to a person’s selfishness...",People are most aware of their surroundings at noon,C,Everyone has their own perfect timing,People are most aware of their surroundings at noon,Each person has a unique geographical location that influences their perception of time,"[""Everyone has their own perfect timing"", ""People are most aware of their surroundings at noon"", ""Each person has a unique geographical location that influences their perception of time""]",1.0,1.0,0.29,0.9,97.0
b,cot_en,French,MID0004,Mieux vaut prévenir que guérir,It’s better to prevent than to heal.,"It’s better to take the necessary precautions to prevent a sickness, than to have to treat and heal this sickness.",True,It's better to anticipate and prepare for all possible outcomes rather than taking action after a problem has occurred,Prevention is only necessary for physical health and not for emotional or psychological well-being,"It’s better to take the necessary precautions to prevent a sickness, than to have to treat and heal this sickness.","The proverb suggests that once a problem occurs, it's futile to try and fix it, so one should focus solely on prevention",C,Prevention is only necessary for physical health and not for emotional or psychological well-being,It's better to anticipate and prepare for all possible outcomes rather than taking action after a problem has occurred,"The proverb suggests that once a problem occurs, it's futile to try and fix it, so one should focus solely on prevention","<reasoning>When interpreting the proverb ""Mieux vaut prévenir que guérir"" or ""It’s better to prevent than to heal,"" one might overlook the context of health and medicine, leading to misinterpretations. A plausible but incorrect interpretation could arise from taking the phrase too literally or out of its original context, applying it to situations where prevention isn't the primary goal or where t",1.0,1.0,0.92,0.91,97.3
b,cot_en,French,MID0005,"Qui n’avance pas, recule","Who does not move forward, recedes.","There can be no standstill in life, only evolution or devolution. You can either adapt, or become stagnant and “recede.”",True,"It's a warning that if you don't advance in your career, you'll be demoted or fired","It's a commentary on the need for constant technological progress, or else society will collapse","There can be no standstill in life, only evolution or devolution. You can either adapt, or become stagnant and “recede.”",This proverb is about the importance of physical movement and exercise to stay healthy,C,This proverb is about the importance of physical movement and exercise to stay healthy,"It's a warning that if you don't advance in your career, you'll be demoted or fired","It's a commentary on the need for constant technological progress, or else society will collapse","[""This proverb is about the importance of physical movement and exercise to stay healthy"", ""It's a warning that if you don't advance in your career, you'll be demoted or fired"", ""It's a commentary on the need for constant technological progress, or else society will collapse""]",1.0,1.0,0.75,0.95,98.5
b,cot_en,French,MID0006,Il ne faut pas se fier aux apparences,One should not trust appearances.,"This saying is the English equivalent of “You can’t judge a book by its cover,” or “Looks can be deceiving.”",True,"This saying is the English equivalent of “You can’t judge a book by its cover,” or “Looks can be deceiving.”",Never judge someone based on the color of their clothes,Be suspicious of gifts that look expensive,Do not trust people who are attractive,A,Do not trust people who are attractive,Never judge someone based on the color of their clothes,Be suspicious of gifts that look expensive,"<reasoning>When interpreting the French proverb ""Il ne faut pas se fier aux apparences,"" it's essential to consider the nuances of language and cultural context. A wrong interpretation might arise from a literal translation or a failure to account for idiomatic expressions. For instance, one might assume the phrase warns against physical appearances alone, overlooking its broader implications. Ano",1.0,1.0,0.4,0.98,99.4
b,cot_en,French,MID0007,"Petit à petit, l’oiseau fait son nid","Little by little, the bird makes its nest.","This proverb designates patience and perseverance. It can be used in many situations, particularly to refer to something substantial that has not yet been accomplished, but will be with time and perseverance.",True,"This proverb designates patience and perseverance. It can be used in many situations, particularly to refer to something substantial that has not yet been accomplished, but will be with time and perseverance.","It suggests that small, incremental actions are a waste of time and that one should strive for grand, immediate accomplishments",The bird's nest is a symbol of fragility and thus the proverb warns against taking small risks,"This proverb highlights the importance of speed and efficiency, as the bird quickly builds its nest",A,The bird's nest is a symbol of fragility and thus the proverb warns against taking small risks,"This proverb highlights the importance of speed and efficiency, as the bird quickly builds its nest","It suggests that small, incremental actions are a waste of time and that one should strive for grand, immediate accomplishments","reasoning: To create subtly incorrect interpretations, we need to consider the literal meaning of the proverb and the context in which it's used, then slightly alter the intended meaning to make it plausible yet incorrect. For instance, focusing on the bird or the nest rather than the action of building could lead to misinterpretations. Additionally, taking the phrase out of its usual context of p",1.0,1.0,0.55,0.88,96.4
b,cot_en,French,MID0008,"Aussitôt dit, aussitôt fait","As soon as said, as soon as done.","The equivalent English saying is, “It’s as good as done.” It indicates that something is or will be done almost immediately upon request.",True,Impulsive decisions are always best,"The equivalent English saying is, “It’s as good as done.” It indicates that something is or will be done almost immediately upon request.",Act without considering consequences,Speak before you think,B,Speak before you think,Act without considering consequences,Impulsive decisions are always best,"[""Speak before you think"", ""Act without considering consequences"", ""Impulsive decisions are always best""]",1.0,0.3333333333333333,0.19,1.0,80.0
b,cot_en,French,MID0009,Bien mal acquis ne profite jamais,A badly acquired good never benefits.,"In English, the saying goes, “Ill-gotten goods seldom prosper,” or “Crime doesn’t pay,” meaning it’s best to be honest because dishonesty doesn’t get you anywhere.",True,"In English, the saying goes, “Ill-gotten goods seldom prosper,” or “Crime doesn’t pay,” meaning it’s best to be honest because dishonesty doesn’t get you anywhere.",Inheriting wealth or goods from others will bring no joy,Illegal activities will eventually lead to financial loss but are worth the temporary gain,Acquiring something cheaply will not be profitable,A,Acquiring something cheaply will not be profitable,Illegal activities will eventually lead to financial loss but are worth the temporary gain,Inheriting wealth or goods from others will bring no joy,"<reasoning>When interpreting proverbs, cultural nuances and context play a significant role. A wrong interpretation can arise from a misunderstanding of the proverb's idiom, historical context, or the values it embodies. For instance, if one takes the phrase ""badly acquired"" too literally, they might assume it refers to the quality of the acquisition process rather than its moral implications. Sim",1.0,1.0,0.41,0.95,98.5
b,cot_en,French,MID0010,"Qui court deux lièvres à la fois, n’en prend aucun","Who runs after two hares at the same time, catches none.",We ought to concentrate on one task at a time with optimal attention...,True,Hares symbolize luck and one should always chase luck,It teaches that speed is not as important as the number of targets one pursues,The proverb advises on the best hunting strategies in the wilderness,We ought to concentrate on one task at a time with optimal attention...,D,Hares symbolize luck and one should always chase luck,The proverb advises on the best hunting strategies in the wilderness,It teaches that speed is not as important as the number of targets one pursues,"<reasoning>When interpreting the proverb ""Qui court deux lièvres à la fois, n’en prend aucun"" or ""Who runs after two hares at the same time, catches none,"" it's easy to overlook the nuances of its cultural context and the intentions behind the metaphor. A wrong interpretation might arise from literal translations or misunderstandings of the symbolic hares. For instance, one might think the proverb",1.0,1.0,0.9,0.97,99.1
