task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_xl,Spanish,MID0001,"Al mal tiempo, buena cara","To bad weather, good face",Face difficulties with a positive attitude; maintain composure in tough times.,True,You should try to ignore bad weather by covering your face.,To have a good face in bad weather means to make sure your physical appearance remains good.,Face difficulties with a positive attitude; maintain composure in tough times.,"When it's raining, it's good to literally wear a cheerful expression on your face.",C,You should try to ignore bad weather by covering your face.,To have a good face in bad weather means to make sure your physical appearance remains good.,"When it's raining, it's good to literally wear a cheerful expression on your face.","[""You should try to ignore bad weather by covering your face."", ""To have a good face in bad weather means to make sure your physical appearance remains good."", ""When it's raining, it's good to literally wear a cheerful expression on your face.""]",1.0,1.0,1.27,0.84,95.2
b,cot_xl,Spanish,MID0002,"De tal palo, tal astilla","From such a stick, such a chip","Children often resemble their parents in character/behavior (like father, like son).",True,"A tree that produces small sticks will have small chips, and vice versa.","Children often resemble their parents in character/behavior (like father, like son).","If you start with a stick of questionable quality, its chips will reflect that throughout its lifespan.","You will always get what you pay for, so cheap sticks produce poor chips.",B,"You will always get what you pay for, so cheap sticks produce poor chips.","A tree that produces small sticks will have small chips, and vice versa.","If you start with a stick of questionable quality, its chips will reflect that throughout its lifespan.","[""You will always get what you pay for, so cheap sticks produce poor chips."", ""A tree that produces small sticks will have small chips, and vice versa."", ""If you start with a stick of questionable quality, its chips will reflect that throughout its lifespan.""]",1.0,1.0,1.33,0.91,97.3
b,cot_xl,Spanish,MID0003,"Dime con quién andas, y te diré quién eres","Tell me with whom you walk, and I’ll tell you who you are",You are judged by the company you keep.,True,You are judged by the company you keep.,The people you surround yourself with will influence your favorite hobbies.,The person you walk with determines your lifespan.,The company you keep will decide your next career move.,A,The person you walk with determines your lifespan.,The company you keep will decide your next career move.,The people you surround yourself with will influence your favorite hobbies.,"[""The person you walk with determines your lifespan."", ""The company you keep will decide your next career move."", ""The people you surround yourself with will influence your favorite hobbies.""]",1.0,1.0,1.21,0.77,93.1
b,cot_xl,Spanish,MID0004,Un clavo saca otro clavo,One nail drives out another,"To forget one love, find another (move on from heartbreak).",True,"To forget one love, find another (move on from heartbreak).",A nail that is driven in with excessive force will inevitably be matched by another nail.,A nail can only be removed by another nail of equal or greater strength.,A carpenter should always carry multiple nails in case some break.,A,A nail can only be removed by another nail of equal or greater strength.,A carpenter should always carry multiple nails in case some break.,A nail that is driven in with excessive force will inevitably be matched by another nail.,"[""A nail can only be removed by another nail of equal or greater strength."",
""A carpenter should always carry multiple nails in case some break."",
""A nail that is driven in with excessive force will inevitably be matched by another nail."" ]",1.0,1.0,1.37,0.89,96.7
b,cot_xl,Spanish,MID0005,"Ojos que no ven, corazón que no siente","Eyes that don’t see, heart that doesn’t feel",What you don’t know doesn’t hurt you.,True,It is morally justifiable to ignore problems in order to avoid stress.,The inability to detect deception indicates a lack of emotional maturity.,What you choose not to look at may eventually become a physical reality.,What you don’t know doesn’t hurt you.,D,It is morally justifiable to ignore problems in order to avoid stress.,The inability to detect deception indicates a lack of emotional maturity.,What you choose not to look at may eventually become a physical reality.,"[""It is morally justifiable to ignore problems in order to avoid stress."", ""The inability to detect deception indicates a lack of emotional maturity."", ""What you choose not to look at may eventually become a physical reality.""]",1.0,1.0,1.71,0.94,98.2
b,cot_xl,Spanish,MID0006,Más vale pájaro en mano que cien volando,A bird in the hand is worth more than one hundred flying,A bird in the hand is worth two in the bush (value what you have).,True,A bird in the hand is worth two in the bush (value what you have).,"It's safer to keep a low profile, like a bird in hiding, rather than taking risks.",A bird in hand requires less maintenance than a flock in flight.,"One should prioritize the bird that's already in their grasp, as it represents stability and control.",A,"It's safer to keep a low profile, like a bird in hiding, rather than taking risks.",A bird in hand requires less maintenance than a flock in flight.,"One should prioritize the bird that's already in their grasp, as it represents stability and control.","[""It's safer to keep a low profile, like a bird in hiding, rather than taking risks."",
""A bird in hand requires less maintenance than a flock in flight."",
""One should prioritize the bird that's already in their grasp, as it represents stability and control.""]",1.0,1.0,0.98,0.89,96.7
b,cot_xl,Spanish,MID0007,Al mejor escribano se le va un borrón,To the best scribe a blot escapes,Even experts make mistakes (nobody's perfect).,True,"Here, the phrase is not about expertise, but rather about the fleeting nature of perfection - as soon as it's achieved, it's lost.","In this context, the phrase is actually referring to the idea that even with the best of intentions, mistakes will still occur.",Even experts make mistakes (nobody's perfect).,"The proverb suggests that even the most skilled scribes are susceptible to physical imperfections, thus 'blots' or ink smudges will inevitably occur.",C,"In this context, the phrase is actually referring to the idea that even with the best of intentions, mistakes will still occur.","The proverb suggests that even the most skilled scribes are susceptible to physical imperfections, thus 'blots' or ink smudges will inevitably occur.","Here, the phrase is not about expertise, but rather about the fleeting nature of perfection - as soon as it's achieved, it's lost.","[""In this context, the phrase is actually referring to the idea that even with the best of intentions, mistakes will still occur."", ""The proverb suggests that even the most skilled scribes are susceptible to physical imperfections, thus 'blots' or ink smudges will inevitably occur."", ""Here, the phrase is not about expertise, but rather about the fleeting nature of perfection - as soon as it's achi",1.0,1.0,3.72,0.9,97.0
b,cot_xl,Spanish,MID0008,No hay mal que por bien no venga,No bad from which good does not come,Every cloud has a silver lining (good comes from bad).,True,"You should always do bad things because they might lead to good outcomes, so just be reckless.",Every cloud has a silver lining (good comes from bad).,It's impossible to tell whether something is good or bad at first because it might be bad but turn out good later.,"You should not judge things immediately as good or bad, but instead wait for them to evolve before deciding their worth.",B,"You should always do bad things because they might lead to good outcomes, so just be reckless.",It's impossible to tell whether something is good or bad at first because it might be bad but turn out good later.,"You should not judge things immediately as good or bad, but instead wait for them to evolve before deciding their worth.","[""You should always do bad things because they might lead to good outcomes, so just be reckless."", ""It's impossible to tell whether something is good or bad at first because it might be bad but turn out good later."", ""You should not judge things immediately as good or bad, but instead wait for them to evolve before deciding their worth.""]",1.0,1.0,2.0,0.85,95.5
b,cot_xl,Spanish,MID0009,"El que mucho abarca, poco aprieta","He who grasps much, holds little",Don't bite off more than you can chew (overambition fails).,True,"It is saying that the quality of a grasp is inversely proportional to its quantity, implying that those who hold onto things too tightly will end up losing their grip eventually.",The proverb suggests that one should prioritize comfort over productivity.,Don't bite off more than you can chew (overambition fails).,"The phrase warns against using force when dealing with delicate situations, lest one cause unintended harm.",C,The proverb suggests that one should prioritize comfort over productivity.,"It is saying that the quality of a grasp is inversely proportional to its quantity, implying that those who hold onto things too tightly will end up losing their grip eventually.","The phrase warns against using force when dealing with delicate situations, lest one cause unintended harm.","[""The proverb suggests that one should prioritize comfort over productivity."", ""It is saying that the quality of a grasp is inversely proportional to its quantity, implying that those who hold onto things too tightly will end up losing their grip eventually."", ""The phrase warns against using force when dealing with delicate situations, lest one cause unintended harm.""]",1.0,1.0,1.9,0.95,98.5
b,cot_xl,Spanish,MID0010,"A quien madruga, Dios le ayuda","To he who rises early, God helps him",The early bird catches the worm (diligence rewarded).,True,The early bird catches the worm (diligence rewarded).,God has a special preference for the early risers.,The morning hours are when God's intervention is most effective.,Those who are naturally alert will have divine assistance.,A,Those who are naturally alert will have divine assistance.,God has a special preference for the early risers.,The morning hours are when God's intervention is most effective.,"[""Those who are naturally alert will have divine assistance."",
""God has a special preference for the early risers."",
""The morning hours are when God's intervention is most effective.""]",1.0,1.0,1.17,0.96,98.8
