task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_en,German,MID0001,Aller Anfang ist schwer,All beginnings are difficult,Starting something new is always the hardest part — perseverance is key.,True,Only the first step is hard; after that everything becomes easy.,A difficult beginning guarantees that you will eventually succeed.,Starting something new is always the hardest part — perseverance is key.,"If something feels hard at the start, it’s a sign you should abandon it.",C,Only the first step is hard; after that everything becomes easy.,A difficult beginning guarantees that you will eventually succeed.,"If something feels hard at the start, it’s a sign you should abandon it.","<reasoning>These interpretations seem plausible because they each touch on the idea of difficulty at the start, but they misrepresent the proverb’s emphasis on perseverance and the ongoing nature of challenges. They either overgeneralize the difficulty to guarantee success, suggest giving up, or misattribute the belief to a cultural stereotype, thereby missing the nuanced message that beginnings a",1.0,1.0,0.94,0.94,98.2
b,cot_en,German,MID0002,Der Apfel fällt nicht weit vom Stamm,The apple does not fall far from the tree,"Children often resemble their parents in character, behavior, or talents.",True,"The saying means that literal apples rarely roll far from their tree, advising farmers to plant orchards close together for efficient harvesting.","It suggests that children will inevitably inherit their parents' wealth or property, emphasizing material legacy over personal traits.","It implies that offspring will follow the exact same career path as their parents, ignoring personal choice and individual aptitude.","Children often resemble their parents in character, behavior, or talents.",D,"The saying means that literal apples rarely roll far from their tree, advising farmers to plant orchards close together for efficient harvesting.","It suggests that children will inevitably inherit their parents' wealth or property, emphasizing material legacy over personal traits.","It implies that offspring will follow the exact same career path as their parents, ignoring personal choice and individual aptitude.","<reasoning>Each wrong interpretation takes a kernel of truth from the proverb—such as the idea of inheritance, similarity, or staying close—but shifts the focus to a domain (e.g., literal fruit, geography, occupation, or political views) where the original metaphor does not apply, making the reading seem reasonable at first glance but ultimately missing the core cultural point about familial resem",1.0,1.0,2.0,0.91,97.3
b,cot_en,German,MID0003,Besser spät als nie,Better late than never,It's better to do something (even delayed) than never do it at all.,True,It's better to do something (even delayed) than never do it at all.,It means that punctuality is unimportant in German culture and that arriving late to events is preferable.,It encourages procrastination by suggesting that delaying action is acceptable as long as you eventually act.,It implies that doing something poorly but on time is better than doing it well but late.,A,It encourages procrastination by suggesting that delaying action is acceptable as long as you eventually act.,It means that punctuality is unimportant in German culture and that arriving late to events is preferable.,It implies that doing something poorly but on time is better than doing it well but late.,"<reasoning>Each wrong interpretation takes a kernel of truth from the proverb—such as the idea that timing matters or that action is valued—but twists it into a cultural claim that contradicts the actual German emphasis on punctuality, planning, and the value of completing tasks correctly. They sound plausible because they mention lateness or flexibility, yet they misrepresent the proverb’s encour",1.0,1.0,1.28,0.89,96.7
b,cot_en,German,MID0004,Der frühe Vogel fängt den Wurm,The early bird catches the worm,Diligence and starting early bring success and advantages.,True,It advocates eating worms early in the morning as a literal path to prosperity,The proverb urges chronic sleep deprivation as a necessary sacrifice for success,"It implies that only natural early risers can succeed, disadvantaging night owls",Diligence and starting early bring success and advantages.,D,The proverb urges chronic sleep deprivation as a necessary sacrifice for success,"It implies that only natural early risers can succeed, disadvantaging night owls",It advocates eating worms early in the morning as a literal path to prosperity,"<reasoning>The German proverb uses a metaphor to stress the advantage of acting promptly and preparing ahead; however, readers may mistakenly treat the bird and worm literally, leading to interpretations that focus on sleep habits, innate chronotype, or dietary habits rather than the broader lesson of diligence and foresight.</reasoning>[""The proverb urges chronic sleep deprivation as a necessary ",1.0,1.0,1.58,0.93,97.9
b,cot_en,German,MID0005,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",Don't put off until tomorrow what you can do today,Act promptly — procrastination leads to problems.,True,Only undertake tasks that can be completed within a single day; avoid starting projects that require more than 24 hours,"Delegate any work you can do today to someone else for tomorrow, because sharing the load prevents burnout",Act promptly — procrastination leads to problems.,"The saying encourages immediate gratification, suggesting you should enjoy pleasures today rather than save them for tomorrow",C,Only undertake tasks that can be completed within a single day; avoid starting projects that require more than 24 hours,"Delegate any work you can do today to someone else for tomorrow, because sharing the load prevents burnout","The saying encourages immediate gratification, suggesting you should enjoy pleasures today rather than save them for tomorrow","<reasoning>The proverb stresses acting promptly to avoid problems caused by delay. However, a reader might focus on the temporal aspect and misread it as a rule about task length, delegation, or short‑term enjoyment, which shifts the meaning from avoiding procrastination to limiting scope, offloading work, or seeking immediate pleasure.</reasoning>[""Only undertake tasks that can be completed withi",1.0,1.0,2.62,0.94,98.2
b,cot_en,German,MID0006,Übung macht den Meister,Practice makes perfect,Mastery comes from repeated effort and experience.,True,Effective practice is unnecessary; simply repeating an action mindlessly leads to mastery,"Mastery makes you practice more, not the other way around","If you practice enough, you will achieve perfection in any skill immediately",Mastery comes from repeated effort and experience.,D,"Mastery makes you practice more, not the other way around","If you practice enough, you will achieve perfection in any skill immediately",Effective practice is unnecessary; simply repeating an action mindlessly leads to mastery,"<reasoning>The proverb stresses that repeated practice leads to mastery, emphasizing the process over innate talent. A plausible but subtly wrong reading might invert the causality (suggesting mastery enables practice), overstate the guarantee (implying practice always yields perfect results instantly), or ignore the nuance that effective practice requires feedback and adaptation, treating mere re",1.0,1.0,1.62,0.92,97.6
b,cot_en,German,MID0007,Kleinvieh macht auch Mist,Small cattle also make manure,Small contributions or efforts add up to something significant over time.,True,"It suggests that only small-scale farming is environmentally sustainable because large cattle produce excessive waste, thus advocating for a shift to small livestock to reduce manure overload.","The proverb warns that even minor negligence in animal husbandry can lead to significant sanitation problems, emphasizing the need for strict cleanliness standards regardless of herd size.",Small contributions or efforts add up to something significant over time.,"The saying is used to encourage people to accept that everyone, no matter how insignificant, contributes to societal problems (like pollution or corruption), implying that collective blame is inevitable.",C,"The proverb warns that even minor negligence in animal husbandry can lead to significant sanitation problems, emphasizing the need for strict cleanliness standards regardless of herd size.","It suggests that only small-scale farming is environmentally sustainable because large cattle produce excessive waste, thus advocating for a shift to small livestock to reduce manure overload.","The saying is used to encourage people to accept that everyone, no matter how insignificant, contributes to societal problems (like pollution or corruption), implying that collective blame is inevitable.","<reasoning>These interpretations seem plausible because they involve the idea of small things having an impact, but they twist the proverb's positive message about accumulation into a negative or prescriptive stance (e.g., focusing on problems, advocating specific actions, or assigning blame) that the original saying does not convey.</reasoning>
[""The proverb warns that even minor negligence in an",1.0,1.0,2.52,0.94,98.2
b,cot_en,German,MID0008,Man soll den Tag nicht vor dem Abend loben,Don't praise the day before the evening,Don't celebrate success too early — wait until the outcome is certain.,True,It warns against complimenting someone's appearance in the morning because they might look different by evening.,Don't celebrate success too early — wait until the outcome is certain.,"It suggests that one should refrain from praising a meal before it's fully cooked, echoing a culinary superstition about tempting fate.","It advises Germans to never speak positively about a business venture until after the workday ends, reflecting a cultural habit of separating work praise from personal time.",B,It warns against complimenting someone's appearance in the morning because they might look different by evening.,"It advises Germans to never speak positively about a business venture until after the workday ends, reflecting a cultural habit of separating work praise from personal time.","It suggests that one should refrain from praising a meal before it's fully cooked, echoing a culinary superstition about tempting fate.","<reasoning>
The correct meaning cautions against premature celebration of success. Plausible but subtly wrong interpretations might shift the focus to appearance, work‑day boundaries, or food superstitions—areas where the proverb could be misapplied while still sounding like a reasonable cultural tip.
</reasoning>
[""It warns against complimenting someone's appearance in the morning because they mi",1.0,1.0,1.78,0.94,98.2
b,cot_en,German,MID0009,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",He who does not honor the penny is not worth the dollar,Value small things and be frugal — wastefulness leads to poverty.,True,It advises judging someone’s trustworthiness by how they handle small change,It suggests that disregarding minor cultural traditions makes one unworthy of major celebrations,The proverb encourages coin collecting as a sign of personal worth,Value small things and be frugal — wastefulness leads to poverty.,D,The proverb encourages coin collecting as a sign of personal worth,It advises judging someone’s trustworthiness by how they handle small change,It suggests that disregarding minor cultural traditions makes one unworthy of major celebrations,"<reasoning>The proverb’s contrast between a Pfennig (small coin) and a Taler (larger coin) invites readers to draw parallels between small and large scales in other areas of life—such as hobbies, trustworthiness, or cultural participation. Because the wording mentions concrete denominations, it’s easy to reinterpret the saying as advice about collecting coins, judging reliability in minor transact",1.0,1.0,1.06,0.97,99.1
b,cot_en,German,MID0010,"Was Hänschen nicht lernt, lernt Hans nimmermehr","What little Hans doesn't learn, big Hans will never learn",Habits and knowledge formed in childhood are hard to change later.,True,"It suggests that if a child fails to learn a specific lesson, they will remain permanently ignorant of that subject, with no possibility of remedying it later in life.",The proverb means that adults are completely incapable of learning anything new; only children can acquire knowledge.,Habits and knowledge formed in childhood are hard to change later.,"It claims that a person's future career success is determined solely by whether they received formal schooling as a child, implying no later education can alter one's professional path.",C,The proverb means that adults are completely incapable of learning anything new; only children can acquire knowledge.,"It claims that a person's future career success is determined solely by whether they received formal schooling as a child, implying no later education can alter one's professional path.","It suggests that if a child fails to learn a specific lesson, they will remain permanently ignorant of that subject, with no possibility of remedying it later in life.","<reasoning>When interpreting the German proverb ""Was Hänschen nicht lernt, lernt Hans nimmermehr,"" a common pitfall is to take the literal contrast between ""little Hans"" and ""big Hans"" too strictly, leading to overgeneralizations about age limits on learning or the exclusive role of childhood education. Plausible‑sounding wrong readings often ignore the proverb’s nuance that early habits are merel",1.0,1.0,2.27,0.93,97.9
b,cot_en,German,MID0011,Der Weg zur Hölle ist mit guten Vorsätzen gepflastert,The road to hell is paved with good intentions,Good intentions alone are not enough — action matters.,True,"It suggests that the road to hell is literal, and good intentions are the building materials used by demons to pave it.","Good intentions alone guarantee a positive outcome, so the road to hell is actually a myth.",Good intentions alone are not enough — action matters.,"The saying means that only evil intentions lead to hell, and good intentions are irrelevant to one's destiny.",C,"Good intentions alone guarantee a positive outcome, so the road to hell is actually a myth.","The saying means that only evil intentions lead to hell, and good intentions are irrelevant to one's destiny.","It suggests that the road to hell is literal, and good intentions are the building materials used by demons to pave it.","The proverb warns that merely having good intentions does not guarantee good outcomes; it emphasizes the need for concrete action. A plausible but subtly wrong interpretation might shift the focus to the moral value of intentions themselves, suggest that intentions alone determine fate, or reinterpret the metaphor in a way that overlooks the necessity of follow‑through. These readings seem reasona",1.0,1.0,2.07,0.79,93.7
