variant,mcq_id,language,correct_label,consensus_label,consensus_frac,consensus_correct,vote_anthropic_claude-opus-4.8,hit_anthropic_claude-opus-4.8,vote_openai_gpt-5,hit_openai_gpt-5,vote_google_gemini-2.5-pro,hit_google_gemini-2.5-pro,vote_nvidia_nemotron-3-ultra-550b-a55b:free,hit_nvidia_nemotron-3-ultra-550b-a55b:free
baseline,baseline_Arabic_0,Arabic,A,D,1.0,0,D,0.0,,,,,,
baseline,baseline_Arabic_1,Arabic,B,C,1.0,0,C,0.0,,,,,,
baseline,baseline_Arabic_2,Arabic,C,,0.0,0,,,,,,,,
baseline,baseline_Arabic_3,Arabic,D,A,1.0,0,A,0.0,,,,,,
baseline,baseline_Arabic_4,Arabic,A,A,1.0,1,A,1.0,,,,,,
baseline,baseline_English_5,English,B,B,1.0,1,B,1.0,,,,,,
baseline,baseline_English_6,English,C,C,1.0,1,C,1.0,,,,,,
baseline,baseline_English_7,English,D,C,1.0,0,C,0.0,,,,,,
baseline,baseline_English_8,English,A,B,1.0,0,B,0.0,,,,,,
baseline,baseline_English_9,English,B,A,1.0,0,A,0.0,,,,,,
baseline,baseline_Yoruba_10,Yoruba,C,B,1.0,0,B,0.0,,,,,,
baseline,baseline_Yoruba_11,Yoruba,D,B,1.0,0,B,0.0,,,,,,
baseline,baseline_Yoruba_12,Yoruba,A,B,1.0,0,B,0.0,,,,,,
baseline,baseline_Yoruba_13,Yoruba,B,C,1.0,0,C,0.0,,,,,,
baseline,baseline_Yoruba_14,Yoruba,C,D,1.0,0,D,0.0,,,,,,
misconception-based,misconception-based_Arabic_0,Arabic,A,D,1.0,0,D,0.0,,,,,,
misconception-based,misconception-based_Arabic_1,Arabic,B,D,1.0,0,D,0.0,,,,,,
misconception-based,misconception-based_Arabic_2,Arabic,C,A,1.0,0,A,0.0,,,,,,
misconception-based,misconception-based_Arabic_3,Arabic,D,D,1.0,1,D,1.0,,,,,,
misconception-based,misconception-based_Arabic_4,Arabic,A,D,1.0,0,D,0.0,,,,,,
misconception-based,misconception-based_English_5,English,B,D,1.0,0,D,0.0,,,,,,
misconception-based,misconception-based_English_6,English,C,D,1.0,0,D,0.0,,,,,,
misconception-based,misconception-based_English_7,English,D,B,1.0,0,B,0.0,,,,,,
misconception-based,misconception-based_English_8,English,A,A,1.0,1,A,1.0,,,,,,
misconception-based,misconception-based_English_9,English,B,,0.0,0,,,,,,,,
misconception-based,misconception-based_Yoruba_10,Yoruba,C,B,0.5,0,B,0.0,,,,,A,0.0
