task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
b,0,English,D,D,,D,1
b,3,English,B,A,,A,0
b,4,English,C,A,,A,0
b,5,English,A,A,,A,1
b,6,English,D,D,,D,1
b,7,English,B,B,,B,1
b,8,English,D,D,,D,1
b,9,English,B,B,,B,1
b,10,English,D,D,,D,1
b,11,English,B,B,,B,1
b,12,English,C,C,,C,1
b,13,English,B,B,,B,1
b,14,English,A,A,,A,1
b,15,English,A,B,,B,0
b,16,English,B,B,,B,1
b,17,English,D,D,,D,1
b,18,English,B,B,,B,1
b,19,English,D,D,,D,1
b,20,English,B,A,,A,0
b,21,English,A,A,,A,1
b,23,English,B,B,,B,1
b,24,English,B,B,,B,1
b,25,English,B,B,,B,1
b,26,English,D,D,,D,1
b,27,English,C,C,,C,1
b,28,English,C,D,,D,0
b,29,English,D,D,,D,1
b,30,English,B,D,,D,0
b,31,English,A,A,,A,1
b,32,English,C,A,,A,0
b,33,English,B,B,,B,1
b,34,English,B,B,,B,1
b,36,English,C,C,,C,1
b,37,English,D,D,,D,1
b,38,English,A,A,,A,1
b,39,English,A,A,,A,1
b,40,English,C,C,,C,1
b,41,English,A,A,,A,1
b,42,English,C,D,,D,0
b,43,English,B,A,,A,0
b,44,English,B,B,,B,1
b,45,English,C,C,,C,1
b,46,English,D,A,,A,0
b,47,English,B,A,,A,0
b,48,English,B,B,,B,1
b,49,English,D,D,,D,1
b,50,English,B,B,,B,1
b,51,English,C,C,,C,1
b,52,English,D,D,,D,1
b,54,English,B,B,,B,1
b,55,English,B,B,,B,1
b,56,English,A,A,,A,1
b,57,English,C,A,,A,0
b,58,English,A,A,,A,1
b,60,English,C,C,,C,1
b,61,English,D,D,,D,1
b,62,English,A,A,,A,1
b,63,English,D,D,,D,1
b,64,English,B,B,,B,1
b,65,English,D,D,,D,1
b,66,English,C,C,,C,1
b,67,English,C,C,,C,1
b,68,English,B,B,,B,1
b,69,English,B,B,,B,1
b,70,English,B,B,,B,1
b,71,English,B,B,,B,1
b,72,English,A,A,,A,1
b,73,English,D,D,,D,1
b,74,English,B,B,,B,1
b,75,English,A,A,,A,1
b,76,English,D,D,,D,1
b,77,English,B,B,,B,1
b,78,English,A,A,,A,1
b,79,English,B,A,,A,0
b,80,English,A,A,,A,1
b,82,English,C,B,,B,0
b,83,English,D,D,,D,1
b,84,English,D,D,,D,1
b,85,English,A,A,,A,1
b,86,English,C,C,,C,1
b,87,English,D,A,,A,0
b,88,English,A,A,,A,1
b,89,English,C,A,,A,0
b,90,English,D,A,,A,0
b,91,English,A,A,,A,1
b,92,English,B,B,,B,1
b,93,English,A,A,,A,1
b,94,English,D,D,,D,1
b,95,English,C,C,,C,1
b,97,English,C,C,,C,1
b,98,English,A,A,,A,1
b,99,English,B,B,,B,1
b,100,English,B,A,,A,0
b,101,English,A,A,,A,1
b,102,English,B,B,,B,1
b,103,English,D,D,,D,1
b,104,English,B,A,,A,0
b,105,English,C,C,,C,1
b,107,English,A,A,,A,1
b,108,English,D,D,,D,1
b,109,English,D,D,,D,1
b,110,English,C,A,,A,0
b,111,English,A,A,,A,1
b,112,English,B,B,,B,1
b,114,English,D,C,,C,0
b,115,English,D,C,,C,0
b,116,English,A,A,,A,1
b,117,English,C,C,,C,1
b,118,English,D,C,,C,0
b,119,English,B,A,,A,0
b,120,English,C,A,,A,0
b,122,English,D,D,,D,1
b,123,English,B,B,,B,1
b,124,English,A,A,,A,1
b,125,English,D,D,,D,1
b,126,English,D,D,,D,1
b,127,English,C,C,,C,1
b,128,English,C,C,,C,1
b,129,English,B,B,,B,1
b,131,English,B,B,,B,1
b,132,English,D,D,,D,1
b,133,English,A,A,,A,1
b,134,English,C,A,,A,0
b,135,English,B,B,,B,1
b,136,English,C,C,,C,1
b,137,English,B,A,,A,0
b,138,English,C,C,,C,1
b,139,English,D,D,,D,1
b,140,English,D,D,,D,1
b,143,English,C,C,,C,1
b,144,English,C,C,,C,1
b,145,English,A,A,,A,1
b,146,English,C,C,,C,1
b,147,English,A,A,,A,1
b,148,English,D,D,,D,1
b,149,English,D,D,,D,1
b,150,English,A,A,,A,1
b,151,English,B,B,,B,1
b,152,English,A,A,,A,1
b,153,English,B,D,,D,0
b,154,English,D,D,,D,1
b,155,English,B,B,,B,1
b,156,English,D,D,,D,1
b,157,English,A,A,,A,1
b,158,English,D,D,,D,1
b,159,English,C,A,,A,0
b,160,English,B,B,,B,1
b,161,English,A,A,,A,1
b,162,English,C,C,,C,1
b,164,English,D,D,,D,1
b,165,English,B,A,,A,0
b,167,English,C,B,,B,0
b,168,English,A,A,,A,1
b,170,English,C,C,,C,1
b,171,English,B,B,,B,1
b,172,English,A,A,,A,1
b,173,English,B,B,,B,1
b,174,English,B,B,,B,1
b,175,English,D,D,,D,1
b,176,English,A,A,,A,1
b,177,English,D,D,,D,1
b,178,English,B,B,,B,1
b,179,English,B,B,,B,1
b,180,English,B,B,,B,1
b,181,English,D,D,,D,1
b,183,English,A,A,,A,1
b,184,English,,A,A,A,0
b,185,English,,A,A,A,0
b,186,English,,A,A,A,0
b,188,English,C,C,,C,1
b,189,English,C,C,,C,1
b,190,English,B,B,,B,1
b,192,English,D,D,,D,1
b,193,English,C,A,,A,0
b,195,English,C,C,,C,1
b,196,English,B,B,,B,1
b,197,English,A,A,,A,1
b,198,English,D,D,,D,1
b,199,English,A,A,,A,1
b,200,English,C,C,,C,1
b,201,English,B,B,,B,1
b,202,English,A,A,,A,1
b,204,English,C,C,,C,1
b,205,English,B,B,,B,1
b,206,English,D,D,,D,1
b,207,English,C,C,,C,1
b,208,English,B,B,,B,1
b,209,English,A,A,,A,1
b,210,English,D,D,,D,1
b,211,English,A,A,,A,1
b,212,English,A,A,,A,1
b,213,English,D,D,,D,1
b,215,English,D,D,,D,1
b,216,English,B,B,,B,1
b,217,English,A,A,,A,1
b,218,English,D,D,,D,1
b,219,English,C,C,,C,1
b,221,English,D,D,,D,1
b,222,English,D,A,,A,0
b,223,English,D,D,,D,1
b,224,English,C,C,,C,1
b,225,English,D,D,,D,1
b,226,English,D,D,,D,1
b,227,English,C,A,,A,0
b,229,English,B,A,,A,0
b,230,English,B,B,,B,1
b,232,English,A,A,,A,1
b,233,English,D,D,,D,1
b,234,English,C,C,,C,1
b,235,English,A,A,,A,1
b,236,English,B,B,,B,1
b,237,English,B,B,,B,1
b,238,English,C,C,,C,1
b,239,English,B,B,,B,1
b,240,English,B,B,,B,1
b,242,English,C,C,,C,1
b,244,English,D,D,,D,1
b,245,English,A,A,,A,1
b,247,English,A,A,,A,1
b,251,English,B,B,,B,1
b,254,English,C,C,,C,1
b,255,English,B,B,,B,1
b,256,English,B,B,,B,1
b,257,English,B,B,,B,1
b,258,English,A,A,,A,1
b,259,English,D,D,,D,1
b,260,English,B,B,,B,1
b,261,English,D,D,,D,1
b,262,English,C,C,,C,1
b,264,English,D,D,,D,1
b,265,English,C,C,,C,1
b,266,English,C,C,,C,1
b,267,English,A,A,,A,1
b,268,English,D,D,,D,1
b,269,English,B,B,,B,1
b,271,English,D,D,,D,1
b,272,English,B,B,,B,1
b,274,English,A,A,,A,1
b,275,English,B,B,,B,1
b,276,English,D,D,,D,1
b,277,English,C,C,,C,1
b,278,English,B,B,,B,1
b,279,English,D,D,,D,1
b,280,English,B,B,,B,1
b,281,English,D,C,,C,0
b,283,English,C,C,,C,1
b,285,English,C,C,,C,1
b,287,English,A,A,,A,1
b,288,English,A,A,,A,1
b,289,English,B,B,,B,1
b,290,English,A,A,,A,1
b,291,English,C,A,,A,0
b,293,English,D,D,,D,1
b,296,English,D,D,,D,1
b,297,English,A,A,,A,1
b,298,English,D,C,,C,0
b,299,English,D,D,,D,1
b,300,English,B,B,,B,1
b,301,English,D,D,,D,1
b,302,English,C,C,,C,1
b,303,English,D,D,,D,1
b,305,English,B,B,,B,1
b,306,English,A,A,,A,1
b,307,English,B,B,,B,1
b,308,English,B,B,,B,1
b,309,English,B,B,,B,1
b,310,English,D,D,,D,1
b,311,English,C,A,,A,0
b,312,English,B,B,,B,1
b,313,English,D,D,,D,1
b,314,English,C,C,,C,1
b,315,English,B,B,,B,1
b,316,English,B,A,,A,0
b,317,English,C,A,,A,0
b,318,English,B,A,,A,0
b,319,English,C,C,,C,1
b,320,English,C,A,,A,0
b,321,English,A,A,,A,1
b,322,English,C,C,,C,1
b,323,English,B,B,,B,1
b,324,English,A,A,,A,1
b,325,English,B,B,,B,1
b,326,English,A,A,,A,1
b,328,English,B,A,,A,0
b,20,English,A,A,,A,1
b,40,English,C,C,,C,1
b,42,English,B,B,,B,1
b,45,English,D,D,,D,1
b,46,English,C,C,,C,1
b,57,English,D,D,,D,1
b,58,English,D,D,,D,1
b,59,English,B,C,,C,0
b,60,English,B,B,,B,1
b,61,English,D,D,,D,1
b,62,English,C,D,,D,0
b,75,English,A,A,,A,1
b,76,English,A,A,,A,1
b,77,English,A,A,,A,1
b,78,English,C,C,,C,1
b,79,English,D,D,,D,1
b,80,English,A,A,,A,1
b,81,English,C,A,,A,0
b,82,English,B,B,,B,1
b,83,English,D,D,,D,1
b,84,English,C,C,,C,1
b,85,English,B,B,,B,1
b,86,English,A,A,,A,1
b,87,English,A,A,,A,1
b,88,English,C,C,,C,1
b,89,English,C,C,,C,1
b,90,English,B,B,,B,1
b,91,English,C,C,,C,1
b,92,English,B,B,,B,1
b,93,English,C,C,,C,1
b,94,English,D,B,,B,0
b,95,English,A,A,,A,1
b,96,English,A,A,,A,1
b,97,English,A,A,,A,1
b,98,English,D,D,,D,1
b,99,English,C,C,,C,1
b,100,English,B,B,,B,1
b,101,English,A,A,,A,1
b,102,English,A,A,,A,1
b,103,English,D,D,,D,1
b,104,English,C,C,,C,1
b,106,English,A,A,,A,1
b,107,English,A,A,,A,1
b,108,English,B,B,,B,1
b,109,English,A,A,,A,1
b,110,English,A,A,,A,1
b,111,English,A,A,,A,1
b,112,English,D,D,,D,1
b,113,English,D,A,,A,0
b,114,English,B,A,,A,0
b,115,English,C,C,,C,1
b,116,English,D,D,,D,1
b,117,English,C,C,,C,1
b,118,English,A,A,,A,1
b,119,English,B,B,,B,1
b,120,English,D,D,,D,1
b,121,English,B,B,,B,1
b,122,English,C,C,,C,1
b,123,English,,A,A,A,0
b,124,English,A,A,,A,1
b,125,English,C,C,,C,1
b,126,English,D,D,,D,1
b,127,English,B,B,,B,1
b,128,English,B,B,,B,1
b,129,English,C,C,,C,1
b,130,English,B,A,,A,0
b,131,English,C,C,,C,1
b,132,English,A,A,,A,1
b,133,English,A,A,,A,1
b,134,English,C,C,,C,1
b,135,English,D,D,,D,1
b,136,English,D,D,,D,1
b,137,English,B,B,,B,1
b,138,English,,A,A,A,0
b,139,English,C,C,,C,1
b,141,English,D,D,,D,1
b,142,English,D,D,,D,1
b,143,English,B,B,,B,1
b,144,English,A,A,,A,1
b,145,English,C,C,,C,1
b,146,English,D,D,,D,1
b,147,English,C,C,,C,1
b,148,English,B,B,,B,1
b,149,English,B,B,,B,1
b,150,English,D,D,,D,1
b,151,English,A,A,,A,1
b,152,English,C,C,,C,1
b,153,English,B,A,,A,0
b,154,English,C,C,,C,1
b,155,English,D,D,,D,1
b,156,English,A,A,,A,1
b,157,English,A,A,,A,1
b,158,English,B,A,,A,0
b,159,English,C,C,,C,1
b,160,English,D,D,,D,1
b,161,English,C,C,,C,1
b,162,English,C,C,,C,1
b,163,English,D,D,,D,1
b,164,English,A,A,,A,1
b,165,English,,A,A,A,0
b,166,English,C,A,,A,0
b,192,English,C,C,,C,1
b,193,English,D,D,,D,1
b,198,English,D,D,,D,1
b,199,English,B,B,,B,1
b,203,English,D,D,,D,1
b,204,English,B,B,,B,1
b,205,English,B,B,,B,1
b,206,English,B,A,,A,0
b,207,English,A,A,,A,1
b,208,English,C,C,,C,1
b,209,English,D,A,,A,0
b,215,English,C,C,,C,1
b,219,English,D,A,,A,0
b,221,English,D,D,,D,1
b,224,English,C,C,,C,1
b,230,English,C,C,,C,1
b,231,English,A,A,,A,1
b,232,English,A,A,,A,1
b,234,English,C,C,,C,1
b,236,English,A,A,,A,1
b,238,English,D,D,,D,1
b,239,English,B,B,,B,1
b,241,English,B,B,,B,1
b,242,English,C,C,,C,1
b,243,English,D,D,,D,1
b,244,English,A,A,,A,1
b,245,English,B,B,,B,1
b,246,English,A,A,,A,1
b,249,English,B,B,,B,1
b,260,English,B,B,,B,1
b,261,English,A,A,,A,1
b,262,English,A,A,,A,1
b,264,English,D,D,,D,1
b,267,English,,A,,A,0
b,271,English,A,A,,A,1
b,272,English,C,A,,A,0
b,273,English,C,C,,C,1
b,274,English,A,A,,A,1
b,276,English,C,C,,C,1
b,277,English,A,A,,A,1
b,279,English,C,C,,C,1
b,280,English,B,A,,A,0
b,281,English,A,A,,A,1
b,282,English,C,C,,C,1
b,283,English,C,C,,C,1
b,285,English,D,B,,B,0
b,286,English,C,A,,A,0
b,288,English,C,C,,C,1
b,292,English,D,D,,D,1
b,295,English,B,B,,B,1
b,296,English,D,D,,D,1
b,297,English,,A,A,A,0
b,298,English,D,A,,A,0
b,299,English,A,A,,A,1
b,300,English,A,A,,A,1
b,302,English,C,C,,C,1
b,303,English,C,C,,C,1
b,304,English,D,D,,D,1
b,305,English,D,D,,D,1
b,306,English,B,A,,A,0
b,307,English,B,B,,B,1
b,309,English,B,B,,B,1
b,310,English,A,A,,A,1
b,311,English,C,C,,C,1
b,313,English,B,B,,B,1
b,314,English,A,A,,A,1
b,315,English,C,C,,C,1
b,316,English,C,C,,C,1
b,317,English,B,B,,B,1
b,318,English,C,A,,A,0
b,319,English,B,B,,B,1
b,322,English,D,D,,D,1
b,323,English,A,A,,A,1
b,324,English,B,A,,A,0
b,325,English,D,A,,A,0
b,326,English,B,B,,B,1
b,327,English,B,B,,B,1
b,328,English,D,B,,B,0
b,329,English,,A,A,A,0
b,330,English,B,B,,B,1
b,331,English,C,C,,C,1
b,332,English,B,B,,B,1
b,335,English,D,D,,D,1
b,336,English,D,B,,B,0
b,337,English,D,D,,D,1
b,339,English,C,A,,A,0
b,341,English,C,C,,C,1
b,342,English,C,C,,C,1
b,343,English,B,D,,D,0
b,344,English,D,D,,D,1
b,345,English,C,C,,C,1
b,346,English,D,D,,D,1
b,347,English,A,A,,A,1
b,348,English,B,B,,B,1
b,351,English,B,B,,B,1
b,353,English,C,C,,C,1
b,354,English,A,A,,A,1
b,355,English,C,C,,C,1
b,356,English,A,A,,A,1
b,357,English,D,D,,D,1
b,358,English,C,C,,C,1
b,359,English,A,A,,A,1
b,362,English,B,B,,B,1
b,363,English,D,D,,D,1
b,364,English,D,D,,D,1
b,365,English,A,A,,A,1
b,366,English,B,B,,B,1
b,367,English,B,B,,B,1
b,368,English,C,C,,C,1
b,369,English,C,C,,C,1
b,370,English,A,A,,A,1
b,371,English,B,B,,B,1
b,373,English,B,B,,B,1
b,374,English,A,A,,A,1
b,375,English,A,A,,A,1
b,376,English,D,D,,D,1
b,377,English,C,C,,C,1
b,378,English,C,C,,C,1
b,379,English,A,A,,A,1
b,380,English,A,A,,A,1
b,381,English,C,C,,C,1
b,382,English,A,A,,A,1
b,383,English,A,A,,A,1
b,384,English,C,C,,C,1
b,385,English,B,B,,B,1
b,386,English,D,D,,D,1
b,387,English,B,A,,A,0
b,388,English,A,A,,A,1
b,389,English,,A,A,A,0
b,390,English,A,A,,A,1
b,391,English,C,C,,C,1
b,392,English,D,D,,D,1
b,393,English,A,A,,A,1
b,394,English,B,B,,B,1
b,395,English,B,B,,B,1
b,396,English,B,B,,B,1
b,397,English,C,C,,C,1
b,400,English,A,A,,A,1
b,401,English,D,D,,D,1
b,402,English,D,D,,D,1
b,403,English,D,D,,D,1
b,404,English,D,D,,D,1
b,405,English,C,C,,C,1
b,406,English,B,B,,B,1
b,407,English,D,A,,A,0
b,408,English,A,A,,A,1
b,410,English,A,A,,A,1
b,411,English,B,B,,B,1
b,412,English,D,D,,D,1
b,413,English,B,B,,B,1
b,414,English,D,D,,D,1
b,415,English,B,B,,B,1
b,416,English,B,B,,B,1
b,418,English,B,A,,A,0
b,419,English,A,A,,A,1
b,420,English,B,B,,B,1
b,421,English,C,C,,C,1
b,422,English,B,B,,B,1
b,423,English,B,A,,A,0
b,424,English,C,C,,C,1
b,425,English,C,B,,B,0
b,426,English,A,A,,A,1
b,427,English,B,B,,B,1
b,428,English,D,D,,D,1
b,429,English,A,A,,A,1
b,430,English,D,D,,D,1
b,431,English,C,C,,C,1
b,432,English,B,B,,B,1
b,433,English,C,C,,C,1
b,435,English,D,D,,D,1
b,436,English,D,D,,D,1
b,0,English,A,A,,A,1
b,2,English,D,D,,D,1
b,3,English,A,A,,A,1
b,5,English,D,D,,D,1
b,6,English,C,C,,C,1
b,8,English,D,D,,D,1
b,10,English,A,A,,A,1
b,13,English,D,D,,D,1
b,14,English,B,B,,B,1
b,15,English,D,D,,D,1
b,16,English,B,B,,B,1
b,17,English,D,D,,D,1
b,18,English,B,B,,B,1
b,20,English,A,A,,A,1
b,21,English,A,A,,A,1
b,22,English,B,B,,B,1
b,24,English,B,B,,B,1
b,25,English,C,C,,C,1
b,26,English,D,D,,D,1
b,27,English,A,A,,A,1
b,28,English,B,B,,B,1
b,29,English,C,C,,C,1
b,30,English,C,C,,C,1
b,32,English,B,B,,B,1
b,34,English,A,A,,A,1
b,35,English,B,B,,B,1
b,36,English,B,A,,A,0
b,38,English,B,B,,B,1
b,39,English,C,C,,C,1
b,41,English,A,A,,A,1
b,42,English,C,C,,C,1
b,44,English,D,A,,A,0
b,45,English,A,A,,A,1
b,46,English,C,C,,C,1
b,47,English,A,A,,A,1
b,48,English,B,B,,B,1
b,49,English,C,C,,C,1
b,50,English,C,C,,C,1
b,51,English,D,D,,D,1
b,52,English,A,A,,A,1
b,54,English,D,D,,D,1
b,55,English,A,A,,A,1
b,56,English,D,D,,D,1
b,57,English,B,B,,B,1
b,58,English,B,B,,B,1
b,59,English,D,D,,D,1
b,60,English,C,C,,C,1
b,61,English,A,A,,A,1
b,62,English,A,A,,A,1
b,63,English,A,A,,A,1
b,64,English,C,C,,C,1
b,65,English,D,D,,D,1
b,66,English,B,B,,B,1
b,68,English,C,C,,C,1
b,69,English,D,D,,D,1
b,70,English,A,A,,A,1
b,71,English,A,A,,A,1
b,72,English,B,B,,B,1
b,73,English,D,D,,D,1
b,74,English,B,B,,B,1
b,75,English,D,D,,D,1
b,76,English,B,B,,B,1
b,77,English,B,B,,B,1
b,78,English,D,D,,D,1
b,79,English,B,B,,B,1
b,80,English,C,C,,C,1
b,82,English,C,C,,C,1
b,83,English,B,B,,B,1
b,85,English,A,A,,A,1
b,87,English,A,A,,A,1
b,91,English,D,D,,D,1
b,92,English,B,B,,B,1
b,93,English,D,C,,C,0
b,97,English,A,A,,A,1
b,98,English,D,D,,D,1
b,99,English,C,C,,C,1
b,100,English,C,A,,A,0
b,102,English,C,C,,C,1
b,103,English,B,B,,B,1
b,104,English,A,A,,A,1
b,108,English,A,A,,A,1
b,111,English,B,B,,B,1
b,112,English,B,B,,B,1
b,113,English,D,D,,D,1
b,115,English,B,B,,B,1
b,116,English,C,C,,C,1
b,117,English,B,B,,B,1
b,119,English,D,D,,D,1
b,120,English,B,B,,B,1
b,122,English,A,A,,A,1
b,123,English,C,C,,C,1
b,124,English,C,C,,C,1
b,125,English,D,D,,D,1
b,126,English,D,D,,D,1
b,127,English,B,B,,B,1
b,129,English,D,D,,D,1
b,130,English,D,D,,D,1
b,132,English,D,D,,D,1
b,133,English,C,C,,C,1
b,135,English,A,A,,A,1
b,136,English,D,D,,D,1
b,137,English,D,D,,D,1
b,142,English,B,B,,B,1
b,143,English,D,D,,D,1
b,144,English,D,D,,D,1
b,145,English,C,C,,C,1
b,147,English,C,C,,C,1
b,148,English,A,A,,A,1
b,149,English,B,B,,B,1
b,150,English,C,C,,C,1
b,151,English,D,D,,D,1
b,152,English,C,C,,C,1
b,153,English,A,A,,A,1
b,154,English,C,C,,C,1
b,156,English,A,A,,A,1
b,158,English,B,B,,B,1
b,159,English,A,A,,A,1
b,161,English,C,A,,A,0
b,163,English,A,A,,A,1
b,164,English,B,B,,B,1
b,165,English,A,A,,A,1
b,166,English,C,C,,C,1
b,167,English,D,D,,D,1
b,168,English,D,D,,D,1
b,169,English,C,C,,C,1
b,172,English,D,D,,D,1
b,173,English,D,D,,D,1
b,174,English,A,A,,A,1
b,175,English,D,D,,D,1
b,176,English,B,B,,B,1
b,178,English,A,A,,A,1
b,180,English,C,C,,C,1
b,181,English,D,D,,D,1
b,182,English,A,A,,A,1
b,183,English,B,B,,B,1
b,185,English,B,D,,D,0
b,186,English,C,C,,C,1
b,187,English,D,D,,D,1
b,188,English,C,C,,C,1
b,192,English,B,B,,B,1
b,193,English,B,B,,B,1
b,194,English,B,A,,A,0
b,195,English,C,C,,C,1
b,196,English,C,C,,C,1
b,197,English,B,C,,C,0
b,198,English,A,A,,A,1
b,199,English,C,C,,C,1
b,201,English,B,B,,B,1
b,202,English,C,D,,D,0
b,205,English,C,A,,A,0
b,206,English,D,D,,D,1
b,209,English,B,B,,B,1
b,212,English,C,C,,C,1
b,213,English,D,D,,D,1
b,215,English,C,C,,C,1
b,216,English,B,B,,B,1
b,217,English,A,A,,A,1
b,218,English,B,B,,B,1
b,219,English,A,A,,A,1
b,220,English,A,A,,A,1
b,221,English,D,D,,D,1
b,222,English,B,B,,B,1
b,223,English,B,B,,B,1
