task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
a,MID0001,French,B,B,,B,1
a,MID0002,French,D,B,,B,0
a,MID0003,French,D,A,,A,0
a,MID0004,French,A,A,,A,1
a,MID0005,French,C,D,,D,0
a,MID0006,French,D,A,,A,0
a,MID0007,French,C,C,,C,1
a,MID0008,French,A,A,,A,1
a,MID0009,French,D,D,,D,1
a,MID0010,French,C,C,,C,1
a,MID0011,French,D,D,,D,1
a,MID0012,French,C,C,,C,1
a,MID0013,French,C,A,,A,0
a,MID0014,French,B,B,,B,1
a,MID0015,French,C,C,,C,1
a,MID0016,French,B,B,,B,1
a,MID0017,French,A,A,,A,1
a,MID0018,French,A,A,,A,1
a,MID0019,French,C,A,,A,0
a,MID0020,French,B,A,,A,0
a,MID0021,French,B,B,,B,1
a,MID0022,French,D,B,,B,0
a,MID0023,French,D,A,,A,0
a,MID0024,French,B,A,,A,0
a,MID0025,French,B,D,,D,0
a,MID0026,French,A,A,,A,1
a,MID0027,French,D,A,,A,0
a,MID0028,French,A,D,,D,0
a,MID0029,French,C,D,,D,0
a,MID0030,French,A,A,,A,1
a,MID0031,French,C,C,,C,1
a,MID0032,French,A,A,,A,1
a,MID0033,French,C,C,,C,1
a,MID0034,French,D,A,,A,0
a,MID0035,French,C,C,,C,1
a,MID0036,French,B,B,,B,1
a,MID0037,French,C,C,,C,1
a,MID0038,French,A,A,,A,1
a,MID0039,French,C,C,,C,1
a,MID0040,French,B,B,,B,1
a,MID0041,French,D,B,,B,0
a,MID0042,French,B,A,,A,0
a,MID0043,French,C,C,,C,1
a,MID0044,French,A,A,,A,1
a,MID0045,French,B,B,,B,1
a,MID0046,French,D,B,,B,0
a,MID0047,French,A,C,,C,0
a,MID0048,French,B,A,,A,0
a,MID0049,French,C,C,,C,1
a,MID0050,French,C,D,,D,0
a,MID0051,French,D,A,,A,0
a,MID0052,French,A,A,,A,1
a,MID0053,French,A,A,,A,1
a,MID0054,French,A,A,,A,1
a,MID0055,French,A,A,,A,1
a,MID0056,French,C,A,,A,0
a,MID0057,French,D,A,,A,0
a,MID0058,French,C,A,,A,0
a,MID0059,French,B,A,,A,0
a,MID0060,French,D,B,,B,0
a,MID0061,French,C,C,,C,1
a,MID0062,French,C,C,,C,1
a,MID0063,French,D,D,,D,1
a,MID0064,French,D,B,,B,0
a,MID0065,French,C,A,,A,0
a,MID0066,French,B,D,,D,0
a,MID0067,French,B,B,,B,1
a,MID0068,French,A,A,,A,1
a,MID0069,French,A,A,,A,1
a,MID0070,French,D,A,,A,0
a,MID0071,French,A,D,,D,0
a,MID0072,French,D,A,,A,0
a,MID0073,French,D,C,,C,0
a,MID0074,French,B,A,,A,0
a,MID0075,French,A,C,,C,0
a,MID0076,French,D,A,,A,0
a,MID0077,French,B,A,,A,0
a,MID0078,French,C,A,,A,0
a,MID0079,French,D,A,,A,0
a,MID0080,French,C,A,,A,0
a,MID0081,French,A,A,,A,1
a,MID0082,French,A,C,,C,0
a,MID0083,French,B,A,,A,0
a,MID0084,French,C,C,,C,1
a,MID0085,French,B,A,,A,0
a,MID0086,French,D,A,,A,0
a,MID0087,French,C,C,,C,1
a,MID0088,French,A,B,,B,0
a,MID0089,French,D,D,,D,1
a,MID0090,French,C,A,,A,0
a,MID0091,French,D,A,,A,0
a,MID0092,French,B,A,,A,0
a,MID0093,French,D,D,,D,1
a,MID0094,French,D,B,,B,0
a,MID0095,French,C,C,,C,1
a,MID0096,French,A,A,,A,1
a,MID0097,French,C,B,,B,0
a,MID0098,French,B,D,,D,0
a,MID0099,French,C,A,,A,0
a,MID0100,French,D,D,,D,1
a,MID0101,French,B,B,,B,1
a,MID0102,French,A,D,,D,0
a,MID0103,French,A,B,,B,0
a,MID0104,French,D,B,,B,0
a,MID0105,French,B,A,,A,0
a,MID0106,French,B,D,,D,0
a,MID0107,French,B,B,,B,1
a,MID0108,French,B,B,,B,1
a,MID0109,French,D,A,,A,0
a,MID0110,French,D,D,,D,1
a,MID0111,French,D,D,,D,1
a,MID0112,French,D,A,,A,0
a,MID0113,French,B,A,,A,0
a,MID0114,French,D,D,,D,1
a,MID0115,French,C,C,,C,1
a,MID0116,French,B,B,,B,1
a,MID0117,French,C,C,,C,1
a,MID0118,French,D,D,,D,1
a,MID0119,French,C,C,,C,1
a,MID0120,French,A,A,,A,1
a,MID0121,French,C,C,,C,1
a,MID0122,French,B,B,,B,1
a,MID0123,French,D,D,,D,1
a,MID0124,French,A,A,,A,1
a,MID0125,French,D,A,,A,0
a,MID0126,French,C,A,,A,0
a,MID0127,French,B,A,,A,0
a,MID0128,French,B,B,,B,1
a,MID0129,French,B,D,,D,0
a,MID0130,French,C,D,,D,0
a,MID0131,French,B,A,,A,0
a,MID0132,French,A,A,,A,1
a,MID0133,French,B,A,,A,0
a,MID0134,French,D,A,,A,0
a,MID0135,French,A,A,,A,1
a,MID0136,French,B,A,,A,0
a,MID0137,French,A,A,,A,1
a,MID0138,French,C,A,,A,0
a,MID0139,French,,A,A,A,0
a,MID0140,French,A,A,,A,1
a,MID0141,French,C,A,,A,0
a,MID0142,French,A,A,,A,1
a,MID0143,French,D,D,,D,1
a,MID0144,French,B,B,,B,1
a,MID0145,French,B,A,,A,0
a,MID0146,French,A,A,,A,1
a,MID0147,French,A,A,,A,1
a,MID0148,French,D,A,,A,0
a,MID0149,French,D,A,,A,0
a,MID0150,French,B,B,,B,1
a,MID0151,French,C,B,,B,0
a,MID0152,French,C,B,,B,0
a,MID0153,French,B,A,,A,0
a,MID0154,French,D,A,,A,0
a,MID0155,French,C,C,,C,1
a,MID0156,French,A,A,,A,1
a,MID0157,French,B,B,,B,1
a,MID0158,French,B,B,,B,1
a,MID0159,French,A,A,,A,1
a,MID0160,French,A,A,,A,1
