task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_xl,Arabic,MID0001,آخر الحياة الموت," Live life to its fullest; Tempus fugit, utere.",A wisdom that has become a proverb about not caring about threats. ,True,To live life to its fullest means to prepare for death in the afterlife.,A wisdom that has become a proverb about not caring about threats. ,"If a person lives life to its fullest, death will eventually catch up with them.",The proverb implies a focus on personal achievements before giving in to old age.,B,"If a person lives life to its fullest, death will eventually catch up with them.",The proverb implies a focus on personal achievements before giving in to old age.,To live life to its fullest means to prepare for death in the afterlife.,"[""If a person lives life to its fullest, death will eventually catch up with them."", ""The proverb implies a focus on personal achievements before giving in to old age."", ""To live life to its fullest means to prepare for death in the afterlife.""]",1.0,1.0,1.19,0.87,96.1
b,cot_xl,Arabic,MID0002,أتبع من الظل.,Sticks to them like a shadow.,The proverb refers to someone who follows another person more than his shadow follows him.,True,He is afraid of darkness.,He is completely unaware of his surroundings.,He is a master of hiding.,The proverb refers to someone who follows another person more than his shadow follows him.,D,He is afraid of darkness.,He is a master of hiding.,He is completely unaware of his surroundings.,"[""He is afraid of darkness."", ""He is a master of hiding."", ""He is completely unaware of his surroundings.""]",1.0,1.0,0.4,0.66,89.8
b,cot_xl,Arabic,MID0003,أحْسِنْ إلى الناس تستعبد قلوبهم.,Kindness begets kindness.,It means that kindness and good treatment are the only way to gain people's love.,True,You have to give in physically to people's desires,"If you're kind to people, they'll eventually do all the work for you",Kindness is only effective if you're extremely wealthy,It means that kindness and good treatment are the only way to gain people's love.,D,You have to give in physically to people's desires,Kindness is only effective if you're extremely wealthy,"If you're kind to people, they'll eventually do all the work for you","[""You have to give in physically to people's desires"", ""Kindness is only effective if you're extremely wealthy"", ""If you're kind to people, they'll eventually do all the work for you""]",1.0,1.0,0.67,0.93,97.9
b,cot_xl,Arabic,MID0004,أحضر الناس جوابًا من لم يغضب,"If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.","The proverb urges calm and patience, as anger can sometimes make a person miss the opportunity to answer or lead him to the wrong answer.",True,"Calmness is a natural trait of the elderly, and this proverb is warning against the foolishness of youth.","Anger is a sign of courage, and a calm person is often a coward.",The proverb is actually saying that people who are calm are not as honest or genuine as those who lose their temper.,"The proverb urges calm and patience, as anger can sometimes make a person miss the opportunity to answer or lead him to the wrong answer.",D,"Anger is a sign of courage, and a calm person is often a coward.","Calmness is a natural trait of the elderly, and this proverb is warning against the foolishness of youth.",The proverb is actually saying that people who are calm are not as honest or genuine as those who lose their temper.,"[""Anger is a sign of courage, and a calm person is often a coward."", ""Calmness is a natural trait of the elderly, and this proverb is warning against the foolishness of youth."", ""The proverb is actually saying that people who are calm are not as honest or genuine as those who lose their temper.""]",1.0,1.0,0.72,0.88,96.4
b,cot_xl,Arabic,MID0005,أحلام العصافير.,pie in the sky.,This proverb describes the dreams of fools. It is also said: “Lighter than a bird's dream.”,True,"It is an insult directed towards someone with an active imagination, but in a whimsical manner. They have their feet firmly on the ground.",It symbolizes a person from a highly respected tribe. Their lineage and ancestry surpass even the finest feathers of the birds.,This proverb describes the dreams of fools. It is also said: “Lighter than a bird's dream.”,A phrase used to describe a person with exceptionally beautiful singing voice. Birds in Arabic culture are known for their melodious songs after all.,C,A phrase used to describe a person with exceptionally beautiful singing voice. Birds in Arabic culture are known for their melodious songs after all.,"It is an insult directed towards someone with an active imagination, but in a whimsical manner. They have their feet firmly on the ground.",It symbolizes a person from a highly respected tribe. Their lineage and ancestry surpass even the finest feathers of the birds.,"[""A phrase used to describe a person with exceptionally beautiful singing voice. Birds in Arabic culture are known for their melodious songs after all."",
""It is an insult directed towards someone with an active imagination, but in a whimsical manner. They have their feet firmly on the ground."",
""It symbolizes a person from a highly respected tribe. Their lineage and ancestry surpass even the fines",1.0,1.0,1.44,0.91,97.3
b,cot_xl,Arabic,MID0006,أدنى من حبل الوريد.,closer than one's shadow.,"It means intense closeness, and it is quoted from the noble verse: “and We know what his soul whispers to him.”",True,It refers to those who are physically closer in terms of distance,A common phrase for describing people with high blood pressure,"It means intense closeness, and it is quoted from the noble verse: “and We know what his soul whispers to him.”","A metaphor for intense secrecy, as shadows can conceal one's true intentions",C,It refers to those who are physically closer in terms of distance,A common phrase for describing people with high blood pressure,"A metaphor for intense secrecy, as shadows can conceal one's true intentions","[""It refers to those who are physically closer in terms of distance"", ""A common phrase for describing people with high blood pressure"", ""A metaphor for intense secrecy, as shadows can conceal one's true intentions""]",1.0,1.0,0.54,0.97,99.1
b,cot_xl,Arabic,MID0007,أسمع جعجعة ولا أرى طحينا,Much ado about nothing.,"It is said about a man who talks a lot but does not work, and who makes promises but does not fulfill them.",True,The phrase describes a man who always wears a different outfit.,"It is said about a man who talks a lot but does not work, and who makes promises but does not fulfill them.",The man talks a lot to distract from his physical beauty.,A man who only eats foods made with peanuts and walnuts.,B,The man talks a lot to distract from his physical beauty.,The phrase describes a man who always wears a different outfit.,A man who only eats foods made with peanuts and walnuts.,"[""The man talks a lot to distract from his physical beauty."",
""The phrase describes a man who always wears a different outfit."",
""A man who only eats foods made with peanuts and walnuts.""]",1.0,1.0,0.48,0.86,95.8
b,cot_xl,Arabic,MID0008,أسمعٌ صوتا وأرى فوتا.,Much ado about nothing,"Fawt: passed and went away. The proverb means literally: ""I hear words and speech but I do not see action and implementation."" It is said about someone who makes excuses but does not fulfill his promise. In the same meaning, it is said: ""I hear the noise but I do not see the grinding"".",True,"One who knows the meaning behind an Arabic phrase, but not its literal translation.","One who speaks Arabic with a thick accent, yet writes fluently.","He who only listens to the sound of an Arabic poem, but not its musical composition.","Fawt: passed and went away. The proverb means literally: ""I hear words and speech but I do not see action and implementation."" It is said about someone who makes excuses but does not fulfill his promise. In the same meaning, it is said: ""I hear the noise but I do not see the grinding"".",D,"One who speaks Arabic with a thick accent, yet writes fluently.","He who only listens to the sound of an Arabic poem, but not its musical composition.","One who knows the meaning behind an Arabic phrase, but not its literal translation.","[""One who speaks Arabic with a thick accent, yet writes fluently."",
""He who only listens to the sound of an Arabic poem, but not its musical composition."",
""One who knows the meaning behind an Arabic phrase, but not its literal translation.""]",1.0,1.0,0.25,0.83,94.9
b,cot_xl,Arabic,MID0009,أطلق ساقيه للريح,Runs like the wind.,"The wind, in its fast blowing, is a metaphor for someone who raced and used his legs to quickly get away from a place of danger that he feared might overtake him or kill him.",True,A child who plays outdoors without a care.,A person who has given up on life and is carefree.,"The wind, in its fast blowing, is a metaphor for someone who raced and used his legs to quickly get away from a place of danger that he feared might overtake him or kill him.",A farmer who has finally found a good place to harvest wheat.,C,A person who has given up on life and is carefree.,A child who plays outdoors without a care.,A farmer who has finally found a good place to harvest wheat.,"[""A person who has given up on life and is carefree."", ""A child who plays outdoors without a care."", ""A farmer who has finally found a good place to harvest wheat."" ]",1.0,1.0,0.3,0.86,95.8
b,cot_xl,Arabic,MID0010,أعدل الشهود التجارب.,Experience is the best teacher,The proverb means that the experiences a person goes through make him learn and realize many situations in life.,True,Witnesses are preferred over other means of proof.,The best witnesses are those who have experienced torture.,Experience teaches you how to escape danger,The proverb means that the experiences a person goes through make him learn and realize many situations in life.,D,The best witnesses are those who have experienced torture.,Witnesses are preferred over other means of proof.,Experience teaches you how to escape danger,"[""The best witnesses are those who have experienced torture."", ""Witnesses are preferred over other means of proof."", ""Experience teaches you how to escape danger""]",1.0,1.0,0.42,0.96,98.8
b,cot_xl,Arabic,MID0011,أفعال لا أقوال.,Action speaks louder than words,"This proverb means that actions express intentions and sincerity more than words. It indicates that what a person does is more important and valuable than what he says, as actions reveal the true intention of people.",True,This proverb implies that physical strength is the most important factor in determining one's influence on others.,"This proverb means that actions express intentions and sincerity more than words. It indicates that what a person does is more important and valuable than what he says, as actions reveal the true intention of people.",The person who speaks in a loud voice is not necessarily more persuasive.,A person's ability to express themselves verbally is directly correlated to their level of intelligence.,B,The person who speaks in a loud voice is not necessarily more persuasive.,A person's ability to express themselves verbally is directly correlated to their level of intelligence.,This proverb implies that physical strength is the most important factor in determining one's influence on others.,"[""The person who speaks in a loud voice is not necessarily more persuasive."", ""A person's ability to express themselves verbally is directly correlated to their level of intelligence."", ""This proverb implies that physical strength is the most important factor in determining one's influence on others.""]",1.0,1.0,0.42,0.93,97.9
b,cot_xl,Arabic,MID0012,أكل عليه الدهر وشرب,Be old hat. / It’s as old as the hills.,"A proverb used by Arabs to describe something old or someone who has lived a long time. In other words, it refers to something that has been around for a long time and has become outdated or unfashionable.",True,This proverb is a warning to avoid eating and drinking in certain situations.,The phrase is often used to describe a person who eats and drinks too much.,"A proverb used by Arabs to describe something old or someone who has lived a long time. In other words, it refers to something that has been around for a long time and has become outdated or unfashionable.","In Arabic culture, this proverb is a metaphor for a long-lasting romantic relationship.",C,This proverb is a warning to avoid eating and drinking in certain situations.,The phrase is often used to describe a person who eats and drinks too much.,"In Arabic culture, this proverb is a metaphor for a long-lasting romantic relationship.","[""This proverb is a warning to avoid eating and drinking in certain situations."", ""The phrase is often used to describe a person who eats and drinks too much."", ""In Arabic culture, this proverb is a metaphor for a long-lasting romantic relationship.""]",1.0,1.0,0.36,0.83,94.9
b,cot_xl,Arabic,MID0013,أول الغضب جنون وآخره ندم,A man of quick temper acts foolishly.,"This proverb means that when a person gets angry, they lose control of themselves and act irrationally, but when they calm down, they feel regret for their previous actions and wish they had acted better. This proverb highlights the importance of calmness and thinking before taking any action.",True,A man of quick temper is a natural leader.,Calmness is a virtue only for the wealthy and powerful.,Anger is a sign of deep passion and love.,"This proverb means that when a person gets angry, they lose control of themselves and act irrationally, but when they calm down, they feel regret for their previous actions and wish they had acted better. This proverb highlights the importance of calmness and thinking before taking any action.",D,A man of quick temper is a natural leader.,Anger is a sign of deep passion and love.,Calmness is a virtue only for the wealthy and powerful.,"[""A man of quick temper is a natural leader."", ""Anger is a sign of deep passion and love."", ""Calmness is a virtue only for the wealthy and powerful.""]",1.0,1.0,0.19,0.82,94.6
b,cot_xl,Arabic,MID0014,إذا أنت أكرمت الكريم ملكته وإن أنت أكرمت اللئيم تمردا,"Never trust on unknown hands, you will never know how they stand by you and back stab with their brains.","It is a verse of poetry by Al-Mutanabbi means: If you do good to someone who is not good, he will be ungrateful for your blessings and will not thank you for your kindness to him.",True,"This proverb suggests that the act of being kind has a direct correlation to the level of a person's intelligence, and those who are not intelligent are ungrateful.","In this context, 'doing good' is not just a moral action but a physical act of gift-giving or service, and the subject's failure to reciprocate implies a personal failure on their part.","If a king were to apply this proverb, he would be doomed to live in a state of constant fear, where every decision is weighed against the potential for betrayal.","It is a verse of poetry by Al-Mutanabbi means: If you do good to someone who is not good, he will be ungrateful for your blessings and will not thank you for your kindness to him.",D,"If a king were to apply this proverb, he would be doomed to live in a state of constant fear, where every decision is weighed against the potential for betrayal.","This proverb suggests that the act of being kind has a direct correlation to the level of a person's intelligence, and those who are not intelligent are ungrateful.","In this context, 'doing good' is not just a moral action but a physical act of gift-giving or service, and the subject's failure to reciprocate implies a personal failure on their part.","[""If a king were to apply this proverb, he would be doomed to live in a state of constant fear, where every decision is weighed against the potential for betrayal."", ""This proverb suggests that the act of being kind has a direct correlation to the level of a person's intelligence, and those who are not intelligent are ungrateful."", ""In this context, 'doing good' is not just a moral action but a ph",1.0,1.0,0.83,0.86,95.8
b,cot_xl,Arabic,MID0015,إذا دخلت قرية فاحلف بآلهتها.,"When in Rome, do as the Romans do.","The proverb means adapting to your environment, and not deviating from the customs and traditions of the people.",True,"The proverb means adapting to your environment, and not deviating from the customs and traditions of the people.","When visiting a foreign village, one should make an explicit promise to the local gods to ensure the success of their trading endeavors.","When in a new village, be sure to swear an oath in the name of their gods to avoid tempting fate.",The proverb is suggesting that a person should only perform their rituals and worship in a new village after seeking the permission of the local deities.,A,"When in a new village, be sure to swear an oath in the name of their gods to avoid tempting fate.",The proverb is suggesting that a person should only perform their rituals and worship in a new village after seeking the permission of the local deities.,"When visiting a foreign village, one should make an explicit promise to the local gods to ensure the success of their trading endeavors.","[""When in a new village, be sure to swear an oath in the name of their gods to avoid tempting fate."", ""The proverb is suggesting that a person should only perform their rituals and worship in a new village after seeking the permission of the local deities."", ""When visiting a foreign village, one should make an explicit promise to the local gods to ensure the success of their trading endeavors.""]",1.0,1.0,1.3,0.8,94.0
b,cot_xl,Arabic,MID0016,إذا ذكرت الذئب فأعد له العصا.,"when you speak of the storm, ready your sails",The proverb urges us to be well prepared for things and not to be negligent.,True,"When you mention the wolf, prepare a feast for it.","When you talk about the wild boar, sharpen your arrows.",The proverb urges us to be well prepared for things and not to be negligent.,"When you say the hyena, prepare a cage for it.",C,"When you say the hyena, prepare a cage for it.","When you mention the wolf, prepare a feast for it.","When you talk about the wild boar, sharpen your arrows.","[""When you say the hyena, prepare a cage for it."",
""When you mention the wolf, prepare a feast for it."",
""When you talk about the wild boar, sharpen your arrows.""]",1.0,1.0,0.67,0.7,91.0
b,cot_xl,Arabic,MID0017,إذا ذكرت الذئب فخذ الحذر.,"when you speak of the storm, ready your sails",The proverb urges us to be well prepared for things and not to be negligent.,True,The proverb urges us to be well prepared for things and not to be negligent.,The proverb warns of the danger of speaking poorly of the hyena,"When you mention the wolf, it's a sign that you should be cautious of your brother","If you speak of the wolf, it implies you're planning a hunt",A,"If you speak of the wolf, it implies you're planning a hunt",The proverb warns of the danger of speaking poorly of the hyena,"When you mention the wolf, it's a sign that you should be cautious of your brother","[""If you speak of the wolf, it implies you're planning a hunt"", ""The proverb warns of the danger of speaking poorly of the hyena"", ""When you mention the wolf, it's a sign that you should be cautious of your brother""]",1.0,1.0,0.89,0.86,95.8
b,cot_xl,Arabic,MID0018,إذا رأيتَ أنيابَ الليثِ بارزة، فلا تَظُننَّ أنَّ الليثَ يبتسمُ,Don't judge a book by its cover.,"This proverb means that when you see warning or danger signs, you should not think them a sign of kindness. The idea is that protruding fangs are a signal of danger or threat, not a sign of a smile or greeting.",True,The proverb is warning us about the dangers of judging animals that have sharp teeth.,"This proverb means that when you see warning or danger signs, you should not think them a sign of kindness. The idea is that protruding fangs are a signal of danger or threat, not a sign of a smile or greeting.","When you see warning signs in nature, don't expect a storm.","This proverb is telling us not to trust people who wear sharp, pointed jewelry.",B,"When you see warning signs in nature, don't expect a storm.",The proverb is warning us about the dangers of judging animals that have sharp teeth.,"This proverb is telling us not to trust people who wear sharp, pointed jewelry.","[""When you see warning signs in nature, don't expect a storm."", ""The proverb is warning us about the dangers of judging animals that have sharp teeth."", ""This proverb is telling us not to trust people who wear sharp, pointed jewelry.""]",1.0,1.0,0.33,0.95,98.5
b,cot_xl,Arabic,MID0019,إذا كَانَ الكَلَامُ مِن فِضَّة فالسُكُوت مِن ذَهَب,"Speech is silver, silence is golden",A proverb shows the importance of silence compared to useless and meaningless talk.,True,The proverb suggests that speaking in Arabic is more valued than any other language.,The phrase implies that silver speech is a form of feminine communication.,It implies that golden silence is a form of wealth that should be stored like precious metals.,A proverb shows the importance of silence compared to useless and meaningless talk.,D,The proverb suggests that speaking in Arabic is more valued than any other language.,It implies that golden silence is a form of wealth that should be stored like precious metals.,The phrase implies that silver speech is a form of feminine communication.,"[""The proverb suggests that speaking in Arabic is more valued than any other language."", ""It implies that golden silence is a form of wealth that should be stored like precious metals."", ""The phrase implies that silver speech is a form of feminine communication.""]",1.0,1.0,1.1,0.84,95.2
