mcq_id,language,shuffle_i,accuracy,correct_label_original,correct_label_after_shuffle,flipped
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,1,1.0,C,B,1
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,2,1.0,C,D,1
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,3,1.0,C,A,1
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,4,1.0,C,D,1
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,5,1.0,C,B,1
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,6,1.0,C,A,1
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,7,1.0,C,A,1
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,8,1.0,C,A,1
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,9,1.0,C,A,1
google_gemini-2.5-flash_adversarial-hard-negative_English_9,English,10,1.0,C,A,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,1,1.0,C,B,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,2,1.0,C,B,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,3,1.0,C,D,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,4,1.0,C,A,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,5,1.0,C,A,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,6,1.0,C,A,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,7,1.0,C,A,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,8,1.0,C,A,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,9,1.0,C,A,1
google_gemini-2.5-flash_overgenerate-select_English_7,English,10,1.0,C,C,0
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,1,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,2,1.0,A,C,1
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,3,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,4,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,5,1.0,A,A,0
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,6,1.0,A,C,1
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,7,1.0,A,A,0
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,8,1.0,A,D,1
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,9,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_English_9,English,10,1.0,A,B,1
google_gemma-4-31b-it_overgenerate-select_English_7,English,1,1.0,B,A,1
google_gemma-4-31b-it_overgenerate-select_English_7,English,2,1.0,B,D,1
google_gemma-4-31b-it_overgenerate-select_English_7,English,3,1.0,B,A,1
google_gemma-4-31b-it_overgenerate-select_English_7,English,4,1.0,B,A,1
google_gemma-4-31b-it_overgenerate-select_English_7,English,5,1.0,B,B,0
google_gemma-4-31b-it_overgenerate-select_English_7,English,6,1.0,B,D,1
google_gemma-4-31b-it_overgenerate-select_English_7,English,7,1.0,B,D,1
google_gemma-4-31b-it_overgenerate-select_English_7,English,8,1.0,B,A,1
google_gemma-4-31b-it_overgenerate-select_English_7,English,9,1.0,B,A,1
google_gemma-4-31b-it_overgenerate-select_English_7,English,10,1.0,B,C,1
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,1,1.0,A,A,0
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,2,1.0,A,C,1
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,3,1.0,A,A,0
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,4,1.0,A,B,1
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,5,1.0,A,A,0
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,6,1.0,A,D,1
