task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_xl,English,0,A bird in the hand is worth two in the bush,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,False,"If you catch a bird in your hand, you should go catch two more birds from the bush.","A bird in your hand is literally worth two birds that you're not holding, but that you see in a bush.",The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,"If you are holding a bird, it's worth comparing the value of two birds you see in the bush.",C,"If you are holding a bird, it's worth comparing the value of two birds you see in the bush.","A bird in your hand is literally worth two birds that you're not holding, but that you see in a bush.","If you catch a bird in your hand, you should go catch two more birds from the bush.","[""If you are holding a bird, it's worth comparing the value of two birds you see in the bush."", ""A bird in your hand is literally worth two birds that you're not holding, but that you see in a bush."", ""If you catch a bird in your hand, you should go catch two more birds from the bush.""]",1.0,1.0,0.52,0.69,90.7
a,cot_xl,English,3,A journey of a thousand miles begins with a single step,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.","The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",False,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",The single step is a specific requirement for starting a journey over a thousand miles.,A thousand miles is the exact distance one should travel at the start of a journey.,A journey with only one mile will require 1000 steps to reach the starting point.,A,A thousand miles is the exact distance one should travel at the start of a journey.,The single step is a specific requirement for starting a journey over a thousand miles.,A journey with only one mile will require 1000 steps to reach the starting point.,"[""A thousand miles is the exact distance one should travel at the start of a journey."",""The single step is a specific requirement for starting a journey over a thousand miles."",""A journey with only one mile will require 1000 steps to reach the starting point.""].",1.0,1.0,0.46,0.85,95.5
a,cot_xl,English,4,A leopard cannot change its spots,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,False,A leopard is physically unable to change the spots on its fur through laundry or other forms of cleaning.,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,A leopard has a special talent for drawing spots with its paws.,Leopards will eventually grow out of their spots as they mature.,B,A leopard has a special talent for drawing spots with its paws.,A leopard is physically unable to change the spots on its fur through laundry or other forms of cleaning.,Leopards will eventually grow out of their spots as they mature.,"[""A leopard has a special talent for drawing spots with its paws."", ""A leopard is physically unable to change the spots on its fur through laundry or other forms of cleaning."", ""Leopards will eventually grow out of their spots as they mature.""]",1.0,1.0,0.38,0.91,97.3
a,cot_xl,English,5,A little knowledge is a dangerous thing,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.","The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",False,Knowledge is a hazardous product and should be stored with care,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",A little knowledge is a danger sign that something has gone wrong,Knowledge is only useful in large quantities and is useless in small amounts,B,Knowledge is a hazardous product and should be stored with care,A little knowledge is a danger sign that something has gone wrong,Knowledge is only useful in large quantities and is useless in small amounts,"[""Knowledge is a hazardous product and should be stored with care"", ""A little knowledge is a danger sign that something has gone wrong"", ""Knowledge is only useful in large quantities and is useless in small amounts""]",1.0,1.0,0.31,0.86,95.8
a,cot_xl,English,6,A rolling stone gathers no moss,Someone who does not settle in one place rarely prospers.,Someone who does not settle in one place rarely prospers.,False,Someone who does not settle in one place rarely prospers.,A type of stone that rolls on its own surface has a hard time getting moss due to the friction and constant movement.,A person who is literally rolling on the ground due to an injury may not be able to accumulate moss on their body.,A stone that is being rolled as part of a landscaping project will not be able to grow moss due to the constant motion and lack of stable surface.,A,A type of stone that rolls on its own surface has a hard time getting moss due to the friction and constant movement.,A person who is literally rolling on the ground due to an injury may not be able to accumulate moss on their body.,A stone that is being rolled as part of a landscaping project will not be able to grow moss due to the constant motion and lack of stable surface.,"<a rolling stone gathers no moss is a metaphorical proverb about someone who keeps moving place being unsuccessful, but if we take it literally:>

[""A type of stone that rolls on its own surface has a hard time getting moss due to the friction and constant movement.""]

[""A person who is literally rolling on the ground due to an injury may not be able to accumulate moss on their body.""]

[""A stone ",1.0,1.0,2.5,0.78,93.4
a,cot_xl,English,7,A stitch in time saves nine,A 'stitch in time' is a timely effort that will prevent more work later.,A 'stitch in time' is a timely effort that will prevent more work later.,False,A 'stitch in time' is a timely effort that will prevent more work later.,A single thread of a sewing needle contains nine stitches.,A single stitch in a piece of clothing is the ninth one sewn that day.,A tailor must sew nine stitches to secure a sewing thread.,A,A single thread of a sewing needle contains nine stitches.,A tailor must sew nine stitches to secure a sewing thread.,A single stitch in a piece of clothing is the ninth one sewn that day.,"""Saving nine lives by sewing a single life-saving stitch into a clock."" 
[""A single thread of a sewing needle contains nine stitches."", ""A tailor must sew nine stitches to secure a sewing thread."", ""A single stitch in a piece of clothing is the ninth one sewn that day.""]",1.0,1.0,0.86,0.87,96.1
a,cot_xl,English,8,A watched pot never boils,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,False,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,A pot that is being watched will never boil due to the lack of a heat source,The heat from a pot being watched causes it to boil at a slower rate,The act of watching a pot directly prevents it from boiling,A,The heat from a pot being watched causes it to boil at a slower rate,A pot that is being watched will never boil due to the lack of a heat source,The act of watching a pot directly prevents it from boiling,"[""The heat from a pot being watched causes it to boil at a slower rate"", ""A pot that is being watched will never boil due to the lack of a heat source"", ""The act of watching a pot directly prevents it from boiling""]",1.0,1.0,0.55,0.74,92.2
a,cot_xl,English,9,A wolf in sheep's clothing,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,False,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,You give a wolf a sheep's wool to wear.,A person dresses up a wolf as a sheep for a costume party.,Sheep's clothing is designed to keep wolves warm.,A,You give a wolf a sheep's wool to wear.,Sheep's clothing is designed to keep wolves warm.,A person dresses up a wolf as a sheep for a costume party.,"[""You give a wolf a sheep's wool to wear."", ""Sheep's clothing is designed to keep wolves warm."", ""A person dresses up a wolf as a sheep for a costume party.""]",1.0,1.0,0.62,0.91,97.3
a,cot_xl,English,10,Absolute power corrupts absolutely,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.","The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.",False,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.",Absolute power requires the wearer of an absolute crown.,The world will be governed by absolute beings after achieving absolute power.,A ruler will have absolute power only after building an absolute castle.,A,A ruler will have absolute power only after building an absolute castle.,Absolute power requires the wearer of an absolute crown.,The world will be governed by absolute beings after achieving absolute power.,"The power of absolute power allows a ruler to build an absolute empire with absolute buildings.

[""A ruler will have absolute power only after building an absolute castle."", ""Absolute power requires the wearer of an absolute crown."", ""The world will be governed by absolute beings after achieving absolute power.""]",1.0,1.0,0.5,0.85,95.5
a,cot_xl,English,11,Actions speak louder than words,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,False,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,"You can amplify the sound of a person's words using a microphone and a loudspeaker, but it won't be as loud as their actions","The louder someone speaks, the more their words will create sound waves that can be felt",Actions will drown out any spoken words in a crowded room,A,Actions will drown out any spoken words in a crowded room,"The louder someone speaks, the more their words will create sound waves that can be felt","You can amplify the sound of a person's words using a microphone and a loudspeaker, but it won't be as loud as their actions","[""Actions will drown out any spoken words in a crowded room"", ""The louder someone speaks, the more their words will create sound waves that can be felt"", ""You can amplify the sound of a person's words using a microphone and a loudspeaker, but it won't be as loud as their actions""]",1.0,1.0,0.77,0.87,96.1
