task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,zs,French,MID0001,L’habit ne fait pas le moine,The vestment does not make the monk,The vestment does not make the monk,False,A monk's identity comes from his outfit,The vestment does not make the monk,Clothing determines one's religious position,Wearing monastic robes turns someone into a monk,B,Wearing monastic robes turns someone into a monk,Clothing determines one's religious position,A monk's identity comes from his outfit,"{""1"": [""Wearing monastic robes turns someone into a monk"", ""Clothing determines one's religious position"", ""A monk's identity comes from his outfit""], ""2"": [""Only those who survive will witness future events"", ""Living longer allows you to see more things"", ""Seeing the future depends on lifespan""], ""3"": [""Noon appears differently depending on your location"", ""Each person experiences midday at their",1.0,1.0,0.95,0.98,99.4
a,zs,French,MID0002,Qui vivra verra,"He/she who lives, shall see.","He/she who lives, shall see.",False,Seeing the future depends on lifespan,Only those who survive will witness future events,Living longer allows you to see more things,"He/she who lives, shall see.",D,Only those who survive will witness future events,Living longer allows you to see more things,Seeing the future depends on lifespan,"{""1"": [""Wearing monastic robes turns someone into a monk"", ""Clothing determines one's religious position"", ""A monk's identity comes from his outfit""], ""2"": [""Only those who survive will witness future events"", ""Living longer allows you to see more things"", ""Seeing the future depends on lifespan""], ""3"": [""Noon appears differently depending on your location"", ""Each person experiences midday at their",1.0,1.0,1.47,0.97,99.1
a,zs,French,MID0003,Chacun voit midi à sa porte,Each person sees noon at his/her door.,Each person sees noon at his/her door.,False,Noon appears differently depending on your location,Each person experiences midday at their own doorstep,People observe solar noon from their own house,Each person sees noon at his/her door.,D,Noon appears differently depending on your location,Each person experiences midday at their own doorstep,People observe solar noon from their own house,"{""1"": [""Wearing monastic robes turns someone into a monk"", ""Clothing determines one's religious position"", ""A monk's identity comes from his outfit""], ""2"": [""Only those who survive will witness future events"", ""Living longer allows you to see more things"", ""Seeing the future depends on lifespan""], ""3"": [""Noon appears differently depending on your location"", ""Each person experiences midday at their",1.0,1.0,1.1,0.93,97.9
a,zs,French,MID0004,Mieux vaut prévenir que guérir,It’s better to prevent than to heal.,It’s better to prevent than to heal.,False,It’s better to prevent than to heal.,Avoiding illness is cheaper than medical treatment,It's easier to stop a disease before it starts,Prevention is always faster than healing,A,Prevention is always faster than healing,Avoiding illness is cheaper than medical treatment,It's easier to stop a disease before it starts,"{""1"": [""Wearing monastic robes turns someone into a monk"", ""Clothing determines one's religious position"", ""A monk's identity comes from his outfit""], ""2"": [""Only those who survive will witness future events"", ""Living longer allows you to see more things"", ""Seeing the future depends on lifespan""], ""3"": [""Noon appears differently depending on your location"", ""Each person experiences midday at their",1.0,1.0,1.05,0.94,98.2
a,zs,French,MID0005,"Qui n’avance pas, recule","Who does not move forward, recedes.","Who does not move forward, recedes.",False,"If you don't walk forward, you automatically move backward",Standing still causes regression in physical position,"Who does not move forward, recedes.",Progress requires constant movement or else you retreat,C,"If you don't walk forward, you automatically move backward",Standing still causes regression in physical position,Progress requires constant movement or else you retreat,"{""1"": [""Wearing monastic robes turns someone into a monk"", ""Clothing determines one's religious position"", ""A monk's identity comes from his outfit""], ""2"": [""Only those who survive will witness future events"", ""Living longer allows you to see more things"", ""Seeing the future depends on lifespan""], ""3"": [""Noon appears differently depending on your location"", ""Each person experiences midday at their",1.0,1.0,1.33,0.98,99.4
a,zs,French,MID0006,Il ne faut pas se fier aux apparences,One should not trust appearances.,One should not trust appearances.,False,Do not look at how things appear.,Only appearances matter in life.,Appearances must be trusted completely.,One should not trust appearances.,D,Appearances must be trusted completely.,Do not look at how things appear.,Only appearances matter in life.,"{""1"": [""Appearances must be trusted completely."", ""Do not look at how things appear."", ""Only appearances matter in life.""], ""2"": [""A bird builds its nest very quickly."", ""Birds always build nests alone."", ""The bird makes its nest all at once.""], ""3"": [""Speaking slowly leads to fast results."", ""What is done cannot be said."", ""Talking about something finishes it.""], ""4"": [""Badly earned money benefit",1.0,1.0,1.13,0.96,98.8
a,zs,French,MID0007,"Petit à petit, l’oiseau fait son nid","Little by little, the bird makes its nest.","Little by little, the bird makes its nest.",False,The bird makes its nest all at once.,Birds always build nests alone.,"Little by little, the bird makes its nest.",A bird builds its nest very quickly.,C,A bird builds its nest very quickly.,Birds always build nests alone.,The bird makes its nest all at once.,"{""1"": [""Appearances must be trusted completely."", ""Do not look at how things appear."", ""Only appearances matter in life.""], ""2"": [""A bird builds its nest very quickly."", ""Birds always build nests alone."", ""The bird makes its nest all at once.""], ""3"": [""Speaking slowly leads to fast results."", ""What is done cannot be said."", ""Talking about something finishes it.""], ""4"": [""Badly earned money benefit",1.0,1.0,0.83,0.92,97.6
a,zs,French,MID0008,"Aussitôt dit, aussitôt fait","As soon as said, as soon as done.","As soon as said, as soon as done.",False,"As soon as said, as soon as done.",Talking about something finishes it.,Speaking slowly leads to fast results.,What is done cannot be said.,A,Speaking slowly leads to fast results.,What is done cannot be said.,Talking about something finishes it.,"{""1"": [""Appearances must be trusted completely."", ""Do not look at how things appear."", ""Only appearances matter in life.""], ""2"": [""A bird builds its nest very quickly."", ""Birds always build nests alone."", ""The bird makes its nest all at once.""], ""3"": [""Speaking slowly leads to fast results."", ""What is done cannot be said."", ""Talking about something finishes it.""], ""4"": [""Badly earned money benefit",1.0,1.0,0.71,1.0,100.0
a,zs,French,MID0009,Bien mal acquis ne profite jamais,A badly acquired good never benefits.,A badly acquired good never benefits.,False,Good acquisitions are always profitable.,Never acquire things properly.,Badly earned money benefits everyone.,A badly acquired good never benefits.,D,Badly earned money benefits everyone.,Never acquire things properly.,Good acquisitions are always profitable.,"{""1"": [""Appearances must be trusted completely."", ""Do not look at how things appear."", ""Only appearances matter in life.""], ""2"": [""A bird builds its nest very quickly."", ""Birds always build nests alone."", ""The bird makes its nest all at once.""], ""3"": [""Speaking slowly leads to fast results."", ""What is done cannot be said."", ""Talking about something finishes it.""], ""4"": [""Badly earned money benefit",1.0,0.6666666666666666,0.78,1.0,90.0
a,zs,French,MID0010,"Qui court deux lièvres à la fois, n’en prend aucun","Who runs after two hares at the same time, catches none.","Who runs after two hares at the same time, catches none.",False,Hunting one hare is impossible.,Chasing three hares catches one.,"Who runs after two hares at the same time, catches none.",Running fast catches both hares.,C,Chasing three hares catches one.,Hunting one hare is impossible.,Running fast catches both hares.,"{""1"": [""Appearances must be trusted completely."", ""Do not look at how things appear."", ""Only appearances matter in life.""], ""2"": [""A bird builds its nest very quickly."", ""Birds always build nests alone."", ""The bird makes its nest all at once.""], ""3"": [""Speaking slowly leads to fast results."", ""What is done cannot be said."", ""Talking about something finishes it.""], ""4"": [""Badly earned money benefit",1.0,1.0,0.45,0.96,98.8
