task,strategy,lang,source_proverb,correct_text,correct_answer,Choice_A,Choice_B,Choice_C,Choice_D
a,Strategy_1,English,No man can serve two masters,No man can serve two masters,C,People who live in glass houses should not throw stones.,Be just before you are generous,No man can serve two masters,Accidents will happen
a,Strategy_1,English,Never test the depth of water with both feet,Never test the depth of water with both feet,B,"While there is life, there is hope",Never test the depth of water with both feet,People who live in glass houses should not throw stones.,From the sublime to the ridiculous is but a step
a,Strategy_1,English,Count your chickens before they are hatched,Count your chickens before they are hatched,D,Fake it until you make it,"He is unworthy to live, who lives only for himself","Translators, traitors",Count your chickens before they are hatched
a,Strategy_1,English,"Translators, traitors","Translators, traitors",B,One swallow does not make a summer,"Translators, traitors",There's small choice in rotten apples,From the sublime to the ridiculous is but a step
a,Strategy_1,English,Rain on someone's parade.,Rain on someone's parade.,B,"If you're not paying, you're the product",Rain on someone's parade.,Love is without reason,Never test the depth of water with both feet
a,Strategy_1,English,Marriage makes or mars a man,Marriage makes or mars a man,A,Marriage makes or mars a man,"Translators, traitors","A prophet is not without honor, save in his own country",Accidents will happen
a,Strategy_1,English,God tempers the wind to the shorn lamb.,God tempers the wind to the shorn lamb.,A,God tempers the wind to the shorn lamb.,"Translators, traitors",Saved by the bell.,"While there is life, there is hope"
a,Strategy_1,English,"If you can't beat 'em, join 'em","If you can't beat 'em, join 'em",A,"If you can't beat 'em, join 'em",Be just before you are generous,"Wise men learn by other men’s mistakes, fools by their own","A prophet is not without honor, save in his own country"
a,Strategy_1,English,There's small choice in rotten apples,There's small choice in rotten apples,D,"If you're not paying, you're the product",Accidents will happen,"He is unworthy to live, who lives only for himself",There's small choice in rotten apples
a,Strategy_1,English,"He is unworthy to live, who lives only for himself","He is unworthy to live, who lives only for himself",A,"He is unworthy to live, who lives only for himself",He who wills the end wills the means,Count your chickens before they are hatched,There's small choice in rotten apples
a,Strategy_1,English,"Wise men learn by other men’s mistakes, fools by their own","Wise men learn by other men’s mistakes, fools by their own",A,"Wise men learn by other men’s mistakes, fools by their own",He who wills the end wills the means,Power corrupts,There's small choice in rotten apples
a,Strategy_1,English,Love is without reason,Love is without reason,C,Never test the depth of water with both feet,"If you're not paying, you're the product",Love is without reason,From the sublime to the ridiculous is but a step
a,Strategy_1,English,Every law has a loophole,Every law has a loophole,C,Love is without reason,Power corrupts,Every law has a loophole,"Wise men learn by other men’s mistakes, fools by their own"
a,Strategy_1,English,People who live in glass houses should not throw stones.,People who live in glass houses should not throw stones.,C,Rain on someone's parade.,Count your chickens before they are hatched,People who live in glass houses should not throw stones.,"Wise men learn by other men’s mistakes, fools by their own"
a,Strategy_1,English,"While there is life, there is hope","While there is life, there is hope",A,"While there is life, there is hope","If you can't beat 'em, join 'em","Wise men learn by other men’s mistakes, fools by their own",When the cat's away the mice will play.
a,Strategy_1,English,"A prophet is not without honor, save in his own country","A prophet is not without honor, save in his own country",B,People who live in glass houses should not throw stones.,"A prophet is not without honor, save in his own country","Translators, traitors",When the cat's away the mice will play.
a,Strategy_1,English,He who wills the end wills the means,He who wills the end wills the means,A,He who wills the end wills the means,Be just before you are generous,"If you can't beat 'em, join 'em",From the sublime to the ridiculous is but a step
a,Strategy_1,English,Be just before you are generous,Be just before you are generous,B,"While there is life, there is hope",Be just before you are generous,There's small choice in rotten apples,Power corrupts
a,Strategy_1,English,Burning the midnight oil,Burning the midnight oil,A,Burning the midnight oil,Fake it until you make it,"He is unworthy to live, who lives only for himself",He who wills the end wills the means
a,Strategy_1,English,When the cat's away the mice will play.,When the cat's away the mice will play.,D,"If you can't beat 'em, join 'em",Don’t throw the baby out with the bathwater,Be just before you are generous,When the cat's away the mice will play.
a,Strategy_1,English,Fake it until you make it,Fake it until you make it,A,Fake it until you make it,Power corrupts,"If you can't beat 'em, join 'em",He who wills the end wills the means
a,Strategy_1,English,Power corrupts,Power corrupts,D,Rain on someone's parade.,"He is unworthy to live, who lives only for himself",Fortune favors the brave.,Power corrupts
a,Strategy_1,English,Don’t throw the baby out with the bathwater,Don’t throw the baby out with the bathwater,D,"Translators, traitors",Burning the midnight oil,Power corrupts,Don’t throw the baby out with the bathwater
a,Strategy_1,English,Fortune favors the brave.,Fortune favors the brave.,D,Be just before you are generous,When the cat's away the mice will play.,People who live in glass houses should not throw stones.,Fortune favors the brave.
a,Strategy_1,English,Never go to bed on an argument,Never go to bed on an argument,A,Never go to bed on an argument,"He is unworthy to live, who lives only for himself",Never test the depth of water with both feet,There's small choice in rotten apples
a,Strategy_1,English,From the sublime to the ridiculous is but a step,From the sublime to the ridiculous is but a step,C,Be just before you are generous,Saved by the bell.,From the sublime to the ridiculous is but a step,No man can serve two masters
a,Strategy_1,English,Saved by the bell.,Saved by the bell.,D,Accidents will happen,When the cat's away the mice will play.,"If you're not paying, you're the product",Saved by the bell.
a,Strategy_1,English,One swallow does not make a summer,One swallow does not make a summer,C,"While there is life, there is hope",Never go to bed on an argument,One swallow does not make a summer,Power corrupts
a,Strategy_1,English,Accidents will happen,Accidents will happen,A,Accidents will happen,People who live in glass houses should not throw stones.,Every law has a loophole,Love is without reason
a,Strategy_1,English,"If you're not paying, you're the product","If you're not paying, you're the product",C,"If you can't beat 'em, join 'em",Rain on someone's parade.,"If you're not paying, you're the product",One swallow does not make a summer
a,Strategy_1,Yoruba,"Bí a kò lówó, à léèyàn; bí a kò léèyàn à lóhùn rere lòrun.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",C,The filthy person destroys the appeal of a style of clothing.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,"If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",It is the person who is revered that will disgrace himself or herself.
a,Strategy_1,Yoruba,"A-kápò-má-ṣọdẹ: ọ̀tá ẹranko, ọ̀tá èèyàn.",He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,B,One cannot live amid forty people and never misspeak.,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,The filthy person destroys the appeal of a style of clothing.,"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams."
a,Strategy_1,Yoruba,Iwájú la ti ńjogún; ẹ̀hìn la ti ńṣàgbà.,"One inherits from one’s front, and one sets an example at one’s back.",D,Days do not go on straight like an avenue.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.","One inherits from one’s front, and one sets an example at one’s back."
a,Strategy_1,Yoruba,"Ẹ̀rù kì í ba igbó, bẹ́ẹ̀ni kì í ba odò; ẹ̀rù kì í ba ọlọ lójú ata.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",B,"Though we might travel as a group, we do not know who is destined to prosper.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.,"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams."
a,Strategy_1,Yoruba,"Ilé tí a gbá èèyàn létí wọ̀, bó pe títí a ó gbàá èèyàn létí jáde níbẹ̀.",A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,B,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,Whoever the dog came out with is the per son the dog returns home with.,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.
a,Strategy_1,Yoruba,"Ojú ti kókó, ojú ti eéwo; ojú ti aáràgbá ìdí pẹ̀lú.","The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.",A,"The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",A child who shits on the path brings down curses on its mother. B,It is the person who is revered that will disgrace himself or herself.
a,Strategy_1,Yoruba,"Bí ẹ̀bìtì ò pa eku, a kó ẹyìn fẹ́lẹ́yìn.","If the snare does not kill the rat, it returns the kernel bait to the owner.",A,"If the snare does not kill the rat, it returns the kernel bait to the owner.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.","The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",One cannot live amid forty people and never misspeak.
a,Strategy_1,Yoruba,Tojú tìyẹ́ làparò-ó fi ńríran.,It is with both its eyes and its feathers that the partridge sees.,A,It is with both its eyes and its feathers that the partridge sees.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,What does a bald man want in the stall of the barber?,A child who shits on the path brings down curses on its mother. B
a,Strategy_1,Yoruba,"Olórùká gbòrùka, ọwọ́ àwé dòfo.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.,D,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,It is the person who is revered that will disgrace himself or herself.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,The owner of the ring has taken back his ring; the fingers of the friend are now empty.
a,Strategy_1,Yoruba,Alágbàró ò yege; aláṣọ á gbà á bó dọ̀la.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,A,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,"One inherits from one’s front, and one sets an example at one’s back.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.
a,Strategy_1,Yoruba,Kí ni apárí ńwá ní ìṣọ̀ onígbàjámọ̀?,What does a bald man want in the stall of the barber?,A,What does a bald man want in the stall of the barber?,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,"""This matter does not hurt me"": stating it only once suffices.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.
a,Strategy_1,Yoruba,Ẹni tí ajá bá wá sóde lajá ḿbá relé.,Whoever the dog came out with is the per son the dog returns home with.,C,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,Whoever the dog came out with is the per son the dog returns home with.,"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams."
a,Strategy_1,Yoruba,Omi là ńkọ́-ọ́ tẹ̀ ká tó tẹ iyanrìn.,Water is the first thing one’s foot encounters before it encounters the sand.,C,Whoever the dog came out with is the per son the dog returns home with.,"""This matter does not hurt me"": stating it only once suffices.",Water is the first thing one’s foot encounters before it encounters the sand.,What does a bald man want in the stall of the barber?
a,Strategy_1,Yoruba,Ọ́bún ba irú aṣọ jẹ.,The filthy person destroys the appeal of a style of clothing.,C,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,"One inherits from one’s front, and one sets an example at one’s back.",The filthy person destroys the appeal of a style of clothing.,What does a bald man want in the stall of the barber?
a,Strategy_1,Yoruba,A kì í gbé àárín ojì èèyàn ká má ṣì wí.,One cannot live amid forty people and never misspeak.,A,One cannot live amid forty people and never misspeak.,It is with both its eyes and its feathers that the partridge sees.,What does a bald man want in the stall of the barber?,The industrious person is the enemy of the shiftless person.
