strategy,language,model,family,total_n,valid_n,failure_n,failure_rate,accuracy,overall_success_rate
S1,English,llama33-70b,Meta,50,50,0,0.0,0.98,0.98
S1,English,gptoss120b,OpenAI,50,50,0,0.0,1.0,1.0
S1,English,qwen3-32b,Qwen,50,50,0,0.0,0.98,0.98
S1,English,ALL,ALL,150,150,0,0.0,0.987,0.987
S1,Arabic,llama33-70b,Meta,50,50,0,0.0,0.88,0.88
S1,Arabic,gptoss120b,OpenAI,50,26,24,0.48,0.923,0.48
S1,Arabic,qwen3-32b,Qwen,50,50,0,0.0,0.78,0.78
S1,Arabic,ALL,ALL,150,126,24,0.16,0.849,0.713
S1,Yoruba,llama33-70b,Meta,50,50,0,0.0,0.46,0.46
S1,Yoruba,gptoss120b,OpenAI,50,10,40,0.8,1.0,0.2
S1,Yoruba,qwen3-32b,Qwen,50,50,0,0.0,0.36,0.36
S1,Yoruba,ALL,ALL,150,110,40,0.267,0.464,0.34
S1,ALL,llama33-70b,Meta,150,150,0,0.0,0.773,0.773
S1,ALL,gptoss120b,OpenAI,150,86,64,0.427,0.977,0.56
S1,ALL,qwen3-32b,Qwen,150,150,0,0.0,0.707,0.707
S1,ALL,ALL,ALL,450,386,64,0.142,0.793,0.68
S2,English,llama33-70b,Meta,50,50,0,0.0,1.0,1.0
S2,English,gptoss120b,OpenAI,50,46,4,0.08,0.978,0.9
S2,English,qwen3-32b,Qwen,50,50,0,0.0,0.98,0.98
S2,English,ALL,ALL,150,146,4,0.027,0.986,0.96
S2,Arabic,llama33-70b,Meta,50,50,0,0.0,0.78,0.78
S2,Arabic,gptoss120b,OpenAI,50,28,22,0.44,0.857,0.48
S2,Arabic,qwen3-32b,Qwen,50,50,0,0.0,0.78,0.78
S2,Arabic,ALL,ALL,150,128,22,0.147,0.797,0.68
S2,Yoruba,llama33-70b,Meta,50,50,0,0.0,0.54,0.54
S2,Yoruba,gptoss120b,OpenAI,50,5,45,0.9,1.0,0.1
S2,Yoruba,qwen3-32b,Qwen,50,50,0,0.0,0.52,0.52
S2,Yoruba,ALL,ALL,150,105,45,0.3,0.552,0.387
S2,ALL,llama33-70b,Meta,150,150,0,0.0,0.773,0.773
S2,ALL,gptoss120b,OpenAI,150,79,71,0.473,0.937,0.493
S2,ALL,qwen3-32b,Qwen,150,150,0,0.0,0.76,0.76
S2,ALL,ALL,ALL,450,379,71,0.158,0.802,0.676
