task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,zs,German,MID0001,Aller Anfang ist schwer,All beginnings are difficult,All beginnings are difficult,False,All beginnings are difficult,The first part weighs the most,Every beginning is heavy,All starts are hard to carry,A,Every beginning is heavy,All starts are hard to carry,The first part weighs the most,"{""1"": [""Every beginning is heavy"", ""All starts are hard to carry"", ""The first part weighs the most""], ""2"": [""The apple doesn't roll far from the trunk"", ""A fruit stays close to the branch"", ""The fruit falls straight down from the stem""], ""3"": [""Later is better than no time"", ""Being late is preferable to absence"", ""Punctuality is less important than showing up""], ""4"": [""The bird that wakes early ea",1.0,0.6666666666666666,1.33,1.0,90.0
a,zs,German,MID0002,Der Apfel fällt nicht weit vom Stamm,The apple does not fall far from the tree,The apple does not fall far from the tree,False,The apple doesn't roll far from the trunk,The apple does not fall far from the tree,The fruit falls straight down from the stem,A fruit stays close to the branch,B,The apple doesn't roll far from the trunk,A fruit stays close to the branch,The fruit falls straight down from the stem,"{""1"": [""Every beginning is heavy"", ""All starts are hard to carry"", ""The first part weighs the most""], ""2"": [""The apple doesn't roll far from the trunk"", ""A fruit stays close to the branch"", ""The fruit falls straight down from the stem""], ""3"": [""Later is better than no time"", ""Being late is preferable to absence"", ""Punctuality is less important than showing up""], ""4"": [""The bird that wakes early ea",1.0,1.0,0.85,0.86,95.8
a,zs,German,MID0003,Besser spät als nie,Better late than never,Better late than never,False,Being late is preferable to absence,Punctuality is less important than showing up,Better late than never,Later is better than no time,C,Later is better than no time,Being late is preferable to absence,Punctuality is less important than showing up,"{""1"": [""Every beginning is heavy"", ""All starts are hard to carry"", ""The first part weighs the most""], ""2"": [""The apple doesn't roll far from the trunk"", ""A fruit stays close to the branch"", ""The fruit falls straight down from the stem""], ""3"": [""Later is better than no time"", ""Being late is preferable to absence"", ""Punctuality is less important than showing up""], ""4"": [""The bird that wakes early ea",1.0,1.0,1.58,0.88,96.4
a,zs,German,MID0004,Der frühe Vogel fängt den Wurm,The early bird catches the worm,The early bird catches the worm,False,The bird that wakes early eats worms,The early bird catches the worm,A morning bird catches more worms,Early animals find worms easily,B,The bird that wakes early eats worms,A morning bird catches more worms,Early animals find worms easily,"{""1"": [""Every beginning is heavy"", ""All starts are hard to carry"", ""The first part weighs the most""], ""2"": [""The apple doesn't roll far from the trunk"", ""A fruit stays close to the branch"", ""The fruit falls straight down from the stem""], ""3"": [""Later is better than no time"", ""Being late is preferable to absence"", ""Punctuality is less important than showing up""], ""4"": [""The bird that wakes early ea",1.0,1.0,1.0,0.84,95.2
a,zs,German,MID0005,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",Don't put off until tomorrow what you can do today,Don't put off until tomorrow what you can do today,False,Postpone nothing that can be done today,"What you can get today, don't move to tomorrow",Don't put off until tomorrow what you can do today,Today's tasks should stay before tomorrow,C,"What you can get today, don't move to tomorrow",Postpone nothing that can be done today,Today's tasks should stay before tomorrow,"{""1"": [""Every beginning is heavy"", ""All starts are hard to carry"", ""The first part weighs the most""], ""2"": [""The apple doesn't roll far from the trunk"", ""A fruit stays close to the branch"", ""The fruit falls straight down from the stem""], ""3"": [""Later is better than no time"", ""Being late is preferable to absence"", ""Punctuality is less important than showing up""], ""4"": [""The bird that wakes early ea",1.0,1.0,0.73,0.95,98.5
a,zs,German,MID0006,Übung macht den Meister,Practice makes perfect,Practice makes perfect,False,Exercise makes the expert tired,Repeated use damages the master,Training creates the teacher,Practice makes perfect,D,Repeated use damages the master,Training creates the teacher,Exercise makes the expert tired,"{""1"": [""Repeated use damages the master"", ""Training creates the teacher"", ""Exercise makes the expert tired""], ""2"": [""Small animals also produce milk"", ""Little livestock deserves care"", ""Tiny herds create noise""], ""3"": [""Don't thank the day before nightfall"", ""Avoid celebrating morning until dusk"", ""Do not insult the evening before dark""], ""4"": [""Who dislikes pennies should earn dollars"", ""Disrespe",1.0,0.6666666666666666,1.56,0.88,86.4
a,zs,German,MID0007,Kleinvieh macht auch Mist,Small cattle also make manure,Small cattle also make manure,False,Little livestock deserves care,Small cattle also make manure,Small animals also produce milk,Tiny herds create noise,B,Small animals also produce milk,Little livestock deserves care,Tiny herds create noise,"{""1"": [""Repeated use damages the master"", ""Training creates the teacher"", ""Exercise makes the expert tired""], ""2"": [""Small animals also produce milk"", ""Little livestock deserves care"", ""Tiny herds create noise""], ""3"": [""Don't thank the day before nightfall"", ""Avoid celebrating morning until dusk"", ""Do not insult the evening before dark""], ""4"": [""Who dislikes pennies should earn dollars"", ""Disrespe",1.0,0.3333333333333333,0.87,1.0,80.0
a,zs,German,MID0008,Man soll den Tag nicht vor dem Abend loben,Don't praise the day before the evening,Don't praise the day before the evening,False,Do not insult the evening before dark,Don't praise the day before the evening,Avoid celebrating morning until dusk,Don't thank the day before nightfall,B,Don't thank the day before nightfall,Avoid celebrating morning until dusk,Do not insult the evening before dark,"{""1"": [""Repeated use damages the master"", ""Training creates the teacher"", ""Exercise makes the expert tired""], ""2"": [""Small animals also produce milk"", ""Little livestock deserves care"", ""Tiny herds create noise""], ""3"": [""Don't thank the day before nightfall"", ""Avoid celebrating morning until dusk"", ""Do not insult the evening before dark""], ""4"": [""Who dislikes pennies should earn dollars"", ""Disrespe",1.0,1.0,0.86,0.94,98.2
a,zs,German,MID0009,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",He who does not honor the penny is not worth the dollar,He who does not honor the penny is not worth the dollar,False,He who ignores pennies loses talers,Who dislikes pennies should earn dollars,He who does not honor the penny is not worth the dollar,Disrespecting small coins wastes treasure,C,Who dislikes pennies should earn dollars,Disrespecting small coins wastes treasure,He who ignores pennies loses talers,"{""1"": [""Repeated use damages the master"", ""Training creates the teacher"", ""Exercise makes the expert tired""], ""2"": [""Small animals also produce milk"", ""Little livestock deserves care"", ""Tiny herds create noise""], ""3"": [""Don't thank the day before nightfall"", ""Avoid celebrating morning until dusk"", ""Do not insult the evening before dark""], ""4"": [""Who dislikes pennies should earn dollars"", ""Disrespe",1.0,1.0,0.47,0.93,97.9
a,zs,German,MID0010,"Was Hänschen nicht lernt, lernt Hans nimmermehr","What little Hans doesn't learn, big Hans will never learn","What little Hans doesn't learn, big Hans will never learn",False,"If a boy doesn't play, the man won't work","What Hans forgets as a child, he rediscovers as an adult","What little Hans doesn't learn, big Hans will never learn",Little Hans must travel before growing up,C,"If a boy doesn't play, the man won't work","What Hans forgets as a child, he rediscovers as an adult",Little Hans must travel before growing up,"{""1"": [""Repeated use damages the master"", ""Training creates the teacher"", ""Exercise makes the expert tired""], ""2"": [""Small animals also produce milk"", ""Little livestock deserves care"", ""Tiny herds create noise""], ""3"": [""Don't thank the day before nightfall"", ""Avoid celebrating morning until dusk"", ""Do not insult the evening before dark""], ""4"": [""Who dislikes pennies should earn dollars"", ""Disrespe",1.0,1.0,0.9,0.96,98.8
