task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,zs,Yoruba,YOR0001,A di gàárì sílẹ́ ewúrẹ́ ńyọjú; ẹrù ìran rẹ́ ni?,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?","We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",False,We leave porridge on the ground and the goat supervises; is the goat's lineage taxed?,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",We place food down and a goat guards it; is the goat's family responsible?,We cook garri and the goat watches; is the goat's debt inherited?,B,We cook garri and the goat watches; is the goat's debt inherited?,We place food down and a goat guards it; is the goat's family responsible?,We leave porridge on the ground and the goat supervises; is the goat's lineage taxed?,"{""1"": [""We cook garri and the goat watches; is the goat's debt inherited?"", ""We place food down and a goat guards it; is the goat's family responsible?"", ""We leave porridge on the ground and the goat supervises; is the goat's lineage taxed?""], ""2"": [""You wear a crown but still sell charms; do you want to be elected deity?"", ""You became ruler but still practice magic; are you trying to become pries",1.0,1.0,0.76,0.69,90.7
a,zs,Yoruba,YOR0002,A fi ọ́ jọba ò ńṣàwúre; o fẹ́ẹ́ jẹ Ọlọ́run ni?,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?","You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",False,You hold kingship and also cast spells; do you wish to rule the heavens?,You wear a crown but still sell charms; do you want to be elected deity?,You became ruler but still practice magic; are you trying to become priest?,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",D,You wear a crown but still sell charms; do you want to be elected deity?,You became ruler but still practice magic; are you trying to become priest?,You hold kingship and also cast spells; do you wish to rule the heavens?,"{""1"": [""We cook garri and the goat watches; is the goat's debt inherited?"", ""We place food down and a goat guards it; is the goat's family responsible?"", ""We leave porridge on the ground and the goat supervises; is the goat's lineage taxed?""], ""2"": [""You wear a crown but still sell charms; do you want to be elected deity?"", ""You became ruler but still practice magic; are you trying to become pries",1.0,1.0,0.82,0.87,96.1
a,zs,Yoruba,YOR0003,"A fijó gba Awà; a fìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",False,"If we dance we gain Awà; if we fight we gain Awà; if we take Awà without action, does it not rot?","By jumping we claim Awà; by running we claim Awà; if we sit and still get Awà, is it not suspicious?","If we sing we obtain Awà; if we shout we obtain Awà; if we stay silent and get Awà, is it not strange?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",D,"If we dance we gain Awà; if we fight we gain Awà; if we take Awà without action, does it not rot?","By jumping we claim Awà; by running we claim Awà; if we sit and still get Awà, is it not suspicious?","If we sing we obtain Awà; if we shout we obtain Awà; if we stay silent and get Awà, is it not strange?","{""1"": [""We cook garri and the goat watches; is the goat's debt inherited?"", ""We place food down and a goat guards it; is the goat's family responsible?"", ""We leave porridge on the ground and the goat supervises; is the goat's lineage taxed?""], ""2"": [""You wear a crown but still sell charms; do you want to be elected deity?"", ""You became ruler but still practice magic; are you trying to become pries",1.0,1.0,0.69,0.73,91.9
a,zs,Yoruba,YOR0004,A gbé gàárì ọmọ ewúrẹ́ ńrojú; kì í ṣe ẹrù àgùntàn.,We lift a saddle and the goat scowls; it is no burden for a sheep.,We lift a saddle and the goat scowls; it is no burden for a sheep.,False,We lift a saddle and the goat scowls; it is no burden for a sheep.,We lift a horse’s seat and a goat glares; it doesn’t weigh on a sheep.,We hoist gear for riding and a goat looks angry; a ewe would not mind.,We carry a saddle and the goat frowns; it’s not a heavy load for a lamb.,A,We carry a saddle and the goat frowns; it’s not a heavy load for a lamb.,We lift a horse’s seat and a goat glares; it doesn’t weigh on a sheep.,We hoist gear for riding and a goat looks angry; a ewe would not mind.,"{""1"": [""We cook garri and the goat watches; is the goat's debt inherited?"", ""We place food down and a goat guards it; is the goat's family responsible?"", ""We leave porridge on the ground and the goat supervises; is the goat's lineage taxed?""], ""2"": [""You wear a crown but still sell charms; do you want to be elected deity?"", ""You became ruler but still practice magic; are you trying to become pries",1.0,1.0,1.02,0.79,93.7
a,zs,Yoruba,YOR0005,A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,False,One doesn’t farm beside a king without the king’s wife borrowing tools.,You don’t live near a monarch without sharing your harvest with his guards.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,Sharing land with royalty means his chickens will eat your crops.,C,One doesn’t farm beside a king without the king’s wife borrowing tools.,You don’t live near a monarch without sharing your harvest with his guards.,Sharing land with royalty means his chickens will eat your crops.,"{""1"": [""We cook garri and the goat watches; is the goat's debt inherited?"", ""We place food down and a goat guards it; is the goat's family responsible?"", ""We leave porridge on the ground and the goat supervises; is the goat's lineage taxed?""], ""2"": [""You wear a crown but still sell charms; do you want to be elected deity?"", ""You became ruler but still practice magic; are you trying to become pries",1.0,1.0,0.63,0.9,97.0
a,zs,Yoruba,YOR0006,A kì í bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.,One does not so fear death and disease that one asks that one’s child die before one.,One does not so fear death and disease that one asks that one’s child die before one.,False,People should not be afraid of dying before their children do.,It is common to prefer one's own death over that of a disease-ridden child.,One does not fear death and illness so much that one wishes to die instead of one's child.,One does not so fear death and disease that one asks that one’s child die before one.,D,One does not fear death and illness so much that one wishes to die instead of one's child.,People should not be afraid of dying before their children do.,It is common to prefer one's own death over that of a disease-ridden child.,"{""1"": [""One does not fear death and illness so much that one wishes to die instead of one's child."", ""People should not be afraid of dying before their children do."", ""It is common to prefer one's own death over that of a disease-ridden child.""], ""2"": [""Don't get mad at trash piles or you'll end up throwing trash into the wilderness."", ""Anger towards garbage leads people to dump waste in the fores",1.0,1.0,0.84,0.88,96.4
a,zs,Yoruba,YOR0007,A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,False,One should not be upset with a waste site or risk hiding trash in bushes.,Anger towards garbage leads people to dump waste in the forest.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,Don't get mad at trash piles or you'll end up throwing trash into the wilderness.,C,Don't get mad at trash piles or you'll end up throwing trash into the wilderness.,Anger towards garbage leads people to dump waste in the forest.,One should not be upset with a waste site or risk hiding trash in bushes.,"{""1"": [""One does not fear death and illness so much that one wishes to die instead of one's child."", ""People should not be afraid of dying before their children do."", ""It is common to prefer one's own death over that of a disease-ridden child.""], ""2"": [""Don't get mad at trash piles or you'll end up throwing trash into the wilderness."", ""Anger towards garbage leads people to dump waste in the fores",1.0,1.0,0.85,0.93,97.9
a,zs,Yoruba,YOR0008,A kì í bínú orí ká fi fìlà dé ìbàdí.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,False,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,People who are furious with their heads often cover their backsides with hats.,"If your head is bothering you, put your hat on your rear end instead.",Getting angry at your head makes it reasonable to wear a cap on your buttocks.,A,"If your head is bothering you, put your hat on your rear end instead.",Getting angry at your head makes it reasonable to wear a cap on your buttocks.,People who are furious with their heads often cover their backsides with hats.,"{""1"": [""One does not fear death and illness so much that one wishes to die instead of one's child."", ""People should not be afraid of dying before their children do."", ""It is common to prefer one's own death over that of a disease-ridden child.""], ""2"": [""Don't get mad at trash piles or you'll end up throwing trash into the wilderness."", ""Anger towards garbage leads people to dump waste in the fores",1.0,1.0,0.82,0.96,98.8
a,zs,Yoruba,YOR0009,A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ.,"One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.","One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.",False,Rats must be absent during rituals or they will invade homes after sunset.,Sacrificing to a god near a rat means the rat will feast when darkness comes.,"Never offer a sacrifice to a deity while a house rat is watching, or it will climb the rafters at night.","One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.",D,"Never offer a sacrifice to a deity while a house rat is watching, or it will climb the rafters at night.",Sacrificing to a god near a rat means the rat will feast when darkness comes.,Rats must be absent during rituals or they will invade homes after sunset.,"{""1"": [""One does not fear death and illness so much that one wishes to die instead of one's child."", ""People should not be afraid of dying before their children do."", ""It is common to prefer one's own death over that of a disease-ridden child.""], ""2"": [""Don't get mad at trash piles or you'll end up throwing trash into the wilderness."", ""Anger towards garbage leads people to dump waste in the fores",1.0,1.0,0.68,0.9,97.0
a,zs,Yoruba,YOR0010,A kì í dàgbà má làáyà; ibi ayé bá báni là ńjẹ ẹ́.,One does not become an adult and yet lack courage; one lives life as it finds one.,One does not become an adult and yet lack courage; one lives life as it finds one.,False,Adulthood means you no longer need courage to survive in society.,You can't grow old and still expect to be fed; you eat where life places you.,One does not become an adult and yet lack courage; one lives life as it finds one.,"Once you reach maturity, you stop seeking comfort and start eating anywhere.",C,You can't grow old and still expect to be fed; you eat where life places you.,Adulthood means you no longer need courage to survive in society.,"Once you reach maturity, you stop seeking comfort and start eating anywhere.","{""1"": [""One does not fear death and illness so much that one wishes to die instead of one's child."", ""People should not be afraid of dying before their children do."", ""It is common to prefer one's own death over that of a disease-ridden child.""], ""2"": [""Don't get mad at trash piles or you'll end up throwing trash into the wilderness."", ""Anger towards garbage leads people to dump waste in the fores",1.0,1.0,0.76,0.93,97.9
