sample_id,language,source_proverb,proverb_en,correct_text,distractors,fallback,info,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
ENG2109,English,Good beginning makes a good ending,Good beginning makes a good ending,A solid start leads to a successful conclusion,"['A strong finish ensures a promising start', 'A fortunate start results in a favorable outcome', 'A perfect start guarantees an ideal conclusion']",False,gate=len,S2,A solid start leads to a successful conclusion,A strong finish ensures a promising start,A fortunate start results in a favorable outcome,A perfect start guarantees an ideal conclusion,A
ENG2245,English,Where there’s a will there’s a way.,Where there’s a will there’s a way.,A determined mind can overcome any obstacle,"['Where there’s a desire, there’s a path', 'A strong will ensures a clear direction', 'Without a will, there’s no way forward']",False,gate=len,S2,"Without a will, there’s no way forward",A determined mind can overcome any obstacle,"Where there’s a desire, there’s a path",A strong will ensures a clear direction,B
ENG1267,English,There will be sleeping enough in the grave,There will be sleeping enough in the grave,There will be enough rest in the afterlife,"['Sleep in the grave is abundant for the dead', 'Plenty of slumber awaits in the hereafter', 'The cemetery offers ample time for sleeping']",False,gate=len,S2,Plenty of slumber awaits in the hereafter,The cemetery offers ample time for sleeping,There will be enough rest in the afterlife,Sleep in the grave is abundant for the dead,C
ENG1238,English,Believe not all that you see nor half what you hear,Believe not all that you see nor half what you hear,Believe not all that you see nor half what you hear,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],Believe not all that you see nor half what you hear,D
ENG1638,English,Stone -dead hath no fellow,Stone -dead hath no fellow,Stone -dead hath no fellow,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,Stone -dead hath no fellow,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
ENG0113,English,Fool's errand,Fool's errand,A pointless endeavor,"['A task for a foolish person', 'An impossible mission', 'A task that fools people']",False,gate=len,S2,A task that fools people,A pointless endeavor,A task for a foolish person,An impossible mission,B
ENG0148,English,Horse-sense,Horse-sense,Common sense,"['Horse intuition', 'Equine wisdom', 'Stable logic']",False,gate=len,S2,Equine wisdom,Stable logic,Common sense,Horse intuition,C
ENG0432,English,Money doesn’t grow on trees,Money doesn’t grow on trees,Money isn’t picked from trees,"['Money doesn’t bloom from trees', 'Money isn’t grown on trees', 'Money isn’t found on trees']",False,gate=len,S2,Money doesn’t bloom from trees,Money isn’t grown on trees,Money isn’t found on trees,Money isn’t picked from trees,D
ENG1450,English,Men are blind in their own cause,Men are blind in their own cause,Men are blind in their own cause,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,Men are blind in their own cause,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
ENG0319,English,Every dog has his day.,Every dog has his day.,Every dog has their moment,"['Every dog waits for its day', 'Each dog deserves a day', 'Every dog finds its day']",False,gate=len,S2,Every dog finds its day,Every dog has their moment,Every dog waits for its day,Each dog deserves a day,B
