sample_id,language,source_proverb,proverb_en,correct_text,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
ENG2109,English,Good beginning makes a good ending,Good beginning makes a good ending,Good beginning makes a good ending,"[""Where there's a will there's a way."", 'Honor among thieves – There’s', 'A mill cannot grind with the water that is past']",False,S1,Good beginning makes a good ending,Where there's a will there's a way.,Honor among thieves – There’s,A mill cannot grind with the water that is past,A
ENG2245,English,Where there’s a will there’s a way.,Where there’s a will there’s a way.,Where there’s a will there’s a way.,"['Money doesn’t grow on trees', 'Why buy a cow when milk is so cheap?', 'The best advice is found on the pillow.']",False,S1,The best advice is found on the pillow.,Where there’s a will there’s a way.,Money doesn’t grow on trees,Why buy a cow when milk is so cheap?,B
ENG1267,English,There will be sleeping enough in the grave,There will be sleeping enough in the grave,There will be sleeping enough in the grave,"['Better die with honor than live with shame', 'Money doesn’t grow on trees', 'Laugh and grow fat']",False,S1,Money doesn’t grow on trees,Laugh and grow fat,There will be sleeping enough in the grave,Better die with honor than live with shame,C
ENG1238,English,Believe not all that you see nor half what you hear,Believe not all that you see nor half what you hear,Believe not all that you see nor half what you hear,"['Children and fools tell the truth', 'Men are blind in their own cause', 'There will be sleeping enough in the grave']",False,S1,Children and fools tell the truth,Men are blind in their own cause,There will be sleeping enough in the grave,Believe not all that you see nor half what you hear,D
ENG1638,English,Stone -dead hath no fellow,Stone -dead hath no fellow,Stone -dead hath no fellow,"['A prophet is not recognized in his own land', 'Drastic times call for drastic measures.', 'Believe not all that you see nor half what you hear']",False,S1,Stone -dead hath no fellow,A prophet is not recognized in his own land,Drastic times call for drastic measures.,Believe not all that you see nor half what you hear,A
ENG0113,English,Fool's errand,Fool's errand,Fool's errand,"['There are two sides to every question', 'Flogging a dead horse', 'No such thing as bad publicity']",False,S1,No such thing as bad publicity,Fool's errand,There are two sides to every question,Flogging a dead horse,B
ENG0148,English,Horse-sense,Horse-sense,Horse-sense,"['Every dog has his day.', 'Believe not all that you see nor half what you hear', 'Laugh and grow fat']",False,S1,Believe not all that you see nor half what you hear,Laugh and grow fat,Horse-sense,Every dog has his day.,C
ENG0432,English,Money doesn’t grow on trees,Money doesn’t grow on trees,Money doesn’t grow on trees,"['Enough is enough', 'Money isn’t everything', 'Knowledge in youth is wisdom in age.']",False,S1,Enough is enough,Money isn’t everything,Knowledge in youth is wisdom in age.,Money doesn’t grow on trees,D
ENG1450,English,Men are blind in their own cause,Men are blind in their own cause,Men are blind in their own cause,"[""Don't wash your dirty linen in public."", 'Where there’s a will there’s a way.', 'Laugh and grow fat']",False,S1,Men are blind in their own cause,Don't wash your dirty linen in public.,Where there’s a will there’s a way.,Laugh and grow fat,A
ENG0319,English,Every dog has his day.,Every dog has his day.,Every dog has his day.,"['Stone -dead hath no fellow', 'A mill cannot grind with the water that is past', 'Children and fools tell the truth']",False,S1,Children and fools tell the truth,Every dog has his day.,Stone -dead hath no fellow,A mill cannot grind with the water that is past,B
ENG2038,English,The apple doesn't fall far from the tree,The apple doesn't fall far from the tree,The apple doesn't fall far from the tree,"['Men are blind in their own cause', 'Believe not all that you see nor half what you hear', 'Knowledge is a treasure, but practice is the key to it']",False,S1,Believe not all that you see nor half what you hear,"Knowledge is a treasure, but practice is the key to it",The apple doesn't fall far from the tree,Men are blind in their own cause,C
ENG1126,English,Little by little and bit by bit,Little by little and bit by bit,Little by little and bit by bit,"['Where there’s a will there’s a way.', 'There will be sleeping enough in the grave', 'A great city, a great solitude']",False,S1,Where there’s a will there’s a way.,There will be sleeping enough in the grave,"A great city, a great solitude",Little by little and bit by bit,D
ENG1569,English,"Scratch a Russian, and you will find a Tartar","Scratch a Russian, and you will find a Tartar","Scratch a Russian, and you will find a Tartar","[""The apple doesn't fall far from the tree"", 'Children and fools tell the truth', 'As you make your bed, so you must lie upon it']",False,S1,"Scratch a Russian, and you will find a Tartar",The apple doesn't fall far from the tree,Children and fools tell the truth,"As you make your bed, so you must lie upon it",A
ENG2028,English,Silence gives consent.,Silence gives consent.,Silence gives consent.,"[""Don't wash your dirty linen in public."", 'Believe not all that you see nor half what you hear', 'Knowledge is a treasure, but practice is the key to it']",False,S1,"Knowledge is a treasure, but practice is the key to it",Silence gives consent.,Don't wash your dirty linen in public.,Believe not all that you see nor half what you hear,B
