task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_en,German,MID0001,Aller Anfang ist schwer,All beginnings are difficult,All beginnings are difficult,False,The start of everything is always the toughest part,Every first step is heavy to take,All beginnings are difficult,Initiating any project is impossible without great struggle,C,Every first step is heavy to take,The start of everything is always the toughest part,Initiating any project is impossible without great struggle,"<reasoning>The German proverb ""Aller Anfang ist schwer"" translates to ""All beginnings are difficult"" in English. A literal reading might lead a reader to misinterpret the phrase in various ways. For instance, one might think it implies that every new project or task is inherently hard to start due to some intrinsic property of beginnings themselves, rather than the challenges that come with learni",1.0,1.0,2.0,0.93,97.9
a,cot_en,German,MID0002,Der Apfel fällt nicht weit vom Stamm,The apple does not fall far from the tree,The apple does not fall far from the tree,False,A specific variety of apple grows near its parent tree,The apple does not fall far from the tree,Apples have a limited falling distance due to gravity,Apples always fall straight down from the branch,B,Apples have a limited falling distance due to gravity,A specific variety of apple grows near its parent tree,Apples always fall straight down from the branch,"<reasoning>The proverb ""The apple does not fall far from the tree"" has a common idiomatic meaning that refers to the similarity between parents and their children. However, if taken literally, it could lead to some incorrect interpretations. For instance, one might think about the physical distance an apple falls from its tree, the type of apples that grow on a tree, or the way apples fall. These ",1.0,1.0,1.0,0.96,98.8
a,cot_en,German,MID0003,Besser spät als nie,Better late than never,Better late than never,False,Better late than never,It's always okay to show up late to events as long as you show up,Bills and debts do not need to be paid on time as long as they are paid,Career milestones can be achieved effectively regardless of how late in life they are pursued,A,It's always okay to show up late to events as long as you show up,Bills and debts do not need to be paid on time as long as they are paid,Career milestones can be achieved effectively regardless of how late in life they are pursued,"<reasoning>The proverb ""Better late than never"" can be misinterpreted in various ways if taken literally. For instance, if someone is expecting a guest, a literal reading might lead them to believe that as long as the guest shows up, no matter how late, it's acceptable. Another misinterpretation could be in the context of paying debts or bills, where someone might think it's fine to delay payments",1.0,1.0,3.92,0.91,97.3
a,cot_en,German,MID0004,Der frühe Vogel fängt den Wurm,The early bird catches the worm,The early bird catches the worm,False,Some bird species are professional worm catchers,The early bird catches the worm,Birds can only catch worms in the morning,The phrase is a warning to birds about worm attacks,B,Birds can only catch worms in the morning,Some bird species are professional worm catchers,The phrase is a warning to birds about worm attacks,"<reasoning>The proverb ""The early bird catches the worm"" is often misunderstood literally, leading to incorrect interpretations. A reader might think that the phrase is about birds and worms, rather than the actual meaning of taking advantage of opportunities early on. Some possible literal misunderstandings could be that birds have a unique ability to catch worms only in the morning, or that ther",1.0,1.0,1.39,0.94,98.2
a,cot_en,German,MID0005,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",Don't put off until tomorrow what you can do today,Don't put off until tomorrow what you can do today,False,Don't put off until tomorrow what you can do today,Ignore schedules and deadlines if you can do something sooner,Never sleep on a decision or action,Do every task the moment it occurs to you,A,Do every task the moment it occurs to you,Never sleep on a decision or action,Ignore schedules and deadlines if you can do something sooner,"<reasoning>When literally interpreting the proverb ""Don't put off until tomorrow what you can do today,"" a reader might misunderstand the message by taking it to an extreme or out of context. For instance, they might think it implies that one should never delay any action, regardless of its importance or urgency, or that it suggests disregarding the concept of planning and scheduling. Another misi",1.0,1.0,0.87,0.96,98.8
a,cot_en,German,MID0006,Übung macht den Meister,Practice makes perfect,Practice makes perfect,False,practicing any activity will automatically make you a master,practice is the sole determining factor in achieving perfection,Practice makes perfect,the more you practice the more perfect you become without any limits,C,practicing any activity will automatically make you a master,the more you practice the more perfect you become without any limits,practice is the sole determining factor in achieving perfection,"<reasoning>When translating the proverb ""Übung macht den Meister"" to English as ""Practice makes perfect"", a literal reading might misinterpret the phrase. A wrong literal interpretation could be that practice alone is enough to make someone a master, without considering other factors such as talent or dedication. Another wrong interpretation could be that the phrase is suggesting a direct causal l",1.0,1.0,3.33,0.92,97.6
a,cot_en,German,MID0007,Kleinvieh macht auch Mist,Small cattle also make manure,Small cattle also make manure,False,Small cattle also make manure,Only small cattle are capable of producing manure,Small cattle produce less manure than large cattle,The manure from small cattle is more potent than from large cattle,A,Small cattle produce less manure than large cattle,Only small cattle are capable of producing manure,The manure from small cattle is more potent than from large cattle,"<reasoning>When translating the German proverb ""Kleinvieh macht auch Mist"" to English as ""Small cattle also make manure"", a literal interpretation might lead a reader to misunderstand the metaphorical intent behind the phrase. The proverb is actually suggesting that even small or seemingly insignificant things can have an impact or contribute to a larger whole. However, a wrong literal reading cou",1.0,1.0,1.87,0.71,91.3
a,cot_en,German,MID0008,Man soll den Tag nicht vor dem Abend loben,Don't praise the day before the evening,Don't praise the day before the evening,False,do not give compliments before 6 PM,wait until evening to discuss daytime events,Don't praise the day before the evening,evenings are always more worthy of praise than days,C,do not give compliments before 6 PM,evenings are always more worthy of praise than days,wait until evening to discuss daytime events,"<reasoning>When interpreting the proverb ""Don't praise the day before the evening"" literally, a reader might mistakenly think it's about timing of compliments or judgments related to a specific period of time, rather than about waiting for the outcome of events. They could assume it advises against giving praise during certain hours of the day, or that certain times are more appropriate for praise",1.0,1.0,1.1,1.0,100.0
a,cot_en,German,MID0009,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",He who does not honor the penny is not worth the dollar,He who does not honor the penny is not worth the dollar,False,He who does not honor the penny is not worth the dollar,The person is not physically able to hold a dollar because they don't know how to handle a penny,A person's worth is directly tied to their ability to possess a certain amount of dollars if they don't respect pennies,The economic system has a rule that you must show appreciation for pennies to be eligible to use dollars,A,The person is not physically able to hold a dollar because they don't know how to handle a penny,The economic system has a rule that you must show appreciation for pennies to be eligible to use dollars,A person's worth is directly tied to their ability to possess a certain amount of dollars if they don't respect pennies,"<reasoning>The proverb ""He who does not honor the penny is not worth the dollar"" can be misinterpreted in several literal ways. One might think it's about the physical act of honoring coins, another might consider it a rule about currency exchange, and a third might interpret it as a comparison of a person's value to the value of money. These interpretations miss the idiomatic meaning, which is ab",1.0,1.0,1.64,0.87,96.1
a,cot_en,German,MID0010,"Was Hänschen nicht lernt, lernt Hans nimmermehr","What little Hans doesn't learn, big Hans will never learn","What little Hans doesn't learn, big Hans will never learn",False,Children are incapable of learning what adults can,The person named Hans will have diminished learning capacity as he grows older,People of smaller stature are less capable of learning,"What little Hans doesn't learn, big Hans will never learn",D,People of smaller stature are less capable of learning,Children are incapable of learning what adults can,The person named Hans will have diminished learning capacity as he grows older,"<reasoning>When translating the proverb ""Was Hänschen nicht lernt, lernt Hans nimmermehr"" to English as ""What little Hans doesn't learn, big Hans will never learn,"" a literal reading might misunderstand the metaphorical use of ""Hänschen"" (little Hans) and ""Hans"" (big Hans). A wrong literal interpretation could assume the proverb is talking about different individuals or stages of growth rather tha",1.0,1.0,1.0,0.89,96.7
a,cot_en,German,MID0011,Der Weg zur Hölle ist mit guten Vorsätzen gepflastert,The road to hell is paved with good intentions,The road to hell is paved with good intentions,False,hell is accessible through a road made of written promises and kind thoughts,The road to hell is paved with good intentions,people's unfulfilled good intentions are used as a literal paving material,the road to hell is paved with physical stones engraved with good deeds,B,the road to hell is paved with physical stones engraved with good deeds,people's unfulfilled good intentions are used as a literal paving material,hell is accessible through a road made of written promises and kind thoughts,"<reasoning>The proverb ""The road to hell is paved with good intentions"" is often misunderstood when taken literally. A reader might think that the phrase is talking about an actual road or path that leads to hell, and that this road is physically paved with the intentions or thoughts of people who had good aims but failed to achieve them. They might imagine that these intentions are somehow tangib",1.0,1.0,1.37,0.92,97.6
a,cot_en,German,MID0012,In der Kürze liegt die Würze,Brevity is the soul of wit,Brevity is the soul of wit,False,Short foods are spicier,Concise language has spiritual power,Brief recipes are more potent,Brevity is the soul of wit,D,Short foods are spicier,Brief recipes are more potent,Concise language has spiritual power,"<reasoning>When literally translating the German proverb ""In der Kürze liegt die Würze"" to English as ""Brevity is the soul of wit"", a reader might misunderstand the phrase to be about physical things or tastes rather than the essence of cleverness or humor. They might think it's about short things having more flavor, or spice, or that shortness has a special power. They could also interpret it as ",1.0,0.6666666666666666,0.78,0.96,88.8
a,cot_en,German,MID0013,Kein Rauch ohne Flamme,No smoke without fire,No smoke without fire,False,Smoke can only be produced by burning flames,All fires produce visible smoke,Every combustion reaction creates a significant amount of smoke,No smoke without fire,D,All fires produce visible smoke,Smoke can only be produced by burning flames,Every combustion reaction creates a significant amount of smoke,"<reasoning>The proverb ""No smoke without fire"" has a metaphorical meaning that suggests that there is usually a reason or a cause behind a rumor or an incident. However, a literal interpretation might lead to incorrect conclusions. A reader might think that this phrase is talking about the physical phenomenon of smoke and fire, and jump to conclusions such as the idea that smoke can only be produc",1.0,1.0,1.83,0.93,97.9
a,cot_en,German,MID0014,"Wer A sagt, muss auch B sagen",He who says A must also say B,He who says A must also say B,False,Always saying the alphabet in order,He who says A must also say B,Forced speech patterns in conversations,A magical connection between words A and B,B,Always saying the alphabet in order,Forced speech patterns in conversations,A magical connection between words A and B,"<reasoning>The proverb ""Wer A sagt, muss auch B sagen"" or ""He who says A must also say B"" is an idiomatic expression that means if you start something or make a commitment, you should follow through with it. However, a literal interpretation could lead to misunderstandings. For example, one might think it's about speech or language patterns, where saying one word necessitates saying another. Anoth",1.0,1.0,0.79,0.97,99.1
a,cot_en,German,MID0015,"Der Mensch denkt, Gott lenkt","Man proposes, God disposes","Man proposes, God disposes",False,People think they are in control but God is actually steering everything,"Man proposes, God disposes",Humans make plans but God physically stops them,Man suggests an action and God decides what to do with it,B,Humans make plans but God physically stops them,Man suggests an action and God decides what to do with it,People think they are in control but God is actually steering everything,"<reasoning>When translating the proverb ""Der Mensch denkt, Gott lenkt"" to English as ""Man proposes, God disposes"", a literal reading might misunderstand the figurative nature of the phrase. It could be interpreted in ways that are too direct or physical, rather than understanding the philosophical or spiritual intent behind the words. For example, one might think it's about human planning versus d",1.0,1.0,2.67,0.93,97.9
a,cot_en,German,MID0016,"Was lange währt, wird endlich gut",What lasts long becomes good in the end,What lasts long becomes good in the end,False,An old piece of furniture will become more valuable over time,Old clothes become comfortable after years,What lasts long becomes good in the end,A long-lasting illness will eventually become curable,C,Old clothes become comfortable after years,A long-lasting illness will eventually become curable,An old piece of furniture will become more valuable over time,"<reasoning>The proverb suggests that with time and patience, something will eventually turn out well. However, a literal interpretation might lead to misunderstandings. For instance, one might think that the phrase is talking about the quality of a physical object or a food item that has been stored for a long time, rather than a situation or a process. Another incorrect interpretation could be re",1.0,1.0,1.0,0.89,96.7
a,cot_en,German,MID0017,"Erst kommt das Fressen, dann die Moral","First comes eating, then morality","First comes eating, then morality",False,Morality is only considered after the physical needs like hunger are met,Eating must be finished before moral discussions can begin,"First comes eating, then morality",The satisfaction of hunger is a prerequisite for understanding moral principles,C,Eating must be finished before moral discussions can begin,Morality is only considered after the physical needs like hunger are met,The satisfaction of hunger is a prerequisite for understanding moral principles,"<reasoning>The proverb ""Erst kommt das Fressen, dann die Moral"" or ""First comes eating, then morality"" can be misinterpreted in several literal ways. A reader might think it implies a sequence of actions where eating must be completed before considering moral principles. This could lead to interpretations where the focus is on the physical act of eating or the timing of when to apply moral judgmen",1.0,1.0,2.13,0.93,97.9
