task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_xl,English,0,A bird in the hand is worth two in the bush,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,True,This proverb implies that birds are more valuable when they're in the act of fleeing.,One must never keep birds in captivity to ensure their worth.,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,The number of birds mentioned in the proverb is directly correlated to the worthiness of the person holding them.,C,One must never keep birds in captivity to ensure their worth.,This proverb implies that birds are more valuable when they're in the act of fleeing.,The number of birds mentioned in the proverb is directly correlated to the worthiness of the person holding them.,"[""One must never keep birds in captivity to ensure their worth."", ""This proverb implies that birds are more valuable when they're in the act of fleeing."", ""The number of birds mentioned in the proverb is directly correlated to the worthiness of the person holding them.""]",1.0,1.0,0.41,0.86,95.8
b,cot_xl,English,3,A journey of a thousand miles begins with a single step,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.","The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",True,"It implies that the only necessary factor for success is taking the very first step, regardless of circumstances.",The proverb suggests that the destination is less important than the individual steps.,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",The proverb indicates that the magnitude of the task is directly proportional to the first step taken.,C,The proverb suggests that the destination is less important than the individual steps.,"It implies that the only necessary factor for success is taking the very first step, regardless of circumstances.",The proverb indicates that the magnitude of the task is directly proportional to the first step taken.,"[""The proverb suggests that the destination is less important than the individual steps."", ""It implies that the only necessary factor for success is taking the very first step, regardless of circumstances."", ""The proverb indicates that the magnitude of the task is directly proportional to the first step taken.""]",1.0,1.0,0.48,0.83,94.9
b,cot_xl,English,4,A leopard cannot change its spots,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,True,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,"In ancient Greek mythology, the leopard was associated with Aphrodite, the goddess of love, so the phrase is meant to convey the idea that people are inherently romantic.","In certain Native American tribes, leopards are considered a symbol of spiritual transformation, so the phrase is meant to suggest that people can change and grow through spiritual practices.","In some African cultures, the leopard symbolizes a skilled hunter, so the phrase is meant to encourage people to appreciate their natural talents.",A,"In some African cultures, the leopard symbolizes a skilled hunter, so the phrase is meant to encourage people to appreciate their natural talents.","In ancient Greek mythology, the leopard was associated with Aphrodite, the goddess of love, so the phrase is meant to convey the idea that people are inherently romantic.","In certain Native American tribes, leopards are considered a symbol of spiritual transformation, so the phrase is meant to suggest that people can change and grow through spiritual practices.","[""In some African cultures, the leopard symbolizes a skilled hunter, so the phrase is meant to encourage people to appreciate their natural talents."", ""In ancient Greek mythology, the leopard was associated with Aphrodite, the goddess of love, so the phrase is meant to convey the idea that people are inherently romantic."", ""In certain Native American tribes, leopards are considered a symbol of spi",1.0,1.0,0.72,0.76,92.8
b,cot_xl,English,5,A little knowledge is a dangerous thing,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.","The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",True,"The proverb suggests that a lack of knowledge is a sign of a higher level of intelligence, as one is able to see through the limitations of their own understanding.","The phrase conveys the idea that knowledge is inherently evil, and that its pursuit will lead to moral corruption.","The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",A little knowledge is a dangerous thing,C,A little knowledge is a dangerous thing,"The proverb suggests that a lack of knowledge is a sign of a higher level of intelligence, as one is able to see through the limitations of their own understanding.","The phrase conveys the idea that knowledge is inherently evil, and that its pursuit will lead to moral corruption.","[""A little knowledge is a dangerous thing"" implies that people with knowledge are inherently deceitful and will intentionally spread misinformation to deceive others., ""The proverb suggests that a lack of knowledge is a sign of a higher level of intelligence, as one is able to see through the limitations of their own understanding."" , ""The phrase conveys the idea that knowledge is inherently evil,",1.0,1.0,0.48,0.88,96.4
b,cot_xl,English,6,A rolling stone gathers no moss,Someone who does not settle in one place rarely prospers.,Someone who does not settle in one place rarely prospers.,True,It's the stones with rounded shapes that are naturally averse to moss formation.,Someone who does not settle in one place rarely prospers.,Moss only grows on stones that have emotional connections to the earth.,The stone's smooth surface prevents moss from growing on it.,B,The stone's smooth surface prevents moss from growing on it.,Moss only grows on stones that have emotional connections to the earth.,It's the stones with rounded shapes that are naturally averse to moss formation.,"[""The stone's smooth surface prevents moss from growing on it."",
""Moss only grows on stones that have emotional connections to the earth."",
""It's the stones with rounded shapes that are naturally averse to moss formation.""]",1.0,1.0,1.17,0.83,94.9
b,cot_xl,English,7,A stitch in time saves nine,A 'stitch in time' is a timely effort that will prevent more work later.,A 'stitch in time' is a timely effort that will prevent more work later.,True,A stitch in time is actually a way to slow down and avoid rushing through work.,The idea of nine stitches represents the number of people required to complete a task.,A 'stitch in time' is a timely effort that will prevent more work later.,"If one stitch was already completed, there'd be no need for more.",C,"If one stitch was already completed, there'd be no need for more.",The idea of nine stitches represents the number of people required to complete a task.,A stitch in time is actually a way to slow down and avoid rushing through work.,"[""If one stitch was already completed, there'd be no need for more."", ""The idea of nine stitches represents the number of people required to complete a task."", ""A stitch in time is actually a way to slow down and avoid rushing through work.""]",1.0,1.0,1.02,0.96,98.8
b,cot_xl,English,8,A watched pot never boils,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,True,A watched pot never boils because the pot's lid prevents steam from escaping.,"A watched pot never boils when the observer is standing behind the pot, blocking the heat.",A watched pot never boils due to the decreased water flow caused by the observer's gaze.,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,D,A watched pot never boils because the pot's lid prevents steam from escaping.,"A watched pot never boils when the observer is standing behind the pot, blocking the heat.",A watched pot never boils due to the decreased water flow caused by the observer's gaze.,"[""A watched pot never boils because the pot's lid prevents steam from escaping."", ""A watched pot never boils when the observer is standing behind the pot, blocking the heat."", ""A watched pot never boils due to the decreased water flow caused by the observer's gaze.""]",1.0,1.0,0.58,0.73,91.9
b,cot_xl,English,9,A wolf in sheep's clothing,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,True,A depiction of a wolf wearing a sheep costume at a carnival,"To describe someone with a thick, wintery coat",This phrase refers to the practice of giving away free clothing,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,D,"To describe someone with a thick, wintery coat",This phrase refers to the practice of giving away free clothing,A depiction of a wolf wearing a sheep costume at a carnival,"[""To describe someone with a thick, wintery coat"", ""This phrase refers to the practice of giving away free clothing"", ""A depiction of a wolf wearing a sheep costume at a carnival""]",1.0,1.0,0.65,0.94,98.2
b,cot_xl,English,10,Absolute power corrupts absolutely,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.","The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.",True,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.","In this saying, the word 'absolute' refers to a state of complete knowledge rather than a level of power.",Absolute power corrupts absolutely suggests that a single entity or person can only achieve true moral clarity in the absence of power.,This proverb is actually a warning to those who exercise power to prioritize humility over ambition.,A,Absolute power corrupts absolutely suggests that a single entity or person can only achieve true moral clarity in the absence of power.,This proverb is actually a warning to those who exercise power to prioritize humility over ambition.,"In this saying, the word 'absolute' refers to a state of complete knowledge rather than a level of power.","[""Absolute power corrupts absolutely suggests that a single entity or person can only achieve true moral clarity in the absence of power."", ""This proverb is actually a warning to those who exercise power to prioritize humility over ambition."", ""In this saying, the word 'absolute' refers to a state of complete knowledge rather than a level of power.""]",1.0,1.0,0.86,0.9,97.0
b,cot_xl,English,11,Actions speak louder than words,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,True,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,This proverb suggests that a person's words are inherently deceiving and should be ignored in favor of their actions.,"Actions speak louder than words, implying that physical strength or aggression is a more reliable indicator of a person's character than verbal communication.","Actions speak louder than words, implying that people should prioritize speaking over action as a means of personal growth.",A,"Actions speak louder than words, implying that people should prioritize speaking over action as a means of personal growth.",This proverb suggests that a person's words are inherently deceiving and should be ignored in favor of their actions.,"Actions speak louder than words, implying that physical strength or aggression is a more reliable indicator of a person's character than verbal communication.","[""Actions speak louder than words, implying that people should prioritize speaking over action as a means of personal growth."", 
""This proverb suggests that a person's words are inherently deceiving and should be ignored in favor of their actions."", 
""Actions speak louder than words, implying that physical strength or aggression is a more reliable indicator of a person's character than verbal comm",1.0,1.0,0.92,0.83,94.9
