task,strategy,lang,source_proverb,correct_text,correct_answer,reasoning,Choice_A,Choice_B,Choice_C,Choice_D
a,cot_xl,English,No man can serve two masters,No man can serve two masters,C,Regex Parse,No individual can serve two overlords.,A man cannot serve two commanders.,No man can serve two masters,No person can serve two lords.
a,cot_xl,English,Never test the depth of water with both feet,Never test the depth of water with both feet,B,Regex Parse,Don't jump into the unknown without feeling the waters first.,Never test the depth of water with both feet,It's unwise to plunge headfirst into unknown depths without assessing the risk.,Don't measure the waters before you've taken a step forward.
a,cot_xl,English,Count your chickens before they are hatched,Count your chickens before they are hatched,D,Regex Parse,Count your chickens before they're hatched,Don't count your chickens until they hatch,Count your chickens after they hatch,Count your chickens before they are hatched
a,cot_xl,English,"Translators, traitors","Translators, traitors",B,Regex Parse,"Translators, trespassers","Translators, traitors","Translators, transgressors","Translators, transcribers"
a,cot_xl,English,Rain on someone's parade.,Rain on someone's parade.,B,Regex Parse,Pour cold water on their celebration,Rain on someone's parade.,Dampen someone's festivities,Spoil the main event
a,cot_xl,English,Marriage makes or mars a man,Marriage makes or mars a man,A,Regex Parse,Marriage makes or mars a man,Marriage makes or mars a man's identity.,Marriage makes or mars a man's legacy.,Marriage makes or mars a man's future.
a,cot_xl,English,God tempers the wind to the shorn lamb.,God tempers the wind to the shorn lamb.,A,Regex Parse,God tempers the wind to the shorn lamb.,God calms the gust for the weak lamb.,God softens the storm for the harmless lamb.,God soothes the gale for the defenseless lamb.
a,cot_xl,English,"If you can't beat 'em, join 'em","If you can't beat 'em, join 'em",A,Regex Parse,"If you can't beat 'em, join 'em","If you can't join 'em together, beat 'em","If you can't beat the system, join it","If you can't join them, beat 'em"
a,cot_xl,English,There's small choice in rotten apples,There's small choice in rotten apples,D,Regex Parse,There's little choice in bad apples,Not much option in overripe apples,You have small pickings in rotting apples,There's small choice in rotten apples
a,cot_xl,English,"He is unworthy to live, who lives only for himself","He is unworthy to live, who lives only for himself",A,Regex Parse,"He is unworthy to live, who lives only for himself",A person who lives solely for his own benefit is unworthy to exist.,A life lived solely to serve one's own interests is not worth living.,"He is not worthy of life, who dedicates himself solely to personal gain."
