Sample_ID,Proverb,Correct_Meaning
0,A bird in the hand is worth two in the bush,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.
3,A journey of a thousand miles begins with a single step,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it."
4,A leopard cannot change its spots,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.
5,A little knowledge is a dangerous thing,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made."
6,A rolling stone gathers no moss,Someone who does not settle in one place rarely prospers.
7,A stitch in time saves nine,A 'stitch in time' is a timely effort that will prevent more work later.
8,A watched pot never boils,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.
9,A wolf in sheep's clothing,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.
10,Absolute power corrupts absolutely,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes."
11,Actions speak louder than words,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.
12,All that glitters is not gold / All that glisters is not gold,The proverbial saying 'All that glitters is not gold' means that not everything that is shiny and superficially attractive is valuable.
13,All things come to those who wait,"A literal meaning, advocating patience."
14,All work and no play makes Jack a dull boy,The proverbial saying 'All work and no play makes Jack a dull boy' expresses the idea that working constantly and making no time for enjoyment makes one bored and boring.
15,An apple a day keeps the doctor away,"The proverb 'An apple a day keeps the doctor away' has a straightforward literal, and very probably correct, meaning - that the eating of fruit maintains good health."
16,"An eye for an eye, a tooth for a tooth","The proverb 'an eye for an eye, a tooth for a tooth' expresses the notion that for every wrong done there should be a compensating measure of justice."
17,Barking up the wrong tree,Making a mistake or a false assumption in something you are trying to achieve.
18,Beauty is in the eye of the beholder,Beauty in the eye of the beholder' has a literal meaning - that the perception of beauty is subjective - what one person finds beautiful another may not.
19,Beggars can't be choosers,If you request something to be given you should not question what you are given.
20,Beware of Greeks bearing gifts,Don't trust your enemies.
21,Big fleas have little fleas upon their back to bite 'em,"Everyone is preyed upon by someone, who in turn has someone preying on them."
23,Birds of a feather flock together,Those of similar taste congregate in groups.
24,Blood is thicker than water,By saying 'blood is thicker than water' we mean that family bonds are closer than those of outsiders.
25,Bolt from the blue,"A complete surprise, like a bolt of lightning from a clear blue sky."
26,Born with a silver spoon in one's mouth,To be born with a silver spoon in one's mouth is to be born into a wealthy and privileged family.
27,Boys will be boys,"The proverbial saying 'boys will be boys' is used to express resignation at, or even encouragement of, the bad behaviour of boys, imagining it to be an inevitable consequence of their gender."
28,Bread always falls buttered side down,The 'buttered side down' view of life is one that is pessimistic and fatalistic.
29,Buck stops here - The,The slogan 'The buck stops here' is a promise that responsibility will not be passed on to anyone else.
30,Build a better mousetrap and the world will beat a path to your door,To 'build a better mousetrap' is to make an improvement to an existing product or service. It especially refers to simple and straightforward changes that are obvious advances on earlier devices.
31,Burn the candle at both ends,To live at a hectic pace.
32,Burning the midnight oil,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting."
33,Bury the hatchet,To bury the hatchett is to settle your differences with an adversary.
