task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
a,MID0001,Arabic,,A,,A,0
a,MID0002,Arabic,,A,A,A,0
a,MID0003,Arabic,,A,A,A,0
a,MID0004,Arabic,,A,,A,0
a,MID0005,Arabic,,A,A,A,0
a,MID0006,Arabic,D,D,,D,1
a,MID0007,Arabic,B,A,,A,0
a,MID0008,Arabic,C,A,,A,0
a,MID0009,Arabic,C,A,,A,0
a,MID0010,Arabic,A,B,,B,0
a,MID0011,Arabic,A,A,,A,1
a,MID0012,Arabic,D,A,,A,0
a,MID0013,Arabic,A,C,,C,0
a,MID0014,Arabic,A,D,,D,0
a,MID0015,Arabic,A,C,,C,0
a,MID0016,Arabic,B,A,,A,0
a,MID0017,Arabic,D,A,,A,0
a,MID0018,Arabic,A,B,,B,0
a,MID0019,Arabic,A,A,,A,1
a,MID0020,Arabic,C,A,,A,0
a,MID0021,Arabic,A,A,,A,1
a,MID0022,Arabic,C,A,,A,0
a,MID0023,Arabic,B,A,,A,0
a,MID0024,Arabic,C,A,,A,0
a,MID0025,Arabic,D,A,,A,0
a,MID0026,Arabic,A,A,,A,1
a,MID0027,Arabic,A,A,,A,1
a,MID0028,Arabic,C,C,,C,1
a,MID0029,Arabic,C,C,,C,1
a,MID0030,Arabic,A,A,,A,1
a,MID0031,Arabic,C,A,,A,0
a,MID0032,Arabic,D,A,,A,0
a,MID0033,Arabic,A,A,,A,1
a,MID0034,Arabic,C,A,,A,0
a,MID0035,Arabic,C,A,,A,0
a,MID0036,Arabic,B,B,,B,1
a,MID0037,Arabic,C,C,,C,1
a,MID0038,Arabic,C,A,,A,0
a,MID0039,Arabic,A,B,,B,0
a,MID0040,Arabic,B,B,,B,1
a,MID0041,Arabic,C,C,,C,1
a,MID0042,Arabic,D,B,,B,0
a,MID0043,Arabic,D,A,,A,0
a,MID0044,Arabic,C,B,,B,0
a,MID0045,Arabic,B,B,,B,1
a,MID0046,Arabic,C,A,,A,0
a,MID0047,Arabic,D,A,,A,0
a,MID0048,Arabic,A,A,,A,1
a,MID0049,Arabic,A,A,,A,1
a,MID0050,Arabic,D,B,,B,0
a,MID0051,Arabic,C,C,,C,1
a,MID0052,Arabic,B,A,,A,0
a,MID0053,Arabic,D,B,,B,0
a,MID0054,Arabic,A,A,,A,1
a,MID0055,Arabic,C,C,,C,1
a,MID0056,Arabic,C,A,,A,0
a,MID0057,Arabic,A,A,,A,1
a,MID0058,Arabic,D,A,,A,0
a,MID0059,Arabic,C,A,,A,0
a,MID0060,Arabic,B,B,,B,1
a,MID0061,Arabic,D,A,,A,0
a,MID0062,Arabic,A,A,,A,1
a,MID0063,Arabic,D,A,,A,0
a,MID0064,Arabic,B,A,,A,0
a,MID0065,Arabic,C,B,,B,0
a,MID0066,Arabic,,A,A,A,0
a,MID0067,Arabic,,A,A,A,0
a,MID0068,Arabic,,A,A,A,0
a,MID0069,Arabic,,A,A,A,0
a,MID0070,Arabic,,A,A,A,0
a,MID0071,Arabic,D,B,,B,0
a,MID0072,Arabic,D,A,,A,0
a,MID0073,Arabic,D,D,,D,1
a,MID0074,Arabic,A,B,,B,0
a,MID0075,Arabic,A,A,,A,1
a,MID0076,Arabic,C,A,,A,0
a,MID0077,Arabic,B,A,,A,0
a,MID0078,Arabic,B,A,,A,0
a,MID0079,Arabic,A,A,,A,1
a,MID0080,Arabic,D,A,,A,0
a,MID0081,Arabic,A,B,,B,0
a,MID0082,Arabic,D,B,,B,0
a,MID0083,Arabic,B,B,,B,1
a,MID0084,Arabic,B,A,,A,0
a,MID0085,Arabic,C,A,,A,0
a,MID0086,Arabic,B,A,,A,0
a,MID0087,Arabic,D,A,,A,0
a,MID0088,Arabic,D,D,,D,1
a,MID0089,Arabic,D,D,,D,1
a,MID0090,Arabic,D,B,,B,0
a,MID0091,Arabic,,A,A,A,0
a,MID0092,Arabic,,A,A,A,0
a,MID0093,Arabic,,A,A,A,0
a,MID0094,Arabic,,A,A,A,0
a,MID0095,Arabic,,A,A,A,0
a,MID0096,Arabic,,A,A,A,0
a,MID0097,Arabic,,A,A,A,0
a,MID0098,Arabic,,A,A,A,0
a,MID0099,Arabic,,A,A,A,0
a,MID0100,Arabic,,A,A,A,0
a,MID0101,Arabic,,A,,A,0
a,MID0102,Arabic,,A,A,A,0
a,MID0103,Arabic,,A,A,A,0
a,MID0104,Arabic,,A,,A,0
a,MID0105,Arabic,,A,,A,0
a,MID0106,Arabic,D,A,,A,0
a,MID0107,Arabic,A,A,,A,1
a,MID0108,Arabic,D,D,,D,1
a,MID0109,Arabic,D,C,,C,0
a,MID0110,Arabic,D,A,A,A,0
a,MID0111,Arabic,D,A,,A,0
a,MID0112,Arabic,C,A,,A,0
a,MID0113,Arabic,A,A,,A,1
a,MID0114,Arabic,C,A,,A,0
a,MID0115,Arabic,A,D,,D,0
a,MID0116,Arabic,C,D,,D,0
a,MID0117,Arabic,B,A,,A,0
a,MID0118,Arabic,B,A,,A,0
a,MID0119,Arabic,A,A,,A,1
a,MID0120,Arabic,B,A,,A,0
a,MID0121,Arabic,A,A,,A,1
a,MID0122,Arabic,A,A,,A,1
a,MID0123,Arabic,C,A,,A,0
a,MID0124,Arabic,B,D,,D,0
a,MID0125,Arabic,A,A,,A,1
a,MID0126,Arabic,A,B,,B,0
a,MID0127,Arabic,A,A,,A,1
a,MID0128,Arabic,D,A,,A,0
a,MID0129,Arabic,D,A,,A,0
a,MID0130,Arabic,C,A,,A,0
a,MID0131,Arabic,B,A,,A,0
a,MID0132,Arabic,B,D,,D,0
a,MID0133,Arabic,D,C,,C,0
a,MID0134,Arabic,B,A,,A,0
a,MID0135,Arabic,A,A,,A,1
a,MID0136,Arabic,B,A,,A,0
a,MID0137,Arabic,A,A,,A,1
a,MID0138,Arabic,C,A,,A,0
a,MID0139,Arabic,D,D,,D,1
a,MID0140,Arabic,D,A,,A,0
a,MID0141,Arabic,C,C,,C,1
a,MID0142,Arabic,D,C,,C,0
a,MID0143,Arabic,A,B,,B,0
a,MID0144,Arabic,B,A,,A,0
a,MID0145,Arabic,D,A,,A,0
a,MID0146,Arabic,B,A,,A,0
a,MID0147,Arabic,A,C,,C,0
a,MID0148,Arabic,D,A,,A,0
a,MID0149,Arabic,A,B,,B,0
a,MID0150,Arabic,D,A,,A,0
a,MID0151,Arabic,D,A,,A,0
a,MID0152,Arabic,D,A,,A,0
a,MID0153,Arabic,A,A,,A,1
a,MID0154,Arabic,C,A,,A,0
a,MID0155,Arabic,D,A,,A,0
a,MID0156,Arabic,C,A,,A,0
a,MID0157,Arabic,D,A,,A,0
a,MID0158,Arabic,A,B,,B,0
a,MID0159,Arabic,C,A,,A,0
a,MID0160,Arabic,D,A,,A,0
a,MID0161,Arabic,,A,,A,0
a,MID0162,Arabic,,A,A,A,0
a,MID0163,Arabic,,A,A,A,0
a,MID0164,Arabic,,A,A,A,0
a,MID0165,Arabic,,A,A,A,0
a,MID0166,Arabic,D,A,,A,0
a,MID0167,Arabic,C,B,,B,0
a,MID0168,Arabic,B,D,,D,0
a,MID0169,Arabic,C,A,,A,0
a,MID0170,Arabic,D,D,,D,1
a,MID0171,Arabic,,A,A,A,0
a,MID0172,Arabic,,A,A,A,0
a,MID0173,Arabic,,A,,A,0
a,MID0174,Arabic,,A,,A,0
a,MID0175,Arabic,,A,A,A,0
a,MID0176,Arabic,A,B,,B,0
a,MID0177,Arabic,A,B,,B,0
a,MID0178,Arabic,A,C,,C,0
a,MID0179,Arabic,A,A,,A,1
a,MID0180,Arabic,D,A,,A,0
a,MID0181,Arabic,D,A,,A,0
a,MID0182,Arabic,B,B,,B,1
a,MID0183,Arabic,D,A,,A,0
a,MID0184,Arabic,D,C,,C,0
a,MID0185,Arabic,A,B,,B,0
a,MID0186,Arabic,A,A,,A,1
a,MID0187,Arabic,B,A,,A,0
a,MID0188,Arabic,A,A,,A,1
a,MID0189,Arabic,A,A,,A,1
a,MID0190,Arabic,A,C,,C,0
a,MID0191,Arabic,A,B,,B,0
a,MID0192,Arabic,C,D,,D,0
a,MID0193,Arabic,D,A,,A,0
a,MID0194,Arabic,B,A,,A,0
a,MID0195,Arabic,A,B,,B,0
a,MID0196,Arabic,A,A,,A,1
a,MID0197,Arabic,B,A,,A,0
a,MID0198,Arabic,B,A,,A,0
a,MID0199,Arabic,C,A,,A,0
a,MID0200,Arabic,A,B,,B,0
a,MID0201,Arabic,C,A,,A,0
a,MID0202,Arabic,C,A,,A,0
a,MID0203,Arabic,C,B,,B,0
a,MID0204,Arabic,B,A,,A,0
a,MID0205,Arabic,A,A,,A,1
a,MID0206,Arabic,,A,,A,0
a,MID0207,Arabic,,A,,A,0
a,MID0208,Arabic,,A,,A,0
a,MID0209,Arabic,,A,,A,0
a,MID0210,Arabic,,A,A,A,0
a,MID0211,Arabic,C,A,,A,0
a,MID0212,Arabic,C,A,,A,0
a,MID0213,Arabic,D,A,,A,0
a,MID0214,Arabic,D,A,,A,0
a,MID0215,Arabic,A,B,,B,0
a,MID0216,Arabic,A,C,,C,0
a,MID0217,Arabic,B,B,,B,1
a,MID0218,Arabic,D,B,,B,0
a,MID0219,Arabic,C,A,,A,0
a,MID0220,Arabic,B,A,,A,0
a,MID0221,Arabic,,A,,A,0
a,MID0222,Arabic,,A,A,A,0
a,MID0223,Arabic,,A,A,A,0
a,MID0224,Arabic,,A,,A,0
a,MID0225,Arabic,,A,A,A,0
a,MID0226,Arabic,B,B,,B,1
a,MID0227,Arabic,D,A,,A,0
a,MID0228,Arabic,A,D,,D,0
a,MID0229,Arabic,B,B,,B,1
a,MID0230,Arabic,B,B,,B,1
a,MID0231,Arabic,,A,A,A,0
a,MID0232,Arabic,,A,A,A,0
a,MID0233,Arabic,,A,A,A,0
a,MID0234,Arabic,,A,A,A,0
a,MID0235,Arabic,,A,A,A,0
a,MID0236,Arabic,A,C,,C,0
a,MID0237,Arabic,D,A,,A,0
a,MID0238,Arabic,D,A,,A,0
a,MID0239,Arabic,B,B,,B,1
a,MID0240,Arabic,B,A,,A,0
a,MID0241,Arabic,B,D,,D,0
a,MID0242,Arabic,C,A,,A,0
a,MID0243,Arabic,B,C,,C,0
a,MID0244,Arabic,C,A,,A,0
a,MID0245,Arabic,C,A,,A,0
a,MID0246,Arabic,,A,,A,0
a,MID0247,Arabic,,A,A,A,0
a,MID0248,Arabic,,A,,A,0
a,MID0249,Arabic,,A,A,A,0
a,MID0250,Arabic,,A,,A,0
a,MID0251,Arabic,D,C,,C,0
a,MID0252,Arabic,A,C,,C,0
a,MID0253,Arabic,D,A,,A,0
a,MID0254,Arabic,C,A,,A,0
a,MID0255,Arabic,C,A,,A,0
a,MID0256,Arabic,A,A,,A,1
a,MID0257,Arabic,C,A,,A,0
a,MID0258,Arabic,D,A,,A,0
a,MID0259,Arabic,D,A,,A,0
a,MID0260,Arabic,A,A,,A,1
a,MID0261,Arabic,D,A,,A,0
a,MID0262,Arabic,D,A,,A,0
a,MID0263,Arabic,C,A,,A,0
a,MID0264,Arabic,C,C,,C,1
a,MID0265,Arabic,D,A,,A,0
a,MID0266,Arabic,A,A,,A,1
a,MID0267,Arabic,B,C,,C,0
a,MID0268,Arabic,D,D,,D,1
a,MID0269,Arabic,D,B,,B,0
a,MID0270,Arabic,B,A,,A,0
a,MID0271,Arabic,A,C,,C,0
a,MID0272,Arabic,D,A,,A,0
a,MID0273,Arabic,A,D,,D,0
