task,strategy,lang,source_proverb,correct_text,correct_answer,reasoning,Choice_A,Choice_B,Choice_C,Choice_D
b,cot_xl,English,No man can serve two masters,A person cannot divide their loyalties or pursue two contradictory goals.,C,Regex Parse,"A person's primary loyalty is often defined by their primary goal, and secondary goals may be subject to negotiation or compromise, but never simultaneously prioritized.",A person cannot simultaneously dedicate themselves to two opposing ideologies without experiencing internal conflict or cognitive dissonance.,A person cannot divide their loyalties or pursue two contradictory goals.,"A person can only truly commit to one primary objective, while secondary goals may be compromised or postponed."
b,cot_xl,English,Never test the depth of water with both feet,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.",B,Regex Parse,"When faced with an uncertain situation, it's essential to take a measured approach. The proverb 'test the waters before diving in' encourages us to proceed with caution and not take unnecessary risks. By doing so, we can avoid being caught off guard and instead, be better prepared to handle any challenges that may arise. This approach allows for a more controlled and manageable risk assessment, which is critical in making informed decisions.","If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.","Before embarking on a new journey, it's crucial to take a step back and assess the risks involved. The old adage 'don't test the depth of water with both feet' serves as a reminder to proceed with caution and not take unnecessary risks. By doing so, you can avoid being swept away by the currents of uncertainty and instead, navigate the waters with greater ease and control.","When venturing into the unknown, it's essential to dip your toes before diving headfirst. Testing the waters with one foot allows you to gauge the depth and adjust your approach accordingly, thereby minimizing the risk of being overwhelmed. This approach is crucial in various aspects of life, including personal endeavors, business ventures, and even relationships. By taking a cautious approach, you can avoid being caught off guard and instead, be better prepared to handle any challenges that may arise."
b,cot_xl,English,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.,D,Regex Parse,Be cautious in estimating the worth of your assets before they mature.,Avoid rushing to assess the value of your possessions.,Refrain from hastily appraising the value of your resources before they are fully realized.,Don't be hasty in evaluating one's assets.
b,cot_xl,English,"Translators, traitors",Translating a sentence perfectly from one language to another is technically impossible.,B,"The proverb 'Translators, traitors' implies that the task of translation is inherently imperfect and that translators may unintentionally alter the original meaning. This idea is rooted in the difficulty of capturing the nuances and context of one language in another. To craft distractors, we must acknowledge this concept and present alternative interpretations that maintain the same level of complexity and lexical overlap. The correct answer emphasizes the technical impossibility of perfect translation, serving as a foundation for our distractors.",Perfect translation is a myth perpetuated by idealistic linguists.,Translating a sentence perfectly from one language to another is technically impossible.,The pursuit of flawless translation is a Sisyphean task.,"In the realm of languages, perfect understanding is a fleeting mirage."
b,cot_xl,English,Rain on someone's parade.,Spoil someone's plans.,B,Regex Parse,The light drizzle on the wedding day started to drizzle on someone's festivities.,Spoil someone's plans.,The company's financial struggles poured cold water on someone's expectations.,Her boss's sudden announcement dampened someone's spirits.
b,cot_xl,English,Marriage makes or mars a man,Being married can either help or hinder you in your life.,A,Parse Failed,Being married can either help or hinder you in your life.,API Failure B,API Failure A,API Failure C
b,cot_xl,English,God tempers the wind to the shorn lamb.,Heaven is more kind to the weak.,A,Regex Parse,Heaven is more kind to the weak.,The divine tempers fate with gentle hands for the destitute.,Heaven soothes the soul of the helpless.,The mercy of heaven is reserved for those who are fragile and weak.
b,cot_xl,English,"If you can't beat 'em, join 'em",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,A,Regex Parse,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"To achieve success, one may need to temporarily relinquish their autonomy and harmonize with the prevailing social norms.","Sometimes, it's more strategic to temporarily set aside one’s ego and assimilate into the dominant culture.","In certain situations, it's prudent to abandon one’s individuality and blend in with the majority's customs."
b,cot_xl,English,There's small choice in rotten apples,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",D,"The proverb 'There's small choice in rotten apples' implies a situation where the available options are compromised or of poor quality. The phrase 'rotten apples' metaphorically represents inferior or unpalatable choices. The interpretation suggests that when all options are of poor quality, the actual number of options becomes insignificant, and the decision is effectively limited. This is because the bad choices outweigh the good, making the selection process feel futile. Therefore, the correct answer highlights the idea that a multitude of poor options can be equivalent to having limited or no quality options at all.","In a situation where all the alternatives are subpar, the decision-making process is essentially narrowed down to a limited number of choices.","When the majority of the alternatives are of poor quality, the decision-making process becomes comparable to choosing from a limited or non-existent set of options.","When every option available is of poor quality, the variety of choices available becomes irrelevant, and the actual choice one faces is severely restricted.","If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
b,cot_xl,English,"He is unworthy to live, who lives only for himself","It is important to think of the needs of others, not only your own.",A,Parse Failed,"It is important to think of the needs of others, not only your own.",API Failure A,API Failure C,API Failure B
b,cot_xl,English,"Wise men learn by other men’s mistakes, fools by their own",Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,A,Regex Parse,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,"Wise people benefit from the experiences of others, thus avoiding the pitfalls of their own blunders.","Wise individuals are perceptive, allowing them to absorb knowledge from others' missteps without incurring the same costs.","Wise people are attentive to the lessons derived from others' failures, thereby sidestepping their own."
b,cot_xl,English,Love is without reason,You can’t explain why people fall in love with each other.,C,"The correct answer matches the proverb 'Love is without reason' by conveying that love defies rational explanation. To create distractors, we need to maintain the same word count, complexity, tone, and lexical overlap. We'll use synonyms for 'reason' and 'love' to craft distractors that are equally plausible but incorrect.",You can’t explain why people are drawn to each other emotionally.,It’s difficult to articulate the feelings that drive people to love one another.,You can’t explain why people fall in love with each other.,The way people fall in love is often unpredictable and mysterious.
b,cot_xl,English,Every law has a loophole,"If one tries hard enough, they can find their way ar ound any law or rule.",C,Regex Parse,"With persistence, one can discover an opening to any rule or law.",Anyone can find a path around any rule or law if they try diligently enough.,"If one tries hard enough, they can find their way ar ound any law or rule.",It's possible to find a way around any law by putting in enough effort and thought.
b,cot_xl,English,People who live in glass houses should not throw stones.,One should not criticize others for faults similar to one's own and risk retaliation.,C,"This proverb is advising individuals to be mindful of their own shortcomings before pointing out the flaws in others, lest they invite criticism or even retaliation in return. The use of a glass house serves as a metaphor for vulnerability, implying that if one were to throw stones from such a precarious position, they risk shattering their own fragile existence. To critique others for faults that one possesses oneself is to court danger and demonstrate hypocrisy.","Those who occupy delicate habitats should refrain from hurling rocks at their peers, lest they suffer reciprocal attacks.","Individuals who inhabit precarious abodes would do well to avoid castigating others for their shortcomings, lest they invite retaliatory measures from those they have wronged.",One should not criticize others for faults similar to one's own and risk retaliation.,"Critics who reside in transparent dwellings must exercise caution when condemning others for their flaws, lest they face similar scrutiny."
b,cot_xl,English,"While there is life, there is hope","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",A,Regex Parse,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.","As long as the heart beats, there is always a pathway to happiness, and though the journey may be long and arduous, one should never lose sight of their ultimate goal.","As long as you exist, there is always a glimmer of hope, a chance to redeem yourself and make amends for past mistakes, so hold on to that spark.","As long as life persists, hope springs eternal, and though challenges may arise, one should persevere in the pursuit of better days ahead."
b,cot_xl,English,"A prophet is not without honor, save in his own country",People are more likely to believe in a foreign expert than one from their own kin.,B,Regex Parse,"Interestingly, it's often observed that people give more credence to experts from afar rather than those from their own hometown.",People are more likely to believe in a foreign expert than one from their own kin.,"The fact is, people tend to be more accepting of foreign experts than ones from their own backyard, which is quite paradoxical.","In many cultures, there's a phenomenon where people prefer foreign experts over those from their own local communities."
b,cot_xl,English,He who wills the end wills the means,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",A,Regex Parse,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.","If one is driven to succeed, they will take the necessary risks and make the necessary changes to reach their goal.","If one is determined enough to reach their goal, they will take the necessary steps and make the necessary adjustments to get there.","If one is committed to a goal, they will make the necessary preparations and take the necessary precautions to achieve it."
b,cot_xl,English,Be just before you are generous,Make sure your own debts are paid before lending to others.,B,Regex Parse,Prioritize clearing your own financial liabilities before extending credit to others.,Make sure your own debts are paid before lending to others.,Ensure your own financial obligations are settled before considering loans to others.,Pay off your own debts before offering financial assistance to those in need.
