task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_xl,German,MID0001,Aller Anfang ist schwer,All beginnings are difficult,All beginnings are difficult,False,Every start is heavy,All beginnings are made of a physical substance called 'start',Beginnings are objects that weigh a lot,All beginnings are difficult,D,Every start is heavy,All beginnings are made of a physical substance called 'start',Beginnings are objects that weigh a lot,"<reasoning>German proverb ""Aller Anfang ist schwer"" can be misinterpreted because its literal translation, ""All start is heavy"", could suggest that the start involves lifting or physical weight.</reasoning>
[""Every start is heavy"", ""All beginnings are made of a physical substance called 'start'"", ""Beginnings are objects that weigh a lot""]",1.0,0.6666666666666666,1.75,0.93,87.9
a,cot_xl,German,MID0002,Der Apfel fällt nicht weit vom Stamm,The apple does not fall far from the tree,The apple does not fall far from the tree,False,the apple is a type of bird that returns to its nesting branch,the tree has a large magnetic field that pulls the apple back towards the trunk,The apple does not fall far from the tree,the apple falls close to the trunk due to strong winds,C,the apple falls close to the trunk due to strong winds,the apple is a type of bird that returns to its nesting branch,the tree has a large magnetic field that pulls the apple back towards the trunk,"""Der Apfel fällt nicht weit vom Stamm ist wörtlich zu nehmen, aber in diesem Fall bezieht sich der Apfel auf einen Baum, der sich in der Nähe eines Berges befindet und der Wind daher sehr stark ist, daher fällt der Apfel näher zum Stamm, um nicht zu weit zu fliegen."" [""the apple falls close to the trunk due to strong winds"", ""the apple is a type of bird that returns to its nesting branch"", ""the tr",1.0,1.0,1.44,0.83,94.9
a,cot_xl,German,MID0003,Besser spät als nie,Better late than never,Better late than never,False,One should arrive at a party late rather than not arriving at all,A person who gets a job offer 10 years after graduation is in a better situation than someone who didn't graduate,A delay in planting a garden is preferable to never planting it,Better late than never,D,One should arrive at a party late rather than not arriving at all,A delay in planting a garden is preferable to never planting it,A person who gets a job offer 10 years after graduation is in a better situation than someone who didn't graduate,"""Besser spät als nie"": 
Better late than never

Here are 3 plausible but WRONG literal interpretations:

[""One should arrive at a party late rather than not arriving at all"", ""A delay in planting a garden is preferable to never planting it"", ""A person who gets a job offer 10 years after graduation is in a better situation than someone who didn't graduate""]",1.0,1.0,3.83,0.92,97.6
a,cot_xl,German,MID0004,Der frühe Vogel fängt den Wurm,The early bird catches the worm,The early bird catches the worm,False,,,,,,,,,"Der frühe Vogel ist ein Wurm / The early bird is a worm
Der Wurm wird gefangen, wenn der Vogel früher aufwacht / The worm is caught when the bird wakes up early
Der Wurm kann von Vögeln gefangen werden, der Frühling ist gekommen / The worm can be caught by birds, spring has come",0.0,0.0,0.0,0.0,0.0
a,cot_xl,German,MID0005,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",Don't put off until tomorrow what you can do today,Don't put off until tomorrow what you can do today,False,Don't delay acquiring something valuable until tomorrow when you could get it today,"Order food for today, don't order it for tomorrow",Don't put off buying something you need today until tomorrow,Don't put off until tomorrow what you can do today,D,"Order food for today, don't order it for tomorrow",Don't put off buying something you need today until tomorrow,Don't delay acquiring something valuable until tomorrow when you could get it today,"""Was du heute kannst besorgen"" doesn't only mean something you can do or achieve, but also something you can acquire or obtain, as ""besorgen"" can mean to obtain, get, or acquire something.

[""Order food for today, don't order it for tomorrow"",
""Don't put off buying something you need today until tomorrow"",
""Don't delay acquiring something valuable until tomorrow when you could get it today""]",1.0,1.0,1.07,0.78,93.4
a,cot_xl,German,MID0006,Übung macht den Meister,Practice makes perfect,Practice makes perfect,False,wrong literal 2,Practice makes perfect,wrong literal 1,wrong literal 3,B,wrong literal 1,wrong literal 2,wrong literal 3,"""Übung macht den Meister"" kann wie folgt falsch interpretiert werden:
- Übung (Practice) macht den Meister (Master), der einen Meisterstück in einem Garten macht. (wrong literal 1)
- Das Üben (Praktizieren) eines Meisters (ein bestimmtes Instrument oder ein bestimmtes Hobby) macht einen Meister. (wrong literal 2)
- Die Übungen (Sport- oder Fitnessübungen) machen einen Menschen zum Meister (meisten",1.0,0.0,1.0,0.5,55.0
a,cot_xl,German,MID0007,Kleinvieh macht auch Mist,Small cattle also make manure,Small cattle also make manure,False,Small cattle can also make decisions,Small cattle also make manure,Small cattle can also make music,Small cattle are also skilled at making art,B,Small cattle are also skilled at making art,Small cattle can also make decisions,Small cattle can also make music,"[""Small cattle are also skilled at making art"", ""Small cattle can also make decisions"", ""Small cattle can also make music""]",1.0,1.0,1.33,0.58,87.4
a,cot_xl,German,MID0008,Man soll den Tag nicht vor dem Abend loben,Don't praise the day before the evening,Don't praise the day before the evening,False,Don't praise the day before the evening,Don't eat all your food before the evening meal,Praise the day before the sun sets to bring good weather,Don't clean your room before the trash collector arrives,A,Praise the day before the sun sets to bring good weather,Don't eat all your food before the evening meal,Don't clean your room before the trash collector arrives,"<reasoning>Be grateful for each passing moment, rather than taking things for granted.</reasoning>[""Praise the day before the sun sets to bring good weather"", ""Don't eat all your food before the evening meal"", ""Don't clean your room before the trash collector arrives""]",1.0,1.0,1.38,0.83,94.9
a,cot_xl,German,MID0009,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",He who does not honor the penny is not worth the dollar,He who does not honor the penny is not worth the dollar,False,He who does not honor the penny is not worth the dollar,"Wenn man nicht die Tür nicht ehrt, ist man nicht wert, ein Haus zu besitzen.","Wenn man nicht die Katze im Sack ehrt, ist man nicht wert, einen Löwen zu jagen.","Wenn man nicht die Zeit nicht ehrt, ist man nicht wert, einen Tag zu leben.",A,"Wenn man nicht die Katze im Sack ehrt, ist man nicht wert, einen Löwen zu jagen.","Wenn man nicht die Tür nicht ehrt, ist man nicht wert, ein Haus zu besitzen.","Wenn man nicht die Zeit nicht ehrt, ist man nicht wert, einen Tag zu leben.","Wenn man nicht die Kleidung ehrt, die man trägt, ist man nicht wert, ein Millionär zu werden.
[ ""Wenn man nicht die Katze im Sack ehrt, ist man nicht wert, einen Löwen zu jagen."", ""Wenn man nicht die Tür nicht ehrt, ist man nicht wert, ein Haus zu besitzen."", ""Wenn man nicht die Zeit nicht ehrt, ist man nicht wert, einen Tag zu leben.""]",1.0,1.0,1.28,0.51,85.3
a,cot_xl,German,MID0010,"Was Hänschen nicht lernt, lernt Hans nimmermehr","What little Hans doesn't learn, big Hans will never learn","What little Hans doesn't learn, big Hans will never learn",False,Hans will never learn a new hairstyle,Hans will never learn an instrument beyond a certain age,Hans will never learn to navigate a bicycle,"What little Hans doesn't learn, big Hans will never learn",D,Hans will never learn a new hairstyle,Hans will never learn to navigate a bicycle,Hans will never learn an instrument beyond a certain age,"[""Hans will never learn a new hairstyle"", ""Hans will never learn to navigate a bicycle"", ""Hans will never learn an instrument beyond a certain age""]",1.0,1.0,0.83,0.57,87.1
a,cot_xl,German,MID0011,Der Weg zur Hölle ist mit guten Vorsätzen gepflastert,The road to hell is paved with good intentions,The road to hell is paved with good intentions,False,Hell is paved with paving stones that are made of good intentions,The road to hell is paved with good intentions,The road to hell has a decorative pavement made of good intentions,Good intentions are being used as paving stones to make a road to hell,B,The road to hell has a decorative pavement made of good intentions,Hell is paved with paving stones that are made of good intentions,Good intentions are being used as paving stones to make a road to hell,"The proverb actually suggests that making plans to do good things can lead to bad consequences, but here are 3 plausible but wrong literal interpretations in English:

[""The road to hell has a decorative pavement made of good intentions"", ""Hell is paved with paving stones that are made of good intentions"", ""Good intentions are being used as paving stones to make a road to hell""]",1.0,1.0,1.41,0.7,91.0
