task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_en,Yoruba,YOR0001,A di gàárì sílẹ́ ewúrẹ́ ńyọjú; ẹrù ìran rẹ́ ni?,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",Goats that know their place do not offer their backs to be saddled.,True,Goats are always ready to help humans with their tasks,One should always be prepared to take on new challenges like saddling a goat,Goats that know their place do not offer their backs to be saddled.,The proverb suggests that goats have a natural inclination to serve humans,C,Goats are always ready to help humans with their tasks,One should always be prepared to take on new challenges like saddling a goat,The proverb suggests that goats have a natural inclination to serve humans,"<reasoning>When interpreting proverbs from different cultures, it's easy to get lost in translation or misinterpret the intended meaning due to lack of cultural context. A wrong interpretation might seem plausible if it's based on a literal translation of the words without considering the proverb's cultural significance or the idiomatic expressions used. For instance, focusing solely on the action",1.0,1.0,0.92,0.89,96.7
b,cot_en,Yoruba,YOR0002,A fi ọ́ jọba ò ńṣàwúre; o fẹ́ẹ́ jẹ Ọlọ́run ni?,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",Being crowned a king is about the best fortune a mortal could hope for.,True,It warns against the dangers of greed and the pursuit of divine power,Being crowned a king is about the best fortune a mortal could hope for.,It suggests that becoming a king is not enough and one should strive for spiritual enlightenment or divine status,The proverb advises against seeking additional power once a high position is achieved,B,The proverb advises against seeking additional power once a high position is achieved,It warns against the dangers of greed and the pursuit of divine power,It suggests that becoming a king is not enough and one should strive for spiritual enlightenment or divine status,"<reasoning>When interpreting proverbs from other cultures, it's easy to get lost in translation, not just linguistically, but also contextually and culturally. A proverb like ""A fi ọ́ jọba ò ńṣàwúre; o fẹ́ẹ́ jẹ Ọlọ́run ni?"" can be particularly challenging because its meaning is deeply rooted in the societal and religious beliefs of the Yoruba people. Without a deep understanding of these beliefs a",1.0,1.0,1.07,0.89,96.7
b,cot_en,Yoruba,YOR0003,"A fijó gba Awà; a fìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",Why make a huge production of a matter that is easily taken care of?,True,The key to success lies in mastering the art of competition and domination,Why make a huge production of a matter that is easily taken care of?,Dancing and fighting are essential skills for achieving success,Taking possession of Awà requires a combination of physical and mental strength,B,Dancing and fighting are essential skills for achieving success,Taking possession of Awà requires a combination of physical and mental strength,The key to success lies in mastering the art of competition and domination,"<reasoning>One possible approach to creating wrong cultural interpretations is to take the proverb's surface-level meaning and apply it to different contexts or themes, while ignoring the underlying message of simplicity and efficiency. For example, the proverb's mention of dancing and fighting could be taken literally, leading to interpretations that emphasize competition or aggression. Additiona",1.0,1.0,0.81,0.92,97.6
b,cot_en,Yoruba,YOR0004,A gbé gàárì ọmọ ewúrẹ́ ńrojú; kì í ṣe ẹrù àgùntàn.,We lift a saddle and the goat scowls; it is no burden for a sheep.,"The goat has no cause to scowl, because no one will condescend to ride it anyway.",True,"The comparison between the goat and the sheep suggests that goats are more capable of carrying burdens, hence the scowl",The goat scowls because it is strong enough to carry the saddle and resents the implication it cannot,"The goat has no cause to scowl, because no one will condescend to ride it anyway.","The proverb advises against placing burdens on animals that are not designed for such tasks, like goats",C,The goat scowls because it is strong enough to carry the saddle and resents the implication it cannot,"The proverb advises against placing burdens on animals that are not designed for such tasks, like goats","The comparison between the goat and the sheep suggests that goats are more capable of carrying burdens, hence the scowl","<reasoning>To generate wrong cultural interpretations that are plausible but subtly incorrect, we need to consider the literal translation and potential misinterpretations of the proverb's elements, such as the actions, animals, and the implied burden. A wrong interpretation might stem from misunderstanding the comparison between the goat and the sheep, or the action of lifting a saddle. For insta",1.0,1.0,1.15,0.91,97.3
b,cot_en,Yoruba,YOR0005,A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,One should be cautious in dealing with people in authority.,True,Always prioritize self-defense when interacting with those in power,Boundaries with those in authority should be completely avoided to prevent conflict,Respect for authority requires complete submission to their will,One should be cautious in dealing with people in authority.,D,Always prioritize self-defense when interacting with those in power,Respect for authority requires complete submission to their will,Boundaries with those in authority should be completely avoided to prevent conflict,"<reasoning>When interpreting proverbs, it's easy to get caught up in literal translations or overlook cultural nuances. In this case, the Yoruba proverb ""A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀"" could be misinterpreted in various ways. For instance, one might focus on the idea of physical harm or the concept of property boundaries, rather than the power dynamic at play. Additionally, the",1.0,1.0,1.0,0.91,97.3
b,cot_en,Yoruba,YOR0006,A kì í bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.,One does not so fear death and disease that one asks that one’s child die before one.,One should not be more concerned with saving oneself than with saving one’s dependents.,True,It is better to have no fear of death and disease as it makes life easier,"One should always act in a way that ensures their child outlives them, regardless of the circumstances",Parents should completely neglect their own health for the sake of their children,One should not be more concerned with saving oneself than with saving one’s dependents.,D,Parents should completely neglect their own health for the sake of their children,It is better to have no fear of death and disease as it makes life easier,"One should always act in a way that ensures their child outlives them, regardless of the circumstances","<reasoning>To create plausible but subtly incorrect interpretations, we need to consider the nuances of the Yoruba proverb and how they might be misinterpreted. The proverb emphasizes the importance of prioritizing the well-being of one's dependents over personal concerns. However, misinterpretations could arise from taking the proverb too literally, misunderstanding the cultural context, or apply",1.0,1.0,1.1,0.92,97.6
b,cot_en,Yoruba,YOR0007,A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,One should not act in unreasonable and harmful ways because of anger.,True,It is wrong to show anger towards useless things,Discarding problems into nature is a better solution than confronting them directly,One should not act in unreasonable and harmful ways because of anger.,One should avoid littering and respect community dumping grounds,C,One should avoid littering and respect community dumping grounds,It is wrong to show anger towards useless things,Discarding problems into nature is a better solution than confronting them directly,"<reasoning>When interpreting proverbs, cultural context and nuances of language play a significant role. A wrong interpretation can occur when the focus is misplaced on a literal translation or when a single word or phrase is misunderstood, leading to a plausible but incorrect meaning. For the Yoruba proverb, ""A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́,"" a wrong interpretation might arise from misinterpr",1.0,1.0,0.83,0.98,99.4
b,cot_en,Yoruba,YOR0008,A kì í bínú orí ká fi fìlà dé ìbàdí.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,Do not cut off your nose to spite your face.,True,It is essential to manage one's resources carefully to ensure they are used for the most important tasks,One should always prioritize their appearance to avoid embarrassment,Do not cut off your nose to spite your face.,"When angry, one should find a creative outlet to express their emotions without causing harm to others",C,One should always prioritize their appearance to avoid embarrassment,It is essential to manage one's resources carefully to ensure they are used for the most important tasks,"When angry, one should find a creative outlet to express their emotions without causing harm to others","<reasoning>When interpreting proverbs from different cultures, it's easy to get lost in translation or misinterpret the idiomatic expressions. In the case of the Yoruba proverb ""A kì í bínú orí ká fi fìlà dé ìbàdí,"" a literal translation might lead to confusion. A plausible but incorrect interpretation could arise from misunderstanding the context or the metaphorical meaning of the proverb. For in",1.0,1.0,1.47,0.91,97.3
b,cot_en,Yoruba,YOR0009,A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ.,"One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.",Do not do things that might constitute temptation to others.,True,The proverb warns against performing religious rituals in areas where pests are present,Do not do things that might constitute temptation to others.,It advises against storing food in areas accessible to rodents,The phrase is a warning to priests to maintain the purity of their temples by keeping them free of vermin,B,The proverb warns against performing religious rituals in areas where pests are present,It advises against storing food in areas accessible to rodents,The phrase is a warning to priests to maintain the purity of their temples by keeping them free of vermin,"<reasoning>One might misinterpret the proverb due to its use of metaphors and the cultural context it originates from. The mention of a house rat and sacrificing to a god could lead to various incorrect interpretations. For instance, one might think it's about literal sacrifices or the hierarchy of power within a community, rather than the act of tempting others. Additionally, the concept of invad",1.0,1.0,1.43,0.93,97.9
b,cot_en,Yoruba,YOR0010,A kì í dàgbà má làáyà; ibi ayé bá báni là ńjẹ ẹ́.,One does not become an adult and yet lack courage; one lives life as it finds one.,One should do what is fitting for one’s station in life.,True,"Life's circumstances dictate one's actions, leaving no room for personal choice","To be an adult, one must relentlessly pursue their goals, regardless of their current situation",One must always confront their fears to be considered an adult,One should do what is fitting for one’s station in life.,D,One must always confront their fears to be considered an adult,"Life's circumstances dictate one's actions, leaving no room for personal choice","To be an adult, one must relentlessly pursue their goals, regardless of their current situation","<reasoning>To create plausible but subtly incorrect interpretations, we need to consider the nuances of the Yoruba proverb and how its meaning could be misaligned with its original intent. The proverb emphasizes the importance of acting in accordance with one's stage in life, implying a sense of responsibility and courage. A wrong interpretation might stem from misinterpreting the concept of ""cour",1.0,1.0,1.12,0.89,96.7
