task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_en,Spanish,MID0001,"Al mal tiempo, buena cara","To bad weather, good face",Face difficulties with a positive attitude; maintain composure in tough times.,True,"It means that if you act cheerful, the weather will improve.",Face difficulties with a positive attitude; maintain composure in tough times.,The phrase advises you to literally wear a happy mask during storms to protect yourself from the elements.,"You should only show happiness when the weather is bad, otherwise you can be gloomy.",B,"You should only show happiness when the weather is bad, otherwise you can be gloomy.",The phrase advises you to literally wear a happy mask during storms to protect yourself from the elements.,"It means that if you act cheerful, the weather will improve.","<reasoning>These interpretations seem plausible because they take the literal elements of the proverb (bad weather, good face) and apply them either situationally, physically, or causally. However, each subtly misrepresents the core idea: the saying is about maintaining a positive, resilient attitude in any adversity, not limiting positivity to bad weather, not suggesting a literal mask for protec",1.0,1.0,1.33,0.9,97.0
b,cot_en,Spanish,MID0002,"De tal palo, tal astilla","From such a stick, such a chip","Children often resemble their parents in character/behavior (like father, like son).",True,"It suggests that one's environment or upbringing (the type of wood) shapes their behavior more than innate traits, emphasizing nurture over nature.","Children often resemble their parents in character/behavior (like father, like son).",The proverb means that the quality of a tool (the stick) determines the quality of the work or product (the chip) you produce.,"It is a carpentry advice saying that using the same kind of wood for a project ensures uniform results, highlighting consistency in materials rather than in family traits.",B,The proverb means that the quality of a tool (the stick) determines the quality of the work or product (the chip) you produce.,"It suggests that one's environment or upbringing (the type of wood) shapes their behavior more than innate traits, emphasizing nurture over nature.","It is a carpentry advice saying that using the same kind of wood for a project ensures uniform results, highlighting consistency in materials rather than in family traits.","<reasoning>These interpretations arise from taking the literal imagery of wood and chips too literally, conflating the proverb with sayings about craftsmanship, environment, or material consistency, which makes them seem reasonable but they miss the core idea of familial resemblance in character or behavior.</reasoning>
[""The proverb means that the quality of a tool (the stick) determines the qual",1.0,1.0,2.21,0.9,97.0
b,cot_en,Spanish,MID0003,"Dime con quién andas, y te diré quién eres","Tell me with whom you walk, and I’ll tell you who you are",You are judged by the company you keep.,True,"The proverb means that your moral character is directly inherited from the people you physically walk beside, so walking with honest people makes you honest.",It suggests that to truly discover someone's identity you must accompany them on a walk; the act of walking together reveals who they are.,"It implies that your social status is fixed by the socioeconomic class of your companions, advising you to associate only with higher‑class individuals to improve your standing.",You are judged by the company you keep.,D,"The proverb means that your moral character is directly inherited from the people you physically walk beside, so walking with honest people makes you honest.",It suggests that to truly discover someone's identity you must accompany them on a walk; the act of walking together reveals who they are.,"It implies that your social status is fixed by the socioeconomic class of your companions, advising you to associate only with higher‑class individuals to improve your standing.","<reasoning>These wrong interpretations seem plausible because they each take a literal or mechanistic angle of the proverb—focusing on the act of walking, direct influence, or class mobility—yet they miss the core idea that the saying is about social judgment rather than causation, discovery method, or prescribed behavior.</reasoning>
[""The proverb means that your moral character is directly inher",1.0,1.0,3.17,0.87,96.1
b,cot_en,Spanish,MID0004,Un clavo saca otro clavo,One nail drives out another,"To forget one love, find another (move on from heartbreak).",True,"To remove a stubborn nail from wood, you must hammer in another nail to push it out.","To forget one love, find another (move on from heartbreak).","When facing a difficult situation, you should create a new problem to distract yourself from the original one.","To overcome a bad habit, you must replace it with another habit, using the new habit to drive out the old one.",B,"To remove a stubborn nail from wood, you must hammer in another nail to push it out.","When facing a difficult situation, you should create a new problem to distract yourself from the original one.","To overcome a bad habit, you must replace it with another habit, using the new habit to drive out the old one.","<reasoning>The proverb uses a nail metaphor to describe emotional recovery; wrong interpretations often take the metaphor too literally or apply it to unrelated domains like carpentry, general problem‑solving, or habit change, missing the specific context of romantic heartbreak.</reasoning>
[""To remove a stubborn nail from wood, you must hammer in another nail to push it out."",""When facing a diffi",1.0,1.0,1.9,0.81,94.3
b,cot_en,Spanish,MID0005,"Ojos que no ven, corazón que no siente","Eyes that don’t see, heart that doesn’t feel",What you don’t know doesn’t hurt you.,True,"Not seeing something means your heart remains unaffected by any emotion, positive or negative.","The saying advises that to keep your heart pure, you must avoid looking at impure things.",What you don’t know doesn’t hurt you.,"If you don't witness a problem, you won't feel responsible for fixing it.",C,"If you don't witness a problem, you won't feel responsible for fixing it.","Not seeing something means your heart remains unaffected by any emotion, positive or negative.","The saying advises that to keep your heart pure, you must avoid looking at impure things.","<reasoning>These interpretations seem plausible because they touch on the idea that avoiding visual perception influences emotional states, but they misrepresent the proverb’s core message about ignorance preventing hurt. They shift focus to responsibility, emotional neutrality, or moral purity, which are subtle deviations from the original meaning of “what you don’t know doesn’t hurt you.”</reaso",1.0,1.0,2.05,0.96,98.8
b,cot_en,Spanish,MID0006,Más vale pájaro en mano que cien volando,A bird in the hand is worth more than one hundred flying,A bird in the hand is worth two in the bush (value what you have).,True,"It suggests that if you let the bird in your hand go, the hundred flying birds will eventually land in your hand as a reward for your generosity.",It advises that you should always pursue the hundred flying birds because they represent greater potential wealth than the single bird you already hold.,A bird in the hand is worth two in the bush (value what you have).,"It means that the value of a bird increases when it is flying, so you should release your bird to join the flock and increase its worth.",C,It advises that you should always pursue the hundred flying birds because they represent greater potential wealth than the single bird you already hold.,"It suggests that if you let the bird in your hand go, the hundred flying birds will eventually land in your hand as a reward for your generosity.","It means that the value of a bird increases when it is flying, so you should release your bird to join the flock and increase its worth.","[""It advises that you should always pursue the hundred flying birds because they represent greater potential wealth than the single bird you already hold."", ""It suggests that if you let the bird in your hand go, the hundred flying birds will eventually land in your hand as a reward for your generosity."", ""It means that the value of a bird increases when it is flying, so you should release your bir",1.0,1.0,1.76,0.82,94.6
b,cot_en,Spanish,MID0007,Al mejor escribano se le va un borrón,To the best scribe a blot escapes,Even experts make mistakes (nobody's perfect).,True,"It implies that the best way to avoid mistakes is to never write at all, as even the best scribes will inevitably blot.",Even experts make mistakes (nobody's perfect).,"It advises that one should always aim for perfection, because any blot indicates a lack of skill.","It suggests that blots are a fortunate omen, indicating that the scribe's work will be remembered.",B,"It advises that one should always aim for perfection, because any blot indicates a lack of skill.","It implies that the best way to avoid mistakes is to never write at all, as even the best scribes will inevitably blot.","It suggests that blots are a fortunate omen, indicating that the scribe's work will be remembered.","<reasoning>These wrong interpretations seem plausible because they focus on the literal image of a blot or on prescriptive advice about writing, but they miss the idiomatic point that the proverb observes a universal human trait—experts still err—rather than prescribing perfection, avoidance, or fortune.</reasoning>
[""It advises that one should always aim for perfection, because any blot indicates",1.0,1.0,3.11,0.9,97.0
b,cot_en,Spanish,MID0008,No hay mal que por bien no venga,No bad from which good does not come,Every cloud has a silver lining (good comes from bad).,True,Every cloud has a silver lining (good comes from bad).,"If you suffer a setback, you will inevitably receive an equal benefit later.",The saying encourages people to create hardship in order to attract fortune.,It teaches that any misfortune is actually a hidden blessing and should be embraced rather than avoided.,A,"If you suffer a setback, you will inevitably receive an equal benefit later.",The saying encourages people to create hardship in order to attract fortune.,It teaches that any misfortune is actually a hidden blessing and should be embraced rather than avoided.,"[""If you suffer a setback, you will inevitably receive an equal benefit later."",""The saying encourages people to create hardship in order to attract fortune."",""It teaches that any misfortune is actually a hidden blessing and should be embraced rather than avoided.""]",1.0,1.0,1.4,0.99,99.7
b,cot_en,Spanish,MID0009,"El que mucho abarca, poco aprieta","He who grasps much, holds little",Don't bite off more than you can chew (overambition fails).,True,It suggests that collecting too much information prevents you from taking decisive action.,It advises that trying to please everyone will leave you satisfying no one.,"It warns against spreading gossip about many people, because then nobody will believe any of the rumors.",Don't bite off more than you can chew (overambition fails).,D,"It warns against spreading gossip about many people, because then nobody will believe any of the rumors.",It advises that trying to please everyone will leave you satisfying no one.,It suggests that collecting too much information prevents you from taking decisive action.,"<reasoning>The proverb warns against overreach in one's undertakings: taking on too many tasks or goals leads to completing none effectively. Plausible but subtly incorrect interpretations shift the focus to social dynamics (gossip, people‑pleasing) or information overload, which sound similar because they involve “too much” leading to “little effect,” yet they misplace the lesson from personal ca",1.0,1.0,1.43,0.92,97.6
b,cot_en,Spanish,MID0010,"A quien madruga, Dios le ayuda","To he who rises early, God helps him",The early bird catches the worm (diligence rewarded).,True,"It teaches that divine help is only available to those who adhere to a strict morning routine, suggesting that spirituality is tied to a specific schedule rather than inner disposition.","It means that God will intervene to prevent any misfortune for early risers, so waking early eliminates the need for caution or planning.",The early bird catches the worm (diligence rewarded).,"The proverb guarantees that anyone who wakes up early will receive material wealth from God, implying a direct causal link between early rising and financial prosperity.",C,"The proverb guarantees that anyone who wakes up early will receive material wealth from God, implying a direct causal link between early rising and financial prosperity.","It teaches that divine help is only available to those who adhere to a strict morning routine, suggesting that spirituality is tied to a specific schedule rather than inner disposition.","It means that God will intervene to prevent any misfortune for early risers, so waking early eliminates the need for caution or planning.","<reasoning>These interpretations seem plausible because they focus on the literal elements of the proverb—early rising and divine help—but they miss the metaphorical nuance that the saying rewards diligence and effort in general, not just the act of waking early. They overemphasize material guarantees, strict scheduling, or the elimination of personal responsibility, which subtly distorts the orig",1.0,1.0,3.29,0.92,97.6
