strategy,model,style,sample_id,language,pred,hit,similarities
S1,mbert,zero-shot,ENG2109,English,A,1,"[1.0, 0.579249382019043, 0.4617025852203369, 0.5129396319389343]"
S1,mbert,zero-shot,ENG2245,English,B,1,"[0.4511581063270569, 1.0, 0.5627121329307556, 0.5578222870826721]"
S1,mbert,zero-shot,ENG1267,English,C,1,"[0.5323553681373596, 0.5657491087913513, 1.0, 0.605373740196228]"
S1,mbert,zero-shot,ENG1238,English,D,1,"[0.638035237789154, 0.5602937340736389, 0.6074756979942322, 0.9999998807907104]"
S1,mbert,zero-shot,ENG1638,English,A,1,"[0.9999999403953552, 0.5277334451675415, 0.41245779395103455, 0.5513085126876831]"
S1,mbert,zero-shot,ENG0113,English,B,1,"[0.5029355883598328, 1.0, 0.4095960259437561, 0.5808172225952148]"
S1,mbert,zero-shot,ENG0148,English,C,1,"[0.4286297857761383, 0.43954554200172424, 1.0, 0.34396955370903015]"
S1,mbert,zero-shot,ENG0432,English,D,1,"[0.5684078931808472, 0.8226510882377625, 0.42288464307785034, 0.9999998807907104]"
S1,mbert,zero-shot,ENG1450,English,A,1,"[0.9999999403953552, 0.475613534450531, 0.5438953638076782, 0.5378785133361816]"
S1,mbert,zero-shot,ENG0319,English,B,1,"[0.5106939673423767, 1.0000001192092896, 0.5269801616668701, 0.5071429014205933]"
S1,mbert,zero-shot,ENG2038,English,C,1,"[0.5852563381195068, 0.5632680058479309, 1.0, 0.5365289449691772]"
S1,mbert,zero-shot,ENG1126,English,D,1,"[0.6021167635917664, 0.5150460004806519, 0.5283901691436768, 1.0]"
S1,mbert,zero-shot,ENG1569,English,A,1,"[0.9999999403953552, 0.5745989680290222, 0.6362868547439575, 0.5663613080978394]"
S1,mbert,zero-shot,ENG2028,English,B,1,"[0.5014037489891052, 0.9999999403953552, 0.4817450940608978, 0.4653925597667694]"
S1,mbert,zero-shot,ENG0378,English,C,1,"[0.5732869505882263, 0.36405402421951294, 1.0, 0.5352765917778015]"
S1,mbert,zero-shot,ENG0566,English,D,1,"[0.5376101136207581, 0.40910208225250244, 0.5115448832511902, 0.9999998807907104]"
S1,mbert,zero-shot,ENG0304,English,A,1,"[1.0, 0.35498806834220886, 0.46240007877349854, 0.5786544680595398]"
S1,mbert,zero-shot,ENG0572,English,B,1,"[0.4993095397949219, 0.9999998807907104, 0.40796107053756714, 0.5398972034454346]"
S1,mbert,zero-shot,ENG0366,English,C,1,"[0.46303483843803406, 0.28828343749046326, 1.0000001192092896, 0.47583508491516113]"
