task,strategy,lang,source_proverb,correct_text,correct_answer,reasoning,Choice_A,Choice_B,Choice_C,Choice_D
a,zs,Arabic,اللي ما رضى خببزة يرضى بنصها ,Half a loaf is better than no bread,C,Regex Parse,Any crumbs are better than a completely empty cupboard.,A small portion is better than an empty plate.,Half a loaf is better than no bread,More than nothing is always a little something.
a,zs,Arabic,إنك تضرب في حديد بارد,You are striking cold iron.,B,Regex Parse,You are beating a chilled metal.,You are striking cold iron.,You are pounding on a frozen anvil.,You are hitting an icy hammer.
a,zs,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,Spend money to make money.,D,Regex Parse,Invest your available funds to generate additional income.,Allocate your current resources to accumulate future wealth.,Spend wisely to attract more financial opportunities.,Spend money to make money.
a,zs,Arabic,الصديق وقت الضيق.,A friend in need is a friend indeed.,B,Regex Parse,A companion during hardship is an authentic companion.,A friend in need is a friend indeed.,"In times of trouble, a true friend is a true friend.",A trusted ally in times of distress is a trusted ally indeed.
a,zs,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,Biting the hand that feeds him.,B,Regex Parse,Biting the hand that brings him his daily bread.,Biting the hand that feeds him.,Biting the hand that puts food in his mouth.,Biting the hand that supplies his food.
a,zs,Arabic,وِجّو بيقطع الرزق,a jinx on the house,A,Regex Parse,a jinx on the house,a bad omen on the premises,a curse on the household,an ill wind for the dwelling
a,zs,Arabic,إطعم الفم تستحى العين.,A bribe works miracles.,A,Regex Parse,A bribe works miracles.,A gift brings swift success.,A reward opens the gates of favor.,A favor buys a speedy solution.
a,zs,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,Let them drink and forget their poverty and remember their misery no more.,A,Regex Parse,Let them drink and forget their poverty and remember their misery no more.,"Let them drink and drown their hardships, and remember their troubles no more.","Let them drown in wine and be free from remembering their struggles, no more.","Let them drown their sorrows and forget their trials, and recall their hardships no longer."
a,zs,Arabic,جمل يعصر وجمل ياكل العصارة:,Climbing the ladder of success by stepping on others.,D,Regex Parse,Rungs of progress are built upon the shoulders of those beneath.,Promotion through the ranks is fueled by the failures of others' climb.,Success is a staircase that rises from the shadows of the fallen.,Climbing the ladder of success by stepping on others.
a,zs,Arabic,احفظ قرشك الأبيض ليومك الأسود.,"A penny saved is a penny earned.
",A,Regex Parse,"A penny saved is a penny earned.
",A coin conserved is a coin created.,A piece of money kept is a piece of money discovered.,A dollar preserved is a dollar received.
a,zs,Arabic,رمية من غير رامي,A flash in a pan.,A,Regex Parse,A flash in a pan.,A flare in the darkness,A spark in the void,A burst in the silence
a,zs,Arabic,فود عوجان.,He who goes out in search of wool often comes home shorn.,C,Regex Parse,He who ventures forth in pursuit of wealth often returns with naught but embers.,He who ventures out to fetch a fleece often returns with a singed cloak.,He who goes out in search of wool often comes home shorn.,One who sets out to gather threads often finds their own fabric torn.
a,zs,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,Evil in return for god deed.,C,Regex Parse,Malice in exchange for a pious act.,Deceit in recompense for a selfless gesture.,Evil in return for god deed.,Wickedness in response to a righteous deed.
a,zs,Arabic,المَمنُوع مَرْغُوب.,Forbidden fruit is the sweetest.,C,Regex Parse,Forbidden treasures are the most coveted.,Taboo pleasures are the most enticing.,Forbidden fruit is the sweetest.,Interdicted delicacy is the most delectable.
a,zs,Arabic,اللي فات مات (ماتلا عليه التلفات),let bygones be bygones.,A,Regex Parse,let bygones be bygones.,what's past is past and should be left to be forgotten,bygones should be bygones as is tradition,let the past remain in the past
a,zs,Arabic,الإفراط في التّواضع يجلب المذلّة," If you humble yourself too much, you will get trampled on.",B,Regex Parse,An overabundance of humility can result in being crushed.," If you humble yourself too much, you will get trampled on.",Too much modesty often leads to being stepped on.,"When excessive humility is shown, one will be walked all over."
a,zs,Arabic,اللي فات مات.,let bygones be bygones.,A,Regex Parse,let bygones be bygones.,bury the past and live in the present moment.,let past regrets be forgotten forever.,forgive and forget the wrongs of times past.
a,zs,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,Like a fish in water.,B,Regex Parse,Feeling at home like a fish gliding through the water.,Like a fish in water.,Like a fish swimming in its natural habitat.,As comfortable as a fish swimming in its element.
a,zs,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,Sometimes the innocent suffer with the guilty.,A,Regex Parse,Sometimes the innocent suffer with the guilty.,The blameless often fall with the culpable.,Innocent ones are often punished with the guilty ones.,The blameless are sometimes punished with the guilty.
a,zs,Arabic,خاطبوا الناس على قدر عقولهم.,Address people in the language they can understand.,D,Regex Parse,Treat others with the intellectual vocabulary they can handle.,Engage in conversations tailored to the intellectual capacity of those you interact with.,Speak with individuals according to their level of comprehension.,Address people in the language they can understand.
a,zs,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,The world is like a belly dancer: it dances for a little while for everyone,A,Regex Parse,The world is like a belly dancer: it dances for a little while for everyone,"The world is like a belly dancer, performing a little dance for every individual.","The world is like a belly dancer, dancing briefly for everybody.",The globe is like a belly dancer: it performs a few steps for each person.
a,zs,Arabic,ايش ياخد الريح من البلاط؟,where there is nothing the king loses his rights,D,Regex Parse,where is the wind in an empty palace,what's left in a vacant throne?,"when there's nothing, the mighty fall",where there is nothing the king loses his rights
a,zs,Arabic,تجيك التهايم وإنت نايم,Look what the cat dragged in.,D,Regex Parse,Notice what the sleepy traveler arrived with.,See what the child found asleep.,Look what the dog brought home.,Look what the cat dragged in.
a,zs,Arabic,بليلة المباشر ولا ضبيحة (طبيخة) المكاشر,"
Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.",D,Regex Parse,"Better is a dinner of flowers where kindness is, than a slaughtered deer and resentment therewith.","Greater is a feast of berries where charity is, than a penned sheep and bitter animosity therewith.","More desirable is a meal of wild berries where compassion is, than a hunted boar and disdain therewith.","
Better is a dinner of herbs where love is, than a stalled ox and hatred therewith."
a,zs,Arabic,بین المطرقة والسندان.,Between the upper and nether millstone.,A,Regex Parse,Between the upper and nether millstone.,Between the heavy mallet and the crushing press.,Between the upper and lower grinding stone.,Between the hammer and the anvil head.
a,zs,Arabic,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج ,Prevention is better than cure,C,Regex Parse,Caution is more valuable than costly remedies,Preventing troubles is better than treating them,Prevention is better than cure,Warning is better than treatment
a,zs,Arabic, انكشحت بين امعاه لحشيشَ.,To break the ice.,D,Regex Parse,To crack the frosty surface.,To shatter the frost.,To chip through the icy barrier.,To break the ice.
a,zs,Arabic,اللي ما يعرف الغلط ما يتعلم,He who does not know mistakes does not learn,C,Regex Parse,He who is unaware of the mistakes does not gain wisdom,He who is unfamiliar with the mistakes does not develop insight,He who does not know mistakes does not learn,He who does not understand errors does not acquire knowledge
a,zs,Arabic,اللي يخالط المسعدين يسعد.,Happiness is contagious.,A,Regex Parse,Happiness is contagious.,Pleasure is quickly spread from person to person.,Smiles are a highly communicable disease.,Joy is easily transmitted.
a,zs,Arabic,يجي الخريف.. واللواري بتقيف,Every dog has its day.,C,Regex Parse,Every bird has its morning.,Each cat has its time.,Every dog has its day.,Each horse has its hour.
a,zs,Arabic,كل بخنوس افعين امو اغزال,"Beauty is in the eye of the beholder.
",B,Regex Parse,The perception of beauty is in the hands of the beholder.,"Beauty is in the eye of the beholder.
",Beauty is seen through the eyes of the judge.,Beauty is in the heart of the observer.
a,zs,Arabic,الباب اللى إِيجيك منه الريح، سده واستريح ,If you are always dwelling in trouble change the address.,A,Regex Parse,If you are always dwelling in trouble change the address.,"When the storm hits you repeatedly, move to a safer place and calm down","If you keep knocking on the door of chaos, close it and find peace elsewhere","If the winds of hardship always blow against you, seal the window and rest in a more stable house"
a,zs,Arabic,بتقول للقمر غيبي وأنا مكانش.,A rose among thorns.,B,Regex Parse,A star among the dense foliage.,A rose among thorns.,The gem within a pile of stones.,A flower amidst the forest.
a,zs,Arabic, بِيشتَري سَمَك في بَحَر ,Buy a pig in a poke.,D,Regex Parse,Purchase a fish in the ocean,Buy a sheep in a sack,Purchase a bird in a basket,Buy a pig in a poke.
a,zs,Arabic,أتبدلت غزلانها بقرودها.,A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent.,B,Regex Parse,A fallen leader makes a loyal subject.,A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent.,"It's a pitiful home where the hens start crowing, and the rooster is quiet.","A downed king makes a humble vassal, and a house is poor where the females screech and the male is voiceless."
a,zs,Arabic,اللسان مافيه عظم.,Think before you speak.,A,Regex Parse,Think before you speak.,Reflect before you utter.,Consider before you communicate.,Pause before you express.
a,zs,Arabic,شو جاب الزرقا للبلقا.,Apples and oranges.,B,Regex Parse,Grapes and pineapples,Apples and oranges.,Apples and grapes,Pears and lemons
a,zs,Arabic,الفقيه اللي عملناه إقابل الجامع عاد فالحصاير طامع.,Give him an inch and he'll take a mile.,C,Regex Parse,Give him an inch and he'll ask for a yard.,Give him an inch and he'll expect a mile.,Give him an inch and he'll take a mile.,Give him an inch and he'll take a longer path.
a,zs,Arabic,مد رجليك قدر لحافك,Cut your coat according to your cloth.,B,Regex Parse,Adjust your expectations according to your capabilities.,Cut your coat according to your cloth.,Measure your ambitions by the yardstick of your resources.,Tailor your goals to the fabric of your situation.
a,zs,Arabic,إنّ الطيور على أشكالها تقع, Birds of a feather flock together.,D,Regex Parse,Birds of similar habits migrate as one.,Creatures of like nature tend to dwell together.,People of the same tribe tend to gather., Birds of a feather flock together.
a,zs,Arabic,شو بتعمل الماشطه بهالوش العكر.,Putting lipstick on a pig.,C,Regex Parse,Painting feathers on a bird in flight.,Adding glitter to a broken vase.,Putting lipstick on a pig.,Applying crowns to a dying tree.
a,zs,Arabic,لي خاف سلم. ,The one who shows his fears ensures his salvation.,D,Regex Parse,The person who acknowledges his terrors ensures his redemption.,The one who reveals his apprehensions secures his rescue.,One who confesses his anxieties guarantees his deliverance.,The one who shows his fears ensures his salvation.
a,zs,Arabic,البحر فيه لاغش,The worst is yet to come.,A,Regex Parse,The worst is yet to come.,The darkest hour is yet to strike.,The most difficult part is yet to unfold.,The greatest challenge is yet to arise.
a,zs,Arabic,قرصه في ناره وعينه على جاره.,The grass is always greener on the other side,A,Regex Parse,The grass is always greener on the other side,{'en': 'The grass is always fresher on the other side.'},{'en': 'The grass is always more vibrant beyond the fence.'},{'en': 'The grass is always more appealing to the neighbor.'}
a,zs,Arabic,القُفه ام اضنين بشيلوها نفرين.,It takes two to tango.,A,Regex Parse,It takes two to tango.,Two hands make a perfect harmony.,A match made in heaven requires two fires.,It takes two to dance the waltz.
a,zs,Arabic,كلّه عند العرب صابون,"For the Bedouin, it’s all soap",A,Regex Parse,"For the Bedouin, it’s all soap","{'answer': ""For the desert dwellers, it's all a gentle cleansing agent""}","{'answer': ""For the desert travelers, it's all a refreshing cleansing substance""}","{'answer': ""To the nomads, it's all a fragrant cleansing agent""}"
a,zs,Arabic,إنفخ يا شريم قال ماكو برطم ,Born to suffer./ You can not escape bad luck,D,Regex Parse,"Born under a cloud, no shelter from adversity","Fated to endure pain, none can outrun misfortune","Destined for hardship, no respite from calamity",Born to suffer./ You can not escape bad luck
a,zs,Arabic,التسوي كريت تلقى في جلدها.,What goes around comes around.,A,Regex Parse,What goes around comes around.,"What you plant, you'll eventually wear on your face.",All actions come back to haunt you in their own way.,"When you sow, you reap it in your own skin."
a,zs,Arabic,أحضر الناس جوابا من لم يغضب,The best answer will come from the person who is not angry.,A,Regex Parse,The best answer will come from the person who is not angry.,The wisest response will come from one who remains unperturbed.,A composed individual is likely to offer the most astute solution.,It is often the calmest mind that provides the most insightful answer.
