task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,zs,Yoruba,YOR0001,A di gàárì sílẹ́ ewúrẹ́ ńyọjú; ẹrù ìran rẹ́ ni?,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",Goats that know their place do not offer their backs to be saddled.,True,Preparation always attracts the most unlikely sacrifices.,Goats that know their place do not offer their backs to be saddled.,A well-prepared ceremony demands a humble volunteer.,Goats are naturally jealous of other animals being honored first.,B,Goats are naturally jealous of other animals being honored first.,Preparation always attracts the most unlikely sacrifices.,A well-prepared ceremony demands a humble volunteer.,"{""1"": [""Goats are naturally jealous of other animals being honored first."", ""Preparation always attracts the most unlikely sacrifices."", ""A well-prepared ceremony demands a humble volunteer.""], ""2"": [""Even kings must rely on spiritual protection to maintain power."", ""No title is too great to abandon personal superstitions."", ""Divine status can be achieved through accumulated honors.""], ""3"": [""Vict",1.0,1.0,0.62,1.0,100.0
b,zs,Yoruba,YOR0002,A fi ọ́ jọba ò ńṣàwúre; o fẹ́ẹ́ jẹ Ọlọ́run ni?,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",Being crowned a king is about the best fortune a mortal could hope for.,True,Divine status can be achieved through accumulated honors.,No title is too great to abandon personal superstitions.,Even kings must rely on spiritual protection to maintain power.,Being crowned a king is about the best fortune a mortal could hope for.,D,Even kings must rely on spiritual protection to maintain power.,No title is too great to abandon personal superstitions.,Divine status can be achieved through accumulated honors.,"{""1"": [""Goats are naturally jealous of other animals being honored first."", ""Preparation always attracts the most unlikely sacrifices."", ""A well-prepared ceremony demands a humble volunteer.""], ""2"": [""Even kings must rely on spiritual protection to maintain power."", ""No title is too great to abandon personal superstitions."", ""Divine status can be achieved through accumulated honors.""], ""3"": [""Vict",1.0,1.0,0.64,0.98,99.4
b,zs,Yoruba,YOR0003,"A fijó gba Awà; a fìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",Why make a huge production of a matter that is easily taken care of?,True,Tradition requires either dance or battle to legitimize ownership.,Victory through violence is equivalent to victory through celebration.,Why make a huge production of a matter that is easily taken care of?,The method of claiming land matters more than the claim itself.,C,Victory through violence is equivalent to victory through celebration.,The method of claiming land matters more than the claim itself.,Tradition requires either dance or battle to legitimize ownership.,"{""1"": [""Goats are naturally jealous of other animals being honored first."", ""Preparation always attracts the most unlikely sacrifices."", ""A well-prepared ceremony demands a humble volunteer.""], ""2"": [""Even kings must rely on spiritual protection to maintain power."", ""No title is too great to abandon personal superstitions."", ""Divine status can be achieved through accumulated honors.""], ""3"": [""Vict",1.0,1.0,0.69,0.98,99.4
b,zs,Yoruba,YOR0004,A gbé gàárì ọmọ ewúrẹ́ ńrojú; kì í ṣe ẹrù àgùntàn.,We lift a saddle and the goat scowls; it is no burden for a sheep.,"The goat has no cause to scowl, because no one will condescend to ride it anyway.",True,Sheep are more dignified than goats when faced with humiliation.,"The goat has no cause to scowl, because no one will condescend to ride it anyway.",Resentment is justified when others are chosen over you.,A saddle meant for another species reveals mismatched expectations.,B,Sheep are more dignified than goats when faced with humiliation.,Resentment is justified when others are chosen over you.,A saddle meant for another species reveals mismatched expectations.,"{""1"": [""Goats are naturally jealous of other animals being honored first."", ""Preparation always attracts the most unlikely sacrifices."", ""A well-prepared ceremony demands a humble volunteer.""], ""2"": [""Even kings must rely on spiritual protection to maintain power."", ""No title is too great to abandon personal superstitions."", ""Divine status can be achieved through accumulated honors.""], ""3"": [""Vict",1.0,1.0,0.58,0.96,98.8
b,zs,Yoruba,YOR0005,A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,One should be cautious in dealing with people in authority.,True,Kings are careless workers who disrespect their neighbors' boundaries.,Hoes symbolize authority and should never be shared with commoners.,One should be cautious in dealing with people in authority.,Farming beside royalty brings unavoidable bad luck.,C,Kings are careless workers who disrespect their neighbors' boundaries.,Farming beside royalty brings unavoidable bad luck.,Hoes symbolize authority and should never be shared with commoners.,"{""1"": [""Goats are naturally jealous of other animals being honored first."", ""Preparation always attracts the most unlikely sacrifices."", ""A well-prepared ceremony demands a humble volunteer.""], ""2"": [""Even kings must rely on spiritual protection to maintain power."", ""No title is too great to abandon personal superstitions."", ""Divine status can be achieved through accumulated honors.""], ""3"": [""Vict",1.0,1.0,0.87,1.0,100.0
b,zs,Yoruba,YOR0006,A kì í bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.,One does not so fear death and disease that one asks that one’s child die before one.,One should not be more concerned with saving oneself than with saving one’s dependents.,True,It is acceptable to wish misfortune on one's children if it means avoiding personal suffering.,"One should prioritize one's own survival over familial obligations, as self-preservation is the highest virtue.","Death and illness are signs of spiritual weakness, so one must distance oneself from the sick to remain pure.",One should not be more concerned with saving oneself than with saving one’s dependents.,D,"One should prioritize one's own survival over familial obligations, as self-preservation is the highest virtue.",It is acceptable to wish misfortune on one's children if it means avoiding personal suffering.,"Death and illness are signs of spiritual weakness, so one must distance oneself from the sick to remain pure.","{""1"": [""One should prioritize one's own survival over familial obligations, as self-preservation is the highest virtue."", ""It is acceptable to wish misfortune on one's children if it means avoiding personal suffering."", ""Death and illness are signs of spiritual weakness, so one must distance oneself from the sick to remain pure.""], ""2"": [""When frustrated with society's flaws, it is wise to withdra",1.0,1.0,1.17,0.94,98.2
b,zs,Yoruba,YOR0007,A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,One should not act in unreasonable and harmful ways because of anger.,True,One should not act in unreasonable and harmful ways because of anger.,"When frustrated with society's flaws, it is wise to withdraw completely and live in isolation.","One must always maintain personal cleanliness, even at the expense of others' comfort.",Anger is a useless emotion and should be suppressed even when facing injustice.,A,"When frustrated with society's flaws, it is wise to withdraw completely and live in isolation.",Anger is a useless emotion and should be suppressed even when facing injustice.,"One must always maintain personal cleanliness, even at the expense of others' comfort.","{""1"": [""One should prioritize one's own survival over familial obligations, as self-preservation is the highest virtue."", ""It is acceptable to wish misfortune on one's children if it means avoiding personal suffering."", ""Death and illness are signs of spiritual weakness, so one must distance oneself from the sick to remain pure.""], ""2"": [""When frustrated with society's flaws, it is wise to withdra",1.0,1.0,1.14,0.95,98.5
b,zs,Yoruba,YOR0008,A kì í bínú orí ká fi fìlà dé ìbàdí.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,Do not cut off your nose to spite your face.,True,Wearing clothing improperly is a form of rebellion that can lead to personal freedom.,Do not cut off your nose to spite your face.,Physical discomfort is unimportant when making decisions based on emotional grievances.,Disrespecting one's elders is justified if it means asserting individuality.,B,Wearing clothing improperly is a form of rebellion that can lead to personal freedom.,Disrespecting one's elders is justified if it means asserting individuality.,Physical discomfort is unimportant when making decisions based on emotional grievances.,"{""1"": [""One should prioritize one's own survival over familial obligations, as self-preservation is the highest virtue."", ""It is acceptable to wish misfortune on one's children if it means avoiding personal suffering."", ""Death and illness are signs of spiritual weakness, so one must distance oneself from the sick to remain pure.""], ""2"": [""When frustrated with society's flaws, it is wise to withdra",1.0,1.0,1.17,0.95,98.5
b,zs,Yoruba,YOR0009,A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ.,"One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.",Do not do things that might constitute temptation to others.,True,Nighttime rituals are dangerous because darkness amplifies divine jealousy.,Offering prayers in secret increases their spiritual power and effectiveness.,"Rats are sacred messengers, so any ritual should include them as witnesses.",Do not do things that might constitute temptation to others.,D,Offering prayers in secret increases their spiritual power and effectiveness.,"Rats are sacred messengers, so any ritual should include them as witnesses.",Nighttime rituals are dangerous because darkness amplifies divine jealousy.,"{""1"": [""One should prioritize one's own survival over familial obligations, as self-preservation is the highest virtue."", ""It is acceptable to wish misfortune on one's children if it means avoiding personal suffering."", ""Death and illness are signs of spiritual weakness, so one must distance oneself from the sick to remain pure.""], ""2"": [""When frustrated with society's flaws, it is wise to withdra",1.0,1.0,1.03,0.98,99.4
b,zs,Yoruba,YOR0010,A kì í dàgbà má làáyà; ibi ayé bá báni là ńjẹ ẹ́.,One does not become an adult and yet lack courage; one lives life as it finds one.,One should do what is fitting for one’s station in life.,True,One should adapt to circumstances no matter how unethical they become.,One should do what is fitting for one’s station in life.,"Life should be endured passively, accepting hardship without resistance as a sign of strength.","Adulthood is defined by financial success, not moral or emotional maturity.",B,"Adulthood is defined by financial success, not moral or emotional maturity.",One should adapt to circumstances no matter how unethical they become.,"Life should be endured passively, accepting hardship without resistance as a sign of strength.","{""1"": [""One should prioritize one's own survival over familial obligations, as self-preservation is the highest virtue."", ""It is acceptable to wish misfortune on one's children if it means avoiding personal suffering."", ""Death and illness are signs of spiritual weakness, so one must distance oneself from the sick to remain pure.""], ""2"": [""When frustrated with society's flaws, it is wise to withdra",1.0,1.0,1.09,0.99,99.7
