variant,language,n,fallback_mean,fallback_std,generated_pct,partial_pct,length_fallback_pct
adversarial-hard-negative,Arabic,15,2.9333,1.34,0.0667,0.2667,0.6667
adversarial-hard-negative,English,15,1.1333,1.5861,0.5333,0.2667,0.2
adversarial-hard-negative,Yoruba,15,1.8,1.376,0.2,0.4,0.4
adversarial-length-locked,Arabic,15,1.7333,1.9137,0.4,0.3333,0.2667
adversarial-length-locked,English,15,0.3333,0.8692,0.8667,0.0667,0.0667
adversarial-length-locked,Yoruba,15,1.1333,1.4079,0.5333,0.2,0.2667
overgenerate-select,Arabic,15,0.6,0.8794,0.6667,0.3333,0.0
overgenerate-select,English,15,0.0,0.0,1.0,0.0,0.0
overgenerate-select,Yoruba,15,0.8,0.9092,0.4667,0.4667,0.0667
taxonomy-guided,Arabic,15,0.8,0.9092,0.5333,0.4667,0.0
taxonomy-guided,English,15,0.2667,0.5735,0.8,0.2,0.0
taxonomy-guided,Yoruba,15,0.4,0.611,0.6667,0.3333,0.0
