task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,zs,Spanish,MID0001,"Al mal tiempo, buena cara","To bad weather, good face","To bad weather, good face",False,"To bad weather, good face",Smile at storm clouds in the sky,Wear a happy expression when it rains,Face bad weather with a literal mask,A,Smile at storm clouds in the sky,Wear a happy expression when it rains,Face bad weather with a literal mask,"{""1"": [""Smile at storm clouds in the sky"", ""Wear a happy expression when it rains"", ""Face bad weather with a literal mask""], ""2"": [""A piece of wood comes from the same tree"", ""If the stick is curved, the splinter will be too"", ""The size of the chip matches the size of the stick""], ""3"": [""Your walking speed reveals your identity"", ""The direction you walk determines who you are"", ""People change base",1.0,1.0,1.4,0.97,99.1
a,zs,Spanish,MID0002,"De tal palo, tal astilla","From such a stick, such a chip","From such a stick, such a chip",False,"If the stick is curved, the splinter will be too",A piece of wood comes from the same tree,The size of the chip matches the size of the stick,"From such a stick, such a chip",D,A piece of wood comes from the same tree,"If the stick is curved, the splinter will be too",The size of the chip matches the size of the stick,"{""1"": [""Smile at storm clouds in the sky"", ""Wear a happy expression when it rains"", ""Face bad weather with a literal mask""], ""2"": [""A piece of wood comes from the same tree"", ""If the stick is curved, the splinter will be too"", ""The size of the chip matches the size of the stick""], ""3"": [""Your walking speed reveals your identity"", ""The direction you walk determines who you are"", ""People change base",1.0,1.0,1.43,0.88,96.4
a,zs,Spanish,MID0003,"Dime con quién andas, y te diré quién eres","Tell me with whom you walk, and I’ll tell you who you are","Tell me with whom you walk, and I’ll tell you who you are",False,People change based on their walking route,"Tell me with whom you walk, and I’ll tell you who you are",Your walking speed reveals your identity,The direction you walk determines who you are,B,Your walking speed reveals your identity,The direction you walk determines who you are,People change based on their walking route,"{""1"": [""Smile at storm clouds in the sky"", ""Wear a happy expression when it rains"", ""Face bad weather with a literal mask""], ""2"": [""A piece of wood comes from the same tree"", ""If the stick is curved, the splinter will be too"", ""The size of the chip matches the size of the stick""], ""3"": [""Your walking speed reveals your identity"", ""The direction you walk determines who you are"", ""People change base",1.0,1.0,0.54,0.97,99.1
a,zs,Spanish,MID0004,Un clavo saca otro clavo,One nail drives out another,One nail drives out another,False,A rusty nail pushes out a shiny one,Hammering nails removes old ones,One nail drives out another,One nail physically ejects another from wood,C,Hammering nails removes old ones,A rusty nail pushes out a shiny one,One nail physically ejects another from wood,"{""1"": [""Smile at storm clouds in the sky"", ""Wear a happy expression when it rains"", ""Face bad weather with a literal mask""], ""2"": [""A piece of wood comes from the same tree"", ""If the stick is curved, the splinter will be too"", ""The size of the chip matches the size of the stick""], ""3"": [""Your walking speed reveals your identity"", ""The direction you walk determines who you are"", ""People change base",1.0,1.0,1.33,0.94,98.2
a,zs,Spanish,MID0005,"Ojos que no ven, corazón que no siente","Eyes that don’t see, heart that doesn’t feel","Eyes that don’t see, heart that doesn’t feel",False,"Eyes that don’t see, heart that doesn’t feel","If eyes are closed, the heart stops feeling",Blind eyes mean a non-beating heart,A person without sight has no emotions,A,Blind eyes mean a non-beating heart,"If eyes are closed, the heart stops feeling",A person without sight has no emotions,"{""1"": [""Smile at storm clouds in the sky"", ""Wear a happy expression when it rains"", ""Face bad weather with a literal mask""], ""2"": [""A piece of wood comes from the same tree"", ""If the stick is curved, the splinter will be too"", ""The size of the chip matches the size of the stick""], ""3"": [""Your walking speed reveals your identity"", ""The direction you walk determines who you are"", ""People change base",1.0,1.0,0.88,0.92,97.6
a,zs,Spanish,MID0006,Más vale pájaro en mano que cien volando,A bird in the hand is worth more than one hundred flying,A bird in the hand is worth more than one hundred flying,False,It is better to hold a bird tightly than to let a hundred fly away,Having one bird in your hand means you can trade it for a hundred flying birds,A single bird in your hand will eventually attract a hundred more in the air,A bird in the hand is worth more than one hundred flying,D,It is better to hold a bird tightly than to let a hundred fly away,Having one bird in your hand means you can trade it for a hundred flying birds,A single bird in your hand will eventually attract a hundred more in the air,"{""1"": [""It is better to hold a bird tightly than to let a hundred fly away"", ""Having one bird in your hand means you can trade it for a hundred flying birds"", ""A single bird in your hand will eventually attract a hundred more in the air""], ""2"": [""Even the best writer loses a blank page"", ""A good scribe accidentally drops ink on clean paper"", ""The most skilled copyist might let a blot run away like",1.0,1.0,1.28,0.82,94.6
a,zs,Spanish,MID0007,Al mejor escribano se le va un borrón,To the best scribe a blot escapes,To the best scribe a blot escapes,False,To the best scribe a blot escapes,A good scribe accidentally drops ink on clean paper,The most skilled copyist might let a blot run away like an animal,Even the best writer loses a blank page,A,Even the best writer loses a blank page,A good scribe accidentally drops ink on clean paper,The most skilled copyist might let a blot run away like an animal,"{""1"": [""It is better to hold a bird tightly than to let a hundred fly away"", ""Having one bird in your hand means you can trade it for a hundred flying birds"", ""A single bird in your hand will eventually attract a hundred more in the air""], ""2"": [""Even the best writer loses a blank page"", ""A good scribe accidentally drops ink on clean paper"", ""The most skilled copyist might let a blot run away like",1.0,1.0,1.43,0.93,97.9
a,zs,Spanish,MID0008,No hay mal que por bien no venga,No bad from which good does not come,No bad from which good does not come,False,No evil can exist without creating good separately,"If something is bad, it must come from a good source",No bad from which good does not come,Every illness has a positive side effect on health,C,Every illness has a positive side effect on health,No evil can exist without creating good separately,"If something is bad, it must come from a good source","{""1"": [""It is better to hold a bird tightly than to let a hundred fly away"", ""Having one bird in your hand means you can trade it for a hundred flying birds"", ""A single bird in your hand will eventually attract a hundred more in the air""], ""2"": [""Even the best writer loses a blank page"", ""A good scribe accidentally drops ink on clean paper"", ""The most skilled copyist might let a blot run away like",1.0,1.0,1.17,0.96,98.8
a,zs,Spanish,MID0009,"El que mucho abarca, poco aprieta","He who grasps much, holds little","He who grasps much, holds little",False,The person who grabs many things collects more in total,Those who stretch their arms wide can squeeze harder,"He who grasps much, holds little",Holding too much tightly results in greater success,C,The person who grabs many things collects more in total,Holding too much tightly results in greater success,Those who stretch their arms wide can squeeze harder,"{""1"": [""It is better to hold a bird tightly than to let a hundred fly away"", ""Having one bird in your hand means you can trade it for a hundred flying birds"", ""A single bird in your hand will eventually attract a hundred more in the air""], ""2"": [""Even the best writer loses a blank page"", ""A good scribe accidentally drops ink on clean paper"", ""The most skilled copyist might let a blot run away like",1.0,1.0,1.5,0.96,98.8
a,zs,Spanish,MID0010,"A quien madruga, Dios le ayuda","To he who rises early, God helps him","To he who rises early, God helps him",False,God helps people who stay awake all night,"To he who rises early, God helps him",Rising from bed suddenly brings divine assistance,The person who moves early in the day finds God running behind them,B,God helps people who stay awake all night,Rising from bed suddenly brings divine assistance,The person who moves early in the day finds God running behind them,"{""1"": [""It is better to hold a bird tightly than to let a hundred fly away"", ""Having one bird in your hand means you can trade it for a hundred flying birds"", ""A single bird in your hand will eventually attract a hundred more in the air""], ""2"": [""Even the best writer loses a blank page"", ""A good scribe accidentally drops ink on clean paper"", ""The most skilled copyist might let a blot run away like",1.0,1.0,1.17,0.96,98.8
