Sample_ID,source_text,english_translation,Cultural_Context
MID0001,"Al mal tiempo, buena cara","To bad weather, good face",Face difficulties with a positive attitude; maintain composure in tough times.
MID0002,"De tal palo, tal astilla","From such a stick, such a chip","Children often resemble their parents in character/behavior (like father, like son)."
MID0003,"Dime con quién andas, y te diré quién eres","Tell me with whom you walk, and I’ll tell you who you are",You are judged by the company you keep.
MID0004,Un clavo saca otro clavo,One nail drives out another,"To forget one love, find another (move on from heartbreak)."
MID0005,"Ojos que no ven, corazón que no siente","Eyes that don’t see, heart that doesn’t feel",What you don’t know doesn’t hurt you.
MID0006,Más vale pájaro en mano que cien volando,A bird in the hand is worth more than one hundred flying,A bird in the hand is worth two in the bush (value what you have).
MID0007,Al mejor escribano se le va un borrón,To the best scribe a blot escapes,Even experts make mistakes (nobody's perfect).
MID0008,No hay mal que por bien no venga,No bad from which good does not come,Every cloud has a silver lining (good comes from bad).
MID0009,"El que mucho abarca, poco aprieta","He who grasps much, holds little",Don't bite off more than you can chew (overambition fails).
MID0010,"A quien madruga, Dios le ayuda","To he who rises early, God helps him",The early bird catches the worm (diligence rewarded).
MID0011,"Allí donde fueres, haz lo que vieres","Wherever you go, do what you see","When in Rome, do as the Romans do (adapt to local customs)."
MID0012,No por mucho madrugar amanece más temprano,Not by waking up early does dawn come sooner,You can't rush things (patience needed).
MID0013,Cada loco con su tema,Each madman with his theme,Everyone has their own quirks/obsessions.
MID0014,"El que la hace, la paga","He who does it, pays for it",What goes around comes around (consequences).
MID0015,En boca cerrada no entran moscas,Flies don't enter a closed mouth,Keep quiet to avoid trouble.
MID0016,Cría cuervos y te sacarán los ojos,Raise crows and they'll peck out your eyes,Beware of ingratitude (those you help may betray you).
MID0017,"A río revuelto, ganancia de pescadores","In troubled waters, fishermen profit",Chaos benefits opportunists.
MID0018,No todo lo que brilla es oro,Not all that glitters is gold,Appearances can deceive.
MID0019,El hábito no hace al monje,The habit does not make the monk,Don't judge a book by its cover.
MID0020,Perro que ladra no muerde,A barking dog doesn't bite,Those who talk big often don't act.
MID0021,"Camarón que se duerme, se lo lleva la corriente",The shrimp that falls asleep is carried away by the current,Don't be complacent or you'll fall behind.
MID0022,Del dicho al hecho hay mucho trecho,From saying to doing there's a long way,Actions speak louder than words.
MID0023,"A mal tiempo, buena cara","To bad weather, good face",Put on a brave face in difficulties.
MID0024,La avaricia rompe el saco,Greed breaks the sack,Too much greed leads to loss.
MID0025,"Quien siembra vientos, recoge tempestades",He who sows winds reaps storms,You reap what you sow (negative actions return worse).
MID0026,"El que calla, otorga",He who is silent grants,Silence implies consent.
MID0027,El tiempo todo lo cura,Time heals everything,Time mends wounds.
MID0028,"A palabras necias, oídos sordos","To foolish words, deaf ears",Ignore nonsense.
MID0029,No hay peor ciego que el que no quiere ver,There is no worse blind person than the one who doesn't want to see,Willful ignorance is the worst.
MID0030,"El que espera, desespera","He who waits, despairs",Don't wait too long (act decisively).
MID0032,El que mucho abarca poco aprieta,He who embraces too much holds little tightly,Don't try to do too many things at once — you'll end up doing none well (overcommitment leads to failure).
MID0045,"A falta de pan, buenas son tortas","In the absence of bread, cakes are good","When you can't have the best, settle for the next best thing (make do with what you have)."
MID0046,"El que a buen árbol se arrima, buena sombra le cobija",He who leans against a good tree gets good shade,Associate with good people and you'll benefit from their influence/protection.
MID0047,De tal palo tal astilla,From such a tree such a splinter,Children inherit the traits/behavior of their parents.
MID0048,Dime con quién andas y te diré quién eres,Tell me who you hang out with and I'll tell you who you are,Your character is revealed by the company you keep.
MID0049,Más vale pájaro en mano que ciento volando,A bird in the hand is worth more than one hundred flying,It's better to keep what you already have than risk losing it for something uncertain.
MID0131,A quien madruga Dios le ayuda,God helps the early riser,Hard work and early rising are rewarded with success and divine favor.
MID0132,Allí donde fueres haz lo que vieres,"Wherever you go, do what you see",Adapt to local customs and behavior when in a new place or culture.
MID0133,No hay mal que dure cien años ni cuerpo que lo resista,No evil lasts a hundred years nor body that endures it,Even the worst situations eventually end; nothing is permanent.
MID0134,El que no arriesga no gana,He who does not risk does not win,You must take chances to achieve success or gain rewards.
MID0135,En casa del herrero cuchillo de palo,"In the blacksmith's house, wooden knife",People often lack or neglect the very thing they are expert in providing to others.
MID0136,El que se pica ajos come,He who gets annoyed eats garlic,"If someone reacts defensively to a comment, it probably applies to them."
