task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,zs,Spanish,MID0001,"Al mal tiempo, buena cara","To bad weather, good face",Face difficulties with a positive attitude; maintain composure in tough times.,True,One should always smile to appease angry gods during storms.,Face difficulties with a positive attitude; maintain composure in tough times.,Maintaining a cheerful expression brings good weather and fortune.,Good manners in public ensure favorable natural conditions.,B,Maintaining a cheerful expression brings good weather and fortune.,One should always smile to appease angry gods during storms.,Good manners in public ensure favorable natural conditions.,"{""1"": [""Maintaining a cheerful expression brings good weather and fortune."", ""One should always smile to appease angry gods during storms."", ""Good manners in public ensure favorable natural conditions.""], ""2"": [""A strong foundation guarantees success in woodworking."", ""Parents should physically discipline children to shape their character."", ""The quality of firewood determines the warmth of the ho",1.0,1.0,0.82,0.98,99.4
b,zs,Spanish,MID0002,"De tal palo, tal astilla","From such a stick, such a chip","Children often resemble their parents in character/behavior (like father, like son).",True,A strong foundation guarantees success in woodworking.,The quality of firewood determines the warmth of the home.,Parents should physically discipline children to shape their character.,"Children often resemble their parents in character/behavior (like father, like son).",D,A strong foundation guarantees success in woodworking.,Parents should physically discipline children to shape their character.,The quality of firewood determines the warmth of the home.,"{""1"": [""Maintaining a cheerful expression brings good weather and fortune."", ""One should always smile to appease angry gods during storms."", ""Good manners in public ensure favorable natural conditions.""], ""2"": [""A strong foundation guarantees success in woodworking."", ""Parents should physically discipline children to shape their character."", ""The quality of firewood determines the warmth of the ho",1.0,1.0,0.79,1.0,100.0
b,zs,Spanish,MID0003,"Dime con quién andas, y te diré quién eres","Tell me with whom you walk, and I’ll tell you who you are",You are judged by the company you keep.,True,You are judged by the company you keep.,"Travel companions determine your location, not your moral character.","Social status is earned through noble ancestors, not current friends.","Marriage alliances reflect political strategy, not personal identity.",A,"Travel companions determine your location, not your moral character.","Social status is earned through noble ancestors, not current friends.","Marriage alliances reflect political strategy, not personal identity.","{""1"": [""Maintaining a cheerful expression brings good weather and fortune."", ""One should always smile to appease angry gods during storms."", ""Good manners in public ensure favorable natural conditions.""], ""2"": [""A strong foundation guarantees success in woodworking."", ""Parents should physically discipline children to shape their character."", ""The quality of firewood determines the warmth of the ho",1.0,1.0,1.12,0.94,98.2
b,zs,Spanish,MID0004,Un clavo saca otro clavo,One nail drives out another,"To forget one love, find another (move on from heartbreak).",True,"To forget one love, find another (move on from heartbreak).",Physical labor distracts from emotional pain better than romance.,Anger can be resolved by striking something else with a hammer.,Replacing old furniture nails improves household harmony.,A,Replacing old furniture nails improves household harmony.,Physical labor distracts from emotional pain better than romance.,Anger can be resolved by striking something else with a hammer.,"{""1"": [""Maintaining a cheerful expression brings good weather and fortune."", ""One should always smile to appease angry gods during storms."", ""Good manners in public ensure favorable natural conditions.""], ""2"": [""A strong foundation guarantees success in woodworking."", ""Parents should physically discipline children to shape their character."", ""The quality of firewood determines the warmth of the ho",1.0,1.0,0.9,1.0,100.0
b,zs,Spanish,MID0005,"Ojos que no ven, corazón que no siente","Eyes that don’t see, heart that doesn’t feel",What you don’t know doesn’t hurt you.,True,Blind people experience no emotional suffering.,What you don’t know doesn’t hurt you.,Avoiding medical checkups prevents bad diagnoses.,Ignorance of laws allows one to escape legal consequences.,B,Blind people experience no emotional suffering.,Avoiding medical checkups prevents bad diagnoses.,Ignorance of laws allows one to escape legal consequences.,"{""1"": [""Maintaining a cheerful expression brings good weather and fortune."", ""One should always smile to appease angry gods during storms."", ""Good manners in public ensure favorable natural conditions.""], ""2"": [""A strong foundation guarantees success in woodworking."", ""Parents should physically discipline children to shape their character."", ""The quality of firewood determines the warmth of the ho",1.0,1.0,1.0,1.0,100.0
b,zs,Spanish,MID0006,Más vale pájaro en mano que cien volando,A bird in the hand is worth more than one hundred flying,A bird in the hand is worth two in the bush (value what you have).,True,It's better to dream big than to settle for small gains,A bird in the hand is worth two in the bush (value what you have).,Taking risks always leads to greater rewards than playing it safe,Holding onto something limits your potential for greater abundance,B,It's better to dream big than to settle for small gains,Taking risks always leads to greater rewards than playing it safe,Holding onto something limits your potential for greater abundance,"{""1"": [""It's better to dream big than to settle for small gains"", ""Taking risks always leads to greater rewards than playing it safe"", ""Holding onto something limits your potential for greater abundance""], ""2"": [""Even the most careful people lose their temper under pressure"", ""Great artists intentionally leave flaws to show humility"", ""A distracted mind is the source of true creativity""], ""3"": [""S",1.0,1.0,0.69,0.93,97.9
b,zs,Spanish,MID0007,Al mejor escribano se le va un borrón,To the best scribe a blot escapes,Even experts make mistakes (nobody's perfect).,True,Even experts make mistakes (nobody's perfect).,A distracted mind is the source of true creativity,Even the most careful people lose their temper under pressure,Great artists intentionally leave flaws to show humility,A,Even the most careful people lose their temper under pressure,Great artists intentionally leave flaws to show humility,A distracted mind is the source of true creativity,"{""1"": [""It's better to dream big than to settle for small gains"", ""Taking risks always leads to greater rewards than playing it safe"", ""Holding onto something limits your potential for greater abundance""], ""2"": [""Even the most careful people lose their temper under pressure"", ""Great artists intentionally leave flaws to show humility"", ""A distracted mind is the source of true creativity""], ""3"": [""S",1.0,1.0,1.5,0.98,99.4
b,zs,Spanish,MID0008,No hay mal que por bien no venga,No bad from which good does not come,Every cloud has a silver lining (good comes from bad).,True,Suffering is necessary to appreciate luxury,One should provoke misfortune to test one's faith,Bad decisions are unavoidable stepping stones to wealth,Every cloud has a silver lining (good comes from bad).,D,Suffering is necessary to appreciate luxury,One should provoke misfortune to test one's faith,Bad decisions are unavoidable stepping stones to wealth,"{""1"": [""It's better to dream big than to settle for small gains"", ""Taking risks always leads to greater rewards than playing it safe"", ""Holding onto something limits your potential for greater abundance""], ""2"": [""Even the most careful people lose their temper under pressure"", ""Great artists intentionally leave flaws to show humility"", ""A distracted mind is the source of true creativity""], ""3"": [""S",1.0,1.0,0.73,0.93,97.9
b,zs,Spanish,MID0009,"El que mucho abarca, poco aprieta","He who grasps much, holds little",Don't bite off more than you can chew (overambition fails).,True,Don't bite off more than you can chew (overambition fails).,Multitasking is the key to mastering life's challenges,Ambition is the true measure of a person's character,Great leaders must control many things at once to succeed,A,Ambition is the true measure of a person's character,Multitasking is the key to mastering life's challenges,Great leaders must control many things at once to succeed,"{""1"": [""It's better to dream big than to settle for small gains"", ""Taking risks always leads to greater rewards than playing it safe"", ""Holding onto something limits your potential for greater abundance""], ""2"": [""Even the most careful people lose their temper under pressure"", ""Great artists intentionally leave flaws to show humility"", ""A distracted mind is the source of true creativity""], ""3"": [""S",1.0,1.0,0.9,0.94,98.2
b,zs,Spanish,MID0010,"A quien madruga, Dios le ayuda","To he who rises early, God helps him",The early bird catches the worm (diligence rewarded).,True,God favors those who sacrifice sleep for spiritual reflection,Waking early proves superiority over lazy others,Success comes only to those who reject rest completely,The early bird catches the worm (diligence rewarded).,D,God favors those who sacrifice sleep for spiritual reflection,Waking early proves superiority over lazy others,Success comes only to those who reject rest completely,"{""1"": [""It's better to dream big than to settle for small gains"", ""Taking risks always leads to greater rewards than playing it safe"", ""Holding onto something limits your potential for greater abundance""], ""2"": [""Even the most careful people lose their temper under pressure"", ""Great artists intentionally leave flaws to show humility"", ""A distracted mind is the source of true creativity""], ""3"": [""S",1.0,1.0,1.04,0.96,98.8
