task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_en,English,0,A bird in the hand is worth two in the bush,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,False,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,A bird held in captivity is worth twice as much money as two birds living freely,Owning a single bird is more valuable than releasing it to catch two in the wild,It is easier to catch one bird you already have than to try and catch two birds hiding in a bush,A,Owning a single bird is more valuable than releasing it to catch two in the wild,A bird held in captivity is worth twice as much money as two birds living freely,It is easier to catch one bird you already have than to try and catch two birds hiding in a bush,"<reasoning>When interpreting the proverb 'A bird in the hand is worth two in the bush' literally, a reader might misunderstand the phrase as being about the actual value or preference of birds in different locations, rather than the metaphorical advice it provides. This could lead to incorrect conclusions such as the proverb discussing ornithology, hunting strategies, or the economic value of bird",1.0,1.0,0.48,0.75,92.5
a,cot_en,English,3,A journey of a thousand miles begins with a single step,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.","The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",False,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",The journey can only start at sunrise,The first step must be taken with the left foot,The first step must be exactly one meter long,A,The first step must be taken with the left foot,The journey can only start at sunrise,The first step must be exactly one meter long,"<reasoning>The proverb 'a journey of a thousand miles begins with a single step' is often misinterpreted in a literal sense. A reader might think it's talking about the physical act of walking, and the first step being the most crucial. They might jump to conclusions like the journey only starts when the first step is taken in a specific direction, or that the first step is what determines the suc",1.0,1.0,0.26,0.83,94.9
a,cot_en,English,4,A leopard cannot change its spots,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,False,A leopard cannot move its spots from one part of its body to another,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,A leopard is physically unable to change the color of its spots,A leopard cannot remove its spots through surgery or other means,B,A leopard is physically unable to change the color of its spots,A leopard cannot remove its spots through surgery or other means,A leopard cannot move its spots from one part of its body to another,"<reasoning>The proverb 'A leopard cannot change its spots' is often misinterpreted in a literal sense, leading to incorrect conclusions. A reader might mistakenly think that the phrase is discussing the leopard's ability to change its appearance, such as altering the color or pattern of its spots. Another incorrect interpretation could be that the phrase is referring to a leopard's ability to remo",1.0,1.0,0.33,0.74,92.2
a,cot_en,English,5,A little knowledge is a dangerous thing,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.","The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",False,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",Having a small amount of knowledge will give you a physical injury,A small understanding of something will put you in physical danger,Knowing a few facts is poisonous and can harm your health,A,Having a small amount of knowledge will give you a physical injury,Knowing a few facts is poisonous and can harm your health,A small understanding of something will put you in physical danger,"[""Having a small amount of knowledge will give you a physical injury"", ""Knowing a few facts is poisonous and can harm your health"", ""A small understanding of something will put you in physical danger""]",1.0,1.0,0.29,0.84,95.2
a,cot_en,English,6,A rolling stone gathers no moss,Someone who does not settle in one place rarely prospers.,Someone who does not settle in one place rarely prospers.,False,Stones in motion cannot biologically support moss growth,Someone who does not settle in one place rarely prospers.,Moss requires a stationary surface to adhere to stones,Rolling stones create vibrations that inhibit moss spore germination,B,Stones in motion cannot biologically support moss growth,Moss requires a stationary surface to adhere to stones,Rolling stones create vibrations that inhibit moss spore germination,"<reasoning>When considering the proverb ""A rolling stone gathers no moss,"" a literal reading might lead to incorrect interpretations. The phrase could be misinterpreted to be about the physical properties of stones or moss, rather than its intended metaphorical meaning about stability and prosperity. For instance, one might think it's about the inability of a moving stone to collect moss due to a ",1.0,1.0,0.87,0.86,95.8
a,cot_en,English,7,A stitch in time saves nine,A 'stitch in time' is a timely effort that will prevent more work later.,A 'stitch in time' is a timely effort that will prevent more work later.,False,a single stitch in a piece of fabric can reduce the need for nine more stitches later,A 'stitch in time' is a timely effort that will prevent more work later.,a medical stitch is more efficient than nine other types of stitches,sewing a tear in clothing to prevent it from getting bigger,B,sewing a tear in clothing to prevent it from getting bigger,a medical stitch is more efficient than nine other types of stitches,a single stitch in a piece of fabric can reduce the need for nine more stitches later,"<reasoning>The phrase ""A stitch in time saves nine"" is often misunderstood literally. A reader might think it's about sewing or medical procedures. They might imagine a physical stitch that needs to be made, rather than understanding it as a metaphor for taking preventative action. This could lead to interpretations that are focused on the physical act of stitching, rather than the idea of being p",1.0,1.0,0.95,0.87,96.1
a,cot_en,English,8,A watched pot never boils,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,False,Watching a pot prevents the heat from transferring to the water,Pots lose their ability to boil when observed,The boiling point of water increases when a pot is being watched,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,D,Pots lose their ability to boil when observed,The boiling point of water increases when a pot is being watched,Watching a pot prevents the heat from transferring to the water,"<reasoning>The proverb 'a watched pot never boils' is often misinterpreted in a literal sense, leading to incorrect conclusions about the physical properties of pots and the act of watching them. A reader might jump to the conclusion that the physical act of watching a pot prevents it from boiling due to some unexplained physical principle. They might also think that the pot's boiling point change",1.0,1.0,0.4,0.89,96.7
a,cot_en,English,9,A wolf in sheep's clothing,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,False,a wolf with a rare genetic condition making it look like a sheep,a type of wolf known for its sheep-like appearance,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,a wolf that wears sheep's clothing as a disguise,C,a wolf that wears sheep's clothing as a disguise,a wolf with a rare genetic condition making it look like a sheep,a type of wolf known for its sheep-like appearance,"<reasoning>One might misinterpret the phrase by taking it literally, imagining a wolf that has physically disguised itself by wearing sheep's clothing. Another incorrect interpretation could be that it refers to a wolf that has a peculiar habit of dressing up in sheep's attire, perhaps for comedic or unusual reasons. A third wrong literal reading might assume the phrase is about a specific species",1.0,1.0,0.65,0.88,96.4
a,cot_en,English,10,Absolute power corrupts absolutely,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.","The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.",False,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.",Having any power will make someone entirely bad,Absolute power is a specific kind of energy that ruins everything,Corrupts absolutely means becoming physically rotten,A,Having any power will make someone entirely bad,Absolute power is a specific kind of energy that ruins everything,Corrupts absolutely means becoming physically rotten,"<reasoning>The phrase 'absolute power corrupts absolutely' is often misunderstood in a literal sense. One might think it implies that any amount of power will inevitably lead to complete corruption, without considering the moral implications. Another wrong interpretation could be that 'absolute power' refers to a specific type or form of power, rather than its extent or degree. Lastly, a literal r",1.0,1.0,0.38,0.98,99.4
a,cot_en,English,11,Actions speak louder than words,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,False,Loud noises are more effective than conversation,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,Speaking requires more physical strength than taking action,People should yell to be heard,B,People should yell to be heard,Loud noises are more effective than conversation,Speaking requires more physical strength than taking action,"<reasoning>The proverb ""Actions speak louder than words"" is often misinterpreted literally, leading to incorrect conclusions. A literal reading might assume that the phrase is discussing the physical properties of sound, or the physical act of speaking. Some readers might think that the phrase is advising people to yell or make loud noises to convey their message, while others might believe it's a",1.0,1.0,0.32,0.95,98.5
