sample_id,language,source_proverb,gold,original_gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,gen_attempts,gen_info,semantic_max_sim
283,English,No man can serve two masters,A person cannot divide their loyalties or pursue two contradictory goals.,A person cannot divide their loyalties or pursue two contradictory goals.,"[""Having two leaders will always lead to better decisions for a person."", ""Loyalty to one master makes a person less effective in other areas."", ""This saying means that people should avoid having more than one job.""]",False,S2,This saying means that people should avoid having more than one job.,A person cannot divide their loyalties or pursue two contradictory goals.,Loyalty to one master makes a person less effective in other areas.,Having two leaders will always lead to better decisions for a person.,B,1,generated,0.4003
292,English,Never test the depth of water with both feet,Do not jump into something risky without understanding the consequences first.,"before going whole hog into something unknown, assess the risk well.","[""You should always be fully committed without hesitation."", ""Testing the waters with both feet is the best way to dive in confidently."", ""This approach is perfect for choosing a new outfit before a party.""]",False,S2,You should always be fully committed without hesitation.,This approach is perfect for choosing a new outfit before a party.,Do not jump into something risky without understanding the consequences first.,Testing the waters with both feet is the best way to dive in confidently.,C,1,generated,0.2583
62,English,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets,Don't be hasty in evaluating one's assets.,"[""Count your eggs carefully before expecting results"", ""Assess your resources only after they are fully developed"", ""Plan for the future based on what you already have""]",False,S2,Assess your resources only after they are fully developed,Count your eggs carefully before expecting results,Plan for the future based on what you already have,Don't be hasty in evaluating one's assets,D,1,generated,0.3397
1099,English,"Translators, traitors",It is impossible to perfectly translate a sentence from one language to another.,Translating a sentence perfectly from one language to another is technically impossible.,"[""Translators are untrustworthy people who betray their native language."", ""Translating a sentence is easier than understanding it."", ""This saying means that traitors try to hide their actions by speaking in different languages.""]",False,S2,This saying means that traitors try to hide their actions by speaking in different languages.,It is impossible to perfectly translate a sentence from one language to another.,Translators are untrustworthy people who betray their native language.,Translating a sentence is easier than understanding it.,B,1,generated,0.6631
ENG0096,English,Rain on someone's parade.,Spoil someone's plans,Spoil someone's plans.,"[""Make someone's life easier"", ""Celebrate someone's success"", ""Predict someone's future""]",False,S2,Spoil someone's plans,Make someone's life easier,Celebrate someone's success,Predict someone's future,A,1,generated,0.5091
1223,English,Marriage makes or mars a man,Being married can either help or hinder you in your life.,Being married can either help or hinder you in your life.,"[""A man is either made or ruined by the choice to get married, regardless of the circumstances."", ""Marriage always improves a person's character and success."", ""This saying applies to friendships rather than marriage.""]",False,S2,Being married can either help or hinder you in your life.,Marriage always improves a person's character and success.,"A man is either made or ruined by the choice to get married, regardless of the circumstances.",This saying applies to friendships rather than marriage.,A,1,generated,0.5895
87,English,God tempers the wind to the shorn lamb.,Heaven is more kind to the weak.,Heaven is more kind to the weak.,"[""God controls nature to protect innocent animals."", ""Strength is rewarded with divine favor."", ""The strong must help the weak in times of crisis.""]",False,S2,God controls nature to protect innocent animals.,Strength is rewarded with divine favor.,Heaven is more kind to the weak.,The strong must help the weak in times of crisis.,C,1,generated,0.5941
224,English,"If you can't beat 'em, join 'em",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"[""If you cannot defeat someone physically, you should become their friend."", ""It is best to avoid others who do not share your values or methods."", ""When you disagree with a group, you should try to change them instead of working with them.""]",False,S2,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"If you cannot defeat someone physically, you should become their friend.",It is best to avoid others who do not share your values or methods.,"When you disagree with a group, you should try to change them instead of working with them.",A,1,generated,0.4993
785,English,There's small choice in rotten apples,Having many bad options is just as useless as having none at all.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.","[""A few good choices are better than many bad ones."", ""If you find one bad apple, you should look for more to compare."", ""It's better to waste bad options than to take none.""]",False,S2,A few good choices are better than many bad ones.,It's better to waste bad options than to take none.,Having many bad options is just as useless as having none at all.,"If you find one bad apple, you should look for more to compare.",C,1,generated,0.5885
1238,English,"He is unworthy to live, who lives only for himself","It is important to think of the needs of others, not only your own.","It is important to think of the needs of others, not only your own.","[""A person who lives only for themselves has no right to exist."", ""Selfishness is the highest form of living."", ""Only those who live for others should be allowed to live in society.""]",False,S2,Only those who live for others should be allowed to live in society.,"It is important to think of the needs of others, not only your own.",Selfishness is the highest form of living.,A person who lives only for themselves has no right to exist.,B,1,generated,0.4474
786,English,"Wise men learn by other men’s mistakes, fools by their own",Wise people learn from others' mistakes to avoid repeating them themselves.,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,"[""Fools are more likely to make mistakes than wise men."", ""Wise men make mistakes more often because they take more risks."", ""This proverb means that mistakes should be shared publicly for learning purposes.""]",False,S2,Fools are more likely to make mistakes than wise men.,Wise people learn from others' mistakes to avoid repeating them themselves.,This proverb means that mistakes should be shared publicly for learning purposes.,Wise men make mistakes more often because they take more risks.,B,1,generated,0.695
520,English,Love is without reason,Love is not based on logical reasons.,You can’t explain why people fall in love with each other.,"[""People fall in love because they are irrational."", ""Love grows stronger when you argue logically."", ""This proverb means you should fall in love with your family first.""]",False,S2,Love is not based on logical reasons.,Love grows stronger when you argue logically.,This proverb means you should fall in love with your family first.,People fall in love because they are irrational.,A,1,generated,0.5519
778,English,Every law has a loophole,"If one tries hard enough, they can find their way around any law or rule.","If one tries hard enough, they can find their way ar ound any law or rule.","[""Laws are written with flaws and weaknesses built into them."", ""It is best to obey every law without question or exception."", ""A loophole in a law proves that the law was never important to begin with.""]",False,S2,A loophole in a law proves that the law was never important to begin with.,Laws are written with flaws and weaknesses built into them.,"If one tries hard enough, they can find their way around any law or rule.",It is best to obey every law without question or exception.,C,1,generated,0.4948
ENG0867,English,People who live in glass houses should not throw stones.,"If you have flaws similar to others, you shouldn't point them out for fear of being judged yourself.",One should not criticize others for faults similar to one's own and risk retaliation.,"[""People who live in fragile homes are more likely to cause damage when they throw things."", ""You should throw stones at others to expose their weaknesses, especially if you are secure in your own strengths."", ""It's dangerous to build a house from glass because it can easily be broken by thrown objects.""]",False,S2,"You should throw stones at others to expose their weaknesses, especially if you are secure in your own strengths.",People who live in fragile homes are more likely to cause damage when they throw things.,"If you have flaws similar to others, you shouldn't point them out for fear of being judged yourself.",It's dangerous to build a house from glass because it can easily be broken by thrown objects.,C,1,generated,0.576
304,English,"While there is life, there is hope","As long as you're alive, there's always a chance for improvement, so keep striving for better things.","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.","[""If you're still breathing, you should expect good things to happen immediately."", ""Giving up is acceptable because hope only exists after life ends."", ""This saying means that hope is only possible if you're surrounded by others who are also alive.""]",False,S2,"As long as you're alive, there's always a chance for improvement, so keep striving for better things.",This saying means that hope is only possible if you're surrounded by others who are also alive.,"If you're still breathing, you should expect good things to happen immediately.",Giving up is acceptable because hope only exists after life ends.,A,1,generated,0.5189
878,English,"A prophet is not without honor, save in his own country",People are more likely to believe in a foreign expert than one from their own country,People are more likely to believe in a foreign expert than one from their own kin.,"[""A prophet is always honored everywhere except in their hometown"", ""People give more honor to local experts than to outsiders"", ""This saying means that famous people are always respected in their home country""]",False,S2,A prophet is always honored everywhere except in their hometown,People are more likely to believe in a foreign expert than one from their own country,This saying means that famous people are always respected in their home country,People give more honor to local experts than to outsiders,B,1,generated,0.5891
1048,English,He who wills the end wills the means,"If one is determined enough to achieve a goal, they will take whatever actions are necessary to get there.","If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.","[""The end result is more important than how you achieve it, so any method is acceptable."", ""Only those who are willing to give up their goals should avoid taking difficult steps."", ""This saying means that planning ahead is unnecessary when you're certain of your destination.""]",False,S2,"If one is determined enough to achieve a goal, they will take whatever actions are necessary to get there.",Only those who are willing to give up their goals should avoid taking difficult steps.,This saying means that planning ahead is unnecessary when you're certain of your destination.,"The end result is more important than how you achieve it, so any method is acceptable.",A,1,generated,0.4663
847,English,Be just before you are generous,Pay off your own debts before helping others financially.,Make sure your own debts are paid before lending to others.,"[""Be generous with everyone, no matter your own situation."", ""Lend money to others before you pay your own debts."", ""Be generous in charity before you are fair in business.""]",False,S2,Pay off your own debts before helping others financially.,Lend money to others before you pay your own debts.,"Be generous with everyone, no matter your own situation.",Be generous in charity before you are fair in business.,A,1,generated,0.9015
32,English,Burning the midnight oil,Work late into the night,"work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.","[""Stay up all night for fun"", ""Rest early to be productive"", ""Avoid working at night""]",False,S2,Rest early to be productive,Avoid working at night,Stay up all night for fun,Work late into the night,D,1,generated,0.7777
ENG1507,English,When the cat's away the mice will play.,People tend to misbehave when there is no supervision.,"Without supervision, people misbehave.","[""Mice are more active when a cat is not around."", ""When people are watched closely, they behave better."", ""The absence of a cat causes the mice to leave the house.""]",False,S2,People tend to misbehave when there is no supervision.,The absence of a cat causes the mice to leave the house.,Mice are more active when a cat is not around.,"When people are watched closely, they behave better.",A,1,generated,0.3656
197,English,Fake it until you make it,Acting as if you already have a quality can help you develop it over time.,One who imitat es a desired quality with confidence will eventually realize that quality.,"[""Faking a trait will eventually fool everyone into believing it's real."", ""Only those who are naturally good at something should try to improve it."", ""This strategy works well in professional settings but not in personal relationships.""]",False,S2,Only those who are naturally good at something should try to improve it.,This strategy works well in professional settings but not in personal relationships.,Faking a trait will eventually fool everyone into believing it's real.,Acting as if you already have a quality can help you develop it over time.,D,2,generated,0.5441
69,English,Power corrupts,People tend to act in their own interests when they gain authority and are not held accountable.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.","[""Having power makes people physically weaker and less capable."", ""People without power often take advantage of others to gain influence."", ""Power is only useful in political situations and not in everyday life.""]",False,S2,People without power often take advantage of others to gain influence.,People tend to act in their own interests when they gain authority and are not held accountable.,Having power makes people physically weaker and less capable.,Power is only useful in political situations and not in everyday life.,B,1,generated,0.66
ENG0610,English,Don’t throw the baby out with the bathwater,Avoid discarding valuables.,Avoid discarding valuables.,"[""Don’t keep unneeded items."", ""Only throw away the baby, not the bathwater."", ""Don’t use too much water when bathing a baby.""]",False,S2,Avoid discarding valuables.,Don’t use too much water when bathing a baby.,"Only throw away the baby, not the bathwater.",Don’t keep unneeded items.,A,1,generated,0.7658
ENG0025,English,Fortune favors the brave.,"If you act courageously, you are more likely to succeed.","If you carry out your plans boldly, luck is more likely to favor you.","[""Brave people always receive good fortune no matter what they do."", ""Fortune only favors those who are lucky, not those who are brave."", ""Being brave guarantees financial wealth.""]",False,S2,"If you act courageously, you are more likely to succeed.",Brave people always receive good fortune no matter what they do.,"Fortune only favors those who are lucky, not those who are brave.",Being brave guarantees financial wealth.,A,1,generated,0.5451
ENG0794,English,Never go to bed on an argument,Resolve conflicts before going to sleep,Resolve disputes before sleeping.,"[""Avoid sleeping in if there was a disagreement"", ""It's better to argue after waking up than before bed"", ""Never go to sleep without making a final decision""]",False,S2,It's better to argue after waking up than before bed,Avoid sleeping in if there was a disagreement,Never go to sleep without making a final decision,Resolve conflicts before going to sleep,D,1,generated,0.6919
985,English,From the sublime to the ridiculous is but a step,A beautiful or impressive thing can quickly turn into something silly or trivial.,Something beautiful or amazing can easily be followed by something mundane or foolish.,"[""The difference between the highest and lowest things is very small."", ""Something foolish can easily lead to something amazing."", ""This phrase means that great achievements are always followed by great failures.""]",False,S2,A beautiful or impressive thing can quickly turn into something silly or trivial.,Something foolish can easily lead to something amazing.,This phrase means that great achievements are always followed by great failures.,The difference between the highest and lowest things is very small.,A,1,generated,0.8229
ENG0097,English,Saved by the bell.,Rescued at the last moment.,Rescued at the last moment.,"[""Saved by a ringing bell in a literal sense."", ""Destroyed just in time by an unexpected event."", ""Celebrated for acting early to prevent a problem.""]",False,S2,Saved by a ringing bell in a literal sense.,Destroyed just in time by an unexpected event.,Rescued at the last moment.,Celebrated for acting early to prevent a problem.,C,1,generated,0.466
358,English,One swallow does not make a summer,A single positive event doesn't guarantee lasting success.,A single sign does not mean that a major change has occurred.,"[""A swallow is too small to bring warm weather."", ""If you see a swallow, you can be sure summer has arrived."", ""This proverb means that summer is unpredictable and unreliable.""]",False,S2,This proverb means that summer is unpredictable and unreliable.,A single positive event doesn't guarantee lasting success.,"If you see a swallow, you can be sure summer has arrived.",A swallow is too small to bring warm weather.,B,1,generated,0.2063
ENG0527,English,Accidents will happen,Unforeseen problems are bound to occur in life.,Mistakes or mishaps are inevitable.,"[""Accidents are caused by carelessness and can be avoided."", ""Accidents only happen to people who are unlucky."", ""Accidents are a sign of good fortune and positive change.""]",False,S2,Accidents are caused by carelessness and can be avoided.,Unforeseen problems are bound to occur in life.,Accidents are a sign of good fortune and positive change.,Accidents only happen to people who are unlucky.,B,1,generated,0.5475
842,English,"If you're not paying, you're the product","If you're not paying for something, you're being used for profit.",Nothing is for free.,"[""If you're not being sold anything, you're being sold yourself."", ""If you're paying, you're the one being taken advantage of."", ""If you're not working, you're the one who benefits.""]",False,S2,"If you're not being sold anything, you're being sold yourself.","If you're paying, you're the one being taken advantage of.","If you're not paying for something, you're being used for profit.","If you're not working, you're the one who benefits.",C,1,generated,0.7332
ENG0372,English,Might is right.,Power determines what is considered just or acceptable.,Those with the most strength or power think they can do whatever they want.,"[""Strength is the most important quality in a person."", ""Those who are kind and gentle are respected the most."", ""Only the strongest people should be allowed to speak in public.""]",False,S2,Those who are kind and gentle are respected the most.,Only the strongest people should be allowed to speak in public.,Strength is the most important quality in a person.,Power determines what is considered just or acceptable.,D,1,generated,0.3742
ENG0342,English,Liars need good memories.,People who lie must remember their stories to avoid being caught.,People who do not tell the truth must be careful to remember what they say.,"[""Telling lies improves a person's memory over time."", ""Honest people need to remember things more carefully than others."", ""Liars are naturally gifted at remembering facts and details.""]",False,S2,People who lie must remember their stories to avoid being caught.,Honest people need to remember things more carefully than others.,Liars are naturally gifted at remembering facts and details.,Telling lies improves a person's memory over time.,A,1,generated,0.7271
1067,English,Love lives in cottages as well as in courts,"Love can happen to anyone, no matter their social or financial background.",All kinds of people fall in love regardless of their social or financial status.,"[""Love only exists in simple homes and not in wealthy places."", ""People in higher social classes are more capable of loving others."", ""This means that love is more powerful in rural areas than in cities.""]",False,S2,"Love can happen to anyone, no matter their social or financial background.",This means that love is more powerful in rural areas than in cities.,Love only exists in simple homes and not in wealthy places.,People in higher social classes are more capable of loving others.,A,1,generated,0.4734
1160,English,Rather death than shame,It is better to die than to lose one's honor.,Honor is more important than life itself.,"[""Death is preferable to any kind of fear."", ""Shame is more important than life in certain situations."", ""One should avoid death at all costs to maintain happiness.""]",False,S2,Shame is more important than life in certain situations.,Death is preferable to any kind of fear.,It is better to die than to lose one's honor.,One should avoid death at all costs to maintain happiness.,C,1,generated,0.4954
342,English,Everybody loves a winner,"Successful people tend to attract followers, while the less fortunate get left behind","Successful people tend to attract followers, while the less fortunate get left behind .","[""People only show affection to those who are physically strong or athletic"", ""Unsuccessful people are often the ones who receive the most support and admiration"", ""Winning a game is the only way to earn respect from others""]",False,S2,Unsuccessful people are often the ones who receive the most support and admiration,"Successful people tend to attract followers, while the less fortunate get left behind",Winning a game is the only way to earn respect from others,People only show affection to those who are physically strong or athletic,B,1,generated,0.6475
210,English,Speak softly and carry a big stick,It means to act non-aggressively while being prepared to use force if necessary.,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.","[""It means to talk loudly and show weakness to avoid conflict."", ""It means to always use violence as the first approach and avoid diplomacy."", ""It means to whisper secrets and hide one's true intentions.""]",False,S2,It means to always use violence as the first approach and avoid diplomacy.,It means to whisper secrets and hide one's true intentions.,It means to act non-aggressively while being prepared to use force if necessary.,It means to talk loudly and show weakness to avoid conflict.,C,1,generated,0.5436
101,English,Forbidden fruit is the sweetest.,"When something is forbidden, it becomes more tempting.","When something is not allowed, we are more tempted to it.","[""Fruit that is not allowed to eat tastes better than other fruit."", ""When something is allowed, we lose interest in it."", ""The most delicious fruit is always the one that is allowed to eat.""]",False,S2,"When something is forbidden, it becomes more tempting.","When something is allowed, we lose interest in it.",Fruit that is not allowed to eat tastes better than other fruit.,The most delicious fruit is always the one that is allowed to eat.,A,1,generated,0.532
1182,English,The gods send nuts to those who have no teeth,Good things can come to people who are no longer able to benefit from them.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,"[""People with strong teeth are favored by the gods."", ""The gods only help those who are physically capable of using their gifts."", ""This proverb is about the importance of dental health.""]",False,S2,This proverb is about the importance of dental health.,The gods only help those who are physically capable of using their gifts.,People with strong teeth are favored by the gods.,Good things can come to people who are no longer able to benefit from them.,D,1,generated,0.2782
168,English,You can have too much of a good thing,Even good things can be harmful if overdone.,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,"[""Having a lot of something good is always better."", ""You should avoid good things to prevent excess."", ""This applies to bad habits, not enjoyable activities.""]",False,S2,You should avoid good things to prevent excess.,Having a lot of something good is always better.,Even good things can be harmful if overdone.,"This applies to bad habits, not enjoyable activities.",C,1,generated,0.6154
432,English,Pity is akin to love.,"If you start to feel sympathy for someone, you might come to love them.","If you begin to feel sorry for someone, you may start to love them.","[""Pity is the same thing as love and can replace it completely."", ""Loving someone means you should never feel pity for them."", ""Pity and love are only similar in the context of a battlefield.""]",False,S2,"If you start to feel sympathy for someone, you might come to love them.",Loving someone means you should never feel pity for them.,Pity is the same thing as love and can replace it completely.,Pity and love are only similar in the context of a battlefield.,A,1,generated,0.5806
ENG0453,English,Stolen fruit is sweet,What is forbidden is the most tempting.,What is forbidden is the most tempting.,"[""Taking something you don't own makes it taste better."", ""Forbidden things are usually not worth pursuing."", ""Stolen food is always of higher quality.""]",False,S2,What is forbidden is the most tempting.,Forbidden things are usually not worth pursuing.,Taking something you don't own makes it taste better.,Stolen food is always of higher quality.,A,1,generated,0.6452
237,English,The bane of my life,The source of my suffering or misfortune,The agent of ruin or woe.,"[""Someone who brings good fortune into my life"", ""The greatest joy I have ever experienced"", ""A tool used for medical procedures""]",False,S2,A tool used for medical procedures,The source of my suffering or misfortune,The greatest joy I have ever experienced,Someone who brings good fortune into my life,B,1,generated,0.3581
976,English,Prosperity makes friends; adversity tries them,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.","It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.","[""Friends are only valuable when you are wealthy and successful."", ""Difficult times help us make more friends than good times do."", ""This proverb means that friends should never be expected to help during adversity.""]",False,S2,Difficult times help us make more friends than good times do.,Friends are only valuable when you are wealthy and successful.,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.",This proverb means that friends should never be expected to help during adversity.,C,1,generated,0.7095
ENG0417,English,ounce of discretion is worth a pound of wit.,It is better to be cautious and discreet than to try to be funny.,It is better to be cautious and discreet than to try to be funny.,"[""A small amount of humor is more valuable than a lot of caution."", ""It is better to use your intelligence than to be careful."", ""A little knowledge is more useful than a lot of cleverness in a scientific experiment.""]",False,S2,A little knowledge is more useful than a lot of cleverness in a scientific experiment.,It is better to use your intelligence than to be careful.,A small amount of humor is more valuable than a lot of caution.,It is better to be cautious and discreet than to try to be funny.,D,1,generated,0.7472
388,English,He that is not with me is against me,The idea that anyone who does not support your cause is seen as being against you.,Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it.,"[""Someone who is neutral is the same as being an enemy."", ""If you don't oppose me, you are for me."", ""This rule applies to cooking disagreements in the kitchen.""]",False,S2,"If you don't oppose me, you are for me.",The idea that anyone who does not support your cause is seen as being against you.,Someone who is neutral is the same as being an enemy.,This rule applies to cooking disagreements in the kitchen.,B,1,generated,0.5096
123,English,Rome was not built in a day.,Achieving great things requires time and effort.,"Great tasks take time, hard work and perseverance.","[""Rome was destroyed quickly because it was poorly built."", ""Important tasks are always easy and quick to complete."", ""Only ancient cities required long periods to develop.""]",False,S2,Rome was destroyed quickly because it was poorly built.,Important tasks are always easy and quick to complete.,Achieving great things requires time and effort.,Only ancient cities required long periods to develop.,C,1,generated,0.324
424,English,Necessity knows no law,Desperation can drive people to break the law.,Being desperate may lead you to do illegal things.,"[""Necessity creates legal exceptions."", ""People who are not desperate always follow the law."", ""Laws are made to prevent unnecessary actions.""]",False,S2,Laws are made to prevent unnecessary actions.,Necessity creates legal exceptions.,Desperation can drive people to break the law.,People who are not desperate always follow the law.,C,1,generated,0.5044
242,English,Every horse thinks its own pack is heaviest,People believe their own workload is the hardest.,We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others.,"[""Horses are naturally stronger than other animals."", ""Everyone agrees that others work harder than themselves."", ""The proverb is about how horses carry heavy loads.""]",False,S2,The proverb is about how horses carry heavy loads.,Horses are naturally stronger than other animals.,Everyone agrees that others work harder than themselves.,People believe their own workload is the hardest.,D,1,generated,0.4556
ENG0010,English,{Costs an arm and a leg},Extremely costly,Very expensive.,"[""Requires physical effort or injury"", ""Very cheap or affordable"", ""Something that is easily given or sacrificed""]",False,S2,Requires physical effort or injury,Something that is easily given or sacrificed,Very cheap or affordable,Extremely costly,D,1,generated,0.4945
1030,English,Call no man happy till he is dead,"True happiness can only be judged in hindsight, after a person's life has ended.",Happiness is fleeting.,"[""Everyone is happy until they die."", ""A person is only happy when they are not alive."", ""You should wait until someone is dead to congratulate them on their achievements.""]",False,S2,Everyone is happy until they die.,"True happiness can only be judged in hindsight, after a person's life has ended.",A person is only happy when they are not alive.,You should wait until someone is dead to congratulate them on their achievements.,B,1,generated,0.6168
MID0381,Arabic,اللي ما رضى خببزة يرضى بنصها ,الشخص الذي لا يرضى بما قسمه الله له يضطر في النهاية إلى قبول أقل,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,"[""الشخص الذي يرفض الخبز يجد نفسه يقبل نصفه"", ""الشخص الذي يرضى بما قسمه الله له يحصل على أكثر من نصف الخبز"", ""الخبز يُقسَّم بين الناس وفقًا لرضائهم عنه""]",False,S2,الخبز يُقسَّم بين الناس وفقًا لرضائهم عنه,الشخص الذي يرضى بما قسمه الله له يحصل على أكثر من نصف الخبز,الشخص الذي يرفض الخبز يجد نفسه يقبل نصفه,الشخص الذي لا يرضى بما قسمه الله له يضطر في النهاية إلى قبول أقل,D,1,generated,0.5097
MID0051,Arabic,إنك تضرب في حديد بارد,أنت تحاول تغيير شيء لا يمكنك تغييره,You’re trying to change something that you can’t.,"[""أنت تتعامل مع شخص قوي وصلب"", ""أنت تُظهر قوتك أمام من يُظهر ضعفه"", ""أنت تُحاول إصلاح ما لا يحتاج إلى إصلاح""]",False,S2,أنت تحاول تغيير شيء لا يمكنك تغييره,أنت تتعامل مع شخص قوي وصلب,أنت تُحاول إصلاح ما لا يحتاج إلى إصلاح,أنت تُظهر قوتك أمام من يُظهر ضعفه,A,1,generated,0.773
MID0356,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,إنفاق ما في جيبك يجلب لك ما لا تعرفه من الغيب,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.","[""الإمساك بما في جيبك يحميك من الضرر"", ""من يحتفظ بماله يحصل على مال أكثر من غير المتوقع"", ""إنفاق المال في الأوقات السيئة يجلب الحظ السيء""]",False,S2,إنفاق المال في الأوقات السيئة يجلب الحظ السيء,من يحتفظ بماله يحصل على مال أكثر من غير المتوقع,الإمساك بما في جيبك يحميك من الضرر,إنفاق ما في جيبك يجلب لك ما لا تعرفه من الغيب,D,1,generated,0.6166
MID0358,Arabic,الصديق وقت الضيق.,الصديق الحقيقي هو من يدعمك وقت الشدة,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,"[""الصديق وقت الضيق هو من يبتعد عنك عندما تواجه الصعوبات"", ""الصديق الحقيقي هو من يختبرك بالمشاكل ليرى مدى صبرك"", ""الصديق وقت الضيق هو من يطلب منك المساعدة عندما يواجه مشكلة""]",False,S2,الصديق الحقيقي هو من يدعمك وقت الشدة,الصديق وقت الضيق هو من يبتعد عنك عندما تواجه الصعوبات,الصديق وقت الضيق هو من يطلب منك المساعدة عندما يواجه مشكلة,الصديق الحقيقي هو من يختبرك بالمشاكل ليرى مدى صبرك,A,1,generated,0.8486
