task,strategy,lang,source_proverb,correct_text,correct_answer,Choice_A,Choice_B,Choice_C,Choice_D
b,Strategy_2,English,No man can serve two masters,A person cannot divide their loyalties or pursue two contradictory goals.,C,"To truly grow as an individual, one must be willing to take on as many responsibilities as possible, regardless of potential conflicts.",The key to happiness lies in being able to balance multiple relationships and obligations simultaneously.,A person cannot divide their loyalties or pursue two contradictory goals.,One must always prioritize their personal interests over the needs of others to achieve true success.
b,Strategy_2,English,Never test the depth of water with both feet,"Before fully committing to a new endeavor, it's essential to carefully evaluate the potential risks and consequences to avoid becoming overwhelmed",B,"It teaches us that when faced with uncertainty, we should trust our instincts and jump in with both feet, as overanalysis can lead to paralysis and inaction","Before fully committing to a new endeavor, it's essential to carefully evaluate the potential risks and consequences to avoid becoming overwhelmed","The saying suggests that we should always prioritize caution and avoid taking any risks, as the consequences of failure can be devastating","This proverb advises us to be prepared to take the plunge and fully immerse ourselves in new experiences, as hesitation can lead to missed opportunities"
b,Strategy_2,English,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.,D,One must always prioritize the needs of others before their own.,A diverse portfolio is the key to financial freedom.,The value of an item is determined by its aesthetic appeal.,Don't be hasty in evaluating one's assets.
b,Strategy_2,English,"Translators, traitors",Translating a sentence perfectly from one language to another is technically impossible.,B,A single sign does not mean that a major change has occurred.,Translating a sentence perfectly from one language to another is technically impossible.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",Something beautiful or amazing can easily be followed by something mundane or foolish.
b,Strategy_2,English,Rain on someone's parade.,To ruin or spoil someone's plans or event,B,To add excitement and energy to someone's dull gathering,To ruin or spoil someone's plans or event,To symbolize a blessing or good fortune in someone's life,To bring much needed relief to someone's parched landscape
b,Strategy_2,English,Marriage makes or mars a man,Being married can either help or hinder you in your life.,A,Being married can either help or hinder you in your life.,The key to a successful life is to surround yourself with many friends.,A person's character is shaped by their ability to accumulate wealth.,One's destiny is determined by the place of their birth.
b,Strategy_2,English,God tempers the wind to the shorn lamb.,Heaven is more kind to the weak,A,Heaven is more kind to the weak,One must be prepared for the harshest of conditions,The strongest will always prevail in nature,The gentle are often left to face the storm alone
b,Strategy_2,English,"If you can't beat 'em, join 'em",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,A,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"The key to success is to identify and exploit the weaknesses of your competitors, not to cooperate with them.","True freedom lies in rejecting the norms and values of others, forging one's own path.","A strong will can overcome any obstacle, no matter the opposition."
b,Strategy_2,English,There's small choice in rotten apples,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",D,Nothing is for free.,Mistakes or mishaps are inevitable.,"It is important to think of the needs of others, not only your own.","If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
b,Strategy_2,English,"He is unworthy to live, who lives only for himself","It is important to think of the needs of others, not only your own.",A,"It is important to think of the needs of others, not only your own.","If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",Don't be hasty in evaluating one's assets.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
