stage,variant,language,proverb,correct_meaning,raw_model_output,status,error,mcq_id,model,prompt,extracted_vote
generation,baseline,Arabic,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,Arabic,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,Arabic,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,Arabic,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,Arabic,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,English,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,English,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,English,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,English,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,English,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,Yoruba,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,Yoruba,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,Yoruba,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,Yoruba,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,,parse_fallback,Could not parse JSON options.,,,,
generation,baseline,Yoruba,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Arabic,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Arabic,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Arabic,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Arabic,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Arabic,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,English,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,English,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,English,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,English,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,English,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Yoruba,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Yoruba,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Yoruba,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Yoruba,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,,parse_fallback,Could not parse JSON options.,,,,
generation,misconception-based,Yoruba,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,Arabic,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,,parse_fallback,Could not parse JSON options.,,,,
