task,strategy,lang,source_proverb,correct_text,correct_answer,reasoning,Choice_A,Choice_B,Choice_C,Choice_D
b,cot_en,English,No man can serve two masters,A person cannot divide their loyalties or pursue two contradictory goals.,C,Regex Parse,One cannot divide their allegiance between two masters or pursue mutually exclusive goals.,It is impossible for a person to maintain loyalty to two conflicting masters or objectives.,A person cannot divide their loyalties or pursue two contradictory goals.,An individual cannot simultaneously serve two competing interests or masters.
b,cot_en,English,Never test the depth of water with both feet,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.",B,"To generate distractors indistinguishable to a blind evaluator, I will create three phrases that match the word count, complexity, tone, and lexical overlap of the correct answer. The correct answer has a word count of 156 words, so the distractors should be within +/- 10% of this count, i.e., between 140 and 172 words. The correct answer has a formal tone and uses metaphors, so the distractors should also have a similar tone and metaphor presence. The keywords from the proverb, such as 'depth', 'water', 'test', and 'risk', should be used in the distractors.","Before wading into uncharted waters, it's vital to sound out the depth, lest you succumb to the perils that lie beneath the surface. By testing the waters with one foot, you can retreat if the depth proves too great, but if you charge in with both feet, you risk being engulfed by the very circumstances you sought to navigate. This adage warns against reckless abandon, instead promoting a cautious and informed approach, where one can gauge the risks and adjust their course accordingly, thereby avoiding the pitfalls that can arise from impetuous decision-making.","If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.","Assessing the risks and consequences of a situation is crucial before taking the plunge, much like testing the depth of a body of water. By probing the unknown with a single foot, you can withdraw if the waters prove too treacherous, whereas committing fully can lead to being swept away. This axiom cautions against impulsive decisions, advocating for a more thoughtful and deliberate approach, which can be the difference between success and catastrophe, especially in unfamiliar or turbulent environments.","When exploring uncharted territories, it's essential to gauge the depth of the situation with caution, lest you find yourself in over your head. Testing the waters with a single toe, rather than diving in headfirst, allows for a more measured approach, minimizing the risk of being overwhelmed. This prudent strategy enables you to assess the situation and make informed decisions, rather than recklessly plunging into the unknown, which can lead to disastrous consequences."
b,cot_en,English,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.,D,Regex Parse,Do not hastily assess your financial assets.,Avoid premature assessment of your resources.,Refrain from quick judgment of one's possessions.,Don't be hasty in evaluating one's assets.
b,cot_en,English,"Translators, traitors",Translating a sentence perfectly from one language to another is technically impossible.,B,"The correct answer explains the idea behind the proverb 'Translators, traitors' by highlighting the challenges of perfect translation. To create distractors, we need to maintain a similar word count, grammatical complexity, tone, and use keywords like 'translators' and 'traitors'. The distractors should be indistinguishable from the correct answer in terms of these factors, while still conveying a different, yet plausible, message. We will use similar sentence structures and vocabulary to create the distractors.",Translators often face the dilemma of being seen as traitors due to the inevitable loss of meaning in the translation process.,Translating a sentence perfectly from one language to another is technically impossible.,"Despite their best efforts, translators can be perceived as traitors when cultural nuances are lost in translation, altering the original intent.","The saying 'Translators, traitors' underscores the difficulty of translating complex ideas without being viewed as traitors to the original context and meaning."
b,cot_en,English,Rain on someone's parade.,Spoil someone's plans.,B,Regex Parse,Storm their celebration,Spoil someone's plans.,Cloud someone's event,Dampen the party mood
b,cot_en,English,Marriage makes or mars a man,Being married can either help or hinder you in your life.,A,Regex Parse,Being married can either help or hinder you in your life.,Marriage has the potential to either improve or worsen one's life.,Being in a marriage can significantly affect your personal life.,The state of being married can have a positive or negative impact.
b,cot_en,English,God tempers the wind to the shorn lamb.,Heaven is more kind to the weak.,A,Regex Parse,Heaven is more kind to the weak.,The Almighty protects the gentle heart.,Divine hands shield the frail soul.,Providence cares for the vulnerable ones.
b,cot_en,English,"If you can't beat 'em, join 'em",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,A,Regex Parse,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"Through the act of surrendering pride and joining others, individuals can gain new insights and experiences that foster personal and collective growth.","Joining forces with others can provide a strategic advantage, allowing for the achievement of common goals through unity rather than competition.","Sometimes, surrendering one’s competitive edge to conform with others can lead to unforeseen benefits and harmony."
b,cot_en,English,There's small choice in rotten apples,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",D,No response,API Failure A,API Failure C,API Failure B,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
b,cot_en,English,"He is unworthy to live, who lives only for himself","It is important to think of the needs of others, not only your own.",A,No response,"It is important to think of the needs of others, not only your own.",API Failure A,API Failure C,API Failure B
b,cot_en,English,"Wise men learn by other men’s mistakes, fools by their own",Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,A,No response,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,API Failure B,API Failure A,API Failure C
b,cot_en,English,Love is without reason,You can’t explain why people fall in love with each other.,C,No response,API Failure A,API Failure C,You can’t explain why people fall in love with each other.,API Failure B
b,cot_en,English,Every law has a loophole,"If one tries hard enough, they can find their way ar ound any law or rule.",C,No response,API Failure A,API Failure C,"If one tries hard enough, they can find their way ar ound any law or rule.",API Failure B
b,cot_en,English,People who live in glass houses should not throw stones.,One should not criticize others for faults similar to one's own and risk retaliation.,C,No response,API Failure B,API Failure C,One should not criticize others for faults similar to one's own and risk retaliation.,API Failure A
b,cot_en,English,"While there is life, there is hope","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",A,No response,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",API Failure C,API Failure B,API Failure A
b,cot_en,English,"A prophet is not without honor, save in his own country",People are more likely to believe in a foreign expert than one from their own kin.,B,"To generate distractors indistinguishable to a blind evaluator, I analyzed the given proverb 'A prophet is not without honor, save in his own country' and the correct answer 'People are more likely to believe in a foreign expert than one from their own kin.' The correct answer conveys the idea that people often underestimate or undervalue those who are from their own community or family, preferring instead to trust outsiders. The distractors must match the word count, grammatical complexity, tone, and use similar keywords to the correct answer. The tone of the correct answer is formal and does not contain metaphors, so the distractors will be constructed to match this formality and literalness. Keywords from the proverb and the correct answer, such as 'expert,' 'own,' and 'believe,' will be incorporated into the distractors. With these requirements in mind, the distractors are crafted to be plausible interpretations of the proverb that closely resemble the correct answer in terms of structure, vocabulary, and meaning.",Foreign specialists usually receive more acclaim than professionals from one's own region or background.,People are more likely to believe in a foreign expert than one from their own kin.,Individuals tend to trust external advisors more than those from their immediate community or family.,"Distant authorities often garner more respect than local figures, even among their own kin."
b,cot_en,English,He who wills the end wills the means,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",A,No response,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",API Failure C,API Failure A,API Failure B
b,cot_en,English,Be just before you are generous,Make sure your own debts are paid before lending to others.,B,Regex Parse,Always settle your own accounts before offering loans to others.,Make sure your own debts are paid before lending to others.,Ensure your financial obligations are met before giving to others.,Pay your debts off completely before you consider lending money.
b,cot_en,English,Burning the midnight oil,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.",A,No response,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.",API Failure A,API Failure B,API Failure C
b,cot_en,English,When the cat's away the mice will play.,"Without supervision, people misbehave.",D,Regex Parse,"Without guidance, people will stray.","Lacking oversight, individuals tend to misbehave.","In the absence of authority, individuals act out.","Without supervision, people misbehave."
b,cot_en,English,Fake it until you make it,One who imitat es a desired quality with confidence will eventually realize that quality.,A,"To generate distractors that are indistinguishable to a blind evaluator, I will create sentences that match the word count, grammatical complexity, tone, and lexical overlap of the correct answer. The correct answer is a formal sentence with a metaphor presence, using keywords from the proverb 'Fake it until you make it'. I will create three distractors that mimic these characteristics, while conveying different meanings. The distractors will use similar wording and structure to the correct answer, but with slight variations in meaning or emphasis.",One who imitat es a desired quality with confidence will eventually realize that quality.,One who simulates a desired attribute with conviction will eventually personify that attribute.,One who mimics a desired trait with assurance will ultimately embody that trait.,One who replicates a desired characteristic with faith will eventually internalize that characteristic.
