task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
b,MID0001,French,B,B,,B,1
b,MID0002,French,A,A,,A,1
b,MID0003,French,A,A,,A,1
b,MID0004,French,D,D,,D,1
b,MID0005,French,D,D,,D,1
b,MID0006,French,C,C,,C,1
b,MID0007,French,B,B,,B,1
b,MID0008,French,A,A,,A,1
b,MID0009,French,B,B,,B,1
b,MID0010,French,B,B,,B,1
b,MID0011,French,C,C,,C,1
b,MID0012,French,B,B,,B,1
b,MID0013,French,D,D,,D,1
b,MID0014,French,A,A,,A,1
b,MID0015,French,A,A,,A,1
b,MID0016,French,D,D,,D,1
b,MID0017,French,C,C,,C,1
b,MID0018,French,D,A,,A,0
b,MID0019,French,A,A,,A,1
b,MID0020,French,C,A,,A,0
b,MID0021,French,C,C,,C,1
b,MID0022,French,D,D,,D,1
b,MID0023,French,B,B,,B,1
b,MID0024,French,C,C,,C,1
b,MID0025,French,A,A,,A,1
b,MID0026,French,D,D,,D,1
b,MID0027,French,D,D,,D,1
b,MID0028,French,A,A,,A,1
b,MID0029,French,D,D,,D,1
b,MID0030,French,C,A,,A,0
b,MID0031,French,A,D,,D,0
b,MID0032,French,D,A,,A,0
b,MID0033,French,C,D,,D,0
b,MID0034,French,B,B,,B,1
b,MID0035,French,D,B,,B,0
b,MID0036,French,C,A,,A,0
b,MID0037,French,B,B,,B,1
b,MID0038,French,D,D,,D,1
b,MID0039,French,D,B,,B,0
b,MID0040,French,C,C,,C,1
b,MID0041,French,C,C,,C,1
b,MID0042,French,D,D,,D,1
b,MID0043,French,B,D,,D,0
b,MID0044,French,C,A,,A,0
b,MID0045,French,D,A,,A,0
b,MID0046,French,A,A,,A,1
b,MID0047,French,C,C,,C,1
b,MID0048,French,D,D,,D,1
b,MID0049,French,A,A,,A,1
b,MID0050,French,C,C,,C,1
b,MID0051,French,C,A,,A,0
b,MID0052,French,D,D,,D,1
b,MID0053,French,A,A,,A,1
b,MID0054,French,B,B,,B,1
b,MID0055,French,A,A,,A,1
b,MID0056,French,A,A,,A,1
b,MID0057,French,C,C,,C,1
b,MID0058,French,B,B,,B,1
b,MID0059,French,C,C,,C,1
b,MID0060,French,B,B,,B,1
b,MID0061,French,A,A,,A,1
b,MID0062,French,D,D,,D,1
b,MID0063,French,B,B,,B,1
b,MID0064,French,B,B,,B,1
b,MID0065,French,D,D,,D,1
b,MID0066,French,A,A,,A,1
b,MID0067,French,B,B,,B,1
b,MID0068,French,C,C,,C,1
b,MID0069,French,D,A,,A,0
b,MID0070,French,B,A,,A,0
b,MID0071,French,D,D,,D,1
b,MID0072,French,B,D,,D,0
b,MID0073,French,A,A,,A,1
b,MID0074,French,A,A,,A,1
b,MID0075,French,D,D,,D,1
b,MID0076,French,D,D,,D,1
b,MID0077,French,B,B,,B,1
b,MID0078,French,C,C,,C,1
b,MID0079,French,C,C,,C,1
b,MID0080,French,C,C,,C,1
b,MID0081,French,D,D,,D,1
b,MID0082,French,A,A,,A,1
b,MID0083,French,A,A,,A,1
b,MID0084,French,B,B,,B,1
b,MID0085,French,A,A,,A,1
b,MID0086,French,A,A,,A,1
b,MID0087,French,A,A,,A,1
b,MID0088,French,D,D,,D,1
b,MID0089,French,D,D,,D,1
b,MID0090,French,C,A,,A,0
b,MID0091,French,C,A,,A,0
