task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,zs,Arabic,MID0001,آخر الحياة الموت," Live life to its fullest; Tempus fugit, utere.",A wisdom that has become a proverb about not caring about threats. ,True,A wisdom that has become a proverb about not caring about threats. ,"It is commonly interpreted as a warning that life is meaningless, so one should avoid deep commitments.",This proverb is traditionally quoted to console mourners at funerals in Arab cultures.,The phrase is used to encourage people to prepare for death by accumulating wealth.,A,The phrase is used to encourage people to prepare for death by accumulating wealth.,This proverb is traditionally quoted to console mourners at funerals in Arab cultures.,"It is commonly interpreted as a warning that life is meaningless, so one should avoid deep commitments.","{""1"": [""The phrase is used to encourage people to prepare for death by accumulating wealth."", ""This proverb is traditionally quoted to console mourners at funerals in Arab cultures."", ""It is commonly interpreted as a warning that life is meaningless, so one should avoid deep commitments.""], ""2"": [""This saying is used to describe someone who is constantly hiding behind others out of fear."", ""It ref",1.0,1.0,1.22,0.95,98.5
b,zs,Arabic,MID0002,أتبع من الظل.,Sticks to them like a shadow.,The proverb refers to someone who follows another person more than his shadow follows him.,True,This saying is used to describe someone who is constantly hiding behind others out of fear.,The proverb refers to someone who follows another person more than his shadow follows him.,"The proverb is used to criticize overdependence in romantic relationships, especially in marriage advice.",It refers to a person who always copies others' ideas and lacks originality.,B,This saying is used to describe someone who is constantly hiding behind others out of fear.,It refers to a person who always copies others' ideas and lacks originality.,"The proverb is used to criticize overdependence in romantic relationships, especially in marriage advice.","{""1"": [""The phrase is used to encourage people to prepare for death by accumulating wealth."", ""This proverb is traditionally quoted to console mourners at funerals in Arab cultures."", ""It is commonly interpreted as a warning that life is meaningless, so one should avoid deep commitments.""], ""2"": [""This saying is used to describe someone who is constantly hiding behind others out of fear."", ""It ref",1.0,1.0,0.96,0.92,97.6
b,zs,Arabic,MID0003,أحْسِنْ إلى الناس تستعبد قلوبهم.,Kindness begets kindness.,It means that kindness and good treatment are the only way to gain people's love.,True,It means that kindness and good treatment are the only way to gain people's love.,This means that kindness is a sign of weakness and makes people take advantage of you.,"The proverb implies that only the powerful can afford to be kind, so kindness displays status.","It suggests that by being kind, you can manipulate people into serving you secretly.",A,This means that kindness is a sign of weakness and makes people take advantage of you.,"It suggests that by being kind, you can manipulate people into serving you secretly.","The proverb implies that only the powerful can afford to be kind, so kindness displays status.","{""1"": [""The phrase is used to encourage people to prepare for death by accumulating wealth."", ""This proverb is traditionally quoted to console mourners at funerals in Arab cultures."", ""It is commonly interpreted as a warning that life is meaningless, so one should avoid deep commitments.""], ""2"": [""This saying is used to describe someone who is constantly hiding behind others out of fear."", ""It ref",1.0,1.0,1.02,0.91,97.3
b,zs,Arabic,MID0004,أحضر الناس جوابًا من لم يغضب,"If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.","The proverb urges calm and patience, as anger can sometimes make a person miss the opportunity to answer or lead him to the wrong answer.",True,It means that only those who are emotionally detached can give truthful answers.,The saying is used to argue that anger fuels creativity and leads to brilliant retorts.,This is often quoted to justify aggressive comebacks in public disputes as a sign of courage.,"The proverb urges calm and patience, as anger can sometimes make a person miss the opportunity to answer or lead him to the wrong answer.",D,This is often quoted to justify aggressive comebacks in public disputes as a sign of courage.,It means that only those who are emotionally detached can give truthful answers.,The saying is used to argue that anger fuels creativity and leads to brilliant retorts.,"{""1"": [""The phrase is used to encourage people to prepare for death by accumulating wealth."", ""This proverb is traditionally quoted to console mourners at funerals in Arab cultures."", ""It is commonly interpreted as a warning that life is meaningless, so one should avoid deep commitments.""], ""2"": [""This saying is used to describe someone who is constantly hiding behind others out of fear."", ""It ref",1.0,1.0,0.59,0.96,98.8
b,zs,Arabic,MID0005,أحلام العصافير.,pie in the sky.,This proverb describes the dreams of fools. It is also said: “Lighter than a bird's dream.”,True,"The proverb celebrates the innocence of hopeful dreams, even if they are unrealistic.",It refers to poetic visions that only enlightened minds can understand.,This expression is used to praise ambitious dreamers who aim for greatness despite obstacles.,This proverb describes the dreams of fools. It is also said: “Lighter than a bird's dream.”,D,This expression is used to praise ambitious dreamers who aim for greatness despite obstacles.,It refers to poetic visions that only enlightened minds can understand.,"The proverb celebrates the innocence of hopeful dreams, even if they are unrealistic.","{""1"": [""The phrase is used to encourage people to prepare for death by accumulating wealth."", ""This proverb is traditionally quoted to console mourners at funerals in Arab cultures."", ""It is commonly interpreted as a warning that life is meaningless, so one should avoid deep commitments.""], ""2"": [""This saying is used to describe someone who is constantly hiding behind others out of fear."", ""It ref",1.0,1.0,0.79,0.99,99.7
b,zs,Arabic,MID0006,أدنى من حبل الوريد.,closer than one's shadow.,"It means intense closeness, and it is quoted from the noble verse: “and We know what his soul whispers to him.”",True,"It means someone so insignificant they are beneath even a blood vessel, used in self-deprecation.","It refers to someone who is physically shorter than a vein, symbolizing humility.","It describes a person who is always following behind others like a shadow, indicating subservience.","It means intense closeness, and it is quoted from the noble verse: “and We know what his soul whispers to him.”",D,"It refers to someone who is physically shorter than a vein, symbolizing humility.","It describes a person who is always following behind others like a shadow, indicating subservience.","It means someone so insignificant they are beneath even a blood vessel, used in self-deprecation.","{""1"": [""It refers to someone who is physically shorter than a vein, symbolizing humility."", ""It describes a person who is always following behind others like a shadow, indicating subservience."", ""It means someone so insignificant they are beneath even a blood vessel, used in self-deprecation.""], ""2"": [""It refers to a baker who grinds loudly but produces no flour, commenting on mechanical failure.""",1.0,1.0,0.68,0.88,96.4
b,zs,Arabic,MID0007,أسمع جعجعة ولا أرى طحينا,Much ado about nothing.,"It is said about a man who talks a lot but does not work, and who makes promises but does not fulfill them.",True,"It is used to praise loud speakers whose voice carries far but whose message is unseen, valuing eloquence over substance.","It refers to a baker who grinds loudly but produces no flour, commenting on mechanical failure.","It describes a battlefield with noise of combat but no visible casualties, meaning illusion of danger.","It is said about a man who talks a lot but does not work, and who makes promises but does not fulfill them.",D,"It refers to a baker who grinds loudly but produces no flour, commenting on mechanical failure.","It describes a battlefield with noise of combat but no visible casualties, meaning illusion of danger.","It is used to praise loud speakers whose voice carries far but whose message is unseen, valuing eloquence over substance.","{""1"": [""It refers to someone who is physically shorter than a vein, symbolizing humility."", ""It describes a person who is always following behind others like a shadow, indicating subservience."", ""It means someone so insignificant they are beneath even a blood vessel, used in self-deprecation.""], ""2"": [""It refers to a baker who grinds loudly but produces no flour, commenting on mechanical failure.""",1.0,1.0,0.75,0.9,97.0
b,zs,Arabic,MID0008,أسمعٌ صوتا وأرى فوتا.,Much ado about nothing,"Fawt: passed and went away. The proverb means literally: ""I hear words and speech but I do not see action and implementation."" It is said about someone who makes excuses but does not fulfill his promise. In the same meaning, it is said: ""I hear the noise but I do not see the grinding"".",True,"It describes a judge who listens to arguments but ignores evidence, warning against judicial negligence.","Fawt: passed and went away. The proverb means literally: ""I hear words and speech but I do not see action and implementation."" It is said about someone who makes excuses but does not fulfill his promise. In the same meaning, it is said: ""I hear the noise but I do not see the grinding"".","It refers to a blind poet who hears voices but sees no outcomes, glorifying artistic suffering.","It means a prophet who receives divine whispers but witnesses no miracles, emphasizing faith over proof.",B,"It refers to a blind poet who hears voices but sees no outcomes, glorifying artistic suffering.","It means a prophet who receives divine whispers but witnesses no miracles, emphasizing faith over proof.","It describes a judge who listens to arguments but ignores evidence, warning against judicial negligence.","{""1"": [""It refers to someone who is physically shorter than a vein, symbolizing humility."", ""It describes a person who is always following behind others like a shadow, indicating subservience."", ""It means someone so insignificant they are beneath even a blood vessel, used in self-deprecation.""], ""2"": [""It refers to a baker who grinds loudly but produces no flour, commenting on mechanical failure.""",1.0,1.0,0.29,0.82,94.6
b,zs,Arabic,MID0009,أطلق ساقيه للريح,Runs like the wind.,"The wind, in its fast blowing, is a metaphor for someone who raced and used his legs to quickly get away from a place of danger that he feared might overtake him or kill him.",True,It refers to a man who lets his hair flow in the wind as a sign of madness or poetic inspiration.,It describes someone who releases birds into the wind as an act of freedom or sacrifice.,"It means loosening one's robes in the wind to cool down, symbolizing relaxation in hardship.","The wind, in its fast blowing, is a metaphor for someone who raced and used his legs to quickly get away from a place of danger that he feared might overtake him or kill him.",D,It refers to a man who lets his hair flow in the wind as a sign of madness or poetic inspiration.,It describes someone who releases birds into the wind as an act of freedom or sacrifice.,"It means loosening one's robes in the wind to cool down, symbolizing relaxation in hardship.","{""1"": [""It refers to someone who is physically shorter than a vein, symbolizing humility."", ""It describes a person who is always following behind others like a shadow, indicating subservience."", ""It means someone so insignificant they are beneath even a blood vessel, used in self-deprecation.""], ""2"": [""It refers to a baker who grinds loudly but produces no flour, commenting on mechanical failure.""",1.0,1.0,0.5,0.83,94.9
b,zs,Arabic,MID0010,أعدل الشهود التجارب.,Experience is the best teacher,The proverb means that the experiences a person goes through make him learn and realize many situations in life.,True,The proverb means that the experiences a person goes through make him learn and realize many situations in life.,It refers to commercial transactions being the most reliable testimony in legal matters.,It suggests that traders never lie because their livelihood depends on honest testimony.,It means merchants are the fairest witnesses in court because they deal in truth of prices.,A,It means merchants are the fairest witnesses in court because they deal in truth of prices.,It refers to commercial transactions being the most reliable testimony in legal matters.,It suggests that traders never lie because their livelihood depends on honest testimony.,"{""1"": [""It refers to someone who is physically shorter than a vein, symbolizing humility."", ""It describes a person who is always following behind others like a shadow, indicating subservience."", ""It means someone so insignificant they are beneath even a blood vessel, used in self-deprecation.""], ""2"": [""It refers to a baker who grinds loudly but produces no flour, commenting on mechanical failure.""",1.0,1.0,0.74,0.92,97.6
