task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_en,English,0,A bird in the hand is worth two in the bush,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,True,The value of birds is directly correlated to their proximity to human possession,Having a bird in captivity is morally superior to letting two birds live freely,"In situations of scarcity, it's advisable to release what you have to hunt for more",The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,D,Having a bird in captivity is morally superior to letting two birds live freely,The value of birds is directly correlated to their proximity to human possession,"In situations of scarcity, it's advisable to release what you have to hunt for more","<reasoning>The task requires generating three wrong cultural interpretations of the proverb 'A bird in the hand is worth two in the bush' that are plausible but subtly incorrect. To achieve this, we need to think of meanings that could seem related or logical at first glance but actually misinterpret the essence of the proverb. One approach is to play with the literal meaning of the words or to sl",1.0,1.0,0.38,0.9,97.0
b,cot_en,English,3,A journey of a thousand miles begins with a single step,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.","The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",True,"The proverb implies that all tasks, regardless of size, require the same amount of effort for the first step as for the last",The journey of a thousand miles is only about the destination and not the steps taken to get there,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",Starting a journey of a thousand miles guarantees its successful completion,C,The journey of a thousand miles is only about the destination and not the steps taken to get there,Starting a journey of a thousand miles guarantees its successful completion,"The proverb implies that all tasks, regardless of size, require the same amount of effort for the first step as for the last","<reasoning>To generate wrong cultural interpretations that are plausible but subtly incorrect, we need to consider the essence of the proverb and then slightly alter its meaning or application in a way that seems reasonable but is actually misleading. The proverb ""a journey of a thousand miles begins with a single step"" is about taking initiative and starting a task to eventually complete it, no m",1.0,1.0,0.54,0.89,96.7
b,cot_en,English,4,A leopard cannot change its spots,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,True,A leopard cannot change its spots,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,A leopard cannot change its spots,A leopard cannot change its spots,B,A leopard cannot change its spots,A leopard cannot change its spots,A leopard cannot change its spots,"<reasoning>A wrong cultural interpretation could stem from misinterpreting the phrase's application, symbolism, or the context in which it is used. For instance, taking the phrase too literally or applying it in situations where change is indeed possible could lead to incorrect interpretations. Additionally, cultural backgrounds or personal experiences might influence one's understanding of the ph",1.0,1.0,0.16,0.0,70.0
b,cot_en,English,5,A little knowledge is a dangerous thing,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.","The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",True,Having some knowledge always leads to success,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.","The more knowledge you have, the less dangerous it becomes",Knowledge is dangerous regardless of its amount,B,Knowledge is dangerous regardless of its amount,Having some knowledge always leads to success,"The more knowledge you have, the less dangerous it becomes","<reasoning>The task requires generating wrong cultural interpretations that are plausible but subtly incorrect. To achieve this, we need to consider the core message of the proverb 'A little knowledge is a dangerous thing' and then slightly alter its meaning or application in a way that seems reasonable but is actually incorrect. The correct cultural meaning emphasizes how a limited understanding ",1.0,1.0,0.21,0.9,97.0
b,cot_en,English,6,A rolling stone gathers no moss,Someone who does not settle in one place rarely prospers.,Someone who does not settle in one place rarely prospers.,True,Stones should be left in one place to accumulate spiritual energy,Moss only grows on stationary objects as a sign of good luck,Someone who does not settle in one place rarely prospers.,A rolling stone is incapable of carrying any weight,C,A rolling stone is incapable of carrying any weight,Moss only grows on stationary objects as a sign of good luck,Stones should be left in one place to accumulate spiritual energy,"<reasoning>When considering the proverb ""A rolling stone gathers no moss,"" it's essential to think about the potential misinterpretations that could arise from a cultural perspective. A wrong interpretation might occur if one focuses on the literal meaning of the words rather than the idiomatic expression. For instance, someone might think the proverb is about the physical properties of stones or ",1.0,1.0,1.07,0.96,98.8
b,cot_en,English,7,A stitch in time saves nine,A 'stitch in time' is a timely effort that will prevent more work later.,A 'stitch in time' is a timely effort that will prevent more work later.,True,A stitch in time saves nine refers to the economic benefits of learning to sew,The phrase implies that quick fixes are always more efficient than thorough solutions,It suggests that doing a small amount of work now will always save exactly nine times the effort later,A 'stitch in time' is a timely effort that will prevent more work later.,D,A stitch in time saves nine refers to the economic benefits of learning to sew,The phrase implies that quick fixes are always more efficient than thorough solutions,It suggests that doing a small amount of work now will always save exactly nine times the effort later,"<reasoning>A culturally wrong interpretation could be plausible but subtly incorrect if it takes a literal or overly broad approach to the phrase. For instance, someone might interpret the phrase as specifically related to sewing or tailoring, rather than understanding it as a metaphor for proactive effort. Another incorrect interpretation could stem from misunderstanding the phrase's implication ",1.0,1.0,1.12,0.91,97.3
b,cot_en,English,8,A watched pot never boils,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,True,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,A watched pot is less likely to boil over and make a mess,The act of watching a pot prevents it from boiling due to some unknown physical phenomenon,Pots that are watched regularly will eventually stop functioning and never boil again,A,A watched pot is less likely to boil over and make a mess,The act of watching a pot prevents it from boiling due to some unknown physical phenomenon,Pots that are watched regularly will eventually stop functioning and never boil again,"[""A watched pot is less likely to boil over and make a mess"", ""The act of watching a pot prevents it from boiling due to some unknown physical phenomenon"", ""Pots that are watched regularly will eventually stop functioning and never boil again""]",1.0,1.0,0.54,0.91,97.3
b,cot_en,English,9,A wolf in sheep's clothing,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,True,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,A person who is a skilled farmer of sheep and wolves,Someone who wears sheepskin clothing to keep warm in cold climates,A shepherd who has learned to communicate with wolves to protect their flock,A,A person who is a skilled farmer of sheep and wolves,Someone who wears sheepskin clothing to keep warm in cold climates,A shepherd who has learned to communicate with wolves to protect their flock,"[""A person who is a skilled farmer of sheep and wolves"", ""Someone who wears sheepskin clothing to keep warm in cold climates"", ""A shepherd who has learned to communicate with wolves to protect their flock""]",1.0,1.0,0.73,0.9,97.0
b,cot_en,English,10,Absolute power corrupts absolutely,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.","The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.",True,"The proverb warns against the perception of absolute power, not its actual corrupting influence","The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.",Absolute power corrupts only those who are already morally weak,Absolute power is necessary for true morality to flourish,B,Absolute power is necessary for true morality to flourish,"The proverb warns against the perception of absolute power, not its actual corrupting influence",Absolute power corrupts only those who are already morally weak,<reasoning>The task requires generating wrong cultural interpretations that are plausible but subtly incorrect. This means the interpretations should be close to the correct meaning but with a twist that makes them incorrect. The correct meaning emphasizes the negative impact of power on an individual's moral sense. Wrong interpretations could involve altering the direction of the relationship bet,1.0,1.0,0.5,0.93,97.9
b,cot_en,English,11,Actions speak louder than words,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,True,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,The phrase means that taking bold action without planning is always the best approach,"It implies that only non-verbal cues, like body language, are trustworthy",This proverb suggests that physical strength is more important than verbal communication,A,This proverb suggests that physical strength is more important than verbal communication,"It implies that only non-verbal cues, like body language, are trustworthy",The phrase means that taking bold action without planning is always the best approach,"[""This proverb suggests that physical strength is more important than verbal communication"", ""It implies that only non-verbal cues, like body language, are trustworthy"", ""The phrase means that taking bold action without planning is always the best approach""]",1.0,1.0,0.56,0.94,98.2
b,cot_en,English,12,All that glitters is not gold / All that glisters is not gold,The proverbial saying 'All that glitters is not gold' means that not everything that is shiny and superficially attractive is valuable.,The proverbial saying 'All that glitters is not gold' means that not everything that is shiny and superficially attractive is valuable.,True,The proverbial saying 'All that glitters is not gold' means that not everything that is shiny and superficially attractive is valuable.,Ambition is always a misguided goal,Anything new or attractive in intellectual pursuits is not worth exploring,All attractive relationships are doomed to fail,A,All attractive relationships are doomed to fail,Ambition is always a misguided goal,Anything new or attractive in intellectual pursuits is not worth exploring,"<reasoning>The task requires generating subtly incorrect cultural interpretations of the proverb ""All that glitters is not gold."" A plausible but wrong interpretation might involve misattributing the proverb's meaning to a literal or overly specific context, or extending its application too broadly. For instance, one might misinterpret the proverb as specifically cautioning against materialism in ",1.0,1.0,0.38,0.96,98.8
b,cot_en,English,13,All things come to those who wait,"A literal meaning, advocating patience.","A literal meaning, advocating patience.",True,"A literal meaning, advocating patience.",a passive life is a successful one,ambition is overrated,inaction is the key to success,A,inaction is the key to success,ambition is overrated,a passive life is a successful one,"<reasoning>One possible wrong interpretation could be that the proverb is encouraging inaction, implying that success will come without any effort. Another incorrect interpretation could be that it's promoting a lack of ambition, suggesting that one should simply wait for opportunities to come to them rather than seeking them out. A third wrong interpretation might be that the proverb is advocatin",1.0,0.6666666666666666,1.07,0.89,86.7
b,cot_en,English,14,All work and no play makes Jack a dull boy,The proverbial saying 'All work and no play makes Jack a dull boy' expresses the idea that working constantly and making no time for enjoyment makes one bored and boring.,The proverbial saying 'All work and no play makes Jack a dull boy' expresses the idea that working constantly and making no time for enjoyment makes one bored and boring.,True,The proverbial saying 'All work and no play makes Jack a dull boy' expresses the idea that working constantly and making no time for enjoyment makes one bored and boring.,The saying means that working too much causes Jack to lose his sense of humor and become a boy who tells dull jokes,"It implies that Jack's lack of playtime will make him a socially awkward boy, but only in formal settings","The phrase suggests that constant work will lead to a lack of physical strength, making Jack a dull boy in terms of athletic ability",A,"The phrase suggests that constant work will lead to a lack of physical strength, making Jack a dull boy in terms of athletic ability","It implies that Jack's lack of playtime will make him a socially awkward boy, but only in formal settings",The saying means that working too much causes Jack to lose his sense of humor and become a boy who tells dull jokes,"[""The phrase suggests that constant work will lead to a lack of physical strength, making Jack a dull boy in terms of athletic ability"", ""It implies that Jack's lack of playtime will make him a socially awkward boy, but only in formal settings"", ""The saying means that working too much causes Jack to lose his sense of humor and become a boy who tells dull jokes""]",1.0,1.0,0.73,0.85,95.5
b,cot_en,English,15,An apple a day keeps the doctor away,"The proverb 'An apple a day keeps the doctor away' has a straightforward literal, and very probably correct, meaning - that the eating of fruit maintains good health.","The proverb 'An apple a day keeps the doctor away' has a straightforward literal, and very probably correct, meaning - that the eating of fruit maintains good health.",True,"The proverb 'An apple a day keeps the doctor away' has a straightforward literal, and very probably correct, meaning - that the eating of fruit maintains good health.",The proverb is about the strategic placement of apples to ward off doctors from one's home,Apples are a form of payment to doctors to keep them away,Eating an apple daily will prevent doctors from prescribing unnecessary medication,A,Apples are a form of payment to doctors to keep them away,Eating an apple daily will prevent doctors from prescribing unnecessary medication,The proverb is about the strategic placement of apples to ward off doctors from one's home,"<reasoning>The task requires generating wrong cultural interpretations that are plausible but subtly incorrect. To achieve this, we must consider the original meaning and then slightly alter it or take it out of context to create misleading but believable interpretations. For instance, one could misinterpret the proverb to be about the frequency of visits to the doctor rather than the prevention o",1.0,1.0,0.46,0.9,97.0
b,cot_en,English,16,"An eye for an eye, a tooth for a tooth","The proverb 'an eye for an eye, a tooth for a tooth' expresses the notion that for every wrong done there should be a compensating measure of justice.","The proverb 'an eye for an eye, a tooth for a tooth' expresses the notion that for every wrong done there should be a compensating measure of justice.",True,It implies that the punishment should always be more severe than the crime,The proverb suggests that any act of violence should be met with an identical act of violence,"The proverb 'an eye for an eye, a tooth for a tooth' expresses the notion that for every wrong done there should be a compensating measure of justice.","The saying means that once someone loses an eye or a tooth, they are entitled to take one from the offender",C,The proverb suggests that any act of violence should be met with an identical act of violence,It implies that the punishment should always be more severe than the crime,"The saying means that once someone loses an eye or a tooth, they are entitled to take one from the offender","<reasoning>The proverb 'an eye for an eye, a tooth for a tooth' is often misunderstood due to its literal meaning, which can lead to interpretations that focus on revenge or physical retaliation rather than the pursuit of justice or balance. A wrong interpretation might emphasize the idea of taking revenge without considering the context or the consequences, or it might overlook the aspect of prop",1.0,1.0,0.61,0.88,96.4
