Sample_ID,Source_Text_Yo,Target_Text_En,Cultural_Context,Provenance,QA_Flag,Comments
YOR0001,A di gàárì sílẹ́ ewúrẹ́ ńyọjú; ẹrù ìran rẹ́ ni?,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",Goats that know their place do not offer their backs to be saddled.,part1.docx,PERFECT,
YOR0002,A fi ọ́ jọba ò ńṣàwúre; o fẹ́ẹ́ jẹ Ọlọ́run ni?,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",Being crowned a king is about the best fortune a mortal could hope for.,part1.docx,PERFECT,
YOR0003,"A fijó gba Awà; a fìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",Why make a huge production of a matter that is easily taken care of?,part1.docx,PERFECT,
YOR0004,A gbé gàárì ọmọ ewúrẹ́ ńrojú; kì í ṣe ẹrù àgùntàn.,We lift a saddle and the goat scowls; it is no burden for a sheep.,"The goat has no cause to scowl, because no one will condescend to ride it anyway.",part1.docx,,
YOR0005,A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,One should be cautious in dealing with people in authority.,part1.docx,,
YOR0006,A kì í bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.,One does not so fear death and disease that one asks that one’s child die before one.,One should not be more concerned with saving oneself than with saving one’s dependents.,part1.docx,,
YOR0007,A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,One should not act in unreasonable and harmful ways because of anger.,part1.docx,,
YOR0008,A kì í bínú orí ká fi fìlà dé ìbàdí.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,Do not cut off your nose to spite your face.,part1.docx,FIX,"Fix space in the target_text_en ""but tucks"""
YOR0009,A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ.,"One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.",Do not do things that might constitute temptation to others.,part1.docx,FIX,"Fix space in the target_text_en ""pres ence"""
YOR0010,A kì í dàgbà má làáyà; ibi ayé bá báni là ńjẹ ẹ́.,One does not become an adult and yet lack courage; one lives life as it finds one.,One should do what is fitting for one’s station in life.,part1.docx,,
YOR0011,A kì í dá ọwọ́ lé ohun tí a ò lè gbé.,One does not lay hands on a load one can not lift.,One should not overreach.,part1.docx,,
YOR0012,A kì í dájọ́ orò ká yẹ̀ ẹ́.,One does not set the day for an orò rite and then ignore it.,One must not let important matters slide.,part1.docx,,
YOR0013,A kì í dákẹ́ ká ṣìwí; a kì í wò sùn-ùn ká dáràn.,One does not keep quiet and yet misspeak; one does not silently contemplate the world and yet get into trouble.,A careful and cautious person seldom gets into trouble.,part1.docx,,
YOR0014,A kì í dé Màrọ́kọ́ sin ẹlẹ́jọ́.,One does not arrive at Màrọ́kọ́ ahead of the litigant.,One should not take charge of other people’s business.,Unknown,,
YOR0015,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.,One does not carry debt around one’s neck and live like a dandy.,One should discharge one’s obligations before indulging in extravagance.,part1.docx,FIX,"Fix space in the cultural_context ""dis charge"""
YOR0016,"A kì í fi ìka ro etí, ká fi ro imú, ká wá tún fi ta ehín.","One does not use one’s finger to clean one’s ear passages, use it to pick one’s nose, and then use it to pick one’s teeth.",One should always behave with decorum.,part1.docx,,
YOR0017,A kì í fi orí wé oríi Mokúṣiré; bí Mokú kú láàárọ̀ a jí lálẹ́,"One does not liken one’s fortune to Mokúṣiré’s; if Mokú dies in the morning, he resurrects at night.",Never emulate people who know tricks you don’t.,Unknown,FIX,"Removed hyphen in the target_text_en ""Mokú-ṣiré’s"". it was absent in the original yoruba text"
YOR0018,A kì í fi pàtàkì bẹ́ èlùbọ́; ẹní bá níṣu ló ḿbẹ́ ẹ.,One does not come by yam flour because of one’s importance; only people who have yams can make yam flour.,One cannot eat importance.,part1.docx,,
YOR0019,A kì í fini joyè àwòdì ká má lè gbádìẹ.,One cannot be given the title ‘‘eagle’’ and yet be incapable of snatching chickens.,One should be able to live up to expectations.,part1.docx,,
YOR0020,A kì í gbé sàráà kọjá-a mọ́ṣáláṣí.,One does not carry alms beyond the mosque.,Excess brings disgrace.,part1.docx,,
YOR0021,A kì í gbọ́ ‘‘Lù ú’’ lẹ́nu àgbà.,One never hears ‘‘Beat him or her up’’ in the mouth of an elder.,Elders resolve disputes; they do not goad disputants on.,part1.docx,,
YOR0022,A kì í gbọ́n ju ẹni tí a máa dÍfá fún.,One cannot be wiser than the person for whom one will consult the Ifá oracle.,It is better to listen to the supplicant rather than put words in his or her mouth.,Unknown,,
YOR0023,A kì í gbọ́n tó Báyìí-ni-ngó-ṣe-ǹkan-àn mi,One cannot be as wise as ‘‘Thus-will-I-do my-thing.’’,Never impose your preferences on other people in their own affairs.,part1.docx,,"in the yoruba text i can see ""ngo"" instead of ""n o"". This is an old way of wrting it. should it be retained or corrected?"
